line	word	segmentation	gloss
7459	omkhawm	om-khawm	exist-gather
7460	khuamial	khua-mial	town-dark
7461	omsak	om-sak	exist-CAUS
7462	sawmnga	sawm-nga	ten-five
7463	hoihtakin	hoih-tak-in	good-exact-ERG
7464	ukpa	uk-pa	rule-male
7465	zingsang	zing-sang	morning-high
7466	nitak	ni-tak	day-exact
7467	gamgi	gam-gi	land-boundary
7468	nihna	nih-na	two-NMLZ
7469	thumna	thum-na	three-NMLZ
7470	adang	a-dang	3SG-other
7471	gensa	gen-sa	speak-PAST
7472	innsung	inn-sung	house-inside
7473	biakpiakna	biak-piak-na	worship-give.to-NMLZ
7474	milimte	mi-lim-te	idol-PL
7475	thukhamte	thu-kham-te	law-PL
7476	thumuhnate	thu-muhna-te	word-vision-PL
7477	inndei	inn-dei	house-?
7478	lonona	lo-no-na	NEG-?-NMLZ
7479	puanbuk	puan-buk	cloth-?
7480	awging	aw-ging	voice-sound
7481	lutang	lu-tang	head-?
7482	siamna	siam-na	skilled-NMLZ
7483	thahatna	tha-hat-na	strong-firm-NMLZ
7484	hoihzaw	hoih-zaw	good-more
7485	kilemna	ki-lem-na	REFL-prepare-NMLZ
7486	tuni-in	tu-ni-in	now-day-ERG
7487	naupang	nau-pang	child-small
7488	naupangte	nau-pang-te	child-small-PL
7489	naupangno	nau-pang-no	child-small-DIM
7490	hotkhiatna	hot-khiat-na	?-emerge-NMLZ
7491	lawmte	lawm-te	friend-PL
7492	lopi-in	lo-pi-in	NEG-big-ERG
7493	zakhat	za-khat	hundred-one
7494	mipihte	mi-pih-te	person-APPL-PL
7495	kongpi	kong-pi	road-big
7496	kawikawi	kawi-kawi	crooked-RED
7497	thutang	thu-tang	word-story
7498	citak	ci-tak	say-exact
7499	ompih	om-pih	exist-APPL
7500	thupi	thu-pi	word-big
7501	huhna	huh-na	blow-NMLZ
7502	gamdang	gam-dang	land-other
7503	lungsimah	lungsim-ah	heart-LOC
7504	khutnuai	khut-nuai	hand-under
7505	pualamah	pualam-ah	outside-LOC
7506	lutangte	lutang-te	chief-PL
7507	phattuamna	phat-tuam-na	praise-promise-NMLZ
7508	pianna	pian-na	birth-NMLZ
7509	misia	mi-sia	person-evil
7510	misiate	mi-sia-te	person-evil-PL
7511	lui	lui	river
7512	sepna	sep-na	work-NMLZ
7513	thungetna	thu-nget-na	word-request-NMLZ
7514	gitlohna	git-loh-na	hate-NEG-NMLZ
7515	phawksakna	phawk-sak-na	remember-CAUS-NMLZ
7516	thakhauhsakna	tha-khauh-sak-na	strength-strong-CAUS-NMLZ
7517	awkin	awk-in	snare-ERG
7518	kituhna	ki-tuh-na	REFL-dispute-NMLZ
7519	tenna	ten-na	dwell-NMLZ
7520	tampite	tam-pi-te	many-big-PL
7521	tuute	tuu-te	?-PL
7522	pawlkhatte	pawl-khat-te	some-one-PL
7523	dingte	ding-te	stand-PL
7524	dingun	ding-un	PROSP-PL.IMP
7525	pawi	pawi	Pawi
7526	pang	pang	side/small
7527	zing	zing	morning
7528	nial	nial	deny
7529	san	san	flee
7530	ap	ap	entrust
7531	pawl	pawl	group
7532	zat	zat	use
7533	vang	vang	because
7534	thuk	thuk	deep
7535	zuih	zui-h	follow-NOM
7536	zaw	zaw	more
7537	khak	khak	limit
7538	gamlak	gam-lak	land-midst
7541	khua-a	khua-a	town-LOC
7542	lai-a	lai-a	midst-LOC
7543	gei-a	gei-a	edge-LOC
7544	tu-a	tu-a	now-LOC
7545	nuai-ah	nuai-ah	below-LOC
7546	thu-ah	thu-ah	word-LOC
7547	dinga	ding-a	PROSP-LOC
7550	hinapi-in	hi-na-pi-in	be-NMLZ-big-ERG
7551	nei-in	nei-in	have-ERG
7552	ne-in	ne-in	eat-ERG
7553	khatin	khat-in	one-ERG
7556	lungkhamna	lung-kham-na	heart-anxiety-NMLZ
7557	thumanna	thuman-na	truth-NMLZ
7558	phatna	phat-na	praise-NMLZ
7559	khiatna	khiat-na	emerge-NMLZ
7560	cihnopna	cih-nop-na	say.II-want-NMLZ
7561	lupna	lup-na	bow.down-NMLZ
7562	mawkna	mawk-na	err-NMLZ
7563	hauhna	hauh-na	shout-NMLZ
7564	thugenna	thu-gen-na	word-speak-NMLZ
7565	nitumna	ni-tum-na	day-all-NMLZ
7568	kipte	kip-te	?-PL
7569	makaite	makai-te	leader-PL
7570	zite	zi-te	wife-PL
7571	hihte	hih-te	this-PL
7572	mizawngte	mi-zawng-te	person-all-PL
7573	siate	sia-te	bad-PL
7574	omlaite	om-lai-te	exist-midst-PL
7575	thupiaknate	thu-piak-na-te	word-give.to-NMLZ-PL
7578	pasian-te	pasian-te	god-PL
7579	inndei	inn-dei	family
7580	lonona	lo-no-na	disobedience
7581	puanbuk	puan-buk	tent
7582	lutang	lu-tang	pillow
7583	hotkhiatna	hot-khiat-na	salvation
7584	pawlpi	pawl-pi	group-big
7585	khawl	khawl	rest
7586	tungtawnin	tung-tawn-in	on-ever-ERG
7587	panun	pa-nun	father-?
7588	muang	muang	trust
7589	neu	neu	small
7590	ciangkhut	ciang-khut	then-hand
7591	mudah	mu-dah	see-?
7592	lakhia	lak-khia	take-exit
7593	awng	awng	open
7594	namtui	nam-tui	kind-water
7595	ciam	ciam	promise
7596	luang	luang	flow
7597	bawlsak	bawl-sak	make-CAUS
7598	amahmah	a-mah-mah	3SG-self-RED
7599	sawmsagih	sawm-sagih	ten-seven
7600	thuhilh	thu-hilh	word-teach
7601	thuhilhte	thu-hilh-te	word-teach-PL
7602	bawlsa	bawl-sa	make-PAST
7603	peuh	peuh	every
7604	zanih	zan-ih	night-NOM
7605	suksiat	suk-siat	CAUS-destroy
7606	khau	khau	rope
7607	tuute	tuu-te	grandchild-PL
7608	lua	lua	exceed
7611	panun	pa-nun	father-?
7612	kipte	kip-te	edge-PL
7613	lungkham	lung-kham	heart-anxious
7614	khuasung	khua-sung	town-inside
7615	kaikhawm	kai-khawm	call-gather
7616	thunuama	thu-nuam-a	word-want-LOC
7617	nopsakna	nop-sak-na	want-CAUS-NMLZ
7618	lametna	lam-et-na	way-?-NMLZ
7619	salin	sa-lin	meat-?
7620	vengte	veng-te	neighborhood-PL
7621	niloh	ni-loh	day-NEG
7622	kikoih	ki-koih	REFL-put
7623	sakolte	sakol-te	donkey-PL
7624	hing	hing	alive
7625	pana	pa-na	father-NMLZ
7626	lasakna	la-sak-na	take-CAUS-NMLZ
7627	thahna	thah-na	die-NMLZ
7628	omte	om-te	exist-PL
7629	zahtakna	zah-tak-na	fear-exact-NMLZ
7630	kiciamna	ki-ciam-na	REFL-promise-NMLZ
7631	maipha	mai-pha	face-good
7632	kangtum	kang-tum	?-all
7633	kungte	kung-te	trunk-PL
7634	alang	alang	side
7635	lampi-ah	lampi-ah	way-LOC
7636	pasalte	pasal-te	husband-PL
7637	hi-in	hi-in	be-ERG
7638	biakinn-ah	biakinn-ah	temple-LOC
7639	vekpi-un	vek-pi-un	all-big-PL.IMP
7640	nungzui	nung-zui	life-follow
7641	khatvei	khat-vei	one-time
7642	naungek	nau-ngek	child-small
7643	kongkhak	kong-khak	1SG→3-limit
7644	ciahpih	ciah-pih	return-APPL
7645	nuamtakin	nuam-tak-in	want-exact-ERG
7646	ciamsa	ciam-sa	promise-PAST
7647	thupiang	thu-piang	word-born
7648	suaktasak	suak-ta-sak	become-PFV-CAUS
7649	koi-ah	koi-ah	where-LOC
7650	nopna	nop-na	want-NMLZ
7651	vanglian	vang-lian	power-big
7652	hizaw	hi-zaw	be-more
7653	annek	an-nek	3PL-eat.II
7654	innkuante	inn-kuan-te	house-household-PL
7655	mawhsakna	mawh-sak-na	err-CAUS-NMLZ
7656	zuihna	zuih-na	follow.II-NMLZ
7657	vaihawm	vai-hawm	?-smell
7658	ciamteh	ciam-teh	promise-receive
7659	mu-in	mu-in	see-ERG
7660	omna-ah	omna-ah	exist.NMLZ-LOC
7661	nai-ah	nai-ah	near-LOC
7662	za-in	za-in	hear-ERG
7663	sawltakte	sawl-tak-te	send-exact-PL
7664	maizum	mai-zum	face-bow
7665	dahna	dah-na	put-NMLZ
7666	thuaksak	thuak-sak	suffer-CAUS
7667	maizumna	mai-zum-na	face-bow-NMLZ
7668	vasa	vasa	bird
7669	nilh	nilh	wipe
7670	khan	khan	generation
7671	sawmguk	sawm-guk	ten-six
7672	sanggamnu	sanggam-nu	sibling-female
7673	khuadak	khua-dak	town-near
7674	paktat	pak-tat	?-strike
7675	pak	pak	?
7676	khuam	khuam	darkness
7677	sap	sap	call/summon
7678	sal	sal	slave
7679	kan	kan	stay
7680	vai	vai	foreigner
7681	kumpi-in	kumpi-in	king-ERG
7682	keel	keel	?
7683	khuaneute	khua-neu-te	town-small-PL
7684	tuamtuamte	tuam-tuam-te	different-RED-PL
7685	gamh	gamh	land.II
7686	ing	ing	?
7689	gamlakah	gam-lak-ah	land-midst-LOC
7690	inla	in-la	ERG-and
7691	sunga	sung-a	inside-3SG
7692	tunga	tung-a	on-3SG
7693	ama	a-ma	3SG-self
7694	nau	nau	child
7695	aana	a-ana	3SG-child.PL
7696	pah	pah	do.so
7697	hileh	hi-leh	be-if
7698	unla	un-la	PL.IMP-and
7701	mai-ah	mai-ah	face-LOC
7702	khua-ah	khua-ah	town-LOC
7703	inn-ah	inn-ah	house-LOC
7704	leitang	lei-tang	land-earth
7705	pasal	pasal	husband
7706	pawlkhat	pawl-khat	some-one
7707	mihing	mi-hing	person-kind
7708	minamte	mi-nam-te	person-kind-PL
7709	nasep	na-sep	work
7710	suante	suan-te	offspring-PL
7711	namsau	nam-sau	long.hair
7712	nangawn	na-ngawn	2SG-own
7713	piang	piang	be.born
7714	hihna	hih-na	this-NMLZ
7715	lungdam	lung-dam	heart-well
7716	itna	it-na	love-NMLZ
7717	nungta	nung-ta	life-PFV
7718	uliante	ulian-te	elder-PL
7719	huh	huh	blow
7720	khuapite	khua-pi-te	town-big-PL
7721	lohna	loh-na	NEG-NMLZ
7722	kam	kam	word/mouth
7723	mual	mual	mountain
7724	sathau	sa-thau	fat
7725	tuipi	tui-pi	water-big
7726	hehna	heh-na	anger-NMLZ
7727	upna	up-na	believe-NMLZ
7728	nungzuite	nung-zui-te	life-follow-PL
7729	khawm	khawm	gather
7730	ciat	ciat	each
7731	dangte	dang-te	other-PL
7732	tate	ta-te	child-PL
7733	nate	na-te	2SG-PL
7734	kizui-in	ki-zui-in	REFL-follow-ERG
7735	la-in	la-in	take-ERG
7739	sumngo	sum-ngo	brass-iron
7740	leenggui	leeng-gui	grape-vine
7741	ling	ling	pile
7742	panun	pa-nun	father-life
7743	leenggah	leeng-gah	grape-cluster
7744	mudah	mu-dah	see-easy
7745	keel	keel	heel
7746	salin	sa-lin	meat-hope
7747	lametna	lam-et-na	path-example-NMLZ
7748	paktat	pak-tat	divide-strike
7749	pak	pak	divide
7750	thei-in	thei-in	know.I-ERG
7751	le-uhcin	le-uh-cin	also-PL-even
7753	zin	zin	journey
7754	sawh	sawh	correct
7755	kangtum	kang-tum	brass-all
7756	nisimin	ni-simin	day-always
7757	tuikhuk	tui-khuk	water-ladle
7758	late	la-te	song-PL
7759	mualtungah	mual-tung-ah	mountain-top-LOC
7760	kang	kang	suffer
7761	cil	cil	sprout
7762	lauhuai	lau-huai	fear-dread
7763	vaihawm	vai-hawm	plan-counsel
7764	lite	li-te	four-PL
7765	bawngtalte	bawng-tal-te	cow-calf-PL
7766	kahna	kah-na	fight-NMLZ
7767	neute	neu-te	small-PL
7768	tangvalpa	tangval-pa	youth-father
7769	khialhnate	khialh-na-te	sin-NMLZ-PL
7770	nuai-a	nuai-a	below-LOC
7771	kihei-in	ki-hei-in	REFL-angry-ERG
7772	zawlte	zawl-te	plain-PL
7773	tai-in	tai-in	flee-ERG
7774	lau-in	lau-in	fear-ERG
7775	nasepna-ah	na-sep-na-ah	work-NMLZ-LOC
7776	zingsangin	zing-sang-in	morning-early-ERG
7777	neihna	neih-na	have-NMLZ
7778	laksak	lak-sak	take-CAUS
7779	pian	pian	be.born
7780	lamdangte	lam-dang-te	way-other-PL
7781	pahtawina	pah-tawi-na	do-honor-NMLZ
7782	mualte	mual-te	mountain-PL
7783	mahmahna	mahmah-na	very-NMLZ
7784	egypt-ah	egypt-ah	EGYPT-LOC
7785	sumte	sum-te	money-PL
7786	hikeileh	hi-kei-leh	be-NEG.EMPH-if
7787	munte	mun-te	place-PL
7788	theite	thei-te	know.I-PL
7789	khawmin	khawm-in	gather-ERG
7790	siangthote	siangtho-te	holy-PL
7791	khitna	khit-na	after-NMLZ
7792	sau	sau	long
7793	midikte	mi-dik-te	person-straight-PL
7794	lungmuang	lung-muang	heart-still
7795	lunghimawh	lung-himawh	heart-fear
7796	bukna	buk-na	ambush-NMLZ
7797	gengen	gen-gen	speak-RED
7798	gengenin	gen-gen-in	speak-RED-ERG
7799	samsia	sam-sia	call-destroy
7800	lungdamsak	lung-dam-sak	heart-well-CAUS
7801	ante	an-te	3PL-PL
7802	tuni-a	tu-ni-a	now-day-LOC
7803	biakpiaknate	biak-piak-na-te	worship-give-NMLZ-PL
7805	pianzia	pian-zia	birth-manner
7809	leenggah	leeng-gah	grape-fruit
7812	kumpinu	kumpi-nu	king-mother
7813	nupi	nu-pi	mother-big
7814	ihmu	ih-mu	1PL-see
7815	guh	guh	shout
7816	ing	ing	be.able
7817	zasak	za-sak	hear-CAUS
7818	biakinnpi	biakinn-pi	temple-big
7819	siampipuan	siampi-puan	priest-cloth
7820	thusia	thu-sia	word-evil
7821	savun	sa-vun	meat-fur
7822	thupiaksa	thu-piak-sa	word-give-PL.POSS
7823	gamtatnasa	gamtat-na-sa	kingdom-NMLZ-PL.POSS
7824	nasepnate	nasepna-te	work.NMLZ-PL
7825	puanhampi	puan-ham-pi	cloth-cover-big
7826	sawt	sawt	long.time
7827	zawng	zawng	all
7828	nun	nun	life
7829	piaksa	piak-sa	give-PL.POSS
7830	gamlapi	gam-la-pi	land-take-big
7831	ahihlam	a-hih-lam	3SG-be-way
7832	thukkik	thuk-kik	deep-again
7833	bawlsia	bawl-sia	make-evil
7834	nuai	nuai	below
7835	zai	zai	song
7836	nawk	nawk	again
7837	theisak	thei-sak	know.I-CAUS
7838	ngaihno	ngaih-no	love-INT
7839	ciangun	ciang-un	then-PL.IMP
7840	nail	nail	always
7841	zasagih	za-sagih	hundred-seven
7842	at	at	cut
7843	pahtawi	pah-tawi	do-honor
7844	nunung	nu-nung	mother-back
7845	behlap	beh-lap	tribe-half
7846	palsat	pal-sat	wall-strike
7847	gensak	gen-sak	speak-CAUS
7848	kai	kai	ascend
7849	puantualpi	puan-tual-pi	cloth-generation-big
7850	thutak	thu-tak	word-true
7853	letmat	let-mat	half-cubit
7854	thuciam	thu-ciam	word-promise
7855	thumin	thu-min	three
7856	kongkhakte	kongkha-te	door-PL
7857	pawlte	pawl-te	group-PL
7858	paikhawm	pai-khawm	go-together
7859	cisak	ci-sak	say-CAUS
7860	beelte	beel-te	pan-PL
7861	kauphe	kauphe	locust
7862	kisapna	ki-sap-na	REFL-call-NMLZ
7863	gamtain	gamta-in	send.away-ERG
7866	le-uh	le-uh	and-PL.IMP
7867	leuh	le-uh	and-PL.IMP
7868	itte	it-te	love-PL
7869	vante	van-te	sky-PL
7870	khakte	khak-te	offspring-PL
7871	khuasunga	khua-sunga	town-inside
7872	tuidawn	tui-dawn	water-fetch
7873	theithei	thei~thei	know.I~RED
7874	singte	sing-te	tree-PL
7875	lungnuam	lung-nuam	heart-pleased
7876	khiate	khia-te	exit-PL
7877	lakhia	la-khia	take-out
7878	lakhia-in	la-khia-in	take-out-ERG
7879	luanna	luan-na	flow-NMLZ
7880	singkungte	singkung-te	tree-PL
7881	honpi	hon-pi	flock-big
7884	dawng	dawng	get/receive
7885	dawngin	dawng-in	get/receive-ERG
7886	langkhatah	lang-khat-ah	side-one-LOC
7887	langpangin	lang-pang-in	side-near-ERG
7888	langpang	lang-pang	side-near
7889	langkhat	lang-khat	side-one
7890	singlamteh	sing-lam-teh	wood-cross
7891	singkuang	sing-kuang	wood-box
7894	siangthosak	siangtho-sak	holy-CAUS
7895	piansak	pian-sak	create-CAUS
7896	lausak	lau-sak	fear-CAUS
7897	galkidona	gal-kido-na	enemy-fight-NMLZ
7898	genkhol	gen-khol	speak-INTENS
7899	ciahsak	ciah-sak	return-CAUS
