word	freq	gloss
pawlpite	35	father-?-PL
ngakin	34	endure-?
im	34	1PL.INCL-?
omzia	34	exist-?
silate	34	?-PL
letmat	34	return-?
beelte	34	?-PL
munmuanhuai	34	see.I-?
khuasunga	34	town-?
mikah	34	person-?
tuidawn	34	water-?
asaf	34	3SG-flesh-?
honpite	33	?-PL
siangthosak	33	holy-?
singte	33	?-PL
paikhawm	33	go-?
mudahte	33	see.I-?-PL
mangbuh	33	?-PL
kisapna	33	?-NMLZ
ompihna	33	exist-?-NMLZ
puakhia	33	carry.on.back-?
ang	33	3SG-?
theitel	33	know.I-?
genkhia	33	speak-?
beina	33	?-NMLZ
cisak	33	say-?
ngat	33	endure-?
singkungte	33	?-PL
hilo	33	be-?
zahko	33	fear-?
lasate	33	?-PL
simmawhna	33	?-NMLZ
nazareth	33	2SG-hear.I-?
piansak	32	give-?
nazat	32	2SG-hear.I-?
kawi	32	1SG-?
khiat	32	exit-?
sanah	32	flesh-?
neupen	32	eat-?
kal	32	1SG-?
luanna	32	head-?-NMLZ
bangte	32	owe-?-PL
buktual	32	ambush-?
theihsa	32	know.II-?
phaknatna	32	?-NMLZ
suahtakna	32	?-NMLZ
behbehin	32	tribe-?
panpih	32	father-?
abiathar	32	3SG-?
paubaanna	32	speak-?-NMLZ
mial	31	person-?
thudang	31	word-?
bawng	31	owe-?
paktatna	31	father-?-NMLZ
salsuahna	31	flesh-?-NMLZ
kihtakna	31	?-NMLZ
nisuh	31	day-?-PL
muvanlai	31	see.I-?
bawngtalno	31	owe-?
aisanna	31	3SG-?-NMLZ
lausak	31	fear-?
adangte	31	3SG-?-PL
galdona	31	?-NMLZ
kongpite	31	1SG→3-?-PL
genkhol	31	speak-?
ciahsak	31	return-?
lungnopna	31	feel-?-NMLZ
nuihsan	31	mother-?
miliante	31	person-?-PL
sate	30	strike-?
sawmkua	30	flesh-?
sawmna	30	flesh-?-NMLZ
zahzah	30	fear-?
kipatna	30	?-NMLZ
duh	30	?-PL
mindaina	30	name-?-NMLZ
khangham	30	generation-?
citakin	30	say-?
khauhsak	30	spirit-?
aisan	30	3SG-?
thukpi	30	word-?
ukpite	30	rule-?-PL
awmdal	30	3SG-?
geelna	30	?-NMLZ
paai	30	father-?
muan	30	see.I-?
karmel	30	1SG-?
nungtasak	29	live-?
matengun	29	grasp-?
tuh	29	?-PL
ngahsak	29	get-?
muhdahhuai	29	see.II-?
muhdah	29	see.II-?
cingin	29	say-?
lianpite	29	?-PL
baihsa	29	owe-?
lungtang	29	feel-?
lamna	29	?-NMLZ
vel	29	do-?
thatang	29	kill-?
ancilna	29	3SG-?-NMLZ
nidangin	29	day-?
teelna	29	?-NMLZ
sepnate	29	work-?-PL
thaltangte	29	?-PL
mihau	29	person-?
hilkiah	29	be-?
paikhiatpihin	28	send.away-?
zineu	28	wife-?
lahna	28	?-NMLZ
bangzahin	28	owe-?
kaikhawmin	28	1SG-?
gukna	28	?-NMLZ
limte	28	?-PL
kuangte	28	?-PL
khuampeek	28	town-?
kite	28	?-PL
thaute	28	?-PL
peengkulte	28	?-PL
bangbangin	28	owe-?
cithei	28	say-?
khauhtakin	28	spirit-?
adonijah	28	3SG-?
baasha	28	owe-?
ahasueras	28	3SG-?
nawkin	27	2SG-?
hici	27	be-?
khatna	27	spirit-?-NMLZ
tote	27	contend-?
nawi	27	2SG-?
piapa	27	give-?
tungnung	27	arrive-?
muhsa	27	see.II-?
sawp	27	flesh-?
thudon	27	word-?
tuili	27	water-?
tuikhang	27	water-?
abijah	27	3SG-?
mikaiah	27	person-?
kongcingte	27	1SG→3-say-?-PL
ngaihsutnate	27	consider-?-PL
baruk	27	owe-?
gamtate	27	land-?-PL
phattuam	27	reward-?
sanna	26	flesh-?-NMLZ
khol	26	labor-?
hiv	26	be-?
samsak	26	call-?
piakik	26	give.to-?
nangmahmah	26	2SG-?
sagihvei	26	seven-?
tonpih	26	sit-?
nekhawm	26	eat.II-?
numeino	26	woman-?
atna	26	3SG-?-NMLZ
tungsiah	26	arrive-?
laite	26	?-PL
bangsak	26	owe-?
vanglianpa	26	go.and-?
khasiat	26	spirit-?
paunak	26	speak-?
vankoihna	26	go.and-?-NMLZ
kuate	26	?-PL
abishai	26	3SG-?
panmun	26	father-?
keng	26	only-?
vaikhak	26	go.and-?
hihsa	25	be-?
aram	25	3SG-?
cik	25	say-?
migitna	25	person-?-NMLZ
kisuanna	25	?-NMLZ
kaihkhop	25	1SG-?
lunggulh	25	feel-?
hopihna	25	?-NMLZ
dawnna	25	?-NMLZ
ip	25	1PL.INCL-?
kawng	25	1SG-?
nengniam	25	eat-?
kawlsing	25	1SG-?
simna	25	?-NMLZ
giatna	25	?-NMLZ
dawna	25	?-NMLZ
ngeite	25	?-PL
arnon	25	3SG-?
hawlkhiat	25	seek-?
arabah	25	3SG-?
kaikhia	25	1SG-?
khanglo	25	generation-?
thatlum	25	kill-?
milian	25	person-?
hiram	25	be-?
maizumsak	25	face-?
gahte	24	?-PL
suahna	24	?-NMLZ
bawnghon	24	owe-?
nungakte	24	live-?-PL
mul	24	see.I-?
kahlei	24	1SG-?
tuunote	24	?-PL
mitphial	24	eye-?
paipihto	24	accompany-?
sumgolh	24	money-?
khual	24	town-?
mizawng	24	person-?
val	24	go.and-?
kizepna	24	?-NMLZ
gingte	24	?-PL
nitna	24	day-?-NMLZ
muk	24	see.I-?
khenuai	24	divide-?
lakhish	24	take-?
khualna	24	town-?-NMLZ
ahijah	24	3SG-be-?
nebat	24	eat-?
gennop	24	speak-?
tuiphumpa	24	water-?
antiok	24	3SG-?
pahpah	23	father-?
paubaang	23	speak-?
pangah	23	father-?
khuakhal	23	town-?
veilam	23	do-?
naih	23	2SG-?
bawngte	23	owe-?-PL
lakik	23	take-?
nausuak	23	2SG-?
tomno	23	sit-?
mipih	23	person-?
nadab	23	2SG-?
nuh	23	mother-?
tawntungun	23	eternity-?
nulepa	23	mother-?
haite	23	?-PL
mittang	23	eye-?
gensawn	23	speak-?
gamdai	23	land-?
cihtakna	23	say.NOM-?-NMLZ
khawlin	23	spirit-?
galkapmangte	23	soldier-?-PL
sepsa	23	work-?
thuteng	23	word-?
thumu	23	word-?
nabal	23	2SG-owe-?
pawlpih	23	father-?
tuihualte	23	water-?-PL
kiphasakte	23	?-PL
ihmut	22	1PL.INCL-?
zagiat	22	hear.I-?
thukim	22	word-?
khualzinna	22	town-?-NMLZ
sukha	22	make.become-?
hoihpente	22	be.good-?-PL
thuhilhin	22	word-?
lungkimsak	22	feel-?
tuucingte	22	?-PL
nipikal	22	day-?
keeltal	22	heel-?
letsongte	22	return-?-PL
mangte	22	?-PL
netum	22	eat-?
balkek	22	owe-?
phawkna	22	?-NMLZ
leengpeite	22	chariot-?-PL
khensak	22	divide-?
khialsak	22	err-?
kawnggak	22	1SG-?
khutme	22	hand-?
kithahna	22	?-NMLZ
nidanga	22	day-?
naomi	22	2SG-exist-?
hihlam	22	be-?
kidona	22	?-NMLZ
khadet	22	spirit-?
naboth	22	2SG-?
paktatte	22	father-?-PL
ihihna	22	1PL.INCL-be-?-NMLZ
hin	21	be-?
hoihsa	21	be.good-?
tuiciin	21	water-?
ak	21	3SG-?
tengsak	21	dwell-?
ciktui	21	say-?
baihin	21	owe-?
cidam	21	say-?
balkekin	21	owe-?
lunghihmawhna	21	feel-?-NMLZ
lopate	21	?-PL
kigenna	21	?-NMLZ
dingto	21	stand-?
thuaknate	21	suffer-?-PL
piakhia	21	give.to-?
ithamar	21	1PL.INCL-?
sapna	21	flesh-?-NMLZ
sianthona	21	?-NMLZ
meivakte	21	?-PL
sukham	21	make.become-?
sisate	21	?-PL
luangsak	21	corpse-?
theikung	21	know.I-?
theihtelna	21	know.II-?-NMLZ
thahatte	21	?-PL
khawng	21	spirit-?
ashdod	21	3SG-?
hihsak	21	be-?
nektheih	21	eat.II-?
akhish	21	3SG-?
piaktheih	21	give.to-?
tuikuangpi	21	water-?
banbanin	21	owe-?
sairas	21	flesh-?
mihaute	21	person-?-PL
gamsa	20	land-?
baang	20	owe-?
nahor	20	2SG-?
cianga	20	announce-?
neihsun	20	have.II-?
hoihsak	20	be.good-?
khatte	20	spirit-?-PL
bawlsiat	20	make-?
naaman	20	2SG-sink-?
vanging	20	go.and-?
khangnote	20	generation-?-PL
bullente	20	?-PL
anletui	20	3SG-?
omsa	20	exist-?
puapa	20	carry.on.back-?
tuinak	20	water-?
mindai	20	name-?
ngawh	20	endure-?
kuana	20	?-NMLZ
nethanel	20	eat-?
pangin	20	father-?
sauvei	20	long-?
anathoth	20	3SG-?
vat	20	go.and-?
genthei	20	speak-?
khansau	20	spirit-?
puansan	20	carry.on.back-?
muhtheih	20	see.II-?
ahithofel	20	3SG-be-?
amon	20	3SG-?
umlebeel	20	believe-?
ahikam	20	3SG-be-?
nethaniah	20	eat-?
maizumin	20	face-?
thawhkikna	20	?-NMLZ
kipiakna	19	?-NMLZ
khangto	19	generation-?
kadesh	19	1SG-?
midik	19	person-?
thumsak	19	word-?
hingsak	19	be-?
vaihawmna	19	go.and-?-NMLZ
sinsona	19	?-NMLZ
nupite	19	mother-?-PL
tom	19	sit-?
semsak	19	serve-?
cikmah	19	say-?
zankim	19	hear.I-?
zal	19	hear.I-?
ngakna	19	endure-?-NMLZ
bawk	19	owe-?
umlebeelte	19	believe-?-PL
leengguite	19	chariot-?-PL
kikhawmte	19	?-PL
taina	19	?-NMLZ
pangsim	19	father-?
dingteng	19	stand-?
langpangte	19	?-PL
pahtak	19	father-?
galkapmang	19	soldier-?
nawngkaisak	19	2SG-?
nitaang	19	day-?
lungkimna	19	feel-?-NMLZ
inndeite	19	1PL.INCL-?-PL
khuamluzepna	19	town-?-NMLZ
huaiham	19	dread-?
semkhawm	19	serve-?
innsunga	19	1PL.INCL-?
cihtak	19	say.NOM-?
gamdangte	19	land-?-PL
mawhneite	19	?-PL
bawlsiate	19	make-?-PL
cinate	19	say-?-PL
asia	19	3SG-?
khenkhia	18	divide-?
deihhuai	18	want-?
enok	18	look-?
veilamah	18	do-?
bawngla	18	owe-?
tuhuna	18	?-NMLZ
nesak	18	eat-?
bawnghonte	18	owe-?-PL
khop	18	labor-?
paikikin	18	go-?
khauhual	18	spirit-?
kikhumna	18	?-NMLZ
mindaisak	18	name-?
luite	18	head-?-PL
khuamte	18	town-?-PL
peemtate	18	?-PL
liamna	18	?-NMLZ
uite	18	?-PL
paakte	18	father-?-PL
paitoh	18	go-?
khamul	18	forbid-?
khuapikulh	18	city-?
tangtung	18	arrive-?
minphatna	18	name-?-NMLZ
sangzaw	18	high-?
khenthei	18	divide-?
ngahkhawm	18	get-?
kulhpite	18	?-PL
lungmuanna	18	feel-?-NMLZ
paaikhia	18	father-?
kulhkongpite	18	?-PL
vanah	18	go.and-?
keilah	18	foot-?
thugennate	18	preach-?-PL
gihna	18	?-NMLZ
sumai	18	money-?
hunsung	18	time-?
abigail	18	3SG-?
gamtatsia	18	land-?
asahel	18	3SG-flesh-?
amasa	18	3SG-?
inntual	18	1PL.INCL-?
hingkiksak	18	be-?
khemsa	18	restrain-?
theigah	18	know.I-?
kawmte	18	1SG-?-PL
zahtakbawl	18	honor-?
kidenna	18	?-NMLZ
muanin	18	see.I-?
khawhlawhte	18	spirit-?-PL
vaksak	17	walk-?
puanbukte	17	carry.on.back-?-PL
gimnate	17	?-PL
nupa	17	mother-?
sarai	17	flesh-?
kawl	17	1SG-?
neh	17	eat-?
naupaii	17	2SG-elder-?
nawlah	17	2SG-?
ngaihbaang	17	listen.II-?
mudahin	17	see.I-?
keelno	17	heel-?
encik	17	look-?
sukkoth	17	make.become-?
lupkhop	17	bow.down-?
koihsak	17	put-?
milipin	17	person-?
zatui	17	hear.I-?
pawlin	17	father-?
khoi	17	labor-?
amminadab	17	3SG-?
gunte	17	?-PL
denna	17	?-NMLZ
tuamcip	17	promise-?
gukte	17	?-PL
khuampeekte	17	town-?-PL
banto	17	owe-?
kaih	17	1SG-?
mawkmawkte	17	?-PL
bukkongah	17	ambush-?
cithak	17	say-?
dingsak	17	stand-?
zatna	17	hear.I-?-NMLZ
anak	17	3SG-?
teembawte	17	?-PL
lamlahna	17	?-NMLZ
hawlkhiatna	17	seek-?-NMLZ
bulpite	17	?-PL
vanpi	17	go.and-?
umcihin	17	believe-?
thupizaw	17	word-?
innpi	17	1PL.INCL-?
nuamsak	17	want-?
khuacingte	17	town-?-PL
ner	17	eat-?
ahimelek	17	3SG-be-?
zongte	17	?-PL
ziba	17	wife-?
hamphatna	17	?-NMLZ
sawmthumte	17	flesh-?-PL
sangpen	17	high-?
nihveina	17	day-?-NMLZ
khialhsakna	17	err-?-NMLZ
omri	17	exist-?
athaliah	17	3SG-?
biate	17	?-PL
mattaniah	17	grasp-?
tobiah	17	sit-?
thuakzawh	17	suffer-?
gutate	17	?-PL
huaihamna	17	dread-?-NMLZ
sikkhau	17	repent-?
puanpak	17	carry.on.back-?
kapernaum	17	1SG-?
naseppih	17	2SG-work-?
puansilh	16	carry.on.back-?
khawh	16	spirit-?
khangsimna	16	generation-?-NMLZ
migi	16	person-?
naihin	16	2SG-?
ngatin	16	endure-?
kongkhakah	16	1SG→3-spirit-?
suakkhia	16	become-?
khuang	16	town-?
khapna	16	spirit-?-NMLZ
hilhkhol	16	teach-?
leina	16	?-NMLZ
keek	16	foot-?
cikmahin	16	say-?
hanna	16	?-NMLZ
miriam	16	person-?
kat	16	1SG-?
kualte	16	?-PL
sakhat	16	cause-?
tuutalte	16	?-PL
ngunte	16	?-PL
sawpin	16	flesh-?
tukna	16	?-NMLZ
samsiat	16	call-?
vaan	16	go.and-?
khamtheihzu	16	forbid-?
mikhael	16	person-?
hilhkholhna	16	teach-?-NMLZ
galhangte	16	?-PL
aroer	16	3SG-?
panna	16	father-?-NMLZ
ommawk	16	exist-?
gentheih	16	speak-?
mikhal	16	person-?
thukimna	16	word-?-NMLZ
puanung	16	carry.on.back-?
anne	16	3SG-?
suangmanphate	16	?-PL
biakinnsung	16	temple-?
halna	16	?-NMLZ
nebuzaradan	16	eat-?
pakta	16	father-?
suksiatsak	16	make.become-?
entel	16	look-?
nisa	16	day-?
muanna	16	see.I-?-NMLZ
saddusi	16	flesh-?
palikte	16	father-?-PL
gambup	15	land-?
omlam	15	exist-?
abel	15	3SG-?
zakua	15	hear.II-?
piangkhia	15	be.born-?
kenaz	15	only-?
tutphah	15	sleep-?
veina	15	do-?-NMLZ
kizepnate	15	?-PL
naute	15	2SG-?-PL
nem	15	eat-?
tawite	15	?-PL
nisim	15	day-?
izhar	15	1PL.INCL-?
gawina	15	?-NMLZ
banin	15	owe-?
sah	15	flesh-?
nunglam	15	live-?
puantungsilh	15	carry.on.back-?
tuamkoih	15	promise-?
sehna	15	?-NMLZ
pawlpawlin	15	father-?
pakan	15	father-?
dingkhia	15	stand-?
hatzaw	15	strong-?
gamtatsiatna	15	land-?-NMLZ
zimri	15	wife-?
kinusiate	15	?-PL
galhiamte	15	?-PL
hazatna	15	?-NMLZ
innkhum	15	1PL.INCL-?
lunggim	15	feel-?
laksakin	15	take-?
barak	15	owe-?
nuaisiah	15	mother-?
khawlsak	15	spirit-?
lungnuamin	15	feel-?
galsimna	15	?-NMLZ
awn	15	3SG-?
nungdelh	15	live-?
omkha	15	exist-?
ishbosheth	15	1PL.INCL-?
daltuahte	15	hinder-?-PL
bani	15	owe-?
balnen	15	owe-?
cikin	15	say-?
amariah	15	3SG-?
koihnate	15	put-?-PL
vanmanpha	15	go.and-?
kulhte	15	?-PL
lungduaina	15	feel-?-NMLZ
satgawp	15	strike-?
sangpenpa	15	high-?
thangpaihna	15	?-NMLZ
tungman	15	arrive-?
tacilte	14	?-PL
thumnate	14	word-?-PL
innkuanpih	14	1PL.INCL-?
dawnte	14	?-PL
khuhna	14	?-NMLZ
gimpiakna	14	?-NMLZ
khamsak	14	forbid-?
siampa	14	be.skilled-?
piasak	14	give-?
tuikuang	14	water-?
lungngaingai	14	feel-?
nihvei	14	day-?
nikhat	14	day-?
hukna	14	?-NMLZ
koihkhia	14	put-?
nuhin	14	mother-?
siatsak	14	spoil-?
hehpihhuai	14	be.angry-?
ngawngah	14	endure-?
paikhiasak	14	go-?
amram	14	3SG-?
nahshon	14	2SG-?
kilamdanna	14	?-NMLZ
thukna	14	word-?-NMLZ
paihkhiat	14	go-?
apsa	14	3SG-?
nazir	14	2SG-wife-?
puakin	14	carry.on.back-?
hingte	14	be-?-PL
khuaneu	14	town-?
tawmna	14	?-NMLZ
muhdahna	14	see.II-?-NMLZ
salte	14	flesh-?-PL
ankung	14	3SG-?
thakte	14	?-PL
lungmuangin	14	feel-?
khathei	14	spirit-?
hinnom	14	be-?
ziklag	14	wife-?
bawlnate	14	make-?-PL
tauna	14	?-NMLZ
vaihawmsak	14	go.and-?
thungen	14	word-?
ahitub	14	3SG-be-?
ahimaaz	14	3SG-be-?
sawmsim	14	flesh-?
leengpei	14	chariot-?
luangkhia	14	corpse-?
galvilna	14	?-NMLZ
ngaihsutsa	14	consider-?
kareah	14	1SG-?
pashhur	14	father-?
uksak	14	rule-?
tausangte	14	?-PL
artakzaksis	14	3SG-?
uksawn	14	rule-?
zahhuaisak	14	fear-?
zuauna	14	?-NMLZ
luitui	14	head-?
hithei	14	be-?
siahdongte	14	?-PL
awi	14	3SG-?
ananias	14	3SG-?
husanna	13	?-NMLZ
pungsak	13	increase-?
ciing	13	say-?
mualah	13	see.I-?
tengkhawm	13	dwell-?
paii	13	go-?
hutna	13	?-NMLZ
nauzaw	13	2SG-?
leengkhia	13	chariot-?
bawngpi	13	owe-?
theihkholh	13	know.II-?
nat	13	2SG-?
valhtum	13	go.and-?
gentel	13	speak-?
zuisak	13	follow-?
khawlna	13	spirit-?-NMLZ
muat	13	see.I-?
piaksak	13	give.to-?
uiphukte	13	?-PL
kauphete	13	1SG-?-PL
sunte	13	?-PL
tamna	13	?-NMLZ
nawl	13	2SG-?
mut	13	see.I-?
laktel	13	take-?
thukhennate	13	word-?-PL
kangsak	13	1SG-?
apna	13	3SG-?-NMLZ
puanbukah	13	carry.on.back-?
sihlawh	13	die-?
hingin	13	be-?
khualmite	13	town-?-PL
dialkhai	13	call-?
kidalna	13	?-NMLZ
cilna	13	say-?-NMLZ
agag	13	3SG-?
kamsung	13	1SG-?
kamciamna	13	1SG-?-NMLZ
nebo	13	eat-?
siksanin	13	repent-?
genthuah	13	speak-?
sanang	13	flesh-?
cingh	13	say-?
citna	13	say-?-NMLZ
thumante	13	word-?-PL
satpa	13	strike-?
kipahna	13	?-NMLZ
kahtohna	13	1SG-?-NMLZ
thakhauh	13	?-PL
lingkungte	13	hope-?-PL
gina	13	?-NMLZ
kihihsakna	13	?-NMLZ
khuamialna	13	town-?-NMLZ
otna	13	?-NMLZ
awngin	13	3SG-?
hanthotna	13	?-NMLZ
luh	13	head-?
muangin	13	see.I-?
khebaite	13	?-PL
omtheih	13	exist-?
sawmsimna	13	flesh-?-NMLZ
masate	13	?-PL
netofah	13	eat-?
ngawn	13	endure-?
theihtheih	13	know.II-?
innlamte	13	1PL.INCL-?-PL
saiha	13	flesh-?
manphate	13	?-PL
sumbuk	13	money-?
kiniamkhiatna	13	?-NMLZ
patau	13	father-?
keekin	13	foot-?
amoz	13	3SG-?
pawite	13	father-?-PL
annekna	13	3SG-?-NMLZ
imcip	13	1PL.INCL-?
genkhit	13	speak-?
deihzaw	13	want-?
saipras	13	flesh-?
andru	13	3SG-?
apollos	13	3SG-?
agrippa	13	3SG-?
zaina	12	hear.I-?-NMLZ
nuainung	12	mother-?
nungsak	12	live-?
thutangin	12	word-?
lungkhamsak	12	feel-?
thunget	12	word-?
khiasuk	12	exit-?
pahin	12	father-?
thukan	12	word-?
matsa	12	grasp-?
itzaw	12	1PL.INCL-?
ginalote	12	?-PL
tute	12	sleep-?
anah	12	3SG-?
bawltawm	12	make-?
lunghihmawh	12	feel-?
kimuhna	12	?-NMLZ
mukhia	12	see.I-?
thatanghat	12	kill-?
khiam	12	exit-?
zikri	12	wife-?
abihu	12	3SG-?
khanghamte	12	generation-?-PL
sungkuate	12	?-PL
theihtel	12	know.II-?
nitum	12	day-?
vatmai	12	go.and-?
sahpi	12	flesh-?
khumcip	12	cover-?
satnen	12	strike-?
thumang	12	word-?
vankhainate	12	go.and-?-PL
kizopna	12	?-NMLZ
kipsakna	12	?-NMLZ
zalin	12	hear.I-?
multe	12	see.I-?-PL
kangin	12	1SG-?
phulakna	12	?-NMLZ
neikhawm	12	have-?
mawhte	12	?-PL
kampaunate	12	1SG-?-PL
paisuakin	12	go-?
tumna	12	?-NMLZ
ashtaroth	12	3SG-?
sangpi	12	high-?
ento	12	look-?
maimangsak	12	shame-?
piaknate	12	give.to-?-PL
tuahun	12	?
suangtumte	12	?-PL
gamtatsiat	12	land-?
kalsuanna	12	1SG-?-NMLZ
diakdiakin	12	be.different-?
delhna	12	?-NMLZ
ashkelon	12	3SG-?
gamteng	12	lands-?
meiite	12	?-PL
tamlua	12	?
zalmunna	12	hear.I-?-NMLZ
thuhaksa	12	word-?
niamkhiat	12	day-?
citengah	12	say-?
paikawmin	12	go-?
sikhawm	12	repent-?
khausai	12	spirit-?
bathsheba	12	bind-?
barzillai	12	owe-?
muanhuaite	12	see.I-?-PL
luatna	12	head-?-NMLZ
iddo	12	1PL.INCL-?
humpinelkaite	12	cover-?-PL
kikupna	12	?-NMLZ
khahsuah	12	choke-?
kiciamtehna	12	?-NMLZ
paknamtuite	12	father-?-PL
lungdamkohna	12	rejoice-?-NMLZ
lakkhiatsak	12	snatch-?
niliim	12	day-?
bangsakkik	12	owe-?
thukimpih	12	word-?
nungngat	12	live-?
vashti	12	go.and-?
awle	12	3SG-?
cimawhin	12	pierce-?
cihmawhna	12	say.NOM-?-NMLZ
mimawhte	12	person-?-PL
pahtakna	12	father-?-NMLZ
zaizai	12	hear.I-?
awte	12	3SG-?-PL
thungaihsun	12	word-?
ukzawh	12	rule-?
abednego	12	3SG-?
hihtheih	12	be-?
barabbas	12	owe-?
gamtang	11	land-?
neisak	11	have-?
ciangah	11	announce-?
arpakshad	11	3SG-?
milkah	11	person-?
galmatte	11	?-PL
sempa	11	serve-?
mengmeng	11	?~RED
paran	11	father-?
kedar	11	foot-?
cihsa	11	say.NOM-?
tuiluang	11	water-?
khengin	11	divide-?
khawi	11	spirit-?
inncing	11	1PL.INCL-?
khainiang	11	hold-?
zawnna	11	hear.I-?-NMLZ
dinna	11	?-NMLZ
vatlum	11	go.and-?
paikhiatpihna	11	send.away-?-NMLZ
zawngkhal	11	hear.I-?
hingkhawi	11	be-?
omsuak	11	exist-?
bilvang	11	ear-?
kongpuankhai	11	1SG→3-carry.on.back-?
peekte	11	?-PL
khetphimte	11	?-PL
dialpi	11	call-?
suangpeekte	11	?-PL
maisakin	11	face-?
khahkhong	11	choke-?
vakhuno	11	walk-?
sathaute	11	strike-?-PL
kohna	11	?-NMLZ
paang	11	father-?
hawmsak	11	join-?
sihpih	11	die-?
puasak	11	carry.on.back-?
gensiate	11	speak-?-PL
hauh	11	?-PL
anlim	11	3SG-?
kampaute	11	1SG-?-PL
abiram	11	3SG-?
luahsak	11	head-?
awksak	11	3SG-?
makaihna	11	?-NMLZ
lingte	11	hope-?-PL
aisante	11	3SG-?-PL
innkhumzang	11	1PL.INCL-?
lungkhamin	11	feel-?
dona	11	?-NMLZ
