line	word	segmentation	gloss
7459	omkhawm	om-khawm	exist-gather
7460	khuamial	khua-mial	town-dark
7461	omsak	om-sak	exist-CAUS
7462	sawmnga	sawm-nga	ten-five
7463	hoihtakin	hoih-tak-in	good-exact-ERG
7464	ukpa	uk-pa	rule-male
7465	zingsang	zing-sang	morning-high
7466	nitak	ni-tak	day-exact
7467	gamgi	gam-gi	land-boundary
7468	nihna	nih-na	two-NMLZ
7469	thumna	thum-na	three-NMLZ
7470	adang	a-dang	3SG-other
7471	gensa	gen-sa	speak-PAST
7472	innsung	inn-sung	house-inside
7473	biakpiakna	biak-piak-na	worship-give.to-NMLZ
7474	milimte	mi-lim-te	idol-PL
7475	thukhamte	thu-kham-te	law-PL
7476	thumuhnate	thu-muhna-te	word-vision-PL
7477	inndei	inn-dei	house-?
7478	lonona	lo-no-na	NEG-?-NMLZ
7479	puanbuk	puan-buk	cloth-?
7480	awging	aw-ging	voice-sound
7481	lutang	lu-tang	head-?
7482	siamna	siam-na	skilled-NMLZ
7483	thahatna	tha-hat-na	strong-firm-NMLZ
7484	hoihzaw	hoih-zaw	good-more
7485	kilemna	ki-lem-na	REFL-prepare-NMLZ
7486	tuni-in	tu-ni-in	now-day-ERG
7487	naupang	nau-pang	child-small
7488	naupangte	nau-pang-te	child-small-PL
7489	naupangno	nau-pang-no	child-small-DIM
7490	hotkhiatna	hot-khiat-na	?-emerge-NMLZ
7491	lawmte	lawm-te	friend-PL
7492	lopi-in	lo-pi-in	NEG-big-ERG
7493	zakhat	za-khat	hundred-one
7494	mipihte	mi-pih-te	person-APPL-PL
7495	kongpi	kong-pi	road-big
7496	kawikawi	kawi-kawi	crooked-RED
7497	thutang	thu-tang	word-story
7498	citak	ci-tak	say-exact
7499	ompih	om-pih	exist-APPL
7500	thupi	thu-pi	word-big
7501	huhna	huh-na	blow-NMLZ
7502	gamdang	gam-dang	land-other
7503	lungsimah	lungsim-ah	heart-LOC
7504	khutnuai	khut-nuai	hand-under
7505	pualamah	pualam-ah	outside-LOC
7506	lutangte	lutang-te	chief-PL
7507	phattuamna	phat-tuam-na	praise-promise-NMLZ
7508	pianna	pian-na	birth-NMLZ
7509	misia	mi-sia	person-evil
7510	misiate	mi-sia-te	person-evil-PL
7511	lui	lui	river
7512	sepna	sep-na	work-NMLZ
7513	thungetna	thu-nget-na	word-request-NMLZ
7514	gitlohna	git-loh-na	hate-NEG-NMLZ
7515	phawksakna	phawk-sak-na	remember-CAUS-NMLZ
7516	thakhauhsakna	tha-khauh-sak-na	strength-strong-CAUS-NMLZ
7517	awkin	awk-in	snare-ERG
7518	kituhna	ki-tuh-na	REFL-dispute-NMLZ
7519	tenna	ten-na	dwell-NMLZ
7520	tampite	tam-pi-te	many-big-PL
7521	tuute	tuu-te	?-PL
7522	pawlkhatte	pawl-khat-te	some-one-PL
7523	dingte	ding-te	stand-PL
7524	dingun	ding-un	PROSP-PL.IMP
7525	pawi	pawi	Pawi
7526	pang	pang	side/small
7527	zing	zing	morning
7528	nial	nial	deny
7529	san	san	flee
7530	ap	ap	entrust
7531	pawl	pawl	group
7532	zat	zat	use
7533	vang	vang	because
7534	thuk	thuk	deep
7535	zuih	zui-h	follow-NOM
7536	zaw	zaw	more
7537	khak	khak	limit
7538	gamlak	gam-lak	land-midst
7541	khua-a	khua-a	town-LOC
7542	lai-a	lai-a	midst-LOC
7543	gei-a	gei-a	edge-LOC
7544	tu-a	tu-a	now-LOC
7545	nuai-ah	nuai-ah	below-LOC
7546	thu-ah	thu-ah	word-LOC
7547	dinga	ding-a	PROSP-LOC
7550	hinapi-in	hi-na-pi-in	be-NMLZ-big-ERG
7551	nei-in	nei-in	have-ERG
7552	ne-in	ne-in	eat-ERG
7553	khatin	khat-in	one-ERG
7556	lungkhamna	lung-kham-na	heart-anxiety-NMLZ
7557	thumanna	thuman-na	truth-NMLZ
7558	phatna	phat-na	praise-NMLZ
7559	khiatna	khiat-na	emerge-NMLZ
7560	cihnopna	cih-nop-na	say.II-want-NMLZ
7561	lupna	lup-na	bow.down-NMLZ
7562	mawkna	mawk-na	err-NMLZ
7563	hauhna	hauh-na	shout-NMLZ
7564	thugenna	thu-gen-na	word-speak-NMLZ
7565	nitumna	ni-tum-na	day-all-NMLZ
7568	kipte	kip-te	?-PL
7569	makaite	makai-te	leader-PL
7570	zite	zi-te	wife-PL
7571	hihte	hih-te	this-PL
7572	mizawngte	mi-zawng-te	person-all-PL
7573	siate	sia-te	bad-PL
7574	omlaite	om-lai-te	exist-midst-PL
7575	thupiaknate	thu-piak-na-te	word-give.to-NMLZ-PL
7578	pasian-te	pasian-te	god-PL
7579	inndei	inn-dei	family
7580	lonona	lo-no-na	disobedience
7581	puanbuk	puan-buk	tent
7582	lutang	lu-tang	pillow
7583	hotkhiatna	hot-khiat-na	salvation
7584	pawlpi	pawl-pi	group-big
7585	khawl	khawl	rest
7586	tungtawnin	tung-tawn-in	on-ever-ERG
7587	panun	pa-nun	father-?
7588	muang	muang	trust
7589	neu	neu	small
7590	ciangkhut	ciang-khut	then-hand
7591	mudah	mu-dah	see-?
7592	lakhia	lak-khia	take-exit
7593	awng	awng	open
7594	namtui	nam-tui	kind-water
7595	ciam	ciam	promise
7596	luang	luang	flow
7597	bawlsak	bawl-sak	make-CAUS
7598	amahmah	a-mah-mah	3SG-self-RED
7599	sawmsagih	sawm-sagih	ten-seven
7600	thuhilh	thu-hilh	word-teach
7601	thuhilhte	thu-hilh-te	word-teach-PL
7602	bawlsa	bawl-sa	make-PAST
7603	peuh	peuh	every
7604	zanih	zan-ih	night-NOM
7605	suksiat	suk-siat	CAUS-destroy
7606	khau	khau	rope
7607	tuute	tuu-te	grandchild-PL
7608	lua	lua	exceed
7611	kipte	kip-te	edge-PL
7612	lungkham	lung-kham	heart-anxious
7613	khuasung	khua-sung	town-inside
7614	kaikhawm	kai-khawm	call-gather
7615	thunuama	thu-nuam-a	word-want-LOC
7616	nopsakna	nop-sak-na	want-CAUS-NMLZ
7617	lametna	lam-et-na	way-?-NMLZ
7618	salin	sa-lin	meat-?
7619	vengte	veng-te	neighborhood-PL
7620	niloh	ni-loh	day-NEG
7621	kikoih	ki-koih	REFL-put
7622	sakolte	sakol-te	donkey-PL
7623	hing	hing	alive
7624	pana	pa-na	father-NMLZ
7625	lasakna	la-sak-na	take-CAUS-NMLZ
7626	thahna	thah-na	die-NMLZ
7627	omte	om-te	exist-PL
7628	zahtakna	zah-tak-na	fear-exact-NMLZ
7629	kiciamna	ki-ciam-na	REFL-promise-NMLZ
7630	maipha	mai-pha	face-good
7631	kangtum	kang-tum	?-all
7632	kungte	kung-te	trunk-PL
7633	alang	alang	side
7634	lampi-ah	lampi-ah	way-LOC
7635	pasalte	pasal-te	husband-PL
7636	hi-in	hi-in	be-ERG
7637	biakinn-ah	biakinn-ah	temple-LOC
7638	vekpi-un	vek-pi-un	all-big-PL.IMP
7639	nungzui	nung-zui	life-follow
7640	khatvei	khat-vei	one-time
7641	naungek	nau-ngek	child-small
7642	kongkhak	kong-khak	1SG→3-limit
7643	ciahpih	ciah-pih	return-APPL
7644	nuamtakin	nuam-tak-in	want-exact-ERG
7645	ciamsa	ciam-sa	promise-PAST
7646	thupiang	thu-piang	word-born
7647	suaktasak	suak-ta-sak	become-PFV-CAUS
7648	koi-ah	koi-ah	where-LOC
7649	nopna	nop-na	want-NMLZ
7650	vanglian	vang-lian	power-big
7651	hizaw	hi-zaw	be-more
7652	annek	an-nek	3PL-eat.II
7653	innkuante	inn-kuan-te	house-household-PL
7654	mawhsakna	mawh-sak-na	err-CAUS-NMLZ
7655	zuihna	zuih-na	follow.II-NMLZ
7656	vaihawm	vai-hawm	?-smell
7657	ciamteh	ciam-teh	promise-receive
7658	mu-in	mu-in	see-ERG
7659	omna-ah	omna-ah	exist.NMLZ-LOC
7660	nai-ah	nai-ah	near-LOC
7661	za-in	za-in	hear-ERG
7662	sawltakte	sawl-tak-te	send-exact-PL
7663	maizum	mai-zum	face-bow
7664	dahna	dah-na	put-NMLZ
7665	thuaksak	thuak-sak	suffer-CAUS
7666	maizumna	mai-zum-na	face-bow-NMLZ
7667	vasa	vasa	bird
7668	nilh	nilh	wipe
7669	khan	khan	generation
7670	sawmguk	sawm-guk	ten-six
7671	sanggamnu	sanggam-nu	sibling-female
7672	khuadak	khua-dak	town-near
7673	paktat	pak-tat	?-strike
7674	pak	pak	?
7675	khuam	khuam	darkness
7676	sap	sap	call/summon
7677	sal	sal	slave
7678	kan	kan	stay
7679	vai	vai	foreigner
7680	kumpi-in	kumpi-in	king-ERG
7681	keel	keel	?
7682	khuaneute	khua-neu-te	town-small-PL
7683	tuamtuamte	tuam-tuam-te	different-RED-PL
7684	gamh	gamh	land.II
7685	ing	ing	?
7688	gamlakah	gam-lak-ah	land-midst-LOC
7689	inla	in-la	ERG-and
7690	sunga	sung-a	inside-3SG
7691	tunga	tung-a	on-3SG
7692	ama	a-ma	3SG-self
7693	nau	nau	child
7694	aana	a-ana	3SG-child.PL
7695	pah	pah	do.so
7696	hileh	hi-leh	be-if
7697	unla	un-la	PL.IMP-and
7700	mai-ah	mai-ah	face-LOC
7701	khua-ah	khua-ah	town-LOC
7702	inn-ah	inn-ah	house-LOC
7703	pasal	pasal	husband
7704	pawlkhat	pawl-khat	some-one
7705	mihing	mi-hing	person-kind
7706	minamte	mi-nam-te	person-kind-PL
7707	nasep	na-sep	work
7708	suante	suan-te	offspring-PL
7709	namsau	nam-sau	long.hair
7710	nangawn	na-ngawn	2SG-own
7711	piang	piang	be.born
7712	hihna	hih-na	this-NMLZ
7713	lungdam	lung-dam	heart-well
7714	itna	it-na	love-NMLZ
7715	nungta	nung-ta	life-PFV
7716	uliante	ulian-te	elder-PL
7717	huh	huh	blow
7718	khuapite	khua-pi-te	town-big-PL
7719	lohna	loh-na	NEG-NMLZ
7720	kam	kam	word/mouth
7721	mual	mual	mountain
7722	sathau	sa-thau	fat
7723	tuipi	tui-pi	water-big
7724	hehna	heh-na	anger-NMLZ
7725	upna	up-na	believe-NMLZ
7726	nungzuite	nung-zui-te	life-follow-PL
7727	khawm	khawm	gather
7728	ciat	ciat	each
7729	dangte	dang-te	other-PL
7730	tate	ta-te	child-PL
7731	nate	na-te	2SG-PL
7732	kizui-in	ki-zui-in	REFL-follow-ERG
7733	la-in	la-in	take-ERG
7737	sumngo	sum-ngo	brass-iron
7738	leenggui	leeng-gui	grape-vine
7739	ling	ling	pile
7740	panun	pa-nun	father-life
7741	leenggah	leeng-gah	grape-cluster
7742	mudah	mu-dah	see-easy
7743	keel	keel	heel
7744	salin	sa-lin	meat-hope
7745	lametna	lam-et-na	path-example-NMLZ
7746	paktat	pak-tat	divide-strike
7747	pak	pak	divide
7748	thei-in	thei-in	know.I-ERG
7749	le-uhcin	le-uh-cin	also-PL-even
7751	zin	zin	journey
7752	sawh	sawh	correct
7753	kangtum	kang-tum	brass-all
7754	nisimin	ni-simin	day-always
7755	tuikhuk	tui-khuk	water-ladle
7756	late	la-te	song-PL
7757	mualtungah	mual-tung-ah	mountain-top-LOC
7758	kang	kang	suffer
7759	cil	cil	sprout
7760	lauhuai	lau-huai	fear-dread
7761	vaihawm	vai-hawm	plan-counsel
7762	lite	li-te	four-PL
7763	bawngtalte	bawng-tal-te	cow-calf-PL
7764	kahna	kah-na	fight-NMLZ
7765	neute	neu-te	small-PL
7766	tangvalpa	tangval-pa	youth-father
7767	khialhnate	khialh-na-te	sin-NMLZ-PL
7768	nuai-a	nuai-a	below-LOC
7769	kihei-in	ki-hei-in	REFL-angry-ERG
7770	zawlte	zawl-te	plain-PL
7771	tai-in	tai-in	flee-ERG
7772	lau-in	lau-in	fear-ERG
7773	nasepna-ah	na-sep-na-ah	work-NMLZ-LOC
7774	zingsangin	zing-sang-in	morning-early-ERG
7775	neihna	neih-na	have-NMLZ
7776	laksak	lak-sak	take-CAUS
7777	pian	pian	be.born
7778	lamdangte	lam-dang-te	way-other-PL
7779	pahtawina	pah-tawi-na	do-honor-NMLZ
7780	mualte	mual-te	mountain-PL
7781	mahmahna	mahmah-na	very-NMLZ
7782	egypt-ah	egypt-ah	EGYPT-LOC
7783	sumte	sum-te	money-PL
7784	hikeileh	hi-kei-leh	be-NEG.EMPH-if
7785	munte	mun-te	place-PL
7786	theite	thei-te	know.I-PL
7787	khawmin	khawm-in	gather-ERG
7788	siangthote	siangtho-te	holy-PL
7789	khitna	khit-na	after-NMLZ
7790	sau	sau	long
7791	midikte	mi-dik-te	person-straight-PL
7792	lungmuang	lung-muang	heart-still
7793	lunghimawh	lung-himawh	heart-fear
7794	bukna	buk-na	ambush-NMLZ
7795	gengen	gen-gen	speak-RED
7796	gengenin	gen-gen-in	speak-RED-ERG
7797	samsia	sam-sia	call-destroy
7798	lungdamsak	lung-dam-sak	heart-well-CAUS
7799	ante	an-te	3PL-PL
7800	tuni-a	tu-ni-a	now-day-LOC
7801	biakpiaknate	biak-piak-na-te	worship-give-NMLZ-PL
7803	pianzia	pian-zia	birth-manner
7807	leenggah	leeng-gah	grape-fruit
7810	kumpinu	kumpi-nu	king-mother
7811	nupi	nu-pi	mother-big
7812	ihmu	ih-mu	1PL-see
7813	guh	guh	shout
7814	ing	ing	be.able
7815	zasak	za-sak	hear-CAUS
7816	biakinnpi	biakinn-pi	temple-big
7817	siampipuan	siampi-puan	priest-cloth
7818	thusia	thu-sia	word-evil
7819	savun	sa-vun	meat-fur
7820	thupiaksa	thu-piak-sa	word-give-PL.POSS
7821	gamtatnasa	gamtat-na-sa	kingdom-NMLZ-PL.POSS
7822	nasepnate	nasepna-te	work.NMLZ-PL
7823	puanhampi	puan-ham-pi	cloth-cover-big
7824	sawt	sawt	long.time
7825	zawng	zawng	all
7826	nun	nun	life
7827	piaksa	piak-sa	give-PL.POSS
7828	gamlapi	gam-la-pi	land-take-big
7829	ahihlam	a-hih-lam	3SG-be-way
7830	thukkik	thuk-kik	deep-again
7831	bawlsia	bawl-sia	make-evil
7832	nuai	nuai	below
7833	zai	zai	song
7834	nawk	nawk	again
7835	theisak	thei-sak	know.I-CAUS
7836	ngaihno	ngaih-no	love-INT
7837	ciangun	ciang-un	then-PL.IMP
7838	nail	nail	always
7839	zasagih	za-sagih	hundred-seven
7840	at	at	cut
7841	pahtawi	pah-tawi	do-honor
7842	nunung	nu-nung	mother-back
7843	behlap	beh-lap	tribe-half
7844	palsat	pal-sat	wall-strike
7845	gensak	gen-sak	speak-CAUS
7846	kai	kai	ascend
7847	puantualpi	puan-tual-pi	cloth-generation-big
7848	thutak	thu-tak	word-true
7851	letmat	let-mat	half-cubit
7852	thuciam	thu-ciam	word-promise
7853	thumin	thu-min	three
7854	kongkhakte	kongkha-te	door-PL
7855	pawlte	pawl-te	group-PL
7856	paikhawm	pai-khawm	go-together
7857	cisak	ci-sak	say-CAUS
7858	beelte	beel-te	pan-PL
7859	kauphe	kauphe	locust
7860	kisapna	ki-sap-na	REFL-call-NMLZ
7861	gamtain	gamta-in	send.away-ERG
7864	le-uh	le-uh	and-PL.IMP
7865	leuh	le-uh	and-PL.IMP
7866	itte	it-te	love-PL
7867	vante	van-te	sky-PL
7868	khakte	khak-te	offspring-PL
7869	khuasunga	khua-sunga	town-inside
7870	tuidawn	tui-dawn	water-fetch
7871	theithei	thei~thei	know.I~RED
7872	singte	sing-te	tree-PL
7873	lungnuam	lung-nuam	heart-pleased
7874	khiate	khia-te	exit-PL
7875	lakhia	la-khia	take-out
7876	lakhia-in	la-khia-in	take-out-ERG
7877	luanna	luan-na	flow-NMLZ
7878	singkungte	singkung-te	tree-PL
7879	honpi	hon-pi	flock-big
7882	dawng	dawng	get/receive
7883	dawngin	dawng-in	get/receive-ERG
7884	langkhatah	lang-khat-ah	side-one-LOC
7885	langpangin	lang-pang-in	side-near-ERG
7886	langpang	lang-pang	side-near
7887	langkhat	lang-khat	side-one
7888	singlamteh	sing-lam-teh	wood-cross
7889	singkuang	sing-kuang	wood-box
7892	siangthosak	siangtho-sak	holy-CAUS
7893	piansak	pian-sak	create-CAUS
7894	lausak	lau-sak	fear-CAUS
7895	galkidona	gal-kido-na	enemy-fight-NMLZ
7896	genkhol	gen-khol	speak-INTENS
7897	ciahsak	ciah-sak	return-CAUS
7898	genkhia	gen-khia	speak-EXIT
7899	theihsa	theih-sa	know.II-PERF
