word	entries
lua	L7608:lua=exceed; L10343:lua=excessive
khuasung	L7614:khua-sung=town-inside; L12906:khua-sung=village-inside
kungte	L7633:kung-te=trunk-PL; L13541:kung-te=tree-PL
nungzui	L7640:nung-zui=life-follow; L13203:nung-zui=back-follow
naungek	L7642:nau-ngek=child-small; L13178:nau-ngek=child-birth
innkuante	L7654:inn-kuan-te=house-household-PL; L13798:inn-kuan-te=house-family-PL
mawhsakna	L7655:mawh-sak-na=err-CAUS-NMLZ; L9903:mawh-sak-na=sin-CAUS-NMLZ
zuihna	L7656:zuih-na=follow.II-NMLZ; L12886:zuih-na=turn-NMLZ
nilh	L7669:nilh=wipe; L10033:nilh=anoint
khuaneute	L7683:khua-neu-te=town-small-PL; L12824:khua-neu-te=village-small-PL
tuamtuamte	L7684:tuam-tuam-te=different-RED-PL; L13183:tuam-tuam-te=divers-REDUP-PL; L13458:tuam-tuam-te=kind-REDUP-PL; L13839:tuam-tuam-te=various-REDUP-PL
gamh	L7685:gamh=land.II; L9837:gamh=inheritance
pah	L7696:pah=do.so; L10015:pah=clear
minamte	L7708:mi-nam-te=person-kind-PL; L9175:mi-nam-te=person-tribe-PL
suante	L7710:suan-te=offspring-PL; L13528:suan-te=descendant-PL
hihna	L7714:hih-na=this-NMLZ; L13440:hih-na=be-NMLZ
huh	L7719:huh=blow; L9733:huh=help; L10227:huh=help
kam	L7722:kam=word/mouth; L9721:kam=word
nungzuite	L7728:nung-zui-te=life-follow-PL; L13189:nung-zui-te=back-follow-PL
khawm	L7729:khawm=gather; L10133:khawm=together; L15065:khawm=mingled
le-uhcin	L7751:le-uh-cin=also-PL-even; L10875:le-uh-cin=and-PL-COND
zin	L7753:zin=journey; L9705:zin=sojourner
kang	L7760:kang=suffer; L9673:kang=gray; L10311:kang=pillar
cil	L7761:cil=sprout; L9685:cil=beginning; L10694:cil=piece
lite	L7764:li-te=four-PL; L13106:li-te=four-PL; L13520:li-te=river-PL
pahtawina	L7781:pah-tawi-na=do-honor-NMLZ; L13446:pah-tawi-na=feast-sorrow-NMLZ
munte	L7787:mun-te=place-PL; L12821:mun-te=spot-PL
theite	L7788:thei-te=know.I-PL; L13177:thei-te=fruit-PL
kumpinu	L7812:kumpi-nu=king-mother; L11314:kumpi-nu=king-female
sawt	L7826:sawt=long.time; L10044:sawt=long
zawng	L7827:zawng=all; L9825:zawng=poor; L10037:zawng=lack
nun	L7828:nun=life; L9693:nun=knop
gamlapi	L7830:gam-la-pi=land-take-big; L12960:gam-la-pi=land-field-great
nuai	L7834:nuai=below; L10648:nuai=under
zai	L7835:zai=song; L10485:zai=thing
nawk	L7836:nawk=again; L10003:nawk=overtake
ngaihno	L7838:ngaih-no=love-INT; L7933:ngaih-no=think-lovingly
pahtawi	L7843:pah-tawi=do-honor; L14734:pah-tawi=honor-carry
kai	L7848:kai=ascend; L10321:kai=dig
beisak	L7907:bei-sak=end-CAUS; L11732:bei-sak=finish-CAUS
bawngnawi	L7912:bawng-nawi=cow-butter; L13434:bawng-nawi=cow-meat; L13881:bawng-nawi=cattle-bull
khangham	L7915:khang-ham=generation-full; L13187:khang-ham=generation-old
honpite	L7929:hon-pi-te=flock-big-PL; L11330:hon-pi-te=many-big-PL
pawlpite	L7936:pawl-pi-te=group-big-PL; L13190:pawl-pi-te=group-great-PL
keng	L8027:keng=only; L10797:keng=tree
thukimpih	L8050:thu-kim-pih=word-keep-APPL; L15146:thu-kim-pih=word-complete-APPL
khangto	L8065:khang-to=generation-sit; L12877:khang-to=prevail-up
kal	L8072:kal=liver; L9695:kal=kidney; L10633:kal=middle
nazatte	L8126:na-zat-te=2SG-hear-PL; L13193:na-zat-te=2SG-work-PL
nazat	L8127:na-zat=2SG-hear; L13209:na-zat=hand-work
sil	L8130:sil=flesh/body; L10614:sil=wash
zahko	L8160:zah-ko=despise-curse; L9953:zah-ko=shame-have; L12869:zah-ko=gather-grapes
mul	L8164:mul=hair; L10130:mul=full
val	L8171:val=go.quickly; L10186:val=pour; L10768:val=basket
muk	L8174:muk=kiss; L9747:muk=lip
sukham	L8235:su-kham=touch-reach; L10046:su-kham=make-grind
cithei	L8237:ci-thei=say-able; L12832:ci-thei=eye-evil
cianga	L8247:ci-ang-a=say-FUT-NOM; L8328:ci-ang-a=say-FUT-LOC
kigenna	L8275:ki-gen-na=REFL-explain-NMLZ; L14503:ki-gen-na=REFL-speak-NMLZ
zal	L8288:zal=spread; L10100:zal=shake
ip	L8289:ip=cover; L10410:ip=hold; L15222:ip=sack
khop	L8305:khop=enough; L10408:khop=join
khauhual	L8306:khau-hual=cord-bracelet; L8333:khau-hual=string-bracelet
zanglei	L8339:zang-lei=use-buy; L12812:zang-lei=east-field
thahatte	L8343:tha-hat-te=strength-hard-PL; L12577:tha-hat-te=strength-strong-PL; L13496:tha-hat-te=strength-strong-PL
kaih	L8405:kaih=pull/lead; L10126:kaih=loosen
puansilh	L8460:puan-silh=cloth-wrap; L9938:puan-silh=cloth-wear
keek	L8467:keek=fire/lightning; L10455:keek=ITER
gukte	L8470:guk-te=almond-PL; L13105:guk-te=bowl-PL; L13518:guk-te=lice-PL
nem	L8492:nem=soft; L10803:nem=comfort
gamtatsia	L8504:gamtat-sia=kingdom-bad; L11593:gamtat-sia=deed-evil
dingto	L8529:ding-to=stand-sit; L12888:ding-to=stand-up
gentel	L8574:gen-tel=speak-help; L11603:gen-tel=speak-understand
mut	L8589:mut=see.I.SHORT; L10095:mut=blow; L11743:mut=blow
luh	L8608:luh=head/enter; L10000:luh=smite
numeino	L8629:numei-no=woman-young; L11316:numei-no=woman-DIM
khapna	L8704:khap-na=forbid-NMLZ; L12884:khap-na=pledge-NMLZ
hauh	L8734:hauh=rich.PL; L10390:hauh=grasp
khawi	L8782:khawi=where; L9917:khawi=flock
cinatna	L8883:ci-nat-na=say-sick-NMLZ; L10979:ci-nat-na=become-sick-NMLZ
puankhai	L8893:puan-khai=cloth-lift; L9976:puan-khai=cloth-hang
cilna	L8902:cil-na=begin-NMLZ; L12887:cil-na=command-NMLZ; L13900:cil-na=thresh-NMLZ
phuh	L8907:phuh=blow; L10065:phuh=rest
bawlsiate	L9004:bawl-sia-te=make-bad-PL; L11315:bawl-sia-te=do-evil-PL
tem	L9070:tem=short; L10799:tem=fire
buhlom	L9072:buh-lom=rice-heap; L14492:buh-lom=rice-bundle
golpi	L9077:gol-pi=round-big; L15219:gol-pi=grow-big
ngia	L9082:ngia=watch; L9789:ngia=field
mak	L9129:mak=mark; L10223:mak=divorce
than	L9132:than=charcoal; L9775:than=worm
satpa	L9155:sat-pa=build-father; L13195:sat-pa=smite-NMLZ; L13215:sat-pa=smite-NMLZ
satpuk	L9187:sat-puk=strike-fall; L11565:sat-puk=strike-down
dawk	L9227:dawk=open; L10810:dawk=bind
lawp	L9235:lawp=lap; L10580:lawp=shake
dip	L9236:dip=valley; L15987:dip=dip
tanglai	L9246:tang-lai=generation-middle; L12875:tang-lai=ancient-NMLZ
khawk	L9268:khawk=hollow/empty; L9717:khawk=spirit
ton	L9415:ton=arrive; L10011:ton=stable
hut	L9445:hut=shelter; L10367:hut=arm
thun	L9566:thun=entreat; L10683:thun=press
mante	L9579:man-te=true-PL; L13572:man-te=price-PL
niam	L9583:niam=lowly; L10154:niam=bow; L11730:niam=low
anlate	L9655:an-la-te=3PL-take-PL; L13272:an-la-te=3PL-take-PL; L13807:an-la-te=PL-take-PL
beng	L9723:beng=companion; L10363:beng=hunt
tawm	L9743:tawm=produce; L10516:tawm=by
lel	L9773:lel=desperate; L10457:lel=change
do	L9777:do=rise; L10578:do=throw
ek	L9847:ek=dung; L10687:ek=sneeze
seel	L9860:seel=hide; L10338:seel=cover; L11627:seel=hide
hangte	L9861:hang-te=stallion-PL; L13539:hang-te=reason-PL
hual	L9924:hual=wave; L10334:hual=bind
sawmsimna	L9950:sawmsim-na=conspiracy-NMLZ; L11544:sawmsim-na=conspire-NMLZ
lungzin	L9955:lung-zin=heart-shadow; L13186:lung-zin=heart-bright
phial	L9995:phial=flash; L10825:phial=morning
gawp	L10004:gawp=all; L10422:gawp=break; L11599:gawp=trample
teng	L10008:teng=remain; L10332:teng=basket
cin	L10048:cin=plant; L10715:cin=tend
taang	L10063:taang=beautiful; L10285:taang=time
nam	L10138:nam=nation; L10721:nam=kiss
teek	L10147:teek=master; L10560:teek=in.law
peek	L10164:peek=breadth; L10685:peek=spread
ngat	L10178:ngat=opposite; L10781:ngat=time
tuan	L10210:tuan=ride; L10693:tuan=cut
bawlpha	L10249:bawl-pha=make-good; L12889:bawl-pha=fortify-strong
mipi	L10252:mi-pi=person-great; L13827:mi-pi=person-big
zuauna	L10287:zuau-na=lie-NMLZ; L14445:zuau-na=vain-NMLZ
liah	L10381:liah=circuit; L11552:liah=lick/dwell
hot	L10391:hot=steer; L15887:hot=save
buppi	L10448:bup-pi=all-big; L10866:bup-pi=all-great
haksapi	L10572:hak-sa-pi=heavy-flesh-great; L12556:hak-sa-pi=difficult-PAST-great
liim	L10600:liim=wing; L13243:liim=shadow
hei	L10626:hei=path; L11577:hei=mock
maang	L10756:maang=vision; L15814:maang=dim
kisukha	L10864:ki-suk-ha=REFL-pollute-CAUS; L13108:ki-suk-ha=REFL-defile-already; L13467:ki-suk-ha=REFL-move-PERF; L13547:ki-suk-ha=REFL-move-out
dahlua	L10872:dah-lua=weep-exceed; L12551:dah-lua=grieve-too
nawhsa	L10889:nawh-sa=hurry-CAUS; L12822:nawh-sa=unleavened-PAST
zumhuaipi	L10920:zum-huai-pi=filth-bad-great; L12555:zum-huai-pi=unclean-mix-great
mongte	L10946:mong-te=end-PL; L13107:mong-te=end-PL; L13523:mong-te=throat-PL
hawmpi	L11012:hawm-pi=arrange-great; L13453:hawm-pi=join-big
khekna	L11084:khek-na=fail-NMLZ; L12557:khek-na=fail-NMLZ; L13464:khek-na=give.in-NMLZ
honsa	L11093:hon-sa=flock-CAUS; L12879:hon-sa=open-PAST
zumhuaina	L11103:zum-huai-na=filth-bad-NMLZ; L14181:zum-huai-na=trust-full-NMLZ
zanthapai	L11111:zan-tha-pai=night-new-go; L12892:zan-tha-pai=night-weary-appoint
lingsa	L11207:ling-sa=fear-CAUS; L12868:ling-sa=tremble-PAST
pilzaw	L11222:pil-zaw=wise-COMP; L13452:pil-zaw=wise-more
sinna	L11233:sin-na=sin-NMLZ; L12907:sin-na=prepare-NMLZ
mualbo	L11238:mual-bo=see-round; L13448:mual-bo=hill-tower
thulamlak	L11538:thu-lamlak=word-crooked; L15149:thu-lamlak=word-advisor
koihpa	L11722:koih-pa=place-NMLZ.M; L13192:koih-pa=set-NMLZ; L13208:koih-pa=put-NMLZ
khenkhit	L11808:khen-khit=condemn-finish; L14543:khen-khit=condemn-away
dingpi	L12099:ding-pi=stand-great; L13450:ding-pi=stand-big
nip	L12131:nip=rotten; L15902:nip=pinch
tawnna	L12151:tawn-na=reproof-NMLZ; L14501:tawn-na=meet-NMLZ
golpite	L12395:gol-pi-te=whale-great-PL; L15220:gol-pi-te=grow-big-PL
behpa	L12407:beh-pa=arm-NMLZ; L13219:beh-pa=capture-NMLZ
tupa	L12614:tu-pa=son-NMLZ; L13498:tu-pa=grandson-M
phakpa	L12796:phak-pa=bare-NMLZ; L13526:phak-pa=able-M
dengzan	L12849:deng-zan=rod-iron; L13549:deng-zan=cut-break
tawsak	L12854:taw-sak=weary-CAUS; L13551:taw-sak=blind-CAUS
kizem	L12908:ki-zem=REFL-twine; L13235:ki-zem=REFL-weave
semsemna	L13071:sem-sem-na=hate-REDUP-NMLZ; L13222:sem-sem-na=divide-REDUP-NMLZ
thahatpa	L13099:tha-hat-pa=strength-strong-NMLZ; L13509:tha-hat-pa=strength-strong-M
kopte	L13104:kop-te=knop-PL; L13516:kop-te=frog-PL
sisate	L13175:si-sa-te=blood-PAST-PL; L13841:si-sa-te=unclean-PAST-PL
innsun	L13370:inn-sun=house-side; L15204:inn-sun=house-shade
nitak-an	L13880:ni-tak-an=day-true-time; L13912:ni-tak-an=sun-set-time
masala	L15237:masala=cummin; L15837:masala=fitches
