word	freq	segmented	gloss
tuazawh	7	tuazawh	?
berea	7	berea	?
menzipa	7	menzipa	?
kidawk	6	kidawk	?
meiilum	6	meiilum	?
goiim	6	goiim	?
phelnih	6	phelnih	?
hut	6	hut	?
makpelah	6	makpelah	?
shuah	6	shuah	?
bengin	6	bengin	?
thalawhsa	6	thalawhsa	?
huk	6	huk	?
kihing	6	kihing	?
hawkkhiatsak	6	hawkkhiatsak	?
ginat	6	ginat	?
shimron	6	shimron	?
bekher	6	bekher	?
lopipi	6	lopipi	?
khing	6	khing	?
leisa	6	leisa	?
elim	6	elim	?
puksisak	6	puksisak	?
kilaak	6	kilaak	?
simsiam	6	simsiam	?
beka	6	beka	?
daii	6	daii	?
kigawh	6	kigawh	?
kipiasa	6	kipiasa	?
kima	6	kima	?
sutan	6	sutan	?
suahkhiat	6	suahkhiat	?
dunga	6	dunga	?
simzo	6	simzo	?
kiguan	6	kiguan	?
kihut	6	kihut	?
kiriathaim	6	kiriathaim	?
kisuksiat	6	kisuksiat	?
them	6	them	?
pet	6	pet	?
betharabah	6	betharabah	?
kishon	6	kishon	?
kiphuk	6	kiphuk	?
zeeb	6	zeeb	?
hehsa	6	hehsa	?
etam	6	etam	?
pelem	6	pelem	?
elimelek	6	elimelek	?
lohbuang	6	lohbuang	?
kizuih	6	kizuih	?
kithuah	6	kithuah	?
langtuakah	6	langtuakah	?
zozaw	6	zozaw	?
geivial	6	geivial	?
eh	6	eh	?
kiphelkhamin	6	kiphelkhamin	?
mapai	6	mapai	?
leikang	6	leikang	?
shammai	6	shammai	?
hagri	6	hagri	?
kipakta	6	kipakta	?
suangkang	6	suangkang	?
silsiang	6	silsiang	?
guallelin	6	guallelin	?
suangphah	6	suangphah	?
manlah	6	manlah	?
kigensa	6	kigensa	?
phawkkhia	6	phawkkhia	?
kihisakin	6	kihisakin	?
kigin	6	kigin	?
buai	6	buai	?
simang	6	simang	?
kiphat	6	kiphat	?
themthum	6	themthum	?
kisumit	6	kisumit	?
gakcip	6	gakcip	?
kikaikhia	6	kikaikhia	?
kisuksiatsak	6	kisuksiatsak	?
husia	6	husia	?
hetkei	6	hetkei	?
kiliah	6	kiliah	?
tumtheih	6	tumtheih	?
dimletin	6	dimletin	?
thangsiah	6	thangsiah	?
peka	6	peka	?
kigengen	6	kigengen	?
sibup	6	sibup	?
maban	6	maban	?
kikai	6	kikai	?
zen	6	zen	?
leihoih	6	leihoih	?
siacip	6	siacip	?
taisim	6	taisim	?
thebes	6	thebes	?
kineihin	6	kineihin	?
hauhlawh	6	hauhlawh	?
hot	6	hot	?
simun	6	simun	?
tunuam	6	tunuam	?
uploh	6	uploh	?
bulkip	6	bulkip	?
thongcing	6	thongcing	?
khetul	5	khetul	?
raamah	5	raamah	?
ganhon	5	ganhon	?
kinengniam	5	kinengniam	?
kilei	5	kilei	?
tuzawh	5	tuzawh	?
kisuang	5	kisuang	?
buz	5	buz	?
kibehlaplap	5	kibehlaplap	?
tawhsa	5	tawhsa	?
thallawng	5	thallawng	?
beng	5	beng	?
dongkik	5	dongkik	?
thalawh	5	thalawh	?
lahsa	5	lahsa	?
thagui	5	thagui	?
tenkhop	5	tenkhop	?
eder	5	eder	?
on	5	on	?
guni	5	guni	?
rameses	5	rameses	?
kiciangtan	5	kiciangtan	?
mawlpih	5	mawlpih	?
takun	5	takun	?
phawkzo	5	phawkzo	?
thokang	5	thokang	?
denggawp	5	denggawp	?
kungno	5	kungno	?
kot	5	kot	?
marah	5	marah	?
massah	5	massah	?
kingen	5	kingen	?
honsa	5	honsa	?
sui	5	sui	?
kimciang	5	kimciang	?
kikhaisuk	5	kikhaisuk	?
kisuzan	5	kisuzan	?
kigal	5	kigal	?
tuazah	5	tuazah	?
khetphim	5	khetphim	?
bot	5	bot	?
beelpei	5	beelpei	?
elizafan	5	elizafan	?
meikangma	5	meikangma	?
suahkik	5	suahkik	?
kiten	5	kiten	?
kiphatsakpih	5	kiphatsakpih	?
shedeur	5	shedeur	?
elizur	5	elizur	?
zurishaddai	5	zurishaddai	?
shelumiel	5	shelumiel	?
zuar	5	zuar	?
helon	5	helon	?
pedahzur	5	pedahzur	?
gideoni	5	gideoni	?
okran	5	okran	?
kisukha	5	kisukha	?
kitah	5	kitah	?
gawi	5	gawi	?
shammua	5	shammua	?
gupha	5	gupha	?
thoto	5	thoto	?
shittim	5	shittim	?
mahlah	5	mahlah	?
sibmah	5	sibmah	?
kikhung	5	kikhung	?
elath	5	elath	?
tamasak	5	tamasak	?
momai	5	momai	?
hotkhiatsa	5	hotkhiatsa	?
gisuang	5	gisuang	?
khung	5	khung	?
taikeek	5	taikeek	?
guallelsak	5	guallelsak	?
zunglot	5	zunglot	?
lamkal	5	lamkal	?
jafia	5	jafia	?
gebal	5	gebal	?
lengkhia	5	lengkhia	?
lazo	5	lazo	?
eshtemoa	5	eshtemoa	?
kidawng	5	kidawng	?
kihu	5	kihu	?
meilah	5	meilah	?
ngetnop	5	ngetnop	?
hanthot	5	hanthot	?
lehi	5	lehi	?
thaneih	5	thaneih	?
kihanthawnin	5	kihanthawnin	?
kilehhei	5	kilehhei	?
phial	5	phial	?
limcipen	5	limcipen	?
teello	5	teello	?
suangtang	5	suangtang	?
doeg	5	doeg	?
tawngnung	5	tawngnung	?
mansuah	5	mansuah	?
kingam	5	kingam	?
kilok	5	kilok	?
lohlam	5	lohlam	?
khezaw	5	khezaw	?
uzzah	5	uzzah	?
suntangpi	5	suntangpi	?
gukhia	5	gukhia	?
kilawnsuk	5	kilawnsuk	?
kilokgawp	5	kilokgawp	?
harar	5	harar	?
helez	5	helez	?
kizong	5	kizong	?
teelkhiat	5	teelkhiat	?
kipiatawm	5	kipiatawm	?
kilawmzaw	5	kilawmzaw	?
zeizai	5	zeizai	?
puksuk	5	puksuk	?
urijah	5	urijah	?
zun	5	zun	?
shimea	5	shimea	?
sheshan	5	sheshan	?
hodaviah	5	hodaviah	?
meunim	5	meunim	?
jehozadak	5	jehozadak	?
hasshub	5	hasshub	?
hakkoz	5	hakkoz	?
kizat	5	kizat	?
kigelhsa	5	kigelhsa	?
golhguk	5	golhguk	?
joiarib	5	joiarib	?
hammedatha	5	hammedatha	?
tukik	5	tukik	?
phatuam	5	phatuam	?
phukha	5	phukha	?
singteh	5	singteh	?
kiphawkkha	5	kiphawkkha	?
kithun	5	kithun	?
laikung	5	laikung	?
phuan	5	phuan	?
kithuhilh	5	kithuhilh	?
sekpi	5	sekpi	?
huihnung	5	huihnung	?
thaksuak	5	thaksuak	?
taksing	5	taksing	?
silesa	5	silesa	?
bekun	5	bekun	?
tangtawng	5	tangtawng	?
tup	5	tup	?
mawhmaisak	5	mawhmaisak	?
piciang	5	piciang	?
hauhnop	5	hauhnop	?
kiphattawm	5	kiphattawm	?
singno	5	singno	?
kiheek	5	kiheek	?
peeng	5	peeng	?
suangngo	5	suangngo	?
laidal	5	laidal	?
bupun	5	bupun	?
gahpha	5	gahpha	?
kilkel	5	kilkel	?
gip	5	gip	?
lipkhap	5	lipkhap	?
kiphal	5	kiphal	?
oholah	5	oholah	?
dozo	5	dozo	?
gabriel	5	gabriel	?
lawptakin	5	lawptakin	?
lawki	5	lawki	?
gitta	5	gitta	?
lonei	5	lonei	?
kiakhawm	5	kiakhawm	?
tamveipi	5	tamveipi	?
kimtakin	5	kimtakin	?
tuukulh	5	tuukulh	?
holhthawh	5	holhthawh	?
derbe	5	derbe	?
hawhkik	5	hawhkik	?
kithutuak	5	kithutuak	?
kimuthei	5	kimuthei	?
sutpi	5	sutpi	?
singnai	4	singnai	?
ul	4	ul	?
eve	4	eve	?
kithukkik	4	kithukkik	?
kisunin	4	kisunin	?
kisiagawp	4	kisiagawp	?
kultal	4	kultal	?
kiphiatkhia	4	kiphiatkhia	?
gi	4	gi	?
guaktang	4	guaktang	?
rehoboth	4	rehoboth	?
kizelthang	4	kizelthang	?
zohar	4	zohar	?
kilui	4	kilui	?
jokshan	4	jokshan	?
efer	4	efer	?
daih	4	daih	?
kigu	4	kigu	?
lapi	4	lapi	?
el	4	el	?
moman	4	moman	?
jalam	4	jalam	?
manahath	4	manahath	?
onam	4	onam	?
husham	4	husham	?
mehetabel	4	mehetabel	?
mangman	4	mangman	?
teekpa	4	teekpa	?
huanpipa	4	huanpipa	?
gawng	4	gawng	?
buhvui	4	buhvui	?
khitlam	4	khitlam	?
oksak	4	oksak	?
dahlua	4	dahlua	?
hamul	4	hamul	?
hushim	4	hushim	?
jezer	4	jezer	?
tumpihin	4	tumpihin	?
gawl	4	gawl	?
sul	4	sul	?
hankuang	4	hankuang	?
mapi	4	mapi	?
etham	4	etham	?
pihahiroth	4	pihahiroth	?
kikhinin	4	kikhinin	?
haknaw	4	haknaw	?
lawnkhak	4	lawnkhak	?
seelsim	4	seelsim	?
thozo	4	thozo	?
kigamta	4	kigamta	?
phih	4	phih	?
khuituah	4	khuituah	?
kuak	4	kuak	?
beryl	4	beryl	?
siik	4	siik	?
sianthosak	4	sianthosak	?
pheng	4	pheng	?
tawmzaw	4	tawmzaw	?
guat	4	guat	?
liimsun	4	liimsun	?
kizen	4	kizen	?
kigalsai	4	kigalsai	?
kihuan	4	kihuan	?
heek	4	heek	?
kiciamnasa	4	kiciamnasa	?
kilah	4	kilah	?
phukhia	4	phukhia	?
noptuam	4	noptuam	?
talkolh	4	talkolh	?
phakpa	4	phakpa	?
kikhakcip	4	kikhakcip	?
zuthawl	4	zuthawl	?
kitankhia	4	kitankhia	?
siantho	4	siantho	?
leipa	4	leipa	?
kitanh	4	kitanh	?
kisusiamang	4	kisusiamang	?
deuel	4	deuel	?
sialamin	4	sialamin	?
teep	4	teep	?
kipumsil	4	kipumsil	?
phuala	4	phuala	?
oboth	4	oboth	?
zered	4	zered	?
phul	4	phul	?
tangten	4	tangten	?
jashub	4	jashub	?
shemida	4	shemida	?
hoglah	4	hoglah	?
sungtum	4	sungtum	?
rekem	4	rekem	?
havvothjair	4	havvothjair	?
bethjeshimoth	4	bethjeshimoth	?
hazarenan	4	hazarenan	?
khinnereth	4	khinnereth	?
senir	4	senir	?
bethpeor	4	bethpeor	?
huihlaka	4	huihlaka	?
golan	4	golan	?
thahatzaw	4	thahatzaw	?
kiciamsa	4	kiciamsa	?
gawizan	4	gawizan	?
gerizim	4	gerizim	?
heitang	4	heitang	?
mangsa	4	mangsa	?
op	4	op	?
phiatkhiat	4	phiatkhiat	?
sungnu	4	sungnu	?
kisugawp	4	kisugawp	?
singlesuang	4	singlesuang	?
lahkhiat	4	lahkhiat	?
lompi	4	lompi	?
khefirah	4	khefirah	?
kiciamzo	4	kiciamzo	?
khinmang	4	khinmang	?
dor	4	dor	?
mefaath	4	mefaath	?
kiriathsefer	4	kiriathsefer	?
moladah	4	moladah	?
hazarshual	4	hazarshual	?
sokoh	4	sokoh	?
gederah	4	gederah	?
shamir	4	shamir	?
jattir	4	jattir	?
bethzur	4	bethzur	?
jaflet	4	jaflet	?
gathrimmon	4	gathrimmon	?
bezer	4	bezer	?
gaash	4	gaash	?
kuansuk	4	kuansuk	?
harod	4	harod	?
kisatgawp	4	kisatgawp	?
kuikek	4	kuikek	?
tasel	4	tasel	?
hawksan	4	hawksan	?
thalkhau	4	thalkhau	?
kimawl	4	kimawl	?
mahlon	4	mahlon	?
efrathah	4	efrathah	?
liimnuai	4	liimnuai	?
haih	4	haih	?
peninnah	4	peninnah	?
beelpi	4	beelpi	?
galphual	4	galphual	?
uilut	4	uilut	?
jeshanah	4	jeshanah	?
utun	4	utun	?
merab	4	merab	?
tumsiam	4	tumsiam	?
tuucin	4	tuucin	?
pelhthei	4	pelhthei	?
kikup	4	kikup	?
kinamin	4	kinamin	?
taangkhiasak	4	taangkhiasak	?
horesh	4	horesh	?
jeshimon	4	jeshimon	?
kinawhin	4	kinawhin	?
gimlua	4	gimlua	?
kikekin	4	kikekin	?
rizpah	4	rizpah	?
shobab	4	shobab	?
eliada	4	eliada	?
kheging	4	kheging	?
lodebar	4	lodebar	?
shimeah	4	shimeah	?
tulaka	4	tulaka	?
khimham	4	khimham	?
sibbekai	4	sibbekai	?
elhanan	4	elhanan	?
gel	4	gel	?
soko	4	soko	?
khungin	4	khungin	?
kizal	4	kizal	?
kue	4	kue	?
phelkham	4	phelkham	?
jehozabad	4	jehozabad	?
kipsuak	4	kipsuak	?
lampha	4	lampha	?
shebnah	4	shebnah	?
peisan	4	peisan	?
jaazaniah	4	jaazaniah	?
eleasah	4	eleasah	?
jabez	4	jabez	?
reaiah	4	reaiah	?
shimri	4	shimri	?
zerahiah	4	zerahiah	?
uriel	4	uriel	?
ulam	4	ulam	?
lod	4	lod	?
meribbaal	4	meribbaal	?
meshelemiah	4	meshelemiah	?
shemariah	4	shemariah	?
dimlet	4	dimlet	?
shemiramoth	4	shemiramoth	?
rehabiah	4	rehabiah	?
pethahiah	4	pethahiah	?
kisi	4	kisi	?
lamdangpi	4	lamdangpi	?
ofel	4	ofel	?
sheshbazzar	4	sheshbazzar	?
giddel	4	giddel	?
diam	4	diam	?
henadad	4	henadad	?
menzipipa	4	menzipipa	?
shimshai	4	shimshai	?
shetharbozenai	4	shetharbozenai	?
sehkhol	4	sehkhol	?
guahzuk	4	guahzuk	?
geshem	4	geshem	?
joiada	4	joiada	?
langtangin	4	langtangin	?
kisingkhia	4	kisingkhia	?
tawldam	4	tawldam	?
joiakim	4	joiakim	?
lampai	4	lampai	?
hegai	4	hegai	?
zeresh	4	zeresh	?
zofar	4	zofar	?
mancip	4	mancip	?
kihtaktak	4	kihtaktak	?
sucip	4	sucip	?
phiatkhiatsak	4	phiatkhiatsak	?
khinkhian	4	khinkhian	?
ngingei	4	ngingei	?
kinkhia	4	kinkhia	?
puklawh	4	puklawh	?
sinsen	4	sinsen	?
pumtangin	4	pumtangin	?
zumhuaipi	4	zumhuaipi	?
peekpi	4	peekpi	?
dom	4	dom	?
gialhek	4	gialhek	?
vutlevai	4	vutlevai	?
kipaaksak	4	kipaaksak	?
beba	4	beba	?
lok	4	lok	?
gingpha	4	gingpha	?
phatkik	4	phatkik	?
thalpi	4	thalpi	?
kigual	4	kigual	?
deudau	4	deudau	?
kituancil	4	kituancil	?
themkha	4	themkha	?
teelpa	4	teelpa	?
kibulhin	4	kibulhin	?
kikhawlpa	4	kikhawlpa	?
telzaw	4	telzaw	?
kisui	4	kisui	?
pukkha	4	pukkha	?
lamka	4	lamka	?
mapekin	4	mapekin	?
koici	4	koici	?
kitheikim	4	kitheikim	?
phop	4	phop	?
piikpeek	4	piikpeek	?
kitawito	4	kitawito	?
leltak	4	leltak	?
ngo	4	ngo	?
suahtakzo	4	suahtakzo	?
kihanthawn	4	kihanthawn	?
ngimnasa	4	ngimnasa	?
khuisa	4	khuisa	?
kiphiat	4	kiphiat	?
tawl	4	tawl	?
thonginn	4	thonginn	?
kinawtngil	4	kinawtngil	?
kizep	4	kizep	?
tuacih	4	tuacih	?
taanlawh	4	taanlawh	?
delhmang	4	delhmang	?
kullo	4	kullo	?
jehudi	4	jehudi	?
thahsa	4	thahsa	?
golpen	4	golpen	?
kisuah	4	kisuah	?
thai	4	thai	?
pempam	4	pempam	?
maangmu	4	maangmu	?
phelh	4	phelh	?
tuahsiat	4	tuahsiat	?
lohteng	4	lohteng	?
beltashazzar	4	beltashazzar	?
deuhin	4	deuhin	?
leipi	4	leipi	?
kivelsak	4	kivelsak	?
gadara	4	gadara	?
siahdong	4	siahdong	?
siavuan	4	siavuan	?
tunsaknop	4	tunsaknop	?
kitawphah	4	kitawphah	?
taangci	4	taangci	?
tahum	4	tahum	?
kikhamval	4	kikhamval	?
mannop	4	mannop	?
thongkiat	4	thongkiat	?
eloi	4	eloi	?
kitheithang	4	kitheithang	?
mapaisak	4	mapaisak	?
foenisia	4	foenisia	?
melkhi	4	melkhi	?
thahkhit	4	thahkhit	?
siloam	4	siloam	?
talap	4	talap	?
laigelh	4	laigelh	?
pisidia	4	pisidia	?
thiatira	4	thiatira	?
lysias	4	lysias	?
dongtangsak	4	dongtangsak	?
kilehngatin	4	kilehngatin	?
zokhin	4	zokhin	?
eimah	3	eimah	?
kipiansak	3	kipiansak	?
petpetin	3	petpetin	?
khui	3	khui	?
guaktanga	3	guaktanga	?
hup	3	hup	?
kisamsiat	3	kisamsiat	?
kithuk	3	kithuk	?
kipsaksa	3	kipsaksa	?
kittim	3	kittim	?
pulepa	3	pulepa	?
jerah	3	jerah	?
hadoram	3	hadoram	?
mesha	3	mesha	?
kitukalhsak	3	kitukalhsak	?
moreh	3	moreh	?
siddim	3	siddim	?
emim	3	emim	?
kihilhsa	3	kihilhsa	?
beerlahairoi	3	beerlahairoi	?
fikol	3	fikol	?
tuununo	3	tuununo	?
makeng	3	makeng	?
temta	3	temta	?
butsak	3	butsak	?
jetur	3	jetur	?
kihehnem	3	kihehnem	?
mahalath	3	mahalath	?
khukkhia	3	khukkhia	?
galmat	3	galmat	?
khelkom	3	khelkom	?
khel	3	khel	?
gatam	3	gatam	?
dothan	3	dothan	?
shua	3	shua	?
dawksak	3	dawksak	?
pipa	3	pipa	?
phai	3	phai	?
kikhailum	3	kikhailum	?
thongmial	3	thongmial	?
potifera	3	potifera	?
gaih	3	gaih	?
dangteng	3	dangteng	?
kipulak	3	kipulak	?
puvah	3	puvah	?
sered	3	sered	?
jahleel	3	jahleel	?
haggi	3	haggi	?
shuni	3	shuni	?
eri	3	eri	?
serah	3	serah	?
huppim	3	huppim	?
jahzeel	3	jahzeel	?
shillem	3	shillem	?
noptuak	3	noptuak	?
gulgu	3	gulgu	?
kilangzo	3	kilangzo	?
tumasiah	3	tumasiah	?
ol	3	ol	?
eleazer	3	eleazer	?
vik	3	vik	?
kibeisak	3	kibeisak	?
lomkhat	3	lomkhat	?
phialgawp	3	phialgawp	?
vukkhal	3	vukkhal	?
tuanu	3	tuanu	?
liau	3	liau	?
kikhol	3	kikhol	?
langneih	3	langneih	?
heikhiatsak	3	heikhiatsak	?
kiuhkeuhin	3	kiuhkeuhin	?
khuituahin	3	khuituahin	?
khep	3	khep	?
kigak	3	kigak	?
diamond	3	diamond	?
jakinth	3	jakinth	?
mangbuhnel	3	mangbuhnel	?
gawivui	3	gawivui	?
phukpai	3	phukpai	?
pheituam	3	pheituam	?
meibung	3	meibung	?
manzah	3	manzah	?
kikuangsak	3	kikuangsak	?
kisukham	3	kisukham	?
kitheh	3	kitheh	?
kisawhkha	3	kisawhkha	?
khimsakin	3	khimsakin	?
phiahsak	3	phiahsak	?
sian	3	sian	?
lozaw	3	lozaw	?
metkhia	3	metkhia	?
phuisam	3	phuisam	?
kidaisak	3	kidaisak	?
hem	3	hem	?
tanhkik	3	tanhkik	?
kitanhkik	3	kitanhkik	?
tuat	3	tuat	?
diik	3	diik	?
honhonin	3	honhonin	?
kisimkhawm	3	kisimkhawm	?
tal	3	tal	?
pheipi	3	pheipi	?
pho	3	pho	?
kigaih	3	kigaih	?
sheshai	3	sheshai	?
kiphelkham	3	kiphelkham	?
lamlian	3	lamlian	?
liaktum	3	liaktum	?
dawhsa	3	dawhsa	?
kisuankhia	3	kisuankhia	?
suthelah	3	suthelah	?
tahan	3	tahan	?
shuham	3	shuham	?
lehpan	3	lehpan	?
benejaakan	3	benejaakan	?
jotbathah	3	jotbathah	?
phawksa	3	phawksa	?
sirion	3	sirion	?
kimaituahin	3	kimaituahin	?
phuksakin	3	phuksakin	?
tawmpen	3	tawmpen	?
teelzaw	3	teelzaw	?
bum	3	bum	?
kidongsa	3	kidongsa	?
tamvei	3	tamvei	?
sipa	3	sipa	?
kinengniamin	3	kinengniamin	?
tentheih	3	tentheih	?
ngeek	3	ngeek	?
tuunawi	3	tuunawi	?
tawhkuang	3	tawhkuang	?
thosakin	3	thosakin	?
kikzo	3	kikzo	?
kigingkhol	3	kigingkhol	?
beisiang	3	beisiang	?
khinneroth	3	khinneroth	?
jokneam	3	jokneam	?
bethhoglah	3	bethhoglah	?
ezem	3	ezem	?
holon	3	holon	?
janoah	3	janoah	?
lamteng	3	lamteng	?
daberath	3	daberath	?
bethanath	3	bethanath	?
shaalbim	3	shaalbim	?
bezek	3	bezek	?
kushanrishathaim	3	kushanrishathaim	?
harosheth	3	harosheth	?
sualphah	3	sualphah	?
phapen	3	phapen	?
hutpih	3	hutpih	?
bethmillo	3	bethmillo	?
kisuahin	3	kisuahin	?
thebez	3	thebez	?
ginazaw	3	ginazaw	?
botsat	3	botsat	?
busim	3	busim	?
kimet	3	kimet	?
kisingin	3	kisingin	?
gualnuam	3	gualnuam	?
susiapa	3	susiapa	?
kuankik	3	kuankik	?
khilion	3	khilion	?
zuf	3	zuf	?
ebenezer	3	ebenezer	?
thawn	3	thawn	?
thahloh	3	thahloh	?
tumkik	3	tumkik	?
hamu	3	hamu	?
suangdawk	3	suangdawk	?
pusuakkhia	3	pusuakkhia	?
galphualah	3	galphualah	?
kingeinaseh	3	kingeinaseh	?
hakhilah	3	hakhilah	?
tuukhawk	3	tuukhawk	?
besor	3	besor	?
bethshan	3	bethshan	?
tukkhawm	3	tukkhawm	?
phawktel	3	phawktel	?
elishua	3	elishua	?
hepkhiat	3	hepkhiat	?
madawkin	3	madawkin	?
tawmlua	3	tawmlua	?
zongzaw	3	zongzaw	?
lelh	3	lelh	?
taisuk	3	taisuk	?
kilinggawp	3	kilinggawp	?
sugawpzo	3	sugawpzo	?
maharai	3	maharai	?
gareb	3	gareb	?
thakhauhin	3	thakhauhin	?
suih	3	suih	?
suangseek	3	suangseek	?
kihui	3	kihui	?
kidap	3	kidap	?
guallelh	3	guallelh	?
lamnop	3	lamnop	?
eloth	3	eloth	?
olsak	3	olsak	?
tahpenes	3	tahpenes	?
tibni	3	tibni	?
shemer	3	shemer	?
segub	3	segub	?
hawklam	3	hawklam	?
poding	3	poding	?
kithakhauhsak	3	kithakhauhsak	?
kihepkhiat	3	kihepkhiat	?
thep	3	thep	?
kiakhia	3	kiakhia	?
kirhareseth	3	kirhareseth	?
lelhlam	3	lelhlam	?
teekta	3	teekta	?
koimah	3	koimah	?
kulhzangah	3	kulhzangah	?
eklei	3	eklei	?
seeng	3	seeng	?
jehonadab	3	jehonadab	?
jehosheba	3	jehosheba	?
phelkek	3	phelkek	?
shimeath	3	shimeath	?
shomer	3	shomer	?
pekahiah	3	pekahiah	?
habor	3	habor	?
siakhawm	3	siakhawm	?
kitai	3	kitai	?
geelkholhsa	3	geelkholhsa	?
sharezer	3	sharezer	?
esarhaddon	3	esarhaddon	?
merodak	3	merodak	?
hamutal	3	hamutal	?
sulet	3	sulet	?
jekamiah	3	jekamiah	?
pelaiah	3	pelaiah	?
mered	3	mered	?
jarib	3	jarib	?
shalum	3	shalum	?
ebiasaf	3	ebiasaf	?
mahath	3	mahath	?
makhijah	3	makhijah	?
shuppim	3	shuppim	?
hotham	3	hotham	?
elpaal	3	elpaal	?
binea	3	binea	?
galal	3	galal	?
kore	3	kore	?
jashobeam	3	jashobeam	?
pelon	3	pelon	?
berakah	3	berakah	?
harif	3	harif	?
dotkik	3	dotkik	?
shelomoth	3	shelomoth	?
shebuel	3	shebuel	?
heldai	3	heldai	?
seng	3	seng	?
oded	3	oded	?
buaisak	3	buaisak	?
bungkhia	3	bungkhia	?
pukkhawm	3	pukkhawm	?
uuk	3	uuk	?
konaniah	3	konaniah	?
bezai	3	bezai	?
bethazmaveth	3	bethazmaveth	?
hadid	3	hadid	?
shabbethai	3	shabbethai	?
meshezabel	3	meshezabel	?
tampipi	3	tampipi	?
tualpi	3	tualpi	?
simkhia	3	simkhia	?
bunni	3	bunni	?
