word	count	entries
gamlapi	2	L7806:gam-la-pi=land-take-big; L12737:gam-la-pi=land-field-great
gamtatsia	2	L8445:gamtat-sia=kingdom-bad; L11388:gamtat-sia=deed-evil
gawp	3	L9831:gawp=all; L10241:gawp=break; L11394:gawp=trample
gentel	2	L8507:gen-tel=speak-help; L11398:gen-tel=speak-understand
golpi	2	L8952:gol-pi=round-big; L14895:gol-pi=grow-big
golpite	2	L12182:gol-pi-te=whale-great-PL; L14896:gol-pi-te=grow-big-PL
gukte	3	L8415:guk-te=almond-PL; L12879:guk-te=bowl-PL; L13270:guk-te=lice-PL
haksapi	2	L10389:hak-sa-pi=heavy-flesh-great; L12342:hak-sa-pi=difficult-PAST-great
hangte	2	L9690:hang-te=stallion-PL; L13288:hang-te=reason-PL
hauh	2	L8650:hauh=rich.PL; L10209:hauh=grasp
hawmpi	2	L10826:hawm-pi=arrange-great; L13210:hawm-pi=join-big
hei	2	L10443:hei=path; L11372:hei=mock
hihna	2	L7692:hih-na=this-NMLZ; L13198:hih-na=be-NMLZ
hoihzaw	2	L7478:hoih-zaw=good-more; L12651:hoih-zaw=well-more
honpite	2	L7904:hon-pi-te=flock-big-PL; L11135:hon-pi-te=many-big-PL
honsa	2	L10907:hon-sa=flock-CAUS; L12657:hon-sa=open-PAST
hot	2	L10210:hot=steer; L15553:hot=save
hual	2	L9753:hual=wave; L10153:hual=bind
huh	2	L7697:huh=blow; L9562:huh=help
hut	2	L9297:hut=shelter; L10186:hut=arm
innkuante	2	L7638:inn-kuan-te=house-household-PL; L13538:inn-kuan-te=house-family-PL
innsun	2	L13131:inn-sun=house-side; L14880:inn-sun=house-shade
ip	3	L8259:ip=cover; L10229:ip=hold; L14898:ip=sack
kai	2	L7824:kai=ascend; L10140:kai=dig
kaih	2	L8360:kaih=pull/lead; L9950:kaih=loosen
kal	3	L8045:kal=liver; L9525:kal=kidney; L10450:kal=middle
kam	2	L7700:kam=word/mouth; L9551:kam=word
kang	3	L7736:kang=suffer; L9504:kang=gray; L10131:kang=pillar
kawikawi	2	L7489:kawi-kawi=crooked-RED; L8299:kawi-kawi=forth~forth
keek	2	L8412:keek=fire/lightning; L10273:keek=ITER
keng	2	L8001:keng=only; L10613:keng=tree
khak	2	L7529:khak=limit; L10424:khak=lock
kham	2	L7380:kham=forbid; L10583:kham=gather
khangham	2	L7891:khang-ham=generation-full; L12959:khang-ham=generation-old
khangto	2	L8038:khang-to=generation-sit; L12655:khang-to=prevail-up
khapna	2	L8625:khap-na=forbid-NMLZ; L12662:khap-na=pledge-NMLZ
khatpeuh	2	L7437:khat-peuh=one-every; L11118:khat-peuh=one-whosoever
khauhual	2	L8276:khau-hual=cord-bracelet; L8300:khau-hual=string-bracelet
khawi	2	L8694:khawi=where; L9746:khawi=flock
khawk	2	L9128:khawk=hollow/empty; L9547:khawk=spirit
khawm	3	L7707:khawm=gather; L9957:khawm=together; L14744:khawm=mingled
khekna	2	L10898:khek-na=fail-NMLZ; L13221:khek-na=give.in-NMLZ
khenkhit	2	L11597:khen-khit=condemn-finish; L14242:khen-khit=condemn-away
khop	2	L8275:khop=enough; L10227:khop=join
khuaneute	2	L7663:khua-neu-te=town-small-PL; L12606:khua-neu-te=village-small-PL
khuasung	2	L7601:khua-sung=town-inside; L12683:khua-sung=village-inside
kigenna	2	L8245:ki-gen-na=REFL-explain-NMLZ; L14202:ki-gen-na=REFL-speak-NMLZ
kingaihna	2	L7175:ki-ngaih-na=REFL-desire-NMLZ; L14390:ki-ngaih-na=REFL-love-NMLZ
kisukha	4	L10679:ki-suk-ha=REFL-pollute-CAUS; L12880:ki-suk-ha=REFL-defile-already; L13224:ki-suk-ha=REFL-move-PERF; L13296:ki-suk-ha=REFL-move-out
kizem	2	L12685:ki-zem=REFL-twine; L12997:ki-zem=REFL-weave
koihpa	3	L11513:koih-pa=place-NMLZ.M; L12964:koih-pa=set-NMLZ; L12974:koih-pa=put-NMLZ
kopte	2	L12878:kop-te=knop-PL; L13268:kop-te=frog-PL
kumpinu	2	L7788:kumpi-nu=king-mother; L11120:kumpi-nu=king-female
kungte	2	L7617:kung-te=trunk-PL; L13290:kung-te=tree-PL
lawp	2	L9098:lawp=lap; L10397:lawp=shake
le-uhcin	2	L7728:le-uh-cin=also-PL-even; L10690:le-uh-cin=and-PL-COND
lel	2	L9602:lel=desperate; L10275:lel=change
liah	2	L10200:liah=circuit; L11348:liah=lick/dwell
liim	2	L10417:liim=wing; L13005:liim=shadow
lingsa	2	L11015:ling-sa=fear-CAUS; L12648:ling-sa=tremble-PAST
lite	2	L7740:li-te=four-PL; L13272:li-te=river-PL
lua	2	L7596:lua=exceed; L10162:lua=excessive
luh	2	L8539:luh=head/enter; L9827:luh=smite
lui	3	L7504:lui=river; L10040:lui=old; L10368:lui=tell
lungzin	2	L9783:lung-zin=heart-shadow; L12958:lung-zin=heart-bright
maang	2	L10572:maang=vision; L15482:maang=dim
mak	2	L8999:mak=mark; L10046:mak=divorce
makaite	2	L7560:makai-te=leader-PL; L14207:makai-te=chief-PL
mante	2	L9415:man-te=true-PL; L13321:man-te=price-PL
masala	2	L14913:masala=cummin; L15503:masala=fitches
mawhsakna	2	L7639:mawh-sak-na=err-CAUS-NMLZ; L9732:mawh-sak-na=sin-CAUS-NMLZ
minamte	2	L7686:mi-nam-te=person-kind-PL; L9043:mi-nam-te=person-tribe-PL
mipi	2	L10073:mi-pi=person-great; L13562:mi-pi=person-big
mongte	2	L10761:mong-te=end-PL; L13275:mong-te=throat-PL
mualbo	2	L11046:mual-bo=see-round; L13206:mual-bo=hill-tower
muk	2	L8146:muk=kiss; L9576:muk=lip
mul	2	L8136:mul=hair; L9954:mul=full
munte	2	L7763:mun-te=place-PL; L12603:mun-te=spot-PL
mut	2	L8522:mut=see.I.SHORT; L9919:mut=blow
nam	2	L9962:nam=nation; L10537:nam=kiss
naungek	2	L7626:nau-ngek=child-small; L12950:nau-ngek=child-birth
nawhsa	2	L10704:nawh-sa=hurry-CAUS; L12604:nawh-sa=unleavened-PAST
nawk	2	L7812:nawk=again; L9830:nawk=overtake
nawt	2	L8834:nawt=push; L10557:nawt=smooth
nazat	2	L8100:na-zat=2SG-hear; L12975:na-zat=hand-work
nazatte	2	L8099:na-zat-te=2SG-hear-PL; L12965:na-zat-te=2SG-work-PL
nem	2	L8435:nem=soft; L10619:nem=comfort
ngaihno	2	L7814:ngaih-no=love-INT; L7908:ngaih-no=think-lovingly
ngat	2	L10002:ngat=opposite; L10597:ngat=time
ngia	2	L8957:ngia=watch; L9618:ngia=field
niam	3	L9419:niam=lowly; L9978:niam=bow; L11521:niam=low
nihna	2	L7466:nih-na=two-NMLZ; L12600:nih-na=second-NMLZ
nilh	2	L7652:nilh=wipe; L9859:nilh=anoint
nip	2	L11919:nip=rotten; L15568:nip=pinch
nitak	2	L7464:ni-tak=day-exact; L13636:ni-tak=sun-set
nitak-an	2	L13607:ni-tak-an=day-true-time; L13638:ni-tak-an=sun-set-time
nuai	2	L7810:nuai=below; L10464:nuai=under
numeino	2	L8559:numei-no=woman-young; L11122:numei-no=woman-DIM
nun	2	L7804:nun=life; L9523:nun=knop
nungzui	2	L7624:nung-zui=life-follow; L12971:nung-zui=back-follow
nungzuite	2	L7706:nung-zui-te=life-follow-PL; L12961:nung-zui-te=back-follow-PL
pah	2	L7675:pah=do.so; L9842:pah=clear
pahtawi	2	L7819:pah-tawi=do-honor; L14426:pah-tawi=honor-carry
pahtawina	2	L7757:pah-tawi-na=do-honor-NMLZ; L13204:pah-tawi-na=feast-sorrow-NMLZ
paisuk	2	L7279:pai-suk=go-DOWN; L7431:pai-suk=go-CAUS
paito	2	L7277:pai-to=go-UP; L7432:pai-to=go-sit
pak	2	L7726:pak=divide; L10129:pak=wait
pang	2	L7518:pang=side/small; L9527:pang=branch
pawi	2	L7517:pawi=Pawi; L9495:pawi=feast
pawlpi	2	L7574:pawl-pi=group-big; L12972:pawl-pi=group-great
pawlpite	2	L7911:pawl-pi-te=group-big-PL; L12962:pawl-pi-te=group-great-PL
peek	2	L9988:peek=breadth; L10501:peek=spread
peemtate	2	L8279:peem-ta-te=peace-PFV-PL; L8358:peem-ta-te=flat-stay-PL
phakpa	2	L12581:phak-pa=bare-NMLZ; L13278:phak-pa=able-M
phial	2	L9822:phial=flash; L10641:phial=morning
phuh	2	L8796:phuh=blow; L9890:phuh=rest
piakna	2	L7389:piak-na=give.to-NMLZ; L12609:piak-na=give-NMLZ
pilzaw	2	L11030:pil-zaw=wise-COMP; L13209:pil-zaw=wise-more
puankhai	2	L8783:puan-khai=cloth-lift; L9804:puan-khai=cloth-hang
puansilh	2	L8406:puan-silh=cloth-wrap; L9767:puan-silh=cloth-wear
puantualpi	2	L7236:puan-tual-pi=cloth-many.colored-big; L7825:puan-tual-pi=cloth-generation-big
san	3	L7521:san=flee; L9533:san=garlic; L10090:san=rely
satpa	2	L9025:sat-pa=build-father; L12967:sat-pa=smite-NMLZ
satpuk	2	L9055:sat-puk=strike-fall; L11361:sat-puk=strike-down
sawmsimna	2	L9778:sawmsim-na=conspiracy-NMLZ; L11340:sawmsim-na=conspire-NMLZ
sawt	2	L7802:sawt=long.time; L9869:sawt=long
seel	2	L9689:seel=hide; L10157:seel=cover
semsemna	2	L12845:sem-sem-na=hate-REDUP-NMLZ; L12986:sem-sem-na=divide-REDUP-NMLZ
sepna	2	L7505:sep-na=work-NMLZ; L12599:sep-na=do-NMLZ
sil	2	L8103:sil=flesh/body; L10431:sil=wash
sinna	2	L11041:sin-na=sin-NMLZ; L12684:sin-na=prepare-NMLZ
sisate	2	L12947:si-sa-te=blood-PAST-PL; L13571:si-sa-te=unclean-PAST-PL
suante	2	L7688:suan-te=offspring-PL; L13280:suan-te=descendant-PL
sukham	2	L8205:su-kham=touch-reach; L9871:su-kham=make-grind
taang	2	L9888:taang=beautiful; L10105:taang=time
tanglai	2	L9107:tang-lai=generation-middle; L12653:tang-lai=ancient-NMLZ
tawm	2	L9572:tawm=produce; L10333:tawm=by
tawnna	2	L11939:tawn-na=reproof-NMLZ; L14200:tawn-na=meet-NMLZ
tawsak	2	L12634:taw-sak=weary-CAUS; L13300:taw-sak=blind-CAUS
teek	2	L9971:teek=master; L10377:teek=in.law
tem	2	L8945:tem=short; L10615:tem=fire
teng	2	L9835:teng=remain; L10151:teng=basket
thahatpa	2	L12873:tha-hat-pa=strength-strong-NMLZ; L13261:tha-hat-pa=strength-strong-M
thahatte	2	L8308:tha-hat-te=strength-hard-PL; L12362:tha-hat-te=strength-strong-PL
than	2	L9002:than=charcoal; L9604:than=worm
theite	2	L7764:thei-te=know.I-PL; L12949:thei-te=fruit-PL
thuakna	2	L7392:thuak-na=suffer-NMLZ; L12610:thuak-na=afflict-NMLZ
thuk	2	L7526:thuk=deep; L10356:thuk=revenge
thukimpih	2	L8023:thu-kim-pih=word-keep-APPL; L14823:thu-kim-pih=word-complete-APPL
thulamlak	2	L11335:thu-lamlak=word-crooked; L14826:thu-lamlak=word-advisor
thun	2	L9402:thun=entreat; L10499:thun=press
thungetna	2	L7506:thu-nget-na=word-request-NMLZ; L9728:thu-nget-na=word-pray-NMLZ
ton	2	L9268:ton=arrive; L9838:ton=stable
tuamtuamte	4	L7664:tuam-tuam-te=different-RED-PL; L12955:tuam-tuam-te=divers-REDUP-PL; L13215:tuam-tuam-te=kind-REDUP-PL; L13570:tuam-tuam-te=various-REDUP-PL
tuan	2	L10033:tuan=ride; L10509:tuan=cut
tupa	2	L12399:tu-pa=son-NMLZ; L13252:tu-pa=grandson-M
ukte	2	L7412:uk-te=rule-PL; L8297:uk-te=tent-PL
vaihawmna	2	L8854:vai-hawm-na=go-together-NMLZ; L9724:vai-hawm-na=plan-counsel-NMLZ
val	3	L8143:val=go.quickly; L10010:val=pour; L10584:val=basket
vawh	2	L7235:vawh=name; L9851:vawh=arise
zahko	3	L8132:zah-ko=despise-curse; L9781:zah-ko=shame-have; L12649:zah-ko=gather-grapes
zai	2	L7811:zai=song; L10303:zai=thing
zal	2	L8258:zal=spread; L9924:zal=shake
zanglei	2	L8305:zang-lei=use-buy; L12597:zang-lei=east-field
zanthapai	2	L10924:zan-tha-pai=night-new-go; L12670:zan-tha-pai=night-weary-appoint
zawng	3	L7803:zawng=all; L9654:zawng=poor; L9863:zawng=lack
zin	2	L7730:zin=journey; L9535:zin=sojourner
zuauna	2	L10107:zuau-na=lie-NMLZ; L14145:zuau-na=vain-NMLZ
zuihna	2	L7640:zuih-na=follow.II-NMLZ; L12664:zuih-na=turn-NMLZ
zumhuaina	2	L10917:zum-huai-na=filth-bad-NMLZ; L13907:zum-huai-na=trust-full-NMLZ
zumhuaipi	2	L10735:zum-huai-pi=filth-bad-great; L12341:zum-huai-pi=unclean-mix-great
