surface_form	normalized_form	lemma	segmentation	gloss	pos	frequency	first_verse	sample_verses	is_ambiguous	status
dingin	dingin	ding	ding-in	IRR-ERG	V	4833	01001014	01001014|01001015|01001016|01001016|01001030	0	auto
pen	pen	pen	pen	TOP	FUNC	4721	01001005	01001005|01001005|01001008|01001010|01001010	0	auto
ahih	ahih	ahih	ahih	be.3SG.REL	V	4681	01001021	01001021|01001027|01002001|01002003|01002005	0	auto
khat	khat	khat	khat	one	N	4570	01001005	01001005|01002008|01002010|01002020|01002021	0	auto
amah	amah	amah	amah	3SG.PRO	FUNC	4415	01001016	01001016|01001027|01002018|01002020|01003016	0	auto
hiam	hiam	hiam	hiam	Q	FUNC	4355	01002003	01002003|01002017|01002019|01003005|01003010	0	auto
panin	panin	pan	pan-in	ABL-ERG	V	4342	01001004	01001004|01001016|01002002|01002003|01002006	0	auto
ama	ama	ama	ama	3SG.POSS	UNK	4299	01001027	01001027|01002002|01002003|01002008|01002018	0	auto
mi	mi	mi	mi	person	N	4268	01002005	01002005|01002007|01003006|01004001|01004023	0	auto
kiangah	kiangah	kiang	kiang-ah	beside-LOC	FUNC	4207	01002019	01002019|01002022|01003001|01003002|01003004	0	auto
amaute	amaute	amaute	amaute	3PL.PRO	FUNC	4157	01001022	01001022|01001028|01001028|01003008|01003021	0	auto
bangin	bangin	bang	bang-in	like-ERG	FUNC	4077	01001007	01001007|01001009|01001011|01001015|01001024	0	auto
hih	hih	hi	hih	this	V	4030	01002023	01002023|01003003|01003010|01003014|01003014	0	auto
Pasian	pasian	pasian	Pasian	God	N	3748	01001001	01001001|01001003|01001004|01001004|01001005	0	auto
tua	tua	tua	tua	that	FUNC	3670	01001002	01001002|01001003|01001004|01001006|01001010	0	auto
hangin	hangin	hang	hang-in	because-ERG	V	3547	01002017	01002017|01002020|01002024|01003003|01003004	0	auto
zong	zong	zong	zong	also	FUNC	3505	01001016	01001016|01002020|01003003|01003006|01003017	0	auto
leh	leh	leh	leh	and	FUNC	3363	01002003	01002003|01002017|01003005|01003010|01003019	0	auto
sungah	sungah	sung	sung-ah	inside-LOC	FUNC	3205	01001011	01001011|01001012|01001021|01001029|01002005	0	auto
hi,”	hi,”	hi	hi	DECL	V	3196	01001030	01001030|01002017|01002018|01002023|01003003	0	auto
manin	manin	man	man-in	reason-ERG	FUNC	3101	01002005	01002005|01002023|01003010|01003014|01003019	0	auto
un	un	un	un	IMP.PL	FUNC	2831	01001028	01001028|01001029|01003022|01004023|01004023	0	auto
cih	cih	ci	cih	say.NOM	V	2827	01002003	01002003|01002017|01002019|01003005|01003010	0	auto
gam	gam	gam	gam	land	N	2698	01002005	01002005|01002012|01002013|01002014|01002019	0	auto
thei	thei	thei	thei	know	V	2563	01001021	01001021|01002016|01003002|01003005|01003022	0	auto
gen	gen	gen	gen	speak	V	2422	01003011	01003011|01009022|01012018|01014013|01016013	0	auto
note	note	note	note	2PL.PRO	FUNC	2399	01001029	01001029|01009003|01009003|01009009|01009010	0	auto
A	a	a	A	3SG	FUNC	2398	01001001	01001001|01002009|01002011|01002013|01002014	0	auto
pai	pai	pai	pai	go	V	2361	01003014	01003014|01006018|01006020|01007001|01007007	0	auto
bang	bang	bang	bang	like	FUNC	2347	01002019	01002019|01002024|01003003|01004006|01004015	0	auto
hang	hang	hang	hang	reason	FUNC	2322	01002003	01002003|01002017|01003005|01003010|01003019	0	auto
sung	sung	sung	sung	inside	FUNC	2289	01001022	01001022|01002005|01002005|01002009|01002010	0	auto
aw	aw	aw	aw	voice	N	2247	01004023	01004023|01004023|01004023|01015001|01015002	0	auto
pia	pia	pia	pia	give	V	2207	01001022	01001022|01001028|01001029|01001030|01002016	0	auto
tapa	tapa	ta	ta-pa	child-male	N	2127	01004020	01004020|01004025|01004026|01005003|01005004	0	auto
zongin	zongin	zong	zong-in	although-ERG	FUNC	2126	01003016	01003016|01011031|01012012|01014023|01015014	0	auto
pa	pa	pa	pa	father	N	2075	01002024	01002024|01004002|01004009|01004015|01004018	0	auto
Topa	topa	topa	Topa'	Lord.POSS	N	1991	01004001	01004001|01004003|01004013|01004016|01006008	0	auto
Israel	israel	Israel	Israel	ISRAEL	PROP	1986	01032028	01032028|01032032|01034007|01035010|01035010	0	auto
kong	kong	kong	kong	1SG→3	FUNC	1946	01001029	01001029|01003011|01003017|01007016|01009014	0	auto
ci-in	ci-in	ci	ci-in	say-QUOT	V	1937	01001004	01001004|01001010|01001012|01001016|01001021	0	auto
Amah	amah	amah	Amah	3SG.PRO	FUNC	1854	01001027	01001027|01002023|01003001|01003006|01003010	0	auto
nei	nei	nei	nei	have	V	1802	01001002	01001002|01001011|01001021|01001021|01001024	0	auto
Jesuh	jesuh	Jesuh	Jesuh	JESUH	PROP	1690	40001001	40001001|40001018|40001021|40001025|40002001	0	auto
Bang	bang	bang	Bang	like	FUNC	1686	01002003	01002003|01002017|01003005|01003010|01003019	0	auto
nadingin	nadingin	nadingin	nadingin	PURP.ERG	FUNC	1671	01003022	01003022|01004015|01007003|01008017|01009011	0	auto
nang	nang	nang	nang	2SG.PRO	FUNC	1659	01003015	01003015|01003016|01003017|01003018|01003018	0	auto
Pasian	pasian	pasian	Pasian'	God.POSS	N	1620	01001002	01001002|01001027|01003001|01003008|01006011	0	auto
bawl	bawl	bawl	bawl	make	V	1554	01001007	01001007|01001016|01001016|01001016|01001026	0	auto
mah	mah	mah	mah	EMPH	FUNC	1554	01001007	01001007|01001009|01001011|01001015|01001024	0	auto
tung	tung	tung	tung	on	V	1491	01001002	01001002|01001005|01001008|01001013|01001019	0	auto
kumpipa	kumpipa	kumpi	kumpi-pa	king-male	N	1468	01014001	01014001|01014001|01014001|01014001|01014002	0	auto
Amaute	amaute	amaute	Amaute	3PL.PRO	FUNC	1432	01003007	01003007|01004008|01005002|01007014|01009023	0	auto
ni	ni	ni	ni	day	N	1410	01001005	01001005|01001005|01001008|01001008|01001013	0	auto
i	i	i	i	1PL.INCL	FUNC	1407	01003022	01003022|01005029|01005029|01011004|01019032	0	auto
theih	theih	thei	theih	know.II	V	1384	01008017	01008017|01012019|01013016|01015008|01018019	0	auto
mahmah	mahmah	mahmah	mahmah	very	N	1349	01001031	01001031|01002021|01004005|01007011|01007018	0	auto
biakna	biakna	bia	biak-na	worship-NMLZ	V	1314	01008020	01008020|01008020|01008020|01012007|01012008	0	auto
loin	loin	lo	lo-in	NEG-ERG	FUNC	1305	01001002	01001002|01003006|01009011|01009021|01015002	0	auto
hun	hun	hun	hun	time	N	1232	01001014	01001014|01004003|01004026|01005005|01006003	0	auto
amau	amau	amau	amau'	3PL.PRO.POSS	FUNC	1192	01001011	01001011|01001012|01001012|01006001|01006004	0	auto
Na	na	na	Na	2SG	FUNC	1161	01003011	01003011|01003014|01003017|01004010|01004011	0	auto
khuapi	khuapi	khua	khua-pi	village-big	N	1155	01004017	01004017|01004017|01010012|01010012|01011004	0	auto
nading	nading	nading	nading	PURP	FUNC	1139	01001014	01001014|01006003|01006015|01008009|01011004	0	auto
ta	ta	ta	ta	child	FUNC	1112	01001020	01001020|01001024|01001028|01004026|01006004	0	auto
Ahi	ahi	ahi	Ahi	be.3SG	V	1077	01003016	01003016|01011031|01015014|01019016|01019018	0	auto
Ahih	ahih	ahih	Ahih	be.3SG.REL	V	1070	01002017	01002017|01002020|01003003|01003004|01003009	0	auto
Kha	kha	kha	kha	NEG.PERF	N	1056	01001002	01001002|01001021|01003011|01006003|01007011	0	auto
lai	lai	lai	lai	midst	N	1037	01002008	01002008|01005004|01005007|01005010|01005013	0	auto
mite	mite	mite	mite'	person-PL.POSS	UNK	1028	01006002	01006002|01010005|01010014|01010014|01010018	0	auto
nawn	nawn	nawn	nawn	CONT	FUNC	1022	01004012	01004012|01005024|01006003|01008012|01008021	0	auto
khit	khit	khit	khit	SEQ	FUNC	1017	01003007	01003007|01005003|01005004|01005007|01005010	0	auto
Hih	hih	hi	Hih	this	V	1003	01005001	01005001|01006004|01009019|01011006|01012012	0	auto
mai-ah	mai-ah	mai	mai-ah	face-LOC	N	999	01010009	01010009|01013009|01018002|01018008|01018022	0	auto
kumpi	kumpi	kumpi	kumpi	king	N	994	01010010	01010010|01014002|01014003|01014009|01014009	0	auto
la	la	la	la	take	FUNC	987	01001006	01001006|01001009|01001011|01001014|01001020	0	auto
inla	inla	inla	inla	and.then	FUNC	986	01006014	01006014|01006016|01006021|01013014|01013017	0	auto
lungsim	lungsim	lung	lung-sim	stone-mind	V	985	01006005	01006005|01006006|01008021|01008021|01020005	0	auto
mu	mu	mu	mu	see.I	V	965	01001004	01001004|01001010|01001012|01001016|01001021	0	auto
khua	khua	khua	khua	town	N	964	01001002	01001002|01001015|01001016|01003007|01011031	0	auto
min	min	min	min	name	N	962	01002011	01002011|01002013|01002014|01002019|01002020	0	auto
an	an	an	an	3PL.POSS	N	934	01001030	01001030|01003019|01004012|01006021|01006021	0	auto
loh	loh	lo	lo-h	NEG-NOM	FUNC	913	01003008	01003008|01003011|01003022|01004015|01007003	0	auto
khin	khin	khin	khin	IMM	V	895	01002001	01002001|01003014|01004001|01004023|01008008	0	auto
kum	kum	kum	kum	year	N	892	01005003	01005003|01005003|01005004|01005005|01005005	0	auto
Ka	ka	ka	Ka	1SG	FUNC	882	01007004	01007004|01012019|01015002|01016002|01020011	0	auto
leitung	leitung	lei	lei-tung	land-on	V	880	01001001	01001001|01001002|01001012|01001015|01001024	0	auto
teng	teng	teng	teng	remain	V	875	01004016	01004016|01010005|01011002|01011031|01012006	0	auto
lam	lam	lam	lam	way	N	867	01003014	01003014|01004016|01008020|01010019|01010019	0	auto
hiam?”	hiam?”	hiam	hiam	Q	FUNC	865	01003001	01003001|01003009|01003011|01003013|01004009	0	auto
khut	khut	khut	khut	hand	N	862	01008009	01008009|01009002|01014020|01016006|01019010	0	auto
mun	mun	mun	mun	place	V	857	01001009	01001009|01002010|01002021|01003024|01011002	0	auto
si	si	si	si	die	N	841	01002017	01002017|01003003|01003004|01005005|01005008	0	auto
David	david	David	David	DAVID	PROP	835	09016012	09016012|09016013|09016019|09016020|09016021	0	auto
ngah	ngah	ngah	ngah	get	V	831	01003017	01003017|01004001|01009025|01012002|01012003	0	auto
va	va	va	va	go.and	V	817	01011007	01011007|01014002|01018002|01018003|01018016	0	auto
Judah	judah	Judah	Judah	JUDAH	PROP	805	01029035	01029035|01035023|01037026|01038001|01038002	0	auto
nangma	nangma	nangma	nangma	2SG.self	FUNC	804	01003017	01003017|01012013|01012013|01013014|01014023	0	auto
biakinn	biakinn	bia	biak-inn	worship-house	V	800	02030013	02030013|02030024|02038024|02038025|03005015	0	auto
Moses	moses	Moses	Moses	MOSES	PROP	796	02002010	02002010|02002011|02002014|02002015|02002015	0	auto
piak	piak	pia	piak	give.to	V	794	01003012	01003012|01009003|01022018|01023009|01024041	0	auto
keima	keima	keima	keima	1SG.self	FUNC	793	01002023	01002023|01002023|01015003|01017010|01017013	0	auto
bek	bek	bek	bek	only	FUNC	792	01006003	01006003|01007001|01007023|01009004|01011001	0	auto
unla	unla	un	un-la	PL.IMP-and	FUNC	782	01001022	01001022|01001028|01009001|01009007|01018003	0	auto
lakah	lakah	lak	lak-ah	among-LOC	V	769	01003008	01003008|01013012|01018007|01019002|01022013	0	auto
ngei	ngei	ngei	ngei	EXP	UNK	742	01008021	01008021|01008021|01009011|01009011|01009015	0	auto
inn	inn	inn	inn	house	N	731	01012001	01012001|01012015|01014014|01015002|01015003	0	auto
tampi	tampi	tampi	tampi	many	FUNC	728	01001021	01001021|01001022|01001022|01001028|01008017	0	auto
in,”	in,”	in	in	ERG	FUNC	722	01008017	01008017|01014021|01014024|01015009|01016006	0	auto
nong	nong	nong	nong	2→1	FUNC	720	01003012	01003012|01004014|01004014|01015003|01017009	0	auto
mawhna	mawhna	mawh	mawh-na	err-NMLZ	V	718	01004007	01004007|01004007|01015016|01026010|01031036	0	auto
Note	note	note	Note	2PL.PRO	FUNC	718	01009002	01009002|01019017|01032020|01042014|01042019	0	auto
dong	dong	dong	dong	until	FUNC	712	01008005	01008005|01010019|01010019|01010030|01012006	0	auto
sawm	sawm	sawm	sawm	ten	FUNC	700	01005008	01005008|01005010|01005014|01007011|01008004	0	auto
minam	minam	mi	mi-nam	person-kind	N	693	01010032	01010032|01011006|01012002|01017004|01017005	0	auto
uk	uk	uk	uk	rule	V	689	01001016	01001016|01001016|01001016|01003016|01004007	0	auto
tawntung	tawntung	tawn	tawn-tung	ever-always	N	689	01003017	01003017|01003022|01009012|01009016|01017007	0	auto
Egypt	egypt	Egypt	Egypt	EGYPT	PROP	680	01010006	01010006|01010013|01012011|01012012|01012014	0	auto
numei	numei	nu	nu-mei	woman	N	679	01001027	01001027|01002022|01003001|01003002|01003004	0	auto
nadingun	nadingun	ding	na-ding-un	2SG-IRR-IMP	V	671	01011007	01011007|01012003|01018003|01018016|01018019	0	auto
nih	nih	nih	nih	two	FUNC	670	01001008	01001008|01001016|01004019|01005008|01005018	0	auto
keimah	keimah	keimah	keimah	1SG.PRO	FUNC	667	01009016	01009016|01015007|01015008|01016002|01018027	0	auto
hoih	hoih	hoih	hoih	good	V	664	01001004	01001004|01001010|01001012|01001016|01001021	0	auto
mipa	mipa	mipa	mipa	man	N	662	01002008	01002008|01002015|01002016|01002019|01002019	0	auto
za	za	za	za	hear	V	662	01003008	01003008|01003010|01005003|01005006|01005018	0	auto
note	note	note	note'	2PL.PRO.POSS	FUNC	637	01009009	01009009|01017011|01017012|01017012|01019019	0	auto
pai-in	pai-in	pai	pai-in	go-ERG	V	635	01009023	01009023|01010011|01013018|01014005|01014013	0	auto
gamta	gamta	gamta	gamta	send.away	V	634	01003014	01003014|01006012|01006022|01015006|01017001	0	auto
laitakin	laitakin	lai	lai-tak-in	midst-exact-ERG	N	632	01011001	01011001|01013007|01013012|01013013|01018001	0	auto
kibang	kibang	bang	ki-bang	REFL-same	UNK	626	01003022	01003022|01013010|01025025|01027027|01029020	0	auto
sunga	sunga	sung	sung-a	inside-3SG	FUNC	622	01002001	01002001|01007023|01013012|01014014|01015003	0	auto
Jerusalem	jerusalem	Jerusalem	Jerusalem	JERUSALEM	PROP	622	01014018	01014018|06010001|06010003|06010005|06010023	0	auto
suak	suak	suak	suak	wither	V	613	01002007	01002007|01002021|01004018|01010015|01010025	0	auto
sem	sem	sem	sem	serve	V	612	01001002	01001002|01025023|01027029|01027040|01029015	0	auto
kiang	kiang	kiang	kiang	beside	FUNC	611	01004014	01004014|01013009|01013014|01015015|01016008	0	auto
paipih	paipih	pai	pai-pih	go-APPL	V	602	01002019	01002019|01002022|01004003|01004004|01006019	0	auto
pan	pan	pan	pan	ABL	V	601	01008020	01008020|01010015|01013003|01016008|01017016	0	auto
tui	tui	tui	tui	water	N	598	01001002	01001002|01001006|01001006|01006014|01007019	0	auto
kuamah	kuamah	kuamah	kuamah	nobody	FUNC	595	01006012	01006012|01023006|01024016|01031050|01041008	0	auto
koih	koih	koih	koih	put	V	594	01001016	01001016|01002008|01002015|01003024|01004015	0	auto
sa	sa	sa	sa	flesh	N	591	01001031	01001031|01004004|01008022|01009004|01025028	0	auto
man	man	man	man	finish	FUNC	585	01008009	01008009|01016005|01017022|01018033|01021023	0	auto
Khrih	khrih	Khrih	Khrih	KHRIH	PROP	577	40001016	40001016|40001017|40001018|40002004|40016016	0	auto
lak	lak	lak	lak	among	V	564	01001030	01001030|01002019|01006007|01007003|01007023	0	auto
lai-ah	lai-ah	lai	lai-ah	midst-LOC	N	564	01003009	01003009|01011002|01012006|01012019|01015013	0	auto
tapate	tapate	tapa	tapa-te	son-PL	N	561	01006018	01006018|01007007|01007013|01008016|01008018	0	auto
tuate	tuate	tua	tua-te	DIST-PL	FUNC	560	01001014	01001014|01001016|01001029|01002019|01002019	0	auto
ne	ne	ne	ne	eat	V	559	01002016	01002016|01002017|01003001|01003002|01003003	0	auto
thuciamna	thuciamna	thuciam	thuciam-na	promise-NMLZ	N	543	01006018	01006018|01009010|01009011|01009012|01009013	0	auto
sawl	sawl	sawl	sawl	send	V	543	01019013	01019013|01019015|01024007|01026027|01028006	0	auto
thuak	thuak	thuak	thuak	suffer	V	541	01004013	01004013|01027013|01031039|01044032|03020020	0	auto
nu	nu	nu	nu	female	N	531	01002022	01002022|01002024|01003020|01006019|01012012	0	auto
hen	hen	hen	hen	JUSS	V	526	01001006	01001006|01001009|01001011|01001014|01001014	0	auto
sangin	sangin	sang	sang-in	high-ERG	N	522	01003001	01003001|01003014|01019009|01025023|01026016	0	auto
thute	thute	thu	thu-te	word-PL	N	513	01015001	01015001|01020008|01022001|01024028|01028015	0	auto
thuman	thuman	thu	thu-man	word-reason	N	511	01006009	01006009|01007001|01018019|01018024|01018024	0	auto
leitang	leitang	lei	lei-tang	land-earth	V	510	01002005	01002005|01003017|01003023|01004011|01005029	0	auto
zui	zui	zui	zui	follow	V	509	01012004	01012004|01018016|01024005|01024039|01024058	0	auto
vantung	vantung	van	van-tung	sky-on	N	508	01001001	01001001|01001020|01002001|01002004|01007011	0	auto
uhah	uhah	uhah	uhah	2/3PL.LOC	FUNC	507	01019002	01019002|01019019|01026031|01032018|01032020	0	auto
kote	kote	kote	kote	1PL.PRO	FUNC	505	01026016	01026016|01026027|01032011|01034015|01034016	0	auto
eite	eite	eite	eite	1PL.PRO	FUNC	504	01003022	01003022|01005029|01011004|01011007|01013008	0	auto
muh	muh	mu	muh	see	V	503	01003006	01003006|01003008|01012012|01012015|01013015	0	auto
tu-in	tu-in	tu	tu-in	now-ERG	FUNC	499	01004011	01004011|01018001|01019009|01020007|01021023	0	auto
tun	tun	tun	tun	arrive	UNK	498	01007006	01007006|01009028|01010001|01010032|01011010	0	auto
bangmah	bangmah	bangmah	bangmah	nothing	FUNC	495	01009021	01009021|01014024|01019008|01019022|01022012	0	auto
kham	kham	kham	kham	gold	V	494	01002011	01002011|01009021|01013002|01024019|01024022	0	auto
siangtho	siangtho	siangtho	siangtho	holy	N	494	01007002	01007002|01008020|01008020|02003005|02012016	0	auto
thum	thum	thum	thum	three	FUNC	493	01001013	01001013|01005032|01006010|01015009|01015009	0	auto
thupha	thupha	thu	thu-pha	word-good	N	491	01001022	01001022|01001028|01002003|01005002|01009001	0	auto
puan	puan	puan	puan	cloth	N	490	01003021	01003021|01009023|01024065|01025025|01027015	0	auto
hilh	hilh	hilh	hilh	tell	V	481	01018019	01018019|01032017|02004012|02004015|02018020	0	auto
nuam	nuam	nuam	nuam	want	V	480	01004007	01004007|01021011|01024005|01024039|02004019	0	auto
that	that	that	that	kill	V	479	01004008	01004008|01004014|01004023|01004025|01009005	0	auto
Siangtho	siangtho	siangtho	Siangtho	holy	N	473	02026034	02026034|03016017|03016027|03024011|03024016	0	auto
Tu-in	tu-in	tu	Tu-in	now-ERG	FUNC	467	01003001	01003001|01004001|01004002|01006011|01011006	0	auto
pha	pha	pha	pha	branch	UNK	460	01001021	01001021|01001022|01001028|01002009|01002010	0	auto
Kei	kei	kei	Kei	NEG	FUNC	460	01004009	01004009|01004014|01004023|01020009|01022005	0	auto
a	a	a	a'	3SG.POSS	FUNC	457	01002018	01002018|01002020|01008020|01014023|01017020	0	auto
mihing	mihing	mi	mi-hing	person-kind	N	455	01001026	01001026|01001027|01002007|01002007|01003020	0	auto
Mi	mi	mi	Mi	person	N	454	01009005	01009005|01009006|01013016|01020016|02012019	0	auto
peuhpeuh	peuhpeuh	peuhpeuh	peuhpeuh	every	FUNC	451	01003001	01003001|01014023|01018014|01019012|01026010	0	auto
ciang	ciang	ciang	ciang	then	UNK	451	01003019	01003019|01008005|01010019|01010019|01013003	0	auto
amaute	amaute	amaute	amaute'	3PL.PRO.POSS	FUNC	451	01017008	01017008|01017023|01018020|01018026|01019004	0	auto
kei	kei	kei	kei	1SG.PRO	FUNC	447	01004010	01004010|01014024|01019019|01020006|01021023	0	auto
lamah	lamah	lam	lam-ah	way-LOC	N	444	01002008	01002008|01002014|01003024|01010030|01011002	0	auto
zi	zi	zi	zi	wife	N	439	01002024	01002024|01002025|01003008|01003021|01004001	0	auto
gamah	gamah	gam	gam-ah	land-LOC	N	438	01012001	01012001|01012005|01013007|01020001|01022002	0	auto
nangmah	nangmah	nangmah	nangmah	2SG.PRO	FUNC	437	01004014	01004014|01013009|01021030|01024007|01027042	0	auto
um	um	um	um	believe	V	435	01045026	01045026|02004001|02004008|02004009|02004031	0	auto
un,”	un,”	un	un	IMP.PL	FUNC	432	01001022	01001022|01001028|01009007|01012019|01018003	0	auto
Thukham	thukham	thu	thu-kham	law	N	431	02013009	02013009|02015025|02024012|03016029|03016031	0	auto
mual	mual	mual	mual	mountain	N	430	01007019	01007019|01007020|01008005|01014006|01022002	0	auto
tau	tau	tau	tau	signal	UNK	427	01008020	01008020|01008020|01012007|01012008|01013004	0	auto
nuntakna	nuntakna	nuntak	nuntak-na	live-NMLZ	V	423	01001021	01001021|01001030|01002007|01002007|01002009	0	auto
Israel-te	israel-te	Israel-Te	Israel-te	ISRAEL-TE	PROP	422	01047027	01047027|02003010|02005002|02014004|02014030	0	auto
ni-in	ni-in	ni	ni-in	day-ERG	N	420	01002002	01002002|01002003|01002017|01007010|01007011	0	auto
siampi	siampi	siam	siam-pi	priest-great	V	419	01014018	01014018|02002016|02003001|02018001|02019006	0	auto
neih	neih	nei	nei-h	have-NOM	V	416	01006004	01006004|01012005|01012020|01013001|01015007	0	auto
ngai	ngai	ngai	ngai	listen.I	V	415	01004023	01004023|01004023|01018010|01023006|01023008	0	auto
ahihleh	ahihleh	ahihleh	ahihleh	if	FUNC	415	01004024	01004024|01017015|01017020|01023013|01025022	0	auto
kua	kua	kua	kua	who	FUNC	412	01003011	01003011|01005027|01011019|01011024|01011025	0	auto
omna	omna	om	om-na	exist-NMLZ	V	410	01002011	01002011|01003011|01004016|01009022|01009023	0	auto
ngaihsun	ngaihsun	ngaihsun	ngaihsun	think	V	410	01020010	01020010|01020011|01025034|01026007|01026009	0	auto
kipan	kipan	pan	ki-pan	REFL-begin	V	409	01004026	01004026|01039005|01041054|01044028|01046034	0	auto
pasal	pasal	pasal	pasal	husband	N	408	01001027	01001027|01002024|01003006|01003006|01003016	0	auto
nai	nai	nai	nai	near	UNK	405	01002005	01002005|01002005|01008008|01015016|01016001	0	auto
gimna	gimna	gim	gim-na	suffer-NMLZ	N	404	01003016	01003016|01012017|02003007|02006009|02007004	0	auto
zo	zo	zo	zo	south	FUNC	403	01001028	01001028|01002002|01006013|01013006|01014006	0	auto
munah	munah	mun	mun-ah	place-LOC	V	403	01002008	01002008|01002012|01011009|01011031|01012008	0	auto
gamtat	gamtat	gam	gam-tat	land-rule	N	398	01003013	01003013|01004010|01019007|01020009|01020010	0	auto
pawlkhat	pawlkhat	pawl	pawl-khat	some-one	N	391	01014010	01014010|01032008|01033015|02004009|02016017	0	auto
sagih	sagih	sagih	sagih	seven	N	388	01002002	01002002|01002002|01002003|01005025|01005031	0	auto
amau	amau	amau	amau	3PL.PRO	FUNC	387	01001021	01001021|01001021|01001024|01001024|01001025	0	auto
dawng	dawng	dawng	dawng	receive	V	387	01018007	01018007|01023010|01024050|01034013|01042022	0	auto
“Hih	“hih	hi	Hih	this	V	382	01009012	01009012|01009017|01015004|01015007|01019012	0	auto
siatna	siatna	siat	siat-na	destroy-NMLZ	V	382	01019019	01019019|01026027|01031052|01042004|01042038	0	auto
thugen	thugen	thu	thu-gen	speech	N	380	01004023	01004023|01011007|01018033|01027006|01041037	0	auto
hitaleh	hitaleh	hitaleh	hitaleh	if.so	FUNC	380	01006004	01006004|01006004|01013010|01013010|01017012	0	auto
khempeuhah	khempeuhah	khempeuh	khempeuh-ah	all-LOC	FUNC	378	01001029	01001029|01008009|01011008|01011009|01021022	0	auto
Tuipi	tuipi	tui	tui-pi	water-big	N	370	01001002	01001002|01001021|01001021|01001022|01001026	0	auto
nasemte	nasemte	nasem	nasem-te	servant-PL	N	369	01014015	01014015|01020008|01021025|01022005|01026015	0	auto
nate	nate	te	na-te	2SG-PL	FUNC	369	01014021	01014021|01020009|01031037|01038023|01038025	0	auto
paikhia	paikhia	pai	pai-khia	go-exit	V	368	01008016	01008016|01008018|01008018|01008019|01009010	0	auto
gim	gim	gim	gim	faint	UNK	365	01004013	01004013|01009005|01035016|01035017|02001013	0	auto
ciat	ciat	ciat	ciat	each	UNK	364	01006019	01006019|01006020|01007014|01007014|01007014	0	auto
dang	dang	dang	dang	other	N	357	01005004	01005004|01005007|01005010|01005013|01005016	0	auto
sim	sim	sim	sim	count	N	356	01013016	01013016|01014002|01015005|01015005|01034025	0	auto
“Na	“na	na	Na	2SG	FUNC	355	01002016	01002016|01003004|01003011|01004009|01012001	0	auto
peuhmah	peuhmah	peuhmah	peuhmah	whosoever	N	355	01004014	01004014|01006005|01006020|01007004|01007008	0	auto
kici	kici	kici	kici	called	UNK	354	01002023	01002023|01005006|01005009|01005012|01005015	0	auto
galte	galte	gal	gal-te	enemy-PL	N	350	01014011	01014011|01014020|02001010|02015006|02015009	0	auto
nasem	nasem	nasem	nasem	servant	N	349	01012016	01012016|01012016|01022003|01024034|01024035	0	auto
khialhna	khialhna	khial	khialh-na	wrong-NMLZ	V	348	01018020	01018020|01020009|01020009|01031036|01050017	0	auto
lian	lian	lian	lian	great	N	347	01001016	01001016|01007019|01010012|01012002|01015001	0	auto
