item_type	item_id	verse_id	tedim_text	segmented	glossed	kjv_text	example_quality	word_count	sense_id	usage_type	function_match
lemma	le	01001006	Pasian in, “Tuite' laizangah van kuumpi om hen la, tua van kuumpi in tui le tui kikhensak hen,” ci hi.	le	and	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.	additional	20	le.1	lexical	1
lemma	le	01001007	Pasian in van kuumpi bawl a, van kuumpi tunga om tuite le van kuumpi nuai-a om tuite a khen hi. Tua mah bangin a piang pah hi.	le	and	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.	additional	27	le.1	lexical	1
lemma	le	01001014	Pasian in, “Sun le zan a khen dingin vantungah khuavakte om hen; tuate pen pawi hun le khuahun, ni le kumte khen nading hi hen la,	le	and	And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:	additional	26	le.1	lexical	1
lemma	lei	01001001	A kipat cil-in Pasian in vantung le leitung a piangsak hi.	lei-tung	land-on	In the beginning God created the heaven and the earth.	shortest	11	lei.1	lexical	1
lemma	lei	01002001	Tua ahih ciangin vantung, leitung, le a sunga omte khempeuh kiman khin hi.	lei-tung	land-on	Thus the heavens and the earth were finished, and all the host of them.	transparent	13	lei.1	lexical	1
lemma	lei	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	lei-tung	land-on	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	lei.1	lexical	1
lemma	lei	01001009	Pasian in, “Vantungte nuai-a om tuite mun khatah kikhawm hen la, lei keu kidawk hen,” ci hi. Tua mah bangin a piang pah hi.	lei	buy	And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.	additional	24	lei.1	lexical	1
lemma	lei	01001010	Pasian in lei keu pen “Leitung” ci a, a kikaikhawm tuite pen “Tuipi” ci hi. Pasian in tua pen hoih hi, ci-in a mu hi.	lei	buy	And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.	additional	25	lei.1	lexical	1
lemma	piangsak	01041047	A kihauh kum sagih sungin leitang in tampi piangsak a,	piangsak	cause.birth	And in the seven plenteous years the earth brought forth by handfuls.	shortest	10	piangsak.1	lexical	1
lemma	piangsak	01001001	A kipat cil-in Pasian in vantung le leitung a piangsak hi.	piangsak	cause.birth	In the beginning God created the heaven and the earth.	transparent	11	piangsak.1	lexical	1
lemma	piangsak	01001011	Pasian in, “Leitung in kung tuamtuamte piangsak hen la, tang a nei kungnote, a gah sungah tang a om singgah kungte, amau' nam ciatin leitungah piangsak hen,” ci hi. Tua mah bangin a piang pah hi.	piangsak	cause.birth	And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.	additional	36	piangsak.1	lexical	1
lemma	piangsak	01001012	Leitung in kung tuamtuamte piangkhiasak a, kungnote in amau' nam ciatin tang piangsakin, singkung in a sungah tang a om gahte piangsakin, amau' nam ciatciatin piangsak hi. Pasian in tua pen hoih hi, ci-in a mu hi.	piangsak-in	cause.birth-CVB	And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.	additional	37	piangsak.1	lexical	1
lemma	piangsak	01001020	Pasian in, “Tuite in a nungta ganhing honpite piangsak hen la, vantung kantanin leitungah vasate leeng ta hen,” ci hi.	piangsak	cause.birth	And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.	additional	20	piangsak.1	lexical	1
lemma	lim	01027017	a bawlsa meh lim le an a tapa Jakob a pia hi.	lim	sign	and she gave the savoury meat and the bread, which she had prepared, into the hand of her son Jacob.	shortest	12	lim.1	lexical	1
lemma	lim	01017011	Note' vun dawn ki-at ding a, tua pen kei le note' kikalah thuciamna lim khat hi ding hi.	lim	sign	And ye shall circumcise the flesh of your foreskin; and it shall be a token of the covenant betwixt me and you.	transparent	18	lim.1	lexical	1
lemma	lim	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	lim-le-mel	form-NEG-void	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	lim.1	lexical	1
lemma	lim	01001026	Tua ciangin Pasian in, “Eima lim, eimah hong sunin mihing bawl ni. Tuipi ngasate tung, huihlak vasate tung, ganhingte tung, le leitung a a bokvakte khempeuh tungah ukna neisak ni,” a ci hi.	lim	sign	And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.	additional	33	lim.1	lexical	1
lemma	lim	01001027	Tua ahih ciangin Pasian in ama lim bangin mihing piangsakin, Pasian' lim bangin amah a piangsak hi. Amah in pasal le numei a piangsak hi.	lim	sign	So God created man in his own image, in the image of God created he him; male and female created he them.	additional	25	lim.1	lexical	1
lemma	nei	01004019	Lamek in zi nih nei hi. A khat' min Adah hi a, adang khat' min Zillah ahi hi.	nei	have	And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah.	shortest	18	nei.1	lexical	1
lemma	nei	01004002	Tua ciangin a sanggampa Abel nei leuleu hi. Tu-in Abel, tuu kem pa hi a, Kain, lo khopa ahi hi.	nei	have	And she again bare his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground.	transparent	20	nei.1	lexical	1
lemma	nei	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	nei	have	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	nei.1	lexical	1
lemma	nei	01001011	Pasian in, “Leitung in kung tuamtuamte piangsak hen la, tang a nei kungnote, a gah sungah tang a om singgah kungte, amau' nam ciatin leitungah piangsak hen,” ci hi. Tua mah bangin a piang pah hi.	nei	have	And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.	additional	36	nei.1	lexical	1
lemma	nei	01001021	Tua ahih ciangin Pasian in tuipi ganhing golpite le amau nam ciatin tuipi sungah tampi a pha, nuntakna a nei a gamtang thei ganhing namkim le kha a nei vasa khempeuh amau nam ciatin a piangsak hi. Pasian in tua pen hoih hi, ci-in a mu hi.	nei	have	And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.	additional	47	nei.1	lexical	1
lemma	awng	05023012	“Giahphual pua-ah awnghawh nading mun khat na nei ding uh hi.	awng-hawh	abroad-go	Thou shalt have a place also without the camp, whither thou shalt go forth abroad:	shortest	11	awng.1	lexical	1
lemma	awng	01024023	“Kua' tanu na hi hiam, hong gen in. Na pa' inn-ah kote' giah nading a awng ding hiam?” a ci hi.	awng	open	and said, Whose daughter art thou? tell me, I pray thee: is there room in thy father's house for us to lodge in?	transparent	21	awng.1	lexical	1
lemma	awng	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	awng-thawl-pi	open-waste-big	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	awng.1	lexical	1
lemma	awng	03009024	Topa' mai panin mei hong piangkhia-in meihal biakna le biakna tau tunga om sathau a kang hi. Mi khempeuh in a muh uh ciangin awng uh a, lei maingatin a kunsuk uh hi.	awng	open	And there came a fire out from before the LORD , and consumed upon the altar the burnt offering and the fat: which when all the people saw, they shouted, and fell on their faces.	additional	33	awng.1	lexical	1
lemma	awng	05023013	Na galhiamte uh banah tulzum khat na nei ding uh a, awng na hawh khit uh ciangin tua tawh lei to-in, na ek uh na vuk ding uh hi.	awng	open	and thou shalt have a paddle upon thy weapon; and it shall be, when thou wilt ease thyself abroad, thou shalt dig therewith, and shalt turn back and cover that which cometh from thee:	additional	29	awng.1	lexical	1
lemma	ahi	01001019	Nitak hong bei-in zingsang hong tung a, ni li ni ahi hi.	ahi	be.3SG	And the evening and the morning were the fourth day.	shortest	12		lexical	1
lemma	ahi	01001013	Nitak hong bei-in zingsang hong tung a, ni thum ni ahi hi.	ahi	be.3SG	And the evening and the morning were the third day.	transparent	12		lexical	1
lemma	ahi	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	ahi	be.3SG	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26		lexical	1
lemma	ahi	01001005	Pasian in khuavak pen “Sun” ci a, khuamial pen “Zan” ci hi. Nitak hong bei-in, zingsang hong tung a, ni khat ni ahi hi.	ahi	be.3SG	And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.	additional	24		lexical	1
lemma	ahi	01001008	Pasian in van kuumpi pen “Vantung” ci hi. Nitak hong bei-in zingsang hong tung a, ni nih ni ahi hi.	ahi	be.3SG	And God called the firmament Heaven. And the evening and the morning were the second day.	additional	20		lexical	1
lemma	tui	01007010	A ni sagih ni-in leitungah tuiciin tung hi.	tui-ciin	water-pure	And it came to pass after seven days, that the waters of the flood were upon the earth.	shortest	8	tui.1	lexical	1
lemma	tui	01007006	Leitungah tuiciin a tun lai-in Noah kum zaguk pha hi.	tui-ciin	water-pure	And Noah was six hundred years old when the flood of waters was upon the earth.	transparent	10	tui.1	lexical	1
lemma	tui	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	tui-pi	water-big	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	tui.1	lexical	1
lemma	tui	01001006	Pasian in, “Tuite' laizangah van kuumpi om hen la, tua van kuumpi in tui le tui kikhensak hen,” ci hi.	tui	water	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.	additional	20	tui.1	lexical	1
lemma	tui	01001007	Pasian in van kuumpi bawl a, van kuumpi tunga om tuite le van kuumpi nuai-a om tuite a khen hi. Tua mah bangin a piang pah hi.	tui-te	water-PL	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.	additional	27	tui.1	lexical	1
lemma	tung	01007010	A ni sagih ni-in leitungah tuiciin tung hi.	tung	on	And it came to pass after seven days, that the waters of the flood were upon the earth.	shortest	8	tung.1	lexical	1
lemma	tung	01001019	Nitak hong bei-in zingsang hong tung a, ni li ni ahi hi.	tung	on	And the evening and the morning were the fourth day.	transparent	12	tung.1	lexical	1
lemma	tung	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	tung	on	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	tung.1	lexical	1
lemma	tung	01001005	Pasian in khuavak pen “Sun” ci a, khuamial pen “Zan” ci hi. Nitak hong bei-in, zingsang hong tung a, ni khat ni ahi hi.	tung	on	And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.	additional	24	tung.1	lexical	1
lemma	tung	01001007	Pasian in van kuumpi bawl a, van kuumpi tunga om tuite le van kuumpi nuai-a om tuite a khen hi. Tua mah bangin a piang pah hi.	tung-a	on-3SG	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.	additional	27	tung.1	lexical	1
lemma	khua	01011005	Tua ciangin mihingte' lamsa khuapi le tausangpi a en dingin Topa hong paisuk hi.	khua-pi	village-big	And the LORD came down to see the city and the tower, which the children of men builded.	shortest	14	khua.1	lexical	1
lemma	khua	01015012	Ni a tum ciangin Abram a ihmut nak suah mahmah a, khua mial bekbak a, lau mahmah hi.	khua	town	And when the sun was going down, a deep sleep fell upon Abram; and, lo, an horror of great darkness fell upon him.	transparent	18	khua.1	lexical	1
lemma	khua	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	khua	town	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	khua.1	lexical	1
lemma	khua	01001015	leitung khua a vaksak dingin vantungah khuavak hi uh hen,” ci hi. Tua mah bangin a piang pah hi.	khua	town	and let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.	additional	19	khua.1	lexical	1
lemma	khua	01001016	Pasian in khuavak lian nih bawl a, khuavak lianzaw pen sun a uk ding, khuavak neuzaw pen zan a uk dingin bawl a, amah in aksite zong a bawl hi. Leitungah khua a vaksak ding, sun le zan a uk ding, khuamial panin khuavak a khenkhia dingin Pasian in vantungah tuate a koih hi. Pasian in tua pen hoih hi, ci-in a mu hi.	khua	town	And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.	additional	64	khua.1	lexical	1
lemma	mial	18017007	Ka dahna hangin ka mit mial a, ka khut ka khete ciangkang bang ta hi.	mial	darkness	Mine eye also is dim by reason of sorrow, And all my members are as a shadow.	shortest	15	mial.1	lexical	1
lemma	mial	18018006	Ama buk sungah a meivak mit ding a, ama inn sungah khua a mial ding hi.	mial	darkness	The light shall be dark in his tabernacle, And his candle shall be put out with him.	transparent	16	mial.1	lexical	1
lemma	mial	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	mial	darkness	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	mial.1	lexical	1
lemma	mial	01015012	Ni a tum ciangin Abram a ihmut nak suah mahmah a, khua mial bekbak a, lau mahmah hi.	mial	darkness	And when the sun was going down, a deep sleep fell upon Abram; and, lo, an horror of great darkness fell upon him.	additional	18	mial.1	lexical	1
lemma	mial	01015017	Ni tumin khua a mial khit ciangin, en in, hih sate kikalah mei beel khu le a kuang meivak a pai hi.	mial	darkness	And it came to pass, that, when the sun went down, and it was dark, behold a smoking furnace, and a burning lamp that passed between those pieces.	additional	22	mial.1	lexical	1
lemma	bik	18041016	Tua lipte khatlekhat kithuapcip bikbek ahih manin, khatlekhat kikalah huih nangawn thawl zo lo hi.	bik-bek	small~REDUP	One is so near to another, That no air can come between them.	shortest	15	bik.1	lexical	1
lemma	bik	18041015	A nungzang sukah a lipte lum bangin kithuapsuk cinten a, suang bangin sakin kimatcip bikbek ciat hi.	bik-bek	small~REDUP	His scales are his pride, Shut up together as with a close seal.	transparent	17	bik.1	lexical	1
lemma	bik	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	bik-bek	small~REDUP	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	bik.1	lexical	1
lemma	bik	02010022	Tua ahih ciangin Moses in vantung lamah a khut zan a, Egypt leitang tung khempeuh ni thum sung khua mial bikbek hi.	bik-bek	small~REDUP	And Moses stretched forth his hand toward heaven; and there was a thick darkness in all the land of Egypt three days:	additional	22	bik.1	lexical	1
lemma	bik	07016013	Tua ciangin Delilah in Samson kiangah, “Tu dong kei nong simmawh a, zuauthu nong gen hi. Nang hong bangci kihen theih ding cih hong gen in,” a ci hi. Amah in tua nu kiangah, “Ka lu tunga ka sam lom sagihte mimkhau tawh gan khawmin ciampek tawh khen bikbek lecin ka tha nem ding a, midang mah ka bang ding hi,” a ci hi.	bik-bek	small~REDUP	And Delilah said unto Samson, Hitherto thou hast mocked me, and told me lies: tell me wherewith thou mightest be bound. And he said unto her, If thou weavest the seven locks of my head with the web.	additional	64	bik.1	lexical	1
lemma	tua	01001003	Pasian in, “Khuavak om hen,” ci hi; tua ciangin khuavak om pah hi.	tua	that	And God said, Let there be light: and there was light.	shortest	13	tua.1	grammatical	1
lemma	tua	01001004	Pasian in tua khuavak hoih hi, ci-in a mu hi. Pasian in khuamial panin khuavak khenkhia hi.	tua	that	And God saw the light, that it was good: and God divided the light from the darkness.	transparent	17	tua.1	grammatical	1
lemma	tua	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	tua	that	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	tua.1	grammatical	1
lemma	tua	01001006	Pasian in, “Tuite' laizangah van kuumpi om hen la, tua van kuumpi in tui le tui kikhensak hen,” ci hi.	tua	that	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.	additional	20	tua.1	grammatical	1
lemma	tua	01001007	Pasian in van kuumpi bawl a, van kuumpi tunga om tuite le van kuumpi nuai-a om tuite a khen hi. Tua mah bangin a piang pah hi.	Tua	that	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.	additional	27	tua.1	grammatical	1
lemma	pasian	01006022	Noah zong tua bangmahin gamta a, Pasian' thupiak khempeuh a hih hi.	Pasian'	God.POSS	Thus did Noah; according to all that God commanded him, so did he.	shortest	12	pasian.1	lexical	1
lemma	pasian	01006011	Tu-in Pasian' muhna-ah leitung sia a, leitungah ngongtatna kidim hi.	Pasian'	God.POSS	The earth also was corrupt before God, and the earth was filled with violence.	transparent	10	pasian.1	lexical	1
lemma	pasian	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	Pasian'	God.POSS	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	pasian.1	lexical	1
lemma	pasian	01001027	Tua ahih ciangin Pasian in ama lim bangin mihing piangsakin, Pasian' lim bangin amah a piangsak hi. Amah in pasal le numei a piangsak hi.	Pasian'	God.POSS	So God created man in his own image, in the image of God created he him; male and female created he them.	additional	25	pasian.1	lexical	1
lemma	pasian	01003001	Tu-in gulpi pen, Topa Pasian' bawlsa gamlak ganhing dangte khempeuh sangin ngiansiam zaw hi. Amah in numei kiangah, “Pasian in, 'Huan sung singgah khat peuhpeuh ne lo ding,' hong ci ahi hiam?” ci hi.	Pasian'	God.POSS	Now the serpent was more subtil than any beast of the field which the LORD God had made. And he said unto the woman, Yea, hath God said, Ye shall not eat of every tree of the garden?	additional	34	pasian.1	lexical	1
lemma	Kha	01008014	A kha nihna, tua kha ni sawmnih le sagih ni-in leitung keu hi.	kha	NEG.PERF	And in the second month, on the seven and twentieth day of the month, was the earth dried.	shortest	13		mixed	1
lemma	Kha	01008004	Kha sagihna, tua kha ni sawm le sagih ni-in Ararat mualtungah teembaw kinga hi.	kha	NEG.PERF	And the ark rested in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat.	transparent	14		mixed	1
lemma	Kha	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	kha	NEG.PERF	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26		mixed	1
lemma	Kha	01001021	Tua ahih ciangin Pasian in tuipi ganhing golpite le amau nam ciatin tuipi sungah tampi a pha, nuntakna a nei a gamtang thei ganhing namkim le kha a nei vasa khempeuh amau nam ciatin a piangsak hi. Pasian in tua pen hoih hi, ci-in a mu hi.	kha	NEG.PERF	And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.	additional	47		mixed	1
lemma	Kha	01003011	Amah in, “Na guaktanga na omna kua in hong gen ahi hiam? Na nek loh dinga kong thupiak singgah ne kha na hi hiam?” ci hi.	kha	NEG.PERF	And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?	additional	26		mixed	1
lemma	sem	01043017	Josef' sawl bangin mipa in sem a, Josef' inn-ah mite paipih hi.	sem	serve	And the man did as Joseph bade; and the man brought the men into Joseph's house.	shortest	12	sem.1	lexical	1
lemma	sem	01040004	Inncing mangpa in amaute Josef kemsak a, amah in amaute' na sem hi. Kikhumna sungah amaute tawlkhat om uh hi.	sem	serve	And the captain of the guard charged Joseph with them, and he served them: and they continued a season in ward.	transparent	20	sem.1	lexical	1
lemma	sem	01001002	Leitung in limlemel nei loin a awngthawlpi ahi hi. Tuipi tung tengah khua mial bikbek a, tua tui tungah Pasian' Kha in na a sem hi.	sem	serve	And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.	additional	26	sem.1	lexical	1
lemma	sem	01003017	Tua ciangin mipa kiangah, “Nang in na zi' thu mangin, 'Nang in na ne kei ding hi,' ci-in nang kong thupiak singgah ne na hih ciangin, nangma hangin leitang in samsiatna ngah hi. Na nuntak tawntung gimpi-in na semin na annek ding na zong ding hi.	sem-in	serve-CVB	And unto Adam he said, Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying, Thou shalt not eat of it: cursed is the ground for thy sake; in sorrow shalt thou eat of it all the days of thy life;	additional	46	sem.1	lexical	1
