lemma	citation_form	pos	primary_gloss	gloss_candidates	review_gloss_summary	english_glosses	all_glosses	gloss_counts	inflected_forms	token_count	form_count	compounds	top_collocates	example_verses	is_polysemous	is_grammatical	needs_review	entry_status	polysemy_notes	grammaticalization_notes	sense_count	pos_variants	entry_type	lexical_frequency	grammatical_frequency	review_priority	backend_issues
om	om	V	exist	exist|rest|be|REFL|1SG		exist	1SG|REFL|be|exist|presence|present|rest	exist:6456|rest:243|be:62|REFL:11|1SG:8|present:1|presence:1	kawmun|ki-om|ki-omsak|ki-omsakkik|om|om!”|om)|omcip|omcipin|omdan|omden|omgawp|omin|omkha|omkhak|omkhawm|omkhawmin|omkhawmna|omkhawmte|omkhin	6782	88		hi:1702|ding:740|mi:599|lai:385|gam:358|hong:339|khat:298|khua:296|ahi:256|thu:252	01001003|01001003|01001006|01001007|01001007	0	1	0	clean		exist/be present	3	V:6782	lexical	6763	19	low	
pasian	pasian	N	God	God|God.POSS|god|god.POSS	God | God.POSS | god	God|god	God|God.POSS|god|god.POSS	God:3851|God.POSS:1681|god:393|god.POSS:12	(pasian|pasian|pasian!)|pasian!”|pasian-a|pasian-in|pasian-te|“pasian|”(pasian	5937	9		topa:1199|hi:819|thu:499|hong:443|tung:441|mi:346|ahi:325|aw:297|ding:284|bia:241	01001001|01001002|01001003|01001004|01001004	1	0	1	polysemous_review			2	N:5937	lexical	5937	0	low	
pai	pai	V	go	go|go.out|REFL|send.out|PAI		cast|drive|go|goI|pour	PAI|REFL|cast|drive|go|go.COMP|go.II|go.out|send.out	go:5625|go.out:136|REFL:28|send.out:14|PAI:8|cast:4|go.II:3|go.COMP:2|drive:1	kipai|kipai-in|kipaidak|kipaih|kipaihkhiat|kipaihna|kipaii|kipaikhia|kipaikhiat|kipaimang|kipaipihna|kipaithang|kipaithangin|pai|pai!”|pai,”|pai-in|paidak|paih|paihdak	5821	119		hong:2124|hi:1315|ding:994|mi:380|ciang:377|pan:322|va:228|gam:226|ci:200|lai:184	01002019|01002022|01003008|01003014|01004003	0	1	0	clean		go (not pour)	2	V:5820|ADV:1	lexical	5793	28	high	multiple_pos_variants
ahih	ahih	V		be.3SG.REL	be.3SG.REL	be.NOM	be.3SG.REL	be.3SG.REL:5804	(ahih|ahih|“'ahih|“ahih	5804	4		ciang:1517|hang:1451|hi:1172|ding:281|mi:166|thu:139|om:132|thei:126|pasian:104|topa:102	01001021|01001027|01002001|01002003|01002005	0	1	1	mixed_lex_gram		copula nominalized	1	V:5804	lexical	5804	0	low	
pan	pan	V	ABL	ABL|REFL|from|plead|begin		ABL	ABL|ABL.POSS|REFL|begin|from|plead|young	ABL:4943|REFL:414|from:212|plead:109|begin:4|young:2|ABL.POSS:2	kipan|kipanin|kipankhia|kipankik|kipanta|kipanto|pan|pangah|panin|pankhia|pankik|panmun|panmun-ah|panmunkip|panmunte|panmunte-ah|panna|panpih|panpihin|panpihna	5686	23		hong:735|mi:531|gam:477|tung:416|hi:337|ding:323|pai:322|khua:277|lak:245|lai:162	01001004|01001016|01002002|01002003|01002006	1	1	1	clean		ablative case marker	4	V:5662|N:23|ADJ:1	grammatical	327	5359	high	multiple_pos_variants|polysemous_needs_sense_split
khat	khat	N	one	one|one.POSS		one	one|one.POSS	one:5506|one.POSS:57	khat|khat!”|khat-a|khata|khatah|khate|khate-in|khatin|khatkhatin|khatlekhat|khatna|khatna-ah|khatpeuh|khatpeuhah|khatpeuhin|khatte|khatthu-in|khatvei|khatveina|“khat	5563	20		mi:957|hong:362|hi:332|om:298|nei:248|ahi:221|bawl:204|thu:179|dang:176|kum:170	01001005|01001009|01002008|01002010|01002020	1	0	1	clean		one/a (numeral/article)	1	N:5563	lexical	5563	0	high	polysemous_needs_sense_split
thei	thei	V	know	know|know.II|know.I|REFL|oil		know|knowI|oil|wisdom	REFL|fig|fruit|know|know.I|know.II|oil|see|wisdom	know:2650|know.II:1697|know.I:256|REFL:115|oil:20|fig:5|see:3|wisdom:2|fruit:2	kithei|kithei-in|kitheih|kitheihmawh|kitheihna|kitheihna-ah|kitheihsak|kitheihsakna-ah|kitheihsakna-in|kitheihtel|kitheihthang|kitheikhia|kitheikim|kitheisak|kitheite|kitheithang|kitheithangsak|thei|thei-in|theigah	4750	98		hi:1287|ding:1171|thu:514|ci:354|hong:313|mi:206|om:181|ahi:141|mu:140|ahih:126	01001021|01002009|01002016|01002017|01002019	1	1	1	polysemous_review		know/able (not fig)	2	V:4696|N:53|DET:1	unresolved	4635	2694	high	multiple_pos_variants|polysemous_needs_sense_split
gam	gam	N	land	land|wilderness|south|kingdom|other.lands		earth|kingdom|land|south|wilderness	REFL|earth|kingdom|land|land.POSS|land.midst|other.land|other.lands|other.lands.POSS|south|wilderness	land:4606|wilderness:68|south:22|kingdom:14|other.lands:13|other.land:5|earth:5|land.POSS:4|REFL:2|land.midst:1	(gam|gam|gam,”|gam-late|gam-ui|gamah|gamah!”|gambawngtal|gambulak|gambup|gambuppi-ah|gamdai|gamdai-in|gamdaih|gamdaihna|gamdaizaw|gamdang|gamdangah|gamdangmi|gamdangpi	4741	82		pan:477|hi:456|om:358|mi:353|ding:326|kumpi:267|ciang:247|pai:226|khua:222|uk:180	01001021|01001024|01001025|01001028|01002005	0	1	0	clean			6	N:4734|ADV:5|V:2	lexical	4739	2	high	multiple_pos_variants
ama	ama	PRON	3SG.POSS	3SG.POSS|AMA|3SG.POSS.POSS			3SG.POSS|3SG.POSS.POSS|AMA	3SG.POSS:4299|AMA:52|3SG.POSS.POSS:1	(ama|ama|“ama|”'ama	4352	4		hi:509|tung:451|ding:338|ciang:314|mi:301|thu:284|topa:161|min:156|pai:150|pasian:141	01001027|01002002|01002003|01002008|01002018	0	1	0	clean			3	PRON:4352	grammatical	52	4300	low	
pia	pia	V	give	give|give.to|be.given|give.II|REFL	give | give.to | be.given	give|give.to|giveI|sacrifice	1SG→3|REFL|be.given|give|give.II|give.to|sacrifice	give:2579|give.to:987|be.given:362|give.II:53|REFL:31|sacrifice:3|1SG→3:1	kipia|kipia-in|kipiakhia|kipiakhiate|kipiakik|kipiakna|kipiakna-in|kipiaknate|kipialsak|kipiansak|kipiansakin|kipiasa|kipiasak|kipiasawn|kipiate|kipiathuah|kipiazah|kipiazaw|kipiazo|kongpi-ate	4016	71		ding:1175|hong:965|hi:893|thu:558|tung:462|bia:220|gim:198|ahi:109|mi:102|ci:99	01001022|01001028|01001029|01001030|01002003	1	1	1	polysemous_review			4	V:4002|N:6|ADV:6|DET:2	lexical	3985	31	high	multiple_pos_variants
khua	khua	N	town	town|village|townspeople|sky|townspeople.POSS	town | village | townspeople	city|cloud|mind|place|reflexive|sky|spirit|time|town|townI|townspeople|village|weather	REFL|city|cloud|mind|place|sky|spirit|time|town|town.II|town.POSS|townspeople|townspeople.POSS|village|weather	town:2410|village:1201|townspeople:75|sky:16|townspeople.POSS:15|spirit:12|cloud:10|place:3|time:2|weather:2	khausai|khua|khua-a|khua-ah|khua-ate|khua-in|khua-ul|khuabul|khuadak|khuadakdak|khuadakin|khuadakna|khuadaksuk|khuadakto|khuadakto-in|khuadaktoh|khuadakzo|khuadam|khuadampi|khuadang	3754	80		hi:407|om:296|pan:277|ciang:266|mi:248|gam:222|pai:178|ding:159|hong:137|ahi:125	01001002|01001015|01001016|01003007|01003019	1	1	1	polysemous_review			13	N:3731|V:20|ADV:3	lexical	3753	1	high	multiple_pos_variants
gen	gen	V	speak	speak|conversation|REFL|eloquence|prophecy		conversation|eloquence|prophecy|say|speak	(conversation)|REFL|conversation|eloquence|prophecy|say|speak	speak:3422|conversation:145|REFL:42|eloquence:7|prophecy:7|say:3|(conversation):1	gen|gen,”|genbeh|genbelin|gendai|gengenin|gengenna|genhak|genin|genin-ah|genkha|genkhak|genkhawm|genkhawmin|genkhia|genkhia-in|genkhiat|genkhiate|genkhiatna|genkhiatsawn	3627	97		thu:1126|hi:891|hong:765|ding:518|ci:418|tung:205|ciang:199|mi:149|topa:143|khin:103	01003011|01009022|01012004|01012018|01014013	0	1	0	clean			6	V:3627	lexical	3585	42	low	
hang	hang	V	because	because|reason|REFL|roast|CAUS		because|cause|dig|offspring|reason|roast	CAUS|REFL|because|reason|roast	because:3548|reason:6|REFL:3|roast:2|CAUS:1	hangin|hangin)|hangkeu-in|hangsak|hangsakin|hangsan|hangsankhak|kihangkeu|kihangsak	3560	9		ahih:1451|thu:263|hi:246|mi:237|topa:233|hong:177|pasian:151|ama:125|lung:111|mawh:98	01002017|01002020|01002024|01003003|01003004	0	1	0	clean			5	V:3557|N:3	lexical	3556	4	high	multiple_pos_variants
pa	pa	N	father	father|male.POSS|male|REFL|completely		completely|father|hundred|male	REFL|completely|father|hundred|male|male.POSS	father:2671|male.POSS:356|male:356|REFL:7|completely:7|hundred:3	kipaai|kipaai-in|pa|pa!)|pa!”|pa)|pa,”|pa-a|pa-in|paai|paai-ah|paai-in|paakin|paang|paat|paatgawp|paatgawpta|paatsak|pahin|pahtak	3400	40		hi:439|pu:202|ahi:201|tung:187|hong:182|pasian:152|ding:149|thu:124|aw:103|nu:102	01002007|01002024|01004002|01004003|01004009	0	1	0	clean			5	N:3374|ADV:19|DET:4|V:3	lexical	3393	7	high	multiple_pos_variants
lai	lai	N	place	midst|middle|tip|writing|letter		place	REFL|book|exact.midst|leaf|letter|middle|midst|mouth|time|tip|write|writing	midst:2745|middle:533|tip:26|writing:19|letter:18|REFL:13|book:6|leaf:5|write:4|time:2	kilai|kilai-in|kilaigawp|kilailawh|kilaina|kilaina-in|kilaithang|kongkalai-ah|lai|lai-a|lai-ah|lai-at|lai-atte|lai-in|lai-un|laia|laibawl|laidal|laidalte|laigawp	3373	66		hi:817|om:385|ding:203|hun:196|hong:188|pai:184|siangtho:170|pan:162|mi:130|mun:118	01001006|01002004|01002008|01002009|01003003	0	1	0	clean		place/middle	2	N:2520|ADV:850|DET:2|V:1	unresolved	3360	1214	high	multiple_pos_variants
kumpi	kumpi	N	king	king|KUMPI|king.POSS		king	KUMPI|king|king.POSS	king:3106|KUMPI:2|king.POSS:1	(kumpinu|(kumpipa|kumpi|kumpi,”|kumpi-in|kumpi-zi|kumpinu|kumpinute|kumpipa|kumpipa!”|kumpipa,”|kumpipa-in|kumpipate|kumpipuan|kumpite|“kumpi|“kumpi-in|“kumpipa	3109	18		ciang:460|hi:317|gam:267|tung:228|ding:178|khat:128|mi:126|hong:111|thu:110|ta:103	01010010|01014001|01014001|01014001|01014001	0	0	0	clean			1	N:3109	lexical	3109	0	low	
bia	bia	V	worship	worship|pray|worship.II|REFL|temples		pray|temples|worship|worshipI	REFL|pray|temples|worship|worship.II	worship:3040|pray:31|worship.II:12|REFL:3|temples:2	(biakinn|bia|bia-in|biak|biakbuak|biakbuk|biakbuk-a|biakbuk-ah|biakha|biakhawm|biakinn|biakinn-a|biakinncing|biakinnsung|biakinnte|biakkhak|biakkhop|biakna|biakna-a|biakna-ah	3088	42		tau:413|topa:294|ding:292|meihal:266|pasian:241|hi:230|pia:220|mi:168|an:153|thu:132	01004026|01008020|01008020|01008020|01012007	0	1	0	clean			5	V:3087|ADV:1	lexical	3085	3	high	multiple_pos_variants
ni	ni	N	day	day|sneeze|day.POSS|always|birthday		always|birthday|day|sneeze	always|birthday|day|day.POSS|sneeze	day:3001|sneeze:3|day.POSS:1|always:1|birthday:1	ni|ni!”|ni,”|ni-a|ni-in|ni-nai|ni-un|niamna|niamna-a|niamta|niamte|niamzaw|nidang|nidanga|nidangin|nidangte|nihun|niim|nikhat|niliim	3007	50		ciang:336|hi:266|lam:255|sagih:228|ding:174|khat:158|ci:132|hong:130|pan:121|mi:102	01001005|01001005|01001005|01001008|01001008	0	0	0	clean			4	N:2707|ADV:186|V:114	lexical	3007	0	high	multiple_pos_variants
nei	nei	V	have	have|have.II|REFL|possessions		have|haveI|possessions	REFL|have|have.II|possessions	have:2555|have.II:248|REFL:77|possessions:35	kinei|kinei-in|kineih|kineihin|kineihkhemna|kineihkhemte|kineihlai|kineihnuam|kineihpih|kineite|nei|nei-a|nei-in|neih|neihdang|neihin|neihkhak|neihkhakna|neihkhawm|neihkik	2915	63		hi:661|ding:360|khat:248|mi:185|thu:123|lung:117|ta:112|pa:102|ahi:101|hong:82	01001002|01001011|01001021|01001021|01001024	0	1	0	clean			4	V:2891|N:24	lexical	2838	77	high	multiple_pos_variants
bawl	bawl	V	make	make|REFL|complete.destruction|be.made|creation		creation|fortify|make	REFL|be.made|complete.destruction|creation|fortify|make	make:2275|REFL:358|complete.destruction:37|be.made:20|creation:14|fortify:4	bawl|bawl,”|bawlgawp|bawlgawpna|bawlin|bawlkha|bawlkhak|bawlkhin|bawlkhit|bawlkhol|bawlkholh|bawlkholhna-in|bawlkik|bawlkikin|bawlkikzawh|bawlkim|bawllai|bawlna|bawlna-ah|bawlna-in	2708	71		ding:606|hi:586|hong:324|khat:204|mi:152|tung:107|lam:82|lem:82|mawh:77|ahi:76	01001007|01001016|01001016|01001016|01001026	0	1	0	clean			4	V:2705|DET:2|N:1	unresolved	2350	358	high	multiple_pos_variants
lung	lung	N	heart	heart|stone|feel|gladly|discourage	heart | stone | feel	brightness|comfort|compassion|confidence|contentment|desire|discourage|feel|gladly|heart|meek|mind|peace|stone|tempt|wrath	(desire)|REFL|brightness|cause.sorrow|comfort|compassion|confidence|contentment|desire|discourage|feel|gladly|heart|joyful.ones|meek|mind|peace|peaceful.ones|peaceful.ones.POSS|sorrowful.ones|stone|tempt|wrath	heart:1214|stone:986|feel:107|gladly:93|discourage:43|desire:29|confidence:19|cause.sorrow:12|mind:11|REFL:5	kilunggimsak|kilunggulhna|kilungkim|kilungnuamsak|kilungsim|lung|lung-am|lung-amin|lung-amsak|lungdam|lungdamhuai|lungdamin|lungdamsak|lungdamte|lungdamzaw|lungduai|lungduai-in|lungduaina|lungduaisak|lungduaitakin	2540	137		hi:274|ding:229|mi:185|hong:154|tung:141|ciang:123|thu:117|nei:117|takin:116|om:113	01006005|01006006|01008021|01008021|01019016	1	1	1	polysemous_review			17	N:2540	lexical	2535	5	low	
lam	lam	N	way	way|road|other.way|path|NMLZ		build|desire|direction|guide|manner|midway|path|place|road|roads|way|wild	NMLZ|REFL|build|desire|direction|guide|manner|midway|other.way|path|place|road|roads|way|wild	way:1642|road:305|other.way:148|path:85|NMLZ:76|REFL:64|build:57|manner:39|midway:21|roads:17	kilam|kilamdan|kilamdang|kilamdangin|kilamdanna|kilamet|kilamkikna|kilamna|lam|lam-an|lama|lamah|lambaangin|lamdang|lamdangdang|lamdangin|lamdangsak|lamdangte|lamding|lamdung	2469	90		ni:255|ding:225|hi:201|pai:154|om:139|leilu:135|gam:134|hong:118|bia:117|leitaw:111	01002008|01002014|01003014|01003024|01003024	0	1	0	clean			14	N:2403|V:66	lexical	2329	140	high	multiple_pos_variants
ta	ta	N		child|REFL|cut|PFV|enemy	child | REFL | cut	call|cause|child|cut|enemy|gather	PFV|REFL|child|cut|enemy	child:2423|REFL:12|cut:5|PFV:4|enemy:4	kitasam|taciingte|tadihin|tahum|takhawm|tamasak|tanu|tanu-ngak|tapa|tapa!”|tapa)|tapa-in|tasak|tasam|tasamsak|tasel|taseleh|tasuahna-in|tavuanteng|“tapa	2448	20		hi:274|ahi:231|mi:214|ciang:159|khat:143|ding:114|nei:112|pan:109|kumpi:103|ama:101	01004020|01004025|01004026|01005003|01005004	1	1	1	mixed_lex_gram		perfective aspect marker	3	N:2414|V:29|DET:5	lexical	2432	16	high	multiple_pos_variants|polysemous_needs_sense_split
aw	aw	N	voice	voice		voice	voice	voice:2442	aw|aw,”|aw-in|aw-zol|awging|awte|“aw	2442	7		topa:644|pasian:297|mi:290|hong:228|hi:184|thu:120|ahi:117|sanggam:105|pa:103|kumpi:92	01004023|01004023|01004023|01015001|01015002	0	0	0	clean			1	N:2318|V:124	lexical	2442	0	high	multiple_pos_variants
mu	mu	V	see	see.I|see|see.II|REFL|abomination		abomination|kiss|lip|see|seeI|smell	1PL.INCL|REFL|abomination|bird|dream|kiss|lip|see|see.I|see.II|smell|suck~REDUP	see.I:1116|see:696|see.II:374|REFL:68|abomination:46|kiss:24|1PL.INCL:7|bird:6|lip:6|smell:2	ihmu-in|kimudahin|kimudahsak|kimuh|kimuhdahna|kimuhmawh|kimuhna|kimuhnop|kimuhpih|kimukhia|kimukik|kimuthei|kimuzo|mu|mu-in|muak|muap|muatcip|muatgawp|muatlam	2347	99		hi:559|ciang:336|ding:289|hong:215|mi:169|thei:140|thu:115|topa:104|khat:93|khua:84	01001004|01001010|01001012|01001016|01001021	0	1	1	polysemous_review		see (not kiss)	3	V:2342|N:2|DET:2|ADV:1	lexical	2272	75	high	multiple_pos_variants
Israel	Israel	PROP	Israel	ISRAEL|ISRAEL.POSS			ISRAEL|ISRAEL.POSS	ISRAEL:1986|ISRAEL.POSS:21	israel	2007	1		ciang:230|hi:172|topa:101|ding:96|pan:73|mi:41|ci:41|ahi:39|hang:37|om:36	01032028|01032032|01034007|01035010|01035010	0	0	0	clean			1	PROP:2007	lexical	2007	0	low	
inn	inn	N	house	house|INN|household|tent.cover		house|household	INN|house|household|tent.cover	house:1978|INN:2|household:1|tent.cover:1	inn|inn-a|inn-ah|inn-ate|innbul|inncing|inncingte|inncinna|inndap|inndei|inndei-ah|inndeineu|inndeipi|inndeite|inndeite-ah|innkam|innkamte|innkhangte|innkhuam|innkhuampi	1982	67		om:151|hi:147|pan:125|ciang:103|kumpi:103|ding:102|pai:100|ama:98|mi:96|pa:92	01007001|01008019|01010020|01010031|01010032	0	0	0	clean			2	N:1979|V:2|AUX:1	lexical	1982	0	high	multiple_pos_variants
lei	lei	V	land	land|buy|earth|dust|REFL		borrow|buy|debt|dust|earth|land|male|on|spirit	LEI|REFL|borrow|buy|debt|dust|earth|land	land:1427|buy:365|earth:71|dust:63|REFL:9|LEI:1|debt:1|borrow:1	kilei|kileinapa|kileizo|lei|lei-a|lei-ah|lei-in|leibate|leibatnate|leidaina|leidawk|leihawmpi|leihawmte|leihoih|leihoihna|leihumte|leikang|leikha|leikhal|leikhop	1938	53		hi:272|mi:212|ding:131|pan:112|om:92|tung:89|pia:78|van:76|ciang:58|gam:56	01001001|01001002|01001009|01001010|01001010	0	1	0	clean			7	V:1525|UNK:368|N:39|ADV:6	lexical	1929	9	high	multiple_pos_variants
mai	mai	N	face	face|appearance|REFL|radiant|bow.down		appearance|face|oppose|radiant	MAI|REFL|appearance|bow.down|face|oppose|radiant	face:1817|appearance:10|REFL:7|radiant:5|bow.down:4|MAI:3|oppose:1	kimaingat|kimaituah|kimaituahin|kimaizumsak|mai|mai-a|mai-ah|mai-ate|mai-et|mai-etin|mai-in|maigum|maigumna|maigumsak|maihem|maikhinna|maiman|maimangsak|maimankhak|maimanna	1847	61		topa:274|ding:198|hong:169|hi:132|ama:125|mi:120|pasian:117|pai:94|ciang:74|mawh:74	01002025|01004005|01004006|01006008|01009023	0	1	0	clean			5	N:1585|V:258|ADV:4	lexical	1840	7	high	multiple_pos_variants
Jesuh	Jesuh	PROP	Jesuh	JESUH|JESUH.POSS			JESUH|JESUH.POSS	JESUH:1690|JESUH.POSS:144	jesuh	1834	1		ciang:302|topa:120|ahi:93|hi:84|pan:56|ahih:51|khua:42|pai:35|ding:32|mi:29	40001001|40001016|40001018|40001021|40001025	0	0	0	clean			1	PROP:1834	lexical	1834	0	low	
tui	tui	N	water	water|island|baptist|baptism|sea		baptism|baptist|baptize|island|pool|sea|springs|water	REFL|TUI|baptism|baptist|baptize|island|pool|sea|springs|water	water:1586|island:43|baptist:20|baptism:11|sea:7|baptize:7|springs:5|pool:2|REFL:2|TUI:1	(tui|kituiphum|kituiphumna|kituisak|tui|tui-ah|tui-al|tui-in|tuibeel|tuibeem|tuibeem-ah|tuibempi|tuibemte|tuibuah|tuibuahna|tuiciin|tuicim|tuidam|tuidawk|tuidawn	1684	100		hi:142|ding:129|om:110|tung:107|pan:101|gei:101|hong:100|ciang:80|dawn:79|khat:48	01001002|01001002|01001006|01001006|01001007	0	1	0	clean			9	N:1594|V:49|AUX:41	lexical	1682	2	high	multiple_pos_variants
lak	lak	V	among	among|take|REFL|1SG→3|spoil		among|spoil|take	1SG→3|REFL|among|spoil|take	among:1341|take:269|REFL:63|1SG→3:5|spoil:2	kilak|kilakkik|kilaklo|kilakna|kilaktawm|konglak|konglakah|lak|lakah|lakha|lakhawm|lakhia|lakin|lakkhia|lakkhial|lakkhiatsak|lakkhin|lakkhit|lakkholzo|lakkik	1680	41		mi:326|pan:245|hong:209|hi:186|ding:184|om:88|mite:46|thu:45|ciang:45|khua:40	01001030|01002019|01003008|01006007|01007003	0	1	0	clean			4	V:1679|ADV:1	lexical	1617	63	high	multiple_pos_variants
