sense_id	lemma	sense_num	pos	gloss	frequency	is_primary	is_grammatical	inflected_forms	example_verses	notes
thei.2	thei	2	FUNC	REFL	115	0	1	ki	01003007|01011007	
gam.1	gam	1	N	land	4630	1	0	gam	01001021|01001024|01001025	
gam.2	gam	2	N	wilderness	68	0	0			
gam.3	gam	3	N	south	22	0	0			
gam.4	gam	4	N	kingdom	14	0	0			
gam.5	gam	5	N	earth	5	0	0			
gam.6	gam	6	FUNC	REFL	2	0	1			
ama.1	ama	1	FUNC	3SG.POSS	4299	1	1	ama	01001027|01002002|01002003	
ama.2	ama	2	UNK	?	52	0	0			
ama.3	ama	3	FUNC	3SG.POSS.POSS	1	0	1			
pia.1	pia	1	V	give	3929	1	0	pia	01001022|01001028|01001029	
pia.2	pia	2	V	giveI	53	0	0			
pia.3	pia	3	FUNC	REFL	31	0	1	ki	01004013	
pia.4	pia	4	V	sacrifice	3	0	0			
khua.1	khua	1	N	town	2427	1	0	khua	01001002|01001015|01001016	
khua.2	khua	2	N	village	1201	0	0	khua	01003019|01004017|01004017	
khua.3	khua	3	N	townspeople	75	0	0			
khua.4	khua	4	N	sky	16	0	0			
khua.5	khua	5	N	spirit	12	0	0			
khua.6	khua	6	N	cloud	10	0	0			
khua.7	khua	7	N	place	3	0	0			
khua.8	khua	8	N	time	2	0	0			
khua.9	khua	9	N	weather	2	0	0			
khua.10	khua	10	N	city	2	0	0			
khua.11	khua	11	N	mind	2	0	0			
khua.12	khua	12	N	townI	1	0	0			
khua.13	khua	13	FUNC	REFL	1	0	1			
gen.1	gen	1	V	speak	3423	1	0	gen	01003011|01009022|01012004	
gen.2	gen	2	V	conversation	145	0	0	ki	01018021	
gen.3	gen	3	FUNC	REFL	42	0	1			
gen.4	gen	4	V	eloquence	7	0	0			
gen.5	gen	5	V	prophecy	7	0	0			
gen.6	gen	6	V	say	3	0	0			
hang.1	hang	1	V	because	3548	1	0	hang	01002017|01002020|01002024	
hang.2	hang	2	V	reason	4	0	0			
hang.3	hang	3	FUNC	REFL	3	0	1			
hang.4	hang	4	V	roast	2	0	0			
hang.5	hang	5	FUNC	CAUS	1	0	1			
pa.1	pa	1	N	father	2671	1	0	pa	01002007|01002024|01004002	
pa.2	pa	2	N	male	712	0	0			
pa.3	pa	3	FUNC	REFL	7	0	1			
pa.4	pa	4	N	completely	7	0	0			
pa.5	pa	5	N	hundred	3	0	0			
lai.1	lai	1	N	place	3360	1	0	lai	01001006|01002004|01002008	
lai.2	lai	2	FUNC	REFL	13	0	1			
kumpi.1	kumpi	1	N	king	3109	1	0	kumpi	01010010|01014001|01014001	
bia.1	bia	1	V	worship	3040	1	0	bia|biak	01004026|01008020|01008020	
bia.2	bia	2	V	pray	31	0	0			
bia.3	bia	3	V	worshipI	12	0	0			
bia.4	bia	4	FUNC	REFL	3	0	1			
bia.5	bia	5	V	temples	2	0	0			
ni.1	ni	1	N	day	3002	1	0	ni	01001005|01001005|01001005	
ni.2	ni	2	N	sneeze	3	0	0			
ni.3	ni	3	N	always	1	0	0			
ni.4	ni	4	N	birthday	1	0	0			
nei.1	nei	1	V	have	2555	1	0	nei	01001002|01001011|01001021	
nei.2	nei	2	V	haveI	248	0	0			
nei.3	nei	3	FUNC	REFL	77	0	1			
nei.4	nei	4	V	possessions	35	0	0			
bawl.1	bawl	1	V	make	2332	1	0	bawl	01001007|01001016|01001016	
bawl.2	bawl	2	FUNC	REFL	358	0	1			
bawl.3	bawl	3	V	creation	14	0	0			
bawl.4	bawl	4	V	fortify	4	0	0			
lung.1	lung	1	V	heart	1214	1	0	lung	01019016|01021012|01021025	
lung.2	lung	2	V	stone	986	0	0	lung	01006005|01006006|01008021	
lung.3	lung	3	V	feel	127	0	0	lung	01021017|01027046	
lung.4	lung	4	V	gladly	93	0	0			
lung.5	lung	5	V	discourage	43	0	0			
lung.6	lung	6	V	desire	29	0	0			
lung.7	lung	7	V	confidence	19	0	0			
lung.8	lung	8	V	mind	11	0	0			
lung.9	lung	9	FUNC	REFL	5	0	1			
lung.10	lung	10	V	peace	3	0	0			
lung.11	lung	11	V	compassion	2	0	0			
lung.12	lung	12	V	comfort	2	0	0			
lung.13	lung	13	V	wrath	2	0	0			
lung.14	lung	14	V	meek	1	0	0			
lung.15	lung	15	V	brightness	1	0	0			
lung.16	lung	16	V	tempt	1	0	0			
lung.17	lung	17	V	contentment	1	0	0			
lam.1	lam	1	N	way	1790	1	0	lam	01002008|01002014|01003014	
lam.2	lam	2	N	road	305	0	0	lam	01003024	
lam.3	lam	3	N	path	85	0	0			
lam.4	lam	4	FUNC	NMLZ	76	0	1			
lam.5	lam	5	FUNC	REFL	64	0	1			
lam.6	lam	6	N	build	57	0	0			
lam.7	lam	7	N	manner	39	0	0			
lam.8	lam	8	N	midway	21	0	0			
lam.9	lam	9	N	roads	17	0	0			
lam.10	lam	10	N	place	5	0	0			
lam.11	lam	11	N	direction	3	0	0			
lam.12	lam	12	N	desire	3	0	0			
lam.13	lam	13	N	guide	2	0	0			
lam.14	lam	14	N	wild	2	0	0			
ta.1	ta	1	N	PFV	2432	1	0	ta	01004020|01004025|01004026	
ta.2	ta	2	FUNC	REFL	12	0	1			
ta.3	ta	3	FUNC	PFV	4	0	1			
aw.1	aw	1	N	voice	2442	1	0	aw	01004023|01004023|01004023	
mu.1	mu	1	V	see	2272	1	0	mu	01001004|01001010|01001012	
mu.2	mu	2	FUNC	REFL	68	0	1	ki	01009014	
mu.3	mu	3	FUNC	1PL.INCL	7	0	1			
Israel.1	Israel	1	PROP	?	1986	1	0	Israel	01032028|01032032|01034007	
inn.1	inn	1	N	house	1981	1	0	inn	01007001|01008019|01010020	
inn.2	inn	2	N	household	1	0	0			
lei.1	lei	1	V	land	1427	1	0	lei	01001001|01001002|01001010	
lei.2	lei	2	V	buy	365	0	0	lei	01001009|01001010|01002005	
lei.3	lei	3	V	earth	72	0	0			
lei.4	lei	4	V	dust	63	0	0			
lei.5	lei	5	FUNC	REFL	9	0	1			
lei.6	lei	6	V	debt	1	0	0			
lei.7	lei	7	V	borrow	1	0	0			
mai.1	mai	1	N	face	1824	1	0	mai	01002025|01004005|01004006	
mai.2	mai	2	N	appearance	10	0	0			
mai.3	mai	3	FUNC	REFL	7	0	1			
mai.4	mai	4	N	radiant	5	0	0			
mai.5	mai	5	N	oppose	1	0	0			
Jesuh.1	Jesuh	1	PROP	?	1690	1	0	Jesuh	40001001|40001018|40001021	
tui.1	tui	1	N	water	1587	1	0	tui	01001002|01001002|01001006	
tui.2	tui	2	N	island	43	0	0			
tui.3	tui	3	N	baptist	20	0	0			
tui.4	tui	4	N	baptism	11	0	0			
tui.5	tui	5	N	sea	7	0	0			
tui.6	tui	6	N	baptize	7	0	0			
tui.7	tui	7	N	springs	5	0	0			
tui.8	tui	8	N	pool	2	0	0			
tui.9	tui	9	FUNC	REFL	2	0	1			
lak.1	lak	1	V	among	1341	1	0	lak	01001030|01002019|01003008	
lak.2	lak	2	V	take	274	0	0	lak	01008013	
lak.3	lak	3	FUNC	REFL	63	0	1			
lak.4	lak	4	V	spoil	2	0	0			
za.1	za	1	V	hear	881	1	0	za	01003008|01003010|01005003	
za.2	za	2	V	hearI	428	0	0			
za.3	za	3	V	hundred	205	0	0	za	01005004|01005005|01005007	
za.4	za	4	FUNC	REFL	69	0	1			
za.5	za	5	V	testimony	6	0	0			
za.6	za	6	V	word	4	0	0			
za.7	za	7	V	bring	2	0	0			
za.8	za	8	V	testify	1	0	0			
hun.1	hun	1	N	time	1567	1	0	hun	01001014|01002006|01004003	
hun.2	hun	2	N	day	2	0	0			
mahmah.1	mahmah	1	N	very	1557	1	0	mahmah	01001031|01002021|01004005	
nu.1	nu	1	N	woman	702	1	0	nu	01001027|01002022|01003001	
nu.2	nu	2	N	female	692	0	0	nu	01002022|01002024|01003020	
nu.3	nu	3	N	mother	141	0	0			
nu.4	nu	4	FUNC	REFL	2	0	1			
gal.1	gal	1	N	enemy	837	1	0	gal	01014011|01014016|01014020	
gal.2	gal	2	N	soldier	278	0	0	gal	01021022|01021032|01026026	
gal.3	gal	3	N	war	242	0	0	gal	01014003|01032002|02014006	
gal.4	gal	4	N	number	46	0	0			
gal.5	gal	5	N	campaign	45	0	0			
gal.6	gal	6	N	warfare	39	0	0	gal	01032023	
gal.7	gal	7	FUNC	REFL	15	0	1			
gal.8	gal	8	N	battle	6	0	0			
gal.9	gal	9	N	little	4	0	0	gal	01019020	
gal.10	gal	10	N	far	3	0	0			
mun.1	mun	1	V	place	1440	1	0	mun	01001009|01002008|01002010	
mun.2	mun	2	V	spot	6	0	0			
mun.3	mun	3	FUNC	1SG.GEN	1	0	1			
mun.4	mun	4	V	elsewhere	1	0	0			
min.1	min	1	N	name	1347	1	0	min	01002011|01002013|01002014	
min.2	min	2	N	fame	77	0	0	min	01010009|01010009	
min.3	min	3	N	raw	4	0	0			
min.4	min	4	FUNC	REFL	3	0	1			
min.5	min	5	N	eye	3	0	0			
khin.1	khin	1	V	move	1397	1	0	khin	01001029|01001030|01002001	
khin.2	khin	2	FUNC	REFL	12	0	1			
khin.3	khin	3	V	breath	4	0	0			
khin.4	khin	4	V	wait	4	0	0			
hoih.1	hoih	1	V	good	1262	1	0	hoih	01001004|01001010|01001012	
hoih.2	hoih	2	V	be.good	63	0	0			
hoih.3	hoih	3	V	well	5	0	0			
an.1	an	1	FUNC	3PL.POSS	955	1	1	an	01001029|01001030|01003019	
an.2	an	2	FUNC	3PL	212	0	1	an	01003017	
an.3	an	3	N	grain	37	0	0			
an.4	an	4	N	rice	35	0	0	an	01008022	
an.5	an	5	N	food	33	0	0	an	01010013	
an.6	an	6	N	corn	28	0	0			
an.7	an	7	N	offering	7	0	0			
an.8	an	8	FUNC	PL	6	0	1			
an.9	an	9	N	bread	6	0	0			
an.10	an	10	N	breast	4	0	0			
an.11	an	11	N	thorn	3	0	0			
an.12	an	12	N	stone	3	0	0			
sa.1	sa	1	N	flesh	1012	1	0	sa	01001031|01002021|01002023	
sa.2	sa	2	N	meat	161	0	0	sa	01003021|01014014	
sa.3	sa	3	FUNC	REFL	83	0	1	ki	01006006|01020005	
sa.4	sa	4	N	animal	22	0	0			
sa.5	sa	5	N	hunt	6	0	0	sa	01010009|01010009|01025027	
sa.6	sa	6	N	blood	5	0	0			
sa.7	sa	7	N	skin	3	0	0			
sa.8	sa	8	N	six	2	0	0			
sa.9	sa	9	FUNC	2SG.POSS	1	0	1			
sa.10	sa	10	N	roar	1	0	0			
zui.1	zui	1	V	follow	902	1	0	zui	01012004|01017009|01017010	
zui.2	zui	2	FUNC	REFL	307	0	1	ki	01010032|01023016|01025013	
zui.3	zui	3	V	followI	71	0	0			
zui.4	zui	4	V	turn	4	0	0			
zui.5	zui	5	V	keep	3	0	0			
van.1	van	1	N	sky	929	1	0	van	01001001|01001006|01001006	
van.2	van	2	N	angel	238	0	0			
van.3	van	3	N	heavens	41	0	0	van	01002004	
van.4	van	4	N	heaven	39	0	0			
van.5	van	5	N	pillar	5	0	0			
van.6	van	6	N	burden	3	0	0			
van.7	van	7	N	spirit	2	0	0			
van.8	van	8	N	world	1	0	0			
kha.1	kha	1	FUNC	NEG.PERF	1068	1	1	kha	01001002|01001021|01003011	
kha.2	kha	2	N	spirit	171	0	0	kha	01012020	
kha.3	kha	3	FUNC	REFL	2	0	1			
suak.1	suak	1	V	wither	615	1	0	suak	01002007|01002021|01004018	
suak.2	suak	2	V	become	566	0	0	suak	01003019|01006020|01007023	
suak.3	suak	3	FUNC	REFL	3	0	1			
siam.1	siam	1	V	priest	658	1	0	siam	01014018|01041045|01041050	
siam.2	siam	2	V	priests	280	0	0	siam	01047022	
siam.3	siam	3	V	skilled	143	0	0	siam	01021020|02001010|02007011	
siam.4	siam	4	V	skill	77	0	0	siam	01025027|01041033|01041039	
siam.5	siam	5	V	be.skilled	9	0	0			
siam.6	siam	6	V	weave	7	0	0			
siam.7	siam	7	V	make	5	0	0			
siam.8	siam	8	V	create	2	0	0			
siam.9	siam	9	FUNC	REFL	2	0	1			
siangtho.1	siangtho	1	N	holy	1149	1	0	siangtho	01002003|01007002|01007008	
siangtho.2	siangtho	2	FUNC	REFL	12	0	1	ki	02019022	
ne.1	ne	1	V	eat	801	1	0	ne	01002016|01002017|01003001	
ne.2	ne	2	V	eatI	296	0	0	nek	01002009|01002017|01003005	
ne.3	ne	3	FUNC	REFL	33	0	1			
ne.4	ne	4	V	sojourn	17	0	0			
ne.5	ne	5	V	press	5	0	0			
ne.6	ne	6	V	cloud	3	0	0			
ne.7	ne	7	V	small	3	0	0			
ne.8	ne	8	V	locust	2	0	0			
ne.9	ne	9	V	lean	1	0	0			
ngah.1	ngah	1	V	get	1124	1	0	ngah	01003014|01003017|01004001	
ngah.2	ngah	2	FUNC	REFL	3	0	1			
ngah.3	ngah	3	V	place	3	0	0			
ngah.4	ngah	4	V	return	2	0	0			
ngah.5	ngah	5	V	acquire	2	0	0			
ngah.6	ngah	6	V	receive	1	0	0			
mawh.1	mawh	1	V	err	869	1	0	mawh	01004007|01004007|01015016	
mawh.2	mawh	2	V	sin	194	0	0	mawh	01006003|01042021|01044010	
mawh.3	mawh	3	V	guilty	57	0	0	mawh	01031036	
mawh.4	mawh	4	FUNC	REFL	11	0	1	ki	01018020|01019013	
mawh.5	mawh	5	V	guilt	2	0	0			
khut.1	khut	1	N	hand	1112	1	0	khut	01008009|01009002|01014004	
khut.2	khut	2	N	craft	18	0	0			
kum.1	kum	1	N	year	1069	1	0	kum	01001014|01005003|01005003	
kum.2	kum	2	FUNC	REFL	35	0	1			
kum.3	kum	3	N	bow	18	0	0			
kum.4	kum	4	N	cloud	4	0	0			
kum.5	kum	5	N	robe	3	0	0			
ngei.1	ngei	1	N	often	782	1	0	ngei	01008021|01008021|01009011	
ngei.2	ngei	2	N	know	333	0	0	ngei	01018011|01019031|01022009	
ngei.3	ngei	3	FUNC	REFL	3	0	1			
ngei.4	ngei	4	N	straw	2	0	0	ngei	02005011	
ngei.5	ngei	5	N	have	1	0	0			
ngei.6	ngei	6	N	possess	1	0	0			
ngei.7	ngei	7	N	true	1	0	0			
si.1	si	1	N	die	1072	1	0	si	01002017|01003003|01003004	
si.2	si	2	N	blood	27	0	0			
si.3	si	3	FUNC	REFL	5	0	1			
si.4	si	4	N	skin	5	0	0			
si.5	si	5	N	be	3	0	0			
teng.1	teng	1	V	remain	875	1	0	teng	01004016|01010005|01011002	
teng.2	teng	2	V	dwell	199	0	0	teng	01001002|01004020|01008022	
teng.3	teng	3	FUNC	REFL	29	0	1			
teng.4	teng	4	V	establish	3	0	0			
teng.5	teng	5	FUNC	2SG	1	0	1			
uk.1	uk	1	V	rule	1081	1	0	uk	01001016|01001016|01001016	
uk.2	uk	2	FUNC	REFL	25	0	1			
uk.3	uk	3	V	cover	1	0	0			
mite.1	mite	1	UNK	person	1067	1	0	mite'	01006002|01010005|01010014	
mite.2	mite	2	UNK	?	29	0	0			
pawl.1	pawl	1	N	some	515	1	0	pawl	01014010|01032008|01033015	
pawl.2	pawl	2	N	group	367	0	0	pawl	01014015|01014017|01029034	
pawl.3	pawl	3	N	fellowship	162	0	0	ki	01014005|01014008	
pawl.4	pawl	4	FUNC	REFL	41	0	1	ki	01014003|01014013	
pawl.5	pawl	5	N	ally	2	0	0			
puan.1	puan	1	N	cloth	1068	1	0	puan	01003007|01003021|01004020	
puan.2	puan	2	N	door	11	0	0			
puan.3	puan	3	N	outer	2	0	0			
puan.4	puan	4	N	robe	1	0	0			
nasem.1	nasem	1	N	servant	1077	1	0	nasem	01012016|01012016|01014015	
heh.1	heh	1	N	anger	613	1	0	heh	01004005|01004006|01018030	
heh.2	heh	2	N	favor	238	0	0	heh	01019016|01033005|01040014	
heh.3	heh	3	N	grace	153	0	0	heh	01033011	
heh.4	heh	4	N	angry	31	0	0	heh	01024067	
heh.5	heh	5	FUNC	REFL	9	0	1	ki	01027042	
heh.6	heh	6	N	patience	7	0	0	heh	01037035	
heh.7	heh	7	N	fury	3	0	0			
heh.8	heh	8	N	compassion	3	0	0			
heh.9	heh	9	N	pity	2	0	0			
ngai.1	ngai	1	V	listen	517	1	0	ngai	01004023|01004023|01018010	
ngai.2	ngai	2	V	think	401	0	0	ngaih	01006005|01008021|01024016	
ngai.3	ngai	3	V	love	93	0	0			
ngai.4	ngai	4	V	thinkI	21	0	0			
ngai.5	ngai	5	FUNC	REFL	20	0	1			
ngai.6	ngai	6	V	hear	3	0	0			
va.1	va	1	V	go.and	918	1	0	va	01001020|01001022|01001026	
va.2	va	2	V	bird	23	0	0	va	01008007	
va.3	va	3	V	go	2	0	0			
sang.1	sang	1	N	high	906	1	0	sang	01002007|01003001|01003014	
sang.2	sang	2	FUNC	REFL	17	0	1	ki	01004007	
sang.3	sang	3	N	step	6	0	0			
sang.4	sang	4	N	lift	3	0	0			
dang.1	dang	1	N	other	752	1	0	dang	01003001|01005004|01005007	
dang.2	dang	2	FUNC	3SG	135	0	1	a	01004019	
dang.3	dang	3	FUNC	3SG.POSS	33	0	1			
dang.4	dang	4	N	thirst	5	0	0			
dang.5	dang	5	FUNC	2SG.POSS	1	0	1			
dang.6	dang	6	FUNC	REFL	1	0	1			
koih.1	koih	1	V	put	742	1	0	koih	01001016|01002008|01002015	
koih.2	koih	2	FUNC	REFL	92	0	1			
koih.3	koih	3	V	set	43	0	0	koih	01021029|01030040|01030040	
koih.4	koih	4	V	place	13	0	0			
thuak.1	thuak	1	V	suffer	861	1	0	thuak	01004013|01012017|01016011	
thuak.2	thuak	2	V	afflict	6	0	0			
thuak.3	thuak	3	FUNC	REFL	6	0	1			
thuak.4	thuak	4	V	endure	3	0	0			
mual.1	mual	1	N	mountain	797	1	0	mual	01007019|01007020|01008004	
mual.2	mual	2	N	hill	71	0	0	mual	01012008|01035020	
mual.3	mual	3	N	see	5	0	0			
mual.4	mual	4	N	grave	2	0	0			
gim.1	gim	1	N	suffer	420	1	0	gim	01003016|01008021|01012017	
gim.2	gim	2	N	faint	370	0	0	gim	01004013|01009005|01035016	
gim.3	gim	3	N	toil	31	0	0	gim	01005029|01019015|02002011	
gim.4	gim	4	N	heavy	14	0	0	gim	01027046	
gim.5	gim	5	N	labor	4	0	0			
gim.6	gim	6	FUNC	REFL	4	0	1			
gim.7	gim	7	N	trouble	3	0	0			
gim.8	gim	8	N	sorrow	2	0	0	gim	01003017	
gim.9	gim	9	N	vex	2	0	0			
gim.10	gim	10	N	difficulty	2	0	0			
gim.11	gim	11	N	pain	2	0	0			
gim.12	gim	12	N	savour	1	0	0	gim	01027027	
sawl.1	sawl	1	V	send	807	1	0	sawl	01019013|01019015|01020002	
sawl.2	sawl	2	FUNC	REFL	27	0	1	ki	01042016	
sawl.3	sawl	3	V	leaf	4	0	0			
sawl.4	sawl	4	V	cast	3	0	0	sawl	01021015	
sawl.5	sawl	5	V	spy	2	0	0			
sawl.6	sawl	6	V	arm	2	0	0			
sim.1	sim	1	N	count	756	1	0	sim	01013016|01014002|01015005	
sim.2	sim	2	FUNC	REFL	63	0	1	ki	01013016|01016010|01032012	
sim.3	sim	3	N	read	22	0	0			
sim.4	sim	4	N	deceive	2	0	0			
sim.5	sim	5	N	examine	1	0	0			
David.1	David	1	PROP	?	835	1	0	David	09016012|09016013|09016019	
leeng.1	leeng	1	N	chariot	574	1	0	leeng	01001020|01008007|01009021	
leeng.2	leeng	2	N	grape	239	0	0	leeng	01009020|01040009|01040010	
leeng.3	leeng	3	N	eagle	4	0	0			
leeng.4	leeng	4	N	yoke	3	0	0			
leeng.5	leeng	5	N	corn	3	0	0			
leeng.6	leeng	6	N	bird	3	0	0			
leeng.7	leeng	7	N	vine	2	0	0			
leeng.8	leeng	8	N	raisin	1	0	0			
leeng.9	leeng	9	N	grapevine	1	0	0			
that.1	that	1	V	kill	627	1	0	that	01004008|01004014|01004023	
that.2	that	2	FUNC	REFL	168	0	1	ki	01026011|01031032|01034027	
that.3	that	3	V	work	29	0	0			
tawn.1	tawn	1	N	ever	690	1	0	tawn	01003017|01003022|01009012	
tawn.2	tawn	2	N	loaf	121	0	0			
tawn.3	tawn	3	N	reproof	3	0	0			
tawn.4	tawn	4	N	meet	2	0	0			
tawn.5	tawn	5	N	eternal	1	0	0			
tawn.6	tawn	6	N	prosper	1	0	0			
bang.1	bang	1	FUNC	REFL	635	1	1	ki	01003022|01013010|01025025	
bang.2	bang	2	V	what	171	0	0	bang	01026010|01027020|01028017	
bang.3	bang	3	V	like	7	0	0			
bang.4	bang	4	V	door	3	0	0	bang	02012007|02012022	
bang.5	bang	5	V	which	2	0	0			
sem.1	sem	1	V	serve	776	1	0	sem	01001002|01003017|01018003	
sem.2	sem	2	FUNC	REFL	21	0	1	ki	01039022|01049015	
sem.3	sem	3	V	cut	6	0	0			
sem.4	sem	4	V	divide	2	0	0	sem	01037005	
sem.5	sem	5	V	hate	2	0	0			
sem.6	sem	6	V	give	1	0	0			
Judah.1	Judah	1	PROP	?	805	1	0	Judah	01029035|01035023|01037026	
en.1	en	1	V	look	781	1	0	En|en	01001029|01001031|01003022	
en.2	en	2	FUNC	REFL	14	0	1			
en.3	en	3	V	see	2	0	0			
Moses.1	Moses	1	PROP	?	796	1	0	Moses	02002010|02002011|02002014	
pua.1	pua	1	V	send	290	1	0	puak	01027013|01031039|01032023	
pua.2	pua	2	V	carry.on.back	288	0	0	pua	01006014|01019006|01024015	
pua.3	pua	3	V	divine	64	0	0			
pua.4	pua	4	FUNC	REFL	46	0	1			
pua.5	pua	5	V	spillI	39	0	0	puak	01007011	
pua.6	pua	6	V	betI	29	0	0			
pua.7	pua	7	V	carry	18	0	0	puak	01037025	
pua.8	pua	8	V	fill	3	0	0			
pua.9	pua	9	V	gather	3	0	0			
pua.10	pua	10	V	divide	2	0	0			
pua.11	pua	11	V	create	1	0	0			
mipa.1	mipa	1	N	man	760	1	0	Mipa|mipa	01002008|01002015|01002016	
sia.1	sia	1	N	evil	392	1	0	sia	01002009|01002017|01003005	
sia.2	sia	2	N	bad	118	0	0	sia	01006012|01034002|01034013	
sia.3	sia	3	FUNC	REFL	83	0	1	ki	01006012|02008024|02009031	
sia.4	sia	4	N	compose	61	0	0	siah	01049010	
sia.5	sia	5	FUNC	3SG.POSS	18	0	1			
sia.6	sia	6	N	die	16	0	0			
sia.7	sia	7	N	judge	14	0	0			
sia.8	sia	8	N	spoil	10	0	0			
sia.9	sia	9	N	snare	10	0	0			
sia.10	sia	10	N	sin	8	0	0			
sia.11	sia	11	N	tax	6	0	0			
sia.12	sia	12	N	waste	5	0	0			
sia.13	sia	13	N	decayI	4	0	0			
sia.14	sia	14	N	sick	4	0	0			
sia.15	sia	15	N	dung	3	0	0			
sia.16	sia	16	N	destroy	3	0	0			
sia.17	sia	17	N	decay	2	0	0			
sia.18	sia	18	N	wonder	2	0	0			
sia.19	sia	19	N	sit	1	0	0			
khial.1	khial	1	V	wrong	352	1	0	khialh	01018020|01020009|01020009	
khial.2	khial	2	V	err	259	0	0	khial	01006006|01006007|01013013	
khial.3	khial	3	V	sin	121	0	0	khialh	01020006|01041009	
khial.4	khial	4	V	trespass	17	0	0			
khial.5	khial	5	V	errI	3	0	0			
khial.6	khial	6	V	deceive	3	0	0			
khial.7	khial	7	FUNC	REFL	2	0	1	ki	01043012	
khial.8	khial	8	V	fault	2	0	0	khial	02005016	
lian.1	lian	1	N	great	584	1	0	lian	01001016|01007019|01010012	
lian.2	lian	2	N	big	152	0	0	lian	01007020	
lian.3	lian	3	FUNC	REFL	22	0	1	ki	02009017	
sing.1	sing	1	N	wood	317	1	0			
sing.2	sing	2	N	shake	220	0	0	sing	01006014|01018003|01018008	
sing.3	sing	3	N	tree	193	0	0	sing	01001012|01001029|01002009	
sing.4	sing	4	FUNC	REFL	8	0	1			
sing.5	sing	5	N	branch	4	0	0			
sing.6	sing	6	N	spices	3	0	0			
sing.7	sing	7	N	tribe	2	0	0			
sam.1	sam	1	V	open	317	1	0	sam	01019005|01021017|01022011	
sam.2	sam	2	V	call	235	0	0	sam	01003009|01008021|01011031	
sam.3	sam	3	FUNC	REFL	179	0	1	ki	01004011|01019008	
sam.4	sam	4	V	hair	10	0	0			
sam.5	sam	5	V	bless	3	0	0	sam	01012003	
gamta.1	gamta	1	V	send.away	704	1	0	gamta	01003014|01006012|01006022	
gamta.2	gamta	2	V	kingdom	27	0	0			
gamta.3	gamta	3	FUNC	REFL	4	0	1			
nung.1	nung	1	V	life	335	1	0	nung	01001020|01005004|01005007	
