# language_name:	Paite Chin
# closest ISO 639-3:	pck
# year_short:	scraped 2026
# year_long:	Not available
# title:	Paite Chin
# URL:	https://www.bible.com/bible/1870
# copyright_short:	See bible.com for copyright information
# copyright_long:	Scraped from bible.com. See original source for copyright.
01003017	Adam kiang ah, “Na zi thu na man a, singgah na ne ding ahi kei, chi a, ka hon thupiak na nek ziak in nang ziak in leitung hamsiat in a-omta. Na damsung teng in gimtak a sem in agah na neta ding.
01003018	Ling leh louling neite leng ahon omsak ding a, lei a anteh na neta ding hi.
01003019	Lei a na kik nawn masiah na mai a kho-ul luang puappuap in an na neta ding. Lei a pan lakkhiak na hi; leivui na hi a, leivui ah na kik nawn ding,” achi hi.
01003020	Adam in azi, mihing tengteng' nu ahih ziak in, amin Evi asa hi.
01003021	Toupa Pathian in Adam a ding leh azi a ding in savun puanaktual bawlsak in, asilhsak hi.
01003022	Toupa Pathian in, “Ngai un, mihing in asia leh apha thei in eite bang ahong hita, tu in akhut ua sawk in hinna singgah lou a ne in, tangtawn in ahing kha ding uh,” achi hi.
01003023	Huaiziak in Toupa Pathian in amah alakkhiakna lei let ding in Eden huan a kipan ahawlkheta hi.
01003024	Mihingte adelhkheta a; hinna sing lampi veng ding in Eden huan suahlam pang ah cherubte leh mei namsau kilek zualzual a-omsakta hi.
01004001	Huan Adam in azi Evi athei a; huchi in agai a, Kain anei a, “ Toupa panpihna in ta pasal ka neita,” achi hi.
01004002	Asanggampa Abel ahon nei nawn hi. Abel belamchingmi ahi a, Kain bel leiletmi ahi.
01004003	Anung in hichi ahong hi a, Kain in Toupa kiang a lat ding in lou a piang leigahte ahon tawi hi.
01004004	Abel in leng abelamhon lak a piang masapen leh athau pen ahon tawi a, Toupa'n Abel leh athillat akipahpih hi.
01004005	Himahleh Kain leh athillat akipahpih kei. Kain aheh mahmah a, amel aliap hi.
01004006	Toupa'n Kain kiang ah, “Bangziak a heh na hia? Bangziak a na mel liap ahia?
01004007	Hihhoih lechin pahtak na loh kei dia hia? Na hihhoih keileh kongkhak bul ah khelhna akual nilouh a, adeihlam nangmah ahi dia, atung ah thu na nei ding ahi,” achi hi.
01004008	Kain in anau Abel ahoupih a, hichi ahong hi a, lou a a-om lai un Kain in anau Abel asual a, athatta hi.
01004009	Toupa'n Kain kiang ah, “Na sanggampa Abel koi a om ahia?” achi hi. Ama'n, “Ka thei kei, ka sanggampa dontu ka hi a hia?” achi hi.
01004010	Toupa'n , “Bang hih na tamai a? Na sanggampa' sisan aw in lei a kipan hon sam ahi.
01004011	Huaiziak in na khut a kipan na sanggampa' sisan sang ding a kam ana ka, lei a pan hamsiat na hita hi.
01004012	Lei na leh in leng ahoihna ahon pe nawn kei ding a, leitung ah galtai leh vakvai na hita ding,” achi hi.
01004013	Kain in Toupa kiang ah, “N'on gawtna ana mahmah a, ka thuakzou kei ding.
01004014	“Ngai in, tuni in leitung a kipan na hon delhkheta a, na mitmuh phak louh a sel a om ding ka hita. Lei ah taimang leh vakvai hi ding ka hita hi. Hichi ahong hi ding a, kuapeuh kei hon mu in ahon that mai ding uh,” achi hi.
01004015	Toupa'n akiang ah, “Huchi ahihleh, Kain that kuapeuh amun sagih in atung ah phu lak ahi ding,” achi hi. Huan mi amah mu kuahiam in athahlouhna ding in Toupa'n Kain achiamtehta hi.
01004016	Toupa kiang a kipan Kain apawt a, Eden suahlam a Nod gam ah atengta hi.
01004017	Kain in azi athei a; huchi in agai a, Enok anei hi. Khua asat a, akho min atapa tamsak in Enok asa hi.
01004018	Enok in tapa Irad anei a; Irad in tapa Mahujael anei hi. Mahujael in tapa Methusael anei a; Methusael in tapa Lamekh anei hi.
01004019	Lamekh in zi nih anei a; khat min Adah ahi a, akhat pen min Zillah ahi.
01004020	Adah in Jabal anei a; amah puanin a om ganvulmite suangpa ahi.
01004021	Asanggampa' min Jubal ahi a, amah kaihging leh tamngai tummi tengteng suangpa ahi.
01004022	Zillah in leng Tubal-kain, dal leh sik, tuzat-heizat chiteng sekmi anei hi. Tubal-kain sanggamnu Naamah ahi.
01004023	Lamekh in azite kiang ah, “Adah leh Zillahte aw, ka aw za unla; Lamekh zite aw, ka thugen ngaikhia un. Ahon liamsak ziak in mi khat ka that a, ahon sidupsak ziak in valnou khat ka that hi.
01004024	Kain' phu bawn amun sagih a lak ding ahihleh, Lamekh' phu amun sawmsagih-le-sagih a lak ahi ding,” achi hi.
01004025	Adam in azi athei nawn a; tapa anei nawn a; amin Seth asa hi, “Pathian in Abel sik in chisuan ding ahon sehsakta; Kain in lah amah athatta ngal a,” achi hi.
01004026	Seth in leng tapa anei a; amin Enosh asa hi. Huai a kipan mite'n Toupa min alou panta uhi.
01005001	Hiai Adam suante khangthubu ahi. Pathian in mihing asiam ni in Pathian batpih in amah abawl hi.
01005002	Pasal leh numei in amaute asiam a; avualzawl a, siam a a-om ni un amin uh Adam asa hi.
01005003	Adam in kum za-le-sawmthum ahih in amah mah bang, akibatpih ngei tapa anei a; amin Seth asa hi.
01005004	Seth aneih nung in Adam kum zagiat adam lai a; tanute leh tapate anei lai hi.
01005005	Adam damsung tengteng kum zakua-le-sawmthum ahi a; huchi in asita hi.
01005006	Seth in kum za-le-nga ahih in, tapa Enosh anei hi.
01005007	Enosh aneih nung in Seth kum zagiat-le-sagih adam lai a, tanute leh tapate anei lai hi.
01005008	Seth damsung tengteng kum zakua sawm-le-nih ahi a; huchi in asita hi.
01005009	Enosh in kum sawmkua ahih in tapa Kenan anei hi.
01005010	Kenan aneih nung in Enosh kum zagiat sawm-le-nga adam lai a, tanute leh tapate anei lai hi.
01005011	Enosh damsung tengteng kum zakua-le-nga ahi a, huchi in asita hi.
01005012	Kenan in kum sawmsagih ahih in, tapa Mahalalel anei hi.
01005013	Mahalalel aneih nung in Kenan kum zagiat-le-sawmli adam lai a, tanute leh tapate anei lai hi.
01005014	Kenan damsung tengteng kum zakua-le-sawm ahi a; huchi in asita hi.
01005015	Mahalalel kum sawmguk-le-nga ahih in tapa Jared anei hi.
01005016	Jared aneih nung in Mahalalel kum zagiat-le-sawmthum adam lai a, tanute leh tapate anei lai hi.
01005017	Mahalalel damsung tengteng kum zagiat sawmkua-le-nga ahi a, huchi in asita hi.
01005018	Jared in kum zakhat sawmguk-le-nih ahih in tapa Enok anei hi.
01005019	Enok aneih nung in Jared kum zagiat adam lai a, tanute leh tapate anei lai hi.
01005020	Jared damsung tengteng kum zakua sawmguk-le-nih ahi a, huchi in asita hi.
01005021	Enok in kum sawmguk-le-nga ahih in, tapa Methuselah anei hi.
01005022	Methuselah aneih nung in Enok kum zathum sung Pathian toh atonkhawm ua, tanute leh tapate anei lai hi.
01005023	Enok damsung tengteng kum zathum sawmguk-le-nga ahi.
01005024	Pathian toh Enok atonkhawm ua, amah a-omta kei a; Pathian in alata hi.
01005025	Methuselah in kum zakhat sawmgiat-le-sagih ahih in tapa Lamekh anei hi.
01005026	Lamekh aneih nung in Methuselah kum zasagih sawmgiat-le-nih adam lai a, tanute leh tapate anei lai hi.
01005027	Methuselah damsung tengteng kum zakua sawmguk-le-kua ahi a, huchi in asita hi.
01005028	Lamekh in kum zakhat sawmgiat-le-nih ahih in tapa anei hi.
01005029	“Hiai ngei in Toupa hamsiatkhum leitung ziak a i nasepna leh khut a i sepgimna ah hon lungmuan ding,” chi in amin Noah asa hi.
01005030	Noah aneih nung in Lamekh kum zanga sawmkua-le-nga adam lai a, tanute leh tapate anei lai hi.
01005031	Lamekh damsung tengteng kum zasagih sawmsagih-le-sagih ahi a; huchi in asita hi.
01005032	Noah kum zanga a upa ahi. Noah in Shem, Ham leh Japheth anei hi.
01006001	Huan hichi ahong hi a, leitung a mite ahong pun ua, tanute ahon neih un,
01006002	Pathian tapate'n mite tanute melhoih in amu ua; adeihlam chiat uh zi in anei uhi.
01006003	Toupa'n , “Ka Kha in tangtawn in mi asual nilouh kei ding, amah lah sa ahi ngal a, himahleh kum za-le-sawmnih adam ding,” achi hi.
01006004	Huai hun lai in lei ah miliante a-om ua; huai nung in leng Pathian tapate'n mite tanute thei a, amau toh tate aneih zel lai un, huaite mah nidanglai a mihat, miminthangte ahi uhi.
01006005	Toupa'n lei ah mite gitlouhdan nasa ahi chih leh alungtang lunggeldan uh gilou ngen ahi ngitnget chih amu hi.
01006006	Leitung a mi abawl ziak in Toupa akisik a, lunggimna in aneihloh hi.
01006007	Toupa'n , “Leitung a kipan ka misiam ka hihmang mai ding. Mite, sate, ganhingte leh tung a leng vasate tan in; ka bawl ziak in ka kisik,” achi hi.
01006008	Noah in bel Toupa mitmuh in deihsakna atang hi.
01006009	Noah suan hiaite ahi uh: Noah midik ahi a, adam tonpihte lak ah gensiatbei ahi a; Pathian toh Noah atonkhawm uhi.
01006010	Noah in tapa thum Shem, Ham leh Japheth anei hi.
01006011	Pathian' mitmuh in lei asia a, hiamgamna in lei adim khin hi.
01006012	Huan Pathian in lei a-en a, ngai in, asegawp a; sa tengteng in leitung ah a-omdan uh ahihse khinta uhi.
01006013	Pathian in Noah kiang ah, “Sa tengteng beina ka ma ah ahong tungta; amaute ziak in hiamgamna in leitung adim khinta ngal a. Ngai in, leitung toh amau ka hihmang ding.
01006014	Nang a ding in meilah sing in long bawl inla; long ah dantante na bawl ding ahi. Asunglam leh apolam meilah nai in na zut vek ding hi.
01006015	Hiai na bawldan ding ahi. Long dunglam tong zathum hi henla, availam tong sawmnga hi henla, asanlam tong sawmthum hi hen.
01006016	Long ah tohlet na bawl ding a, atunglam tong khat chiang a na zoh ding ahi. Apang ah long kongkhak na bawl ding a; chial nuainung leh chial nihna leh chial thumna nei in na bawl ding ahi.
01006017	Ngai in, kei mahmah in, sa tengteng hinna hatna pai khempeuh, van nuai a kipan hihmangthang ding in leitung ah tuichim ka tungsak ding a; lei a thil chih omte asi vek ding uh.
01006018	Himahleh nang toh ka thukhun ka kipsak ding a, long ah na lut ding ahi. Nang na lut ding a, na tapate leh na zi leh na tapate' zite leng na kiang ah alut ding uh ahi.
01006019	Sa tengteng a thil hing chiteng lak a kipan, chi chih nihnih in, na kiang ah hinsak ding in long ah na pilut ding ahi. Amaute anu leh apa zel ahi ding uhi.
01006020	Vasate amau chi omdan bang chiat in, gante amau chi omdan bang chiat in, chi chih nihnih in na hinsak ding in na kiang ah ahong pai ding uh ahi.
01006021	Nek theih an chi tuamtuam kaikhawm inla, na kiang ah koih in. Nang leh amaute a ding in an ahi ding uh,” achi hi.
01006022	Huchibang in Noah in ahih a; Pathian in akiang a thu apiak tengteng ahi bangbang in ahihta hi.
01007001	Huan Toupa'n Noah kiang ah, “Nang leh na inkuanpih tengteng long ah lutta un. Nang zaw hiai khang a ka ma ah midiktat na hih ka hon mu hi.
01007002	Sa siang chiteng lak ah anu leh apa, kop sagih zel; sa siang lou lak ah anu leh apa chiat toh kop nih zel, na kiang ah na pi ding ahi.
01007003	Tung a leng vasa lak ah leng, anu leh apa chiat, kop sagih zel in; leitung a chi khah ding a hinsak ding in.
01007004	Ni sagih in asam lai a, huai khit chiang in leitung ah ni sawmli leh zan sawmli sung vuah ka zusak ding a; ka bawl thil hing chiteng leitung a kipan ka hihmang ding,” achi hi.
01007005	Noah in Toupa'n akiang a thu apiak tengteng ahi bangbang in ahihta hi.
01007006	Leitung a tuichim ahong tun lai in, Noah kum zaguk a upa ahita hi.
01007007	Tuichim atun ding ziak in long ah Noah alut a, atapate leh azi leh atapate' zite leng akiang ah alut chiat uhi.
01007008	Sa siang lak ah leng, sa siang lou lak ah leng, vasa lak ah leng, leitung a bokvak a pai chiteng lak ah leng,
01007009	Pathian in Noah kiang a thu apiak bang in, anu leh apa chiat, akopkop in, Noah kiang ah long ah alut uhi.
01007010	Huan ni sagih nung in leitung ah tuichim atungta hi.
01007011	Noah kum zaguk ahih kum, akha nihna, ani sawm-le-sagih ni in, huai ni mah in tui thuk zapi nak tengteng ahong puakzak a, van tohlette leng hong kihongta uhi.
01007012	Ni sawmli leh zan sawmli sung teng leitung ah vuahpi azuta hi.
01007013	Huai ni mah in long ah Noah leh Noah tapate Shem, Ham, Japheth leh Noah zi alut ua, atapate zi thumte leng akiang ah alut uhi.
01007014	Amaute alut ua, sa chiteng amau chi omdan dungzui zel in, ganhing leitung a bokvak a pai chiteng amau chi omdan dungzui zel in, vasa chiteng, amau chi omdan dungzui zel in, vasa chiteng, kha nei chiteng leng alut uhi.
01007015	Sa tengteng hinna hatna pai himhimte, akopkop in Noah kiang ah long ah alut uhi.
01007016	Alutte Pathian in akiang a thu apiak bang in, sa tengteng lak a anu leh apa zel in alut uhi. Huchi in Toupa'n amah akhakkhumta hi.
01007017	Leitung ah ni sawmli sung teng tuichim atung a; tui ahong khang a, long alam a, leitung ah adomkangta hi.
01007018	Tui ahong om zuazua a, leitung ah akhan in ahong khang a, tui tung ah long akilam hi.
01007019	Leitung ah tui nakpi in ahong om zuazua a; van nuai a tang sang tengtengte atum khin vekta hi.
01007020	Tong sawm-le-nga hial a sang in tui ahong om a; tangte tupmang in a-omta uhi.
01007021	Lei a tang thei sa chiteng, vasate, gante, gamsate, ganhing lei a bokvak a pai chitengte, michih tengte toh asi khin vek uhi.
01007022	Anak ua hinna kha hatna omna tengteng, gam a om tengteng asi khin vek uhi.
01007023	Leitung a thil hing chiteng omte, mite, gante, ganhingte, tung a leng vasate toh hihmang in a-om ua; lei a kipan hihman in a-omta ua, long sung a om Noah leh akiang a omte kia hawi in a-om uhi.
01007024	Ni za-le-sawmnga sung teng leitung ah tui avung hi.
01008001	Huan Pathian in Noah leh long sung a akiang a thil hing chiteng leh ganta om tengteng atheigige a; Pathian in leitung ah huih anungsak a, tui ahong dai panta hi.
01008002	Tui thukpi nakte leh van tohlette hong kikhakta ua, van a kipan vuah leng theusak ahita.
01008003	Lei a kipan tui akiam giaigiai a; ni za-le-sawmnga nung in tui hong tawm deuhta a,
01008004	akha sagihna ani sawm-le-sagih ni in Ararat tang ah long ahong kinga hi.
01008005	Akha sawmna tan in tui akiam giaigiai zel a; akha sawmna ani khat ni in mualvumte akimuta hi.
01008006	Ni sawmli nung in hichi ahong hi a, Noah in abawl long tohlet ahongta hi.
01008007	Va-ak khat akhahkhia a, leitung a kipan tui akan khit masiah huai va-ak avial lenlen hi.
01008008	Leitung ah tui atawmta hia, tawm nai lou, chih theihna ding in vakhu khat akhahkhe nawn hi.
01008009	Himahleh vakhu in tukna ding himhim amu kei a, akiang ah long ah akik nawn a; tui lah leitung pumpi ah a-om lai ngal a. Polam ah akhut agolhkhia a, long sung ah akiang ah ana lalut nawn hi.
01008010	Ni sagih dang angak lai a; long a kipan vakhu akhahkhe nawn hi.
01008011	Nitaklam in akiang ah vakhu ahong lut nawn a; ngai in, amuk in olive nah khat ahon tuah hi. Noah in leitung ah tui atawmta chih atheita hi.
01008012	Ni sagih dang angak nawn a; vakhu akhahkhe nawn a; akiang ah hong kik nawn kei hi.
01008013	Huan hichi ahong hi a, akum zaguk-le-khatna, akha khatna, ani khat ni in, leitung a kipan tui akangta hi. Noah in long khuhna akoihsuan a, a-en a; ngai in, leitung ahulta hi.
01008014	Akha nihna ani sawmnih-le-sagih ni in leitung ahulta hi.
01008015	Pathian in Noah kiang ah thu agen a;
01008016	“Long a kipan nang pawt inla, na zi leh na tapate leh na tapate' zite leng na kiang ah pawt uhen.
01008017	Sa tengteng lak a thil hing chiteng na ompihte, vasate, gante, leitung a bokvak a pai ganhing chitengte toh na kiang ah pikhia in, leitung a chiphatak a chi tampi suang a ahong puntheihna ding un,” achi hi.
01008018	Noah apawt a, atapate leh azi leh atapate' zite leng akiang ah apawt uhi.
01008019	Sa chiteng, ganhing chiteng, vasa chiteng, leitung a tang thei peuhmahte amau chi omdan dungzui zel in long a kipan apawtta uhi.
01008020	Noah in Toupa a ding in maitam adoh a; sa siang chiteng lak leh vasa siang chiteng lak a kipan ala a, maitam ah halmang pumpiaknate alanta hi.
01008021	Toupa'n huai gim namtui aza a; Toupa'n alungsim in, “Mite ziak in leitung ka hamsiat nawn kei ding, mite lungsim ngaihtuahnate lah tuailai ahih a kipan gilou ahi ngal ua. Tua ka gawt bang in thil hing chiteng leng ka gawt nawn kei ding.
01008022	“Leitung a-om lai teng buhtuh leh buhlakte, khovot leh kholumte, nipi leh phalbite, sun leh zante abei kei ding,” achi hi.
01009001	Huan Pathian in Noah leh atapate avualzawl a, akiang uah, “Chi tampi suang in hong pung unla, lei hon luahdim un.
01009002	Leitung a sa chiteng leh tung a leng vasa chiteng in nou kihtakna leh lauhna anei ding uh. Hiaite leh lei a bokvak a pai tengteng leh tuipi a ngasa tengteng na khut ua piak ahita uhi.
01009003	Thil hing tang thei chitengte nou a ding in nek ding ahi ding ua; anteh hing ka hon piak bang in bangkim ka hon pe vek hi.
01009004	Himahleh sa, ahinna sisan toh zaw na nekhawm ding uh ahi kei.
01009005	Na hinna sisan phu ka la ngeingei ding. Sa chiteng lak ah ka la ding a; mi lak ah leng. Michih asanggamte uh lak ah, mite hinna phu ka la chiat ding.
01009006	“Mi sisan suahmi kuapeuh, huai mi mah in ama sisan asuah ding, Pathian batpih a mihing bawl ahi ngal a.
01009007	“Nou chi tampi suang in hong pung unla, ta leh nau tampi nei unla, leitung ah hong pung un,” achi hi.
01009008	Pathian in Noah kiang leh akiang a om atapate kiang ah,
01009009	“Ngai un, kei mahmah in na kiang uah leh na nung ua na suante uh kiang ah leng ka thukhun ka hihkip hi.
01009010	Na kiang ua om thil hing chiteng, na ompih uh vasate, gante, na ompih uh lei a sa chitengte kiang ah leng; long a kipan hong pawt tengteng, lei a sa chiteng kiang nangawn ah.
01009011	Na kiang uah ka thukhun ka hihkip ding; sa tengteng leng tuichim a hihman in a-om nawn kei ding ua; lei hihse ding in tuichim atung nawn kei ding,” achi hi.
