# language_name:	Mro (Khimi)
# closest ISO 639-3:	cmr
# year_short:	scraped 2026
# year_long:	Not available
# title:	Mro (Khimi)
# URL:	https://www.bible.com/bible/2473
# copyright_short:	See bible.com for copyright information
# copyright_long:	Scraped from bible.com. See original source for copyright.
40001020	Gadema tynygy ta khiwn niwn he Jawshe la man me Kanma iwn thoeq lonq de la thaw ha, “Davi iwn spa Jawshe jy, Mari he indon sha than gan moen nanq ja. Nagy de mei nala Sepin Seryiw niwn Muiqxaq la ama gan kyqli on he niwn ga de.
40001021	Ama la spa kapien man de. Nan la ama gan Jeishu naha amiq thi ha de. Nagy de mei nala ama la ama iwn khimi ji gan ajie kon txon man de,” na by de.
40001022	Phoishma ji kon Kniqkhoeqmaq thuiq by niwn he khuitan koi than jo de. Neq axylypi ji kkrhau jo de.
40001023	Phoitu niwn la, “Tlaq pi la spa lonq man kapien man de. Ama ji la ama gan, ‘Eimanoila’ naha kauq u man de. ‘Eimanoila’ naniwn la Kniqkhoeqmaq me ji he vaan de on de,” naniwn jo de.
40001024	Jawshe ktheq degan Kniqkhoeqmaq iwn thoeq haw by niwn he Mari he indon sha jo de.
40001025	Gadema Mari kapien y niwn mtien de ama la vaan de i y klauq on jo de. Kapien ha dan niwn spa gan Jawshe la Jeishu naha amiq thi by jo de.
40002001	Xandi Heiro ktiw menan Judaq khoeq Belan kun me Jeishu kapien khiwn degan kniqshie phan iwn pethon ka'on ji la Jeirushlen kun me vy u jo de.
40002002	Ama ji la, “Judaq ji iwn xandi kkrhau than kapien niwn naqpi la name mei. Ama iwn aqshi gan kniqshie phan me ke ji nu jo de. Ama gan spaq than ke ji navy niwn jo de,” na by de.
40002003	Kthanq neq gan xandi Heiro he Jeirushlen kun iwn khimi ji the degan ama ji la amlunq jauhoe moen u thaan jo de.
40002004	Tynygy degan xandi Heiro la khimi ji iwn miema glein axylypi ji he pieriesa shma ji gan vaan de kauq ha, “Meishija kapien niwn name mei,” naha diwnq by de.
40002005	Ama ji la, “Judaq khoeq Belan kun me veshin iwn phoishma lonq de tri ha on niwn la,
40002006	‘Judaq khoeq iwn Belan kun jy, nan la kun ashin de. Axylypi thunq me tangoe xiw niwn kun kkrhau man de. Ke iwn khimi Isreila ji gan mkaw ha lan mnui than Belan kun kon lonq man thaw man de,’” naha mkonq by de.
40002007	Khiwn degan Heiro la pethon ka'on ji gan kauxu me kauq ha aqshi thaw niwn ktiw gan diwnq by de.
40002008	Tynygy diwnq khiwn la pethon ka'on ji gan, “Lyiw ha naqpi gan katein than anienmrien shoeq hana ke gan nathuiq u ja. Kema lyiw ha ama gan spaq de ne de,” naha txu by khiwn la Belan kun me mxoe by de. Xandi haw niwn the khiwn degan ama ji la lyiw u jo de. Kniqshie phan me nu niwn aqshi gan nu ha ama ji la hoelihoelanq u man de. A'shi tneq la ama ji maq me lyiw ha naqpi on niwn mtynq akonq me knau ha on jo de.
40002011	Ama ji la in thunq me koen jo la naqpi he naqpi iwn anoi-oi Mari gan nu u jo de. Ama ji la khawmkhun mdi ha spaq u jo de. Khiwn degan ama ji la ama ji iwn tpau ji gan mthon hana xoiq ji, mnanqvin niwn adi ji, mura kun kon sha niwn mnanqvin niwn shiqtui ji gan poe by de.
40002012	Khiwn la ama ji vuiq degan Heiro me lyiw ha y than Kanma la shaudi poe by de. Dyde ama ji la axy niwn lan kon ama ji khoeq me vuiq u jo de.
40002013	Pethon ka'on ji vuiq degan Jawshe me Kanma iwn thoeq lonq de la man me thon by ha, “Thau ja, naqpi he anoi-oi gan kauq ha Igjie khoeq me kauxui vi ja. Ke nahaw beqtyn y niwn mtien man tneq me on u ja. Heiro la naqpi gan mthi than shoeq de,” na by de.
40002014	Dyde Jawshe la thau ha naqpi he anoi-oi gan kauq ha mxun menan Igjie khoeq me kauxui u jo de.
40002015	Tneq me Heiro diw niwn mtien de on u jo de. Kanma la phoishma kon haw niwn la, “Igjie khoeq iwn ke Spa gan ke kauq man de,” naniwn la khuitan koi dy jo de.
40002016	Xandi Heiro la pethon ka'on ji ama pie gan kneq y niwn mny by la kdoe thaw jo de. Dyde ama la Belan kun he bautein me on niwn van ji iwn shni ni de he shni ni de tkui on niwn naqpi naqpadi pi ji gan mthi he by de. Nagy de tynygy sha niwn mei nala pethon ka'on ji kon aqshi kausy xiw thaw niwn ktiw gan ama mny de tkhoen jo de.
40002017	Tneq la phoishma Jeirimi iwn tri niwn phoitu niwn koi dy jo de.
40002018	Jeirimi la, “Rama mtynq iwn atxaw haan de the de. Tneq la amlunq biq ha xa niwn atiwn de. Rakheila la ama spi ji than xa ha on ha jo de. Naqpi ji diw de tkhoen mxien ha dan y jo de,” naha thuiq niwn on de.
40002019	Xandi Heiro diw khiwn degan Igjie khoeq menan Jawshe la man me Kniqkhoeqmaq iwn thoeq gan nu jo de.
40002020	Thoeq la, “Thau ha naqpi he anoi-oi gan kauq hana Isreila khoeq me vuiq ja. Naqpi iwn ashau gan mthi than shoeq niwn ji la diw u dy ga,” na by de.
40002021	Dyde ama la thau ha naqpi he anoi-oi gan kauq hana Isreila khoeq me vuiq u jo de.
40002022	Gadema Heiro iwn spa Akhila la ape mtynq me knoenq ha Judaq khoeq gan mkaw de naniwn kthanq Jawshe the jo de. Dyde ama la tneq me lyiw than xiq jo de. Kniqkhoeqmaq la man me Jawshe gan Galilei kauniq me lyiw than haw by de.
40002023	Jawshe la lyiw ha Nazare kun naha kauq niwn kun haan de me lyiw ha on jo de. Dyde, “Ama gan Nazare kunpy naha kauq man de,” naniwn phoishma ji haw niwn ji la khuitan kkrhau dy jo de.
40003001	Shni texiwn on degan Batizen shma Jawhen la Judaq khoeq iwn dethunq xaupan me Kniqkhoeqmaq iwn pie thuiq ha on jo de.
40003002	Ama haw niwn la, “Nan ji ajie kon anon dan u. Khoeqshniq iwn Khoeq la nidei ga dy de!” na by de.
40003003	Veshin me phoishma Heishaja la Jawhen kthanq haw jo de. “Dethunq xaupan me lonq de la xanq ha on de. Atxaw tneq la, ‘Kanma navy than lan gan mtoe ha mse ja,’” naniwn jo de.
40003004	Jawhen ama iwn kh'aw la koela'u amui he tkonq niwn jo de. Keinxui la aphoe he sha niwn jo de. Ama la khaukhu he khoiq tui gan sa ga jo de.
40003005	Jeirushlen kun me on niwn khimi ji he Judaq khoeq mtynq ttyn me on niwn khimi ji la ama me vy u jo de. Jawden tvaq bauteinbaula me on niwn axylypi ji ma vy u jo de.
40003006	Khimi ji la me-e ajie gan thuiq ha Jawden tvaq menan Jawhen me batizen khan u jo de.
40003007	Gadema amdaw niwn Pharishei ji he Sadukei ji batizen khan than vy niwn gan Jawhen nu ha, “Mxuiq shi he niwn ji jy! Nan ji gan Kniqkhoeqmaq kdauthu ha shaukhoen napoe niwn kon loe than ape nahaw mei.
40003008	Khuitan anon dan niwn gan nanma ji iwn aghoi sha ha mnui u ja.
40003009	Nan ji la, ‘Me ji la Abrahen iwn spi ji de, Kniqkhoeqmaq ajie napoe y ga,’ naha nanma ji ttoi kahaw u nanq ja. Kniqkhoeqmaq la txun neq ji gan Abrahen iwn spi ji kkrhau he ha ja de.
40003010	Kniqkhoeqmaq la thekon gan ajun tein kon xu than vaanq gan thekon mkun menan khe niwn khimi he de. Athe ghoi kthe y niwn akun ttyn gan xu hana me me bon by man de.
40003011	“Ke la anon dan niwn nan ji gan tui he batizen napoe ga de. Ke khaan y bohan on niwn navy man de. Ke la ama iwn khawnien gan tpuq than mtienq la kba y de. Ke la tui he nan ji gan batizen napoe beshe he Ama la nan ji gan Sepin Seryiw niwn Muiqxaq he, me he batizen napoe man de.
40003012	Ama iwn akoe me saq he saq afi gan mshi ha tkhiw than bawxa kauruiq de. Ama la saq nienna gan phieqryiw de. Hoi niwn saq ji gan tpeq me khe hana saq afi ji gan la xinq man ma diw kau y niwn me me bonq man de,” naha haw by de.
40003013	Tynygy degan Jeishu la Galilei khoeq kon Jawden tvaq me batizen khan than Jawhen me vy by jo de.
40003014	Gadema Jawhen la Jeishu gan batizen poe de ne y de. Ama la, “Ke la nan me batizen khan ha ga de. Ke me navy lau vi bui,” naha haw by de.
40003015	Jeishu mkonq by niwn la, “Ave ktiw me me-e ji la Kniqkhoeqmaq amlunqkvaq niwn ashiqshiq gan sha ha de. Dyde ave ke gan batizen napoe maq ja,” na by hana Jawhen ma batizen poe by jo de.
40003016	Jeishu batizen khan khiwn degan tui thunq kon phoe niwn he khoeqshniq kamhunq panq hana Kniqkhoeqmaq iwn Sepin Seryiw niwn Muiqxaq la mxuq he skrha ha Jeishu konq me tba niwn gan ama nu jo de.
40003017	Khoeqshniq kon atxaw la, “Neq la Ke khie niwn Spa. Neq gan ke amlunqkvaq ja gan,” na by de.
40004001	Khiwn degan Sepin Seryiw niwn Muiqxaq la Jeishu gan dethunq xaupan me mhoiq by de. Tynygy mhoiq by niwn la Anan la Jeishu gan ajie sha than m'jon by than jo de.
40004002	Niqva xuimliq de he mxun xuimliq de tne ma sa y de. Dyde ama la bu kxan jo de.
40004003	Saten xuipui la Jeishu me vy ha, “Nan Kniqkhoeqmaq iwn Spa nala txunkie neq ji gan nanma pie he tkoe mkrhau ja,” na by de.
40004004	Jeishu la, “Kniqkhoeqmaq iwn piemkun me khimi ashau xinq than sa niwn haan de xdyn he khiwn y man de. Kniqkhoeqmaq haw niwn pie ji he ashau xinq ha de nade,” naha mkonq by de.
40004005	Khiwn degan Saten xuipui la Jeishu gan Sepin Seryiw niwn Jeirushlen kun me mhenq ha tbutran glein iwn shanq xiw niwn inphu konq me thyn by de.
40004006	Saten xuipui la, “Nan Kniqkhoeqmaq iwn Spa jo de nala, neq kon shonq ja. Piemkun me, ‘Kniqkhoeqmaq la ama iwn thoeq ji gan Nan gan namkhaw than txu ha khe de. Nan iwn akhawkoe ji txun he kabaw ha y than ama ji iwn akoe he napan man ga,’ naniwn tri ha on de,” na by de.
40004007	Jeishu la, “Piemkun me, ‘Nan iwn Kanma Kniqkhoeqmaq gan msan ha y,’” naha tri ha on de.
40004008	Khiwn degan Saten xuipui la shanq niwn tkoenq konq menan mhenq hana khoeqra me on niwn khoeq ji he ama ji iwn hoibaw hoitran niwn gan mnui by pi de.
40004009	Tynygy mnui by ha Jeishu gan, “Nan ke gan naspaq la ave nu niwn neq axylypi napoe pi de,” na by de.
40004010	Jeishu la, “Saten xuipui, Ke kon lyiw vi! Kniqkhoeqmaq iwn Piemkun me, ‘Nan iwn Kanma Kniqkhoeqmaq gan nienq spaq ha ga de. Ama pie gan kneq ha ga de,’ naniwn on ga de,” naha mkonq by de.
40004011	Khiwn degan Saten xuipui la Jeishu kon thaw ha thoeq ji la vy hana ama gan mnau by jo de.
40004012	Batizen shma Jawhen mron thunq me on de naniwn kthanq the degan Jeishu la Galilei khoeq menan vuiq jo de.
40004013	Jeishu la Nazare kun me on y klauq Kapeiranan kun me on jo de. Kapeiranan kun la Zabulun he Naphatali kauniq Galilei tuili txeq me on jo de.
40004014	Dyde phoishma Heishaja haw niwn pie tneq ji la khuitan kkrhau dy jo de.
40004015	Ama haw niwn la, “Zabulun he Naphatali kauniq iwn khimi ji jy, Jawden tvaq tkoe, laha lan me on niwn axy niwn khimi axui ji jy, Galilei khoeq me on niwn khimi ji jy,
40004016	Nan ji la vinqroe niwn kon kvanrauq niwn nu ha man de. Diw niwn dekoi me on niwn khimi ji menan kvan la natiwn man de,” naha on de.
40004017	Tneq ktiw kon Jeishu thuiq de katon dy de. Ama la, “Nan ji ajie kon anon dan u ja, Khoeqshniq iwn Khoeq la nidei dy de,” na by de.
40004018	Jeishu la Galilei tuili tein me lyiw ha on degan Shimun naha kauq niwn Peitru he anaqpi Endrei xini he katein by de. Ama xini la tuili me py he mui nien niwn mui kashoeq jo de.
40004019	Ama xini gan Jeishu la, “Ke txuiq naxui ja. Mui gan shoeq beshe he Kniqkhoeqmaq avuiq khimi ji gan nashoeq he de,” na by de.
40004020	Ama xini la taukhidan he py ji gan khepha ha Jeishu txuiq xui pjoe hy jo de.
40004021	Tneq kon lyiw degan Zeibeidei spa Jaku he Jawhen naqpi je xini gan nu by de. Ama xini la ape he vaan de mlon thunq me py xuiq ha on jo de. Tneq ktiw me Jeishu la ama xini gan kauq by jo de.
40004022	Neq xini ma ape-e he mlon gan khepha ha taukhidan he Jeishu txuiq xui pjoe hy jo de.
40004023	Jeishu la Galilei khoeq mtynq ttyn me lyiw hana Kniqkhoeqmaq iwn in ji me mtu by de. Kniqkhoeqmaq iwn Khoeq kthanq ghoi ji gan thuiq by de. Khiwn la anonanaq on niwn ji, xy y naq niwn ji gan hoi than sha by de.
40004024	Jeishu iwn kthanq ji la Sirija khoeq axylypi me kthanq jaq by jo de. Khimi ji la ama ji me on niwn anonanaq narunnaraan on niwn ji he xy y naq niwn ji gan Jeishu me mhen by de. Anan koen niwn ji, kahoen ha katinbun niwn khimi ji, akhawkoe kta ha y niwn khimi ji gan ma Jeishu me mhen by u jo de. Jeishu la ama ji axylypi gan hoi he by de.
40004025	Galilei khoeq, Deikapoli khoeq, Jeirushlen kun, Judaq khoeq me on niwn khimi ji he Jawden tvaq tkoe me on niwn khimikie ji la Jeishu ama txuiq xui u jo de.
40005001	Jeishu la khimikie ji gan nu degan tkoenq konq me poe ha knoenq hana on jo de. Ama iwn atxuiq ji la vy by jo de.
40005002	Tynygy degan Jeishu la ama ji gan mtu niwn katon jo de.
40005003	“Kniqkhoeqmaq gan aliw on de naniwn mny niwn khimi ji la hoelihoelanq man de. Khoeqshniq iwn Khoeq la ama ji iwn kkrhau man de.
40005004	Ave amlunqma ha moen niwn khimi ji la hoelihoelanq man de. Kniqkhoeqmaq la ama ji gan mxien by man de.
40005005	Amlunq kamnien niwn khimi ji la hoelihoelanq man de. Kniqkhoeqmaq la ama ji gan khoeqra neq gan poe by man de.
40005006	Kniqkhoeqmaq maq me mdimkhiw on de ne xinxiwn niwn ji la hoelihoelanq man de. Kniqkhoeqmaq la ama ji gan msa by man de.
40005007	Mxien niwn amlunq on niwn khimi ji la hoelihoelanq man de. Kniqkhoeqmaq la ama ji gan mxien man de.
40005008	Amlunq sepin niwn ji la hoelihoelanq man de. Ama ji la Kniqkhoeqmaq gan nu u man de.
40005009	Kajoen than sha thoenq niwn khimi ji la hoelihoelanq man de. Kniqkhoeqmaq la ama ji gan spi shnau ji naha kauq man de.
40005010	Kniqkhoeqmaq iwn aliw he on de tkhoen kloe niwn ji he katein niwn ji la hoelihoelanq man de. Khoeqshniq iwn Khoeq la ama ji iwn kkrhau man de.
40005011	“Khimi ji la nan ji gan ke txuiq naxui de tkhoen he naskoe niwn ji, nakloe niwn ji, sy y niwn ji he nabi ja hoen niwn ji on la nan ji hoelihoelanq man de.
40005012	Hoelihoelanq niwn he mnuiq u ja. Khoeqshniq iwn Khoeq me Kniqkhoeqmaq la nan ji gan hoe niwn avanq napoe man de. Ama ji la veshin iwn phoishma ji gan tynygy sha by jo de.”
40005013	“Nan ji la khoeqra neq me mloi he de. Gadema xunq niwn lauq vi la nagy sha ha xunq niwn dan beqtyn de mei. Mloi la hoi y dy de tkhoen xanq me mhiepha ha khimi ji nanien man de.
40005014	“Nan ji la khoeqra neq me kvan he de. Tkoenq konq me on niwn kun gan nu y than mxaw ha khe de dan y de.
40005015	Khimi ji la shimetky gan me toe hana ton khu ha khe y de. In me koen niwn khimi ji nu pi than shimetky a'shau thynna me thyn ha khe ha de.
40005016	Tynygy he de, nan ji la khimi ji maq me nanma ji iwn hoi niwn ji gan nu ha than on u ja. Tynygy on la nan ji iwn kvan gan nu ha khoeqshniq me on niwn nan ji iwn pe-e gan khimi ji la mthoeq man de.”
40005017	“Ke nahaw niwn kneq u, Mawshei iwn pieriesa he phoishma ji iwn tri niwn gan phjau than ke navy niwn naha thi u nanq ja. Phjau than ke navy niwn sy y de. Koi pi than navy niwn ga de.
40005018	Ke nahaw niwn kneq u. Khoeqshniq he klena pjau y man niwn mtien de pieriesa thunq me on niwn sa the man ma pjau ha y de. Axylypi la pieriesa me tri niwn he kkrhau pi niwn mtien de pieriesa on man de.
40005019	Khimi lonq de la ashin xiw niwn t'ja gan txoi ha axy niwn khimi gan ma tynygy sha than mtu vi de nala khoeqshniq iwn Khoeq me ashin xiw kkrhau man de. Gadema pieriesa ji gan anienmrien xui ha axy niwn khimi ji gan ma xui than mtu niwn khimi la khoeqshniq iwn Khoeq me aglein xiw kkrhau man de.
40005020	Ke nahaw niwn kneq u, Pharishei ji he pieriesa shma ji khaan y Kniqkhoeqmaq iwn pie gan nan ji kneq la khoeqshniq iwn Khoeq me koen ha man de.
40005021	“Veshin me puipi ji gan haw niwn nan ji the dy de. Khimi ashau gan mthi nanq, ‘mthi niwn khimi la tautun mkhoi niwn ktoenkyn maq me tiwn ha de,’ naniwn de.
40005022	Gadema ke nahaw niwn la, Khimi lonq de la me-e naqpi je gan kdoe thaw la ama la tautun mkhoi niwn ktoenkyn maq me tiwn ha de. Khimi lonq de ama iwn aphau gan, apaw ga naha kauq la Sahidrin Konsi me tiwn ha de. Gadema khimi lonq de la ama iwn aphau gan aroe naha kauq la Kniqkhoeqmaq la ama gan kxau khoeq me tha man de. Dyde Kniqkhoeqmaq than inshdie konq me luisui sha than ta degan nan gan natkhoenq sha y niwn aphau on niwn gan shaudi khe de nala, luisui sha na ji gan inshdie maq me kheshu ha naqpi tneq he kajoen than sha maq ja. Khiwn degan nienq vy beqtyn ha luisui sha ja.
40005025	“Nan gan khimi lonq de la nabi hana nanma he vaan de tautun in me lyiw toen me kamdan vi ja. Sy y la, ama la nan gan tautun mkhoi niwn ktoenkyn me namhenq man de. Tautun mkhoi niwn ktoenkyn la rei ji gan nanien he ha nan gan mron thunq me nakhe he de.
40005026	Ke nahaw niwn kneq u. Tautun mkhoi niwn ktoenkyn napoe he niwn tkaan axylypi poe khiwn degan nienq mron thunq kon nan loe ha ga de,” naha thuiq by de.
40005027	“Nan ji la, ‘Khimi nuipui naqpa he jiekre nanq,’ naniwn gan the khiwn dy de.
40005028	Gadema ke nahaw niwn la, khimi naqpadi lonq de la khimi nuipuidi, naqpadi gan ne niwn amlunq he tkhoenq la nuipuidi tneq he jiekre dy de.
40005029	Nan iwn t'a ami la nan gan kman he la ami tneq gan kathoeq xaw vi ja. Ami phanphan ni de he kxau khoeq me koen niwn khaan y, ami phanphan de on niwn la hoi goe de.
40005030	Nan iwn t'a akoe la nan gan kman he la akoe tneq gan byn vi ja. Akoe phanphan ni de he kxau khoeq me koen niwn khaan y, akoe phanphan de on niwn la hoi goe de.”
40005031	“Pieriesa me tri niwn la, ‘Khimi lonq de la ama iwn nuipui he kaprei de ne la kaprei niwn saxan poe ha de,’ naha on de.
40005032	Gadema ke nahaw de ne niwn la, ‘Khimi lonq de iwn nuipui la axy niwn khimi he jiekre y la mnienq de dan y de. Khimi lonq de anuipui gan mnienq ha axy niwn nuipuidi lonq de he indon sha beqtyn de nala, ama iwn nuipui kauxiwn gan jiekre niwn de. Tynygy he nuipuidi lonq de la anaqpa gan mnienq ha axy niwn naqpadi lonq de he indon sha beqtyn de nala ama iwn naqpa gan jiekre he niwn de.’”
40005033	“Pieriesa me on niwn la, ‘Sha de naha katkinq ha haw la haw niwn he sha ha de. Katkinq niwn he Kanma maq me haw la khuitan sha ha de,’
40005034	Gadema ke nahaw niwn la, katkinq ha tne ma haw u nanq. Khoeqshniq gan mnyn ha tkin u nanq. Khoeqshniq la Kniqkhoeqmaq iwn knoenqna mtynq de.
40005035	Klena gan mnyn ha tkin u nanq. Klena la Kniqkhoeqmaq iwn akhaw thynna de. Jeirushlen kun gan mnyn ha tkin u nanq. Jeirushlen kun la hoe xiw niwn Xandi iwn kun de.
40005036	Nanma ji iwn aluq gan kamnyn ha katkinq u nanq. Ashan mie man ma mnu than mlunq than nan ji sha thoenq y de.
40005037	Nan ji iwn pie gan sy la, ‘Sy ja,’ sy y la, ‘Sy y,’ naha haw u. Tneq khaan y haw niwn la Saten xuipui kon navy niwn ga de.”
40005038	“Nan ji the khiwn niwn pieriesa ji me, ‘Ami the de avuiq ami the de, afa joen de avuiq afa joen de,’ naha kauruiq de.
40005039	Gadema ke nahaw niwn la, nan ji gan hoi y nasha niwn ji gan xoitha u nanq. Lonq de niwn la nan t'a phan iwn ame gan natbie la ave phanphan de gan kahoiq by.
40005040	Khimi lonq de la nan gan nabi ha nan iwn kh'aw ne de nala, ama gan nanma iwn akonq iwn kh'aw gan ma poe by ja.
40005041	Khimi lonq de la nan gan ama he vaan de mein haan de nalyiw he la, khimi tneq he vaan de mein ni de lyiw ja.
40005042	Khimi lonq man nan ji gan haan haan man namke degan poe by ja. Khimi lonq de nan ji gan haan haan man nakhi degan ama gan khi by ja.”
40005043	“Nan ji the niwn la, ‘Nanma ji iwn aphau gan khie ha nanma ji iwn txieq ji gan mtiwliw ja,’ naniwn de.
40005044	Gadema ke nahaw de ne niwn la, ‘Txieq ji gan khie u. Nan ji gan nakloe niwn ji than saxein mke by ja.’
40005045	Tynygy degan nienq khoeqshniq me on niwn Pe-e iwn spi ji kkrhau man de. Ama la hoi niwn he hoi y niwn ji than kniq gan biq he ha khoeq gan nienq he dy de.
40005046	Nan ji gan nakhie niwn khimi ji gan nienq khie la tne avanq dan de mei. Maumoen kakaw ji mtienq la tynygy sha ha ja de sy y by.
40005047	Nanma ji iwn aphau ji he nienq kamlau la, axy niwn khimi axui ji khaan y nan ji tne avanq dan de mei. Kniqkhoeqmaq gan mny y niwn khimi ji mtienq la tynygy sha ha ja de sy y by.
40005048	Khoeqshniq me on niwn nan ji iwn Pe-e la axylypi me koi beshe he nan ji ma koi u ja,” naha haw by de.
40006001	“Nan ji iwn aghoi sha niwn ji gan khimi ji nu than ama ji maq me sha u nanq ja. Nan ji tynygy sha la khoeqshniq me on niwn nanma ji iwn Pe-e la tne ma avanq napoe de sy y de.
40006002	“Dyde nan ji la nere niwn khimi ji gan poe de ne la, nanma ji sha niwn gan axy niwn khimi ji mny pi than haw u nanq ja. Ajiwn sha niwn khimi ji he sha u nanq ja. Khimi ji la ama ji gan mthoeq than Kniqkhoeqmaq iwn in me, lan ji me nere niwn khimi ji gan poe u de. Ke nahaw niwn kneq u. Ama ji la avanq dan khiwn dy de tkhoen Kniqkhoeqmaq iwn poe niwn avanq dan y dy de.
40006003	Gadema nere niwn khimi ji gan nan poe degan nanma he kma kie niwn aphau mtienq la mny y niwn alan he poe ja.
40006004	Dyde nan poe degan kauxu me poe ga ja. Khoeqshniq me on niwn me ji iwn Pe-e la avanq napoe man de. Ama la khimi ji nu y niwn gan nu vi de.
40006005	“Nan ji saxein mke degan ajiwn sha niwn khimi ji he mke u nanq. Ama ji la Kniqkhoeqmaq iwn in me, lan ji me, khimi ji ama ji gan nu than kdoe ha saxein mke de ne u ga de. Ke nahaw niwn kneq u. Ama ji la avanq dan khiwn dy de.
40006006	Gadema nan ji saxein mke degan in thunq me koen ha thawkha kakein hana khimi ji nu y than nanma ji iwn Pe-e me mke u. Ama la kauxu me sha niwn ji gan nu de tkhoen nan ji gan avanq napoe man de.
40006007	“Nan ji saxein mke degan Kniq-khoeqmaq gan yn y niwn khimi ji he mke mtynq mke beqtyn u nanq. Ama ji la pie amdaw he mke la dan de thi u vi de.
40006008	Ama ji he mke u nanq. Nagy de mei nala nan ji iwn Pe-e la nan ji ne niwn gan mke y man de niq kon namny ja de.
40006009	Dyde nan ji saxein mke la nygy mke u ja. ‘Khoeqshniq me on niwn Pe-e jy! Nanma iwn amiq la seryiw niwn ha shanq jo shan.
40006010	Nan mkaw niwn la khoeqra neq me on jo shan. Nanma iwn aliw he khoeqshniq me koi beshe he klena me ma nanma iwn aliw koi jo shan.
40006011	Ke ji veniq ne niwn sana ji gan napoe ve ja.
40006012	Ke ji gan hoi y nasha niwn khimi ji gan ke ji mxoe beshe he ke ji iwn ajie gan namxoe ve ja.
40006013	Ajie sha than m'jon niwn he katein he nanq jo. Saten xuipui, ke ji gan knaq y than naklonq jo.’ [Xandi sha niwn bohan he mimoen shanq niwn la tshautkhon nanma me on jo shan. Amen]
40006014	“Nan ji gan ajie nasha niwn khimi ji gan nan ji mxoe la khoeqshniq me on niwn nan ji iwn Pe-e ma by nan ji iwn ajie gan namxoe man de.
40006015	Gadema nan ji la khimi ji iwn ajie gan mxoe y la nanma ji iwn Pe-e ma nan ji sha niwn ajie gan namxoe de sy y de.”
40006016	“Nan ji sana nina jaq degan ajiwn sha niwn khimi ji he amime sh'joeroe sha u nanq. Ama ji mime gan tkhoenq ha ama ji sana nina jaq niwn gan khimi ji mny man de. Ke nahaw niwn kneq u. Ama ji la ama ji iwn avanq dan dy de.
40006017	Gadema nan ji sana nina jaq degan aluq me shiqtui kathein ha amime kxa ha on ja.
