# language_name:	Lautu Chin
# closest ISO 639-3:	clt
# year_short:	scraped 2026
# year_long:	Not available
# title:	Lautu Chin
# URL:	https://www.bible.com/bible/2640
# copyright_short:	See bible.com for copyright information
# copyright_long:	Scraped from bible.com. See original source for copyright.
40002011	Ingchung luo kha amaa ngie ca haatiy kha a nung Mary hne ama hmung; ama pakhuv pane yite ama kha amaa bie. Ama suethiy thingkaw kha pahaw yite, ama lasaw: siyy, frankinsens ziyhmyi, hne mura ziyhmyi kha ama pi.
40002012	Mingsing tie ca Herod'a luo kaa li riypata ama muo lie a raaring pina ama hmung nakawta luo hrang ziy yite ama ruo luo kha ama kaa.
40002013	Iema ama si khu taata Abyipa avuoming pakha ca Josef muo lie kha a luo te, “Thu la haatiy hne a nung hing Izipt ruo luo a ruokhyi tie yi. Kama ta kaa riypata ica chang hluo li ama lie kha nama aw aa, tahematapakieca Herod na haatiypa hing thie riypata a huv aa,” a ta.
40002014	Cakhutaata Josef ca thu te haatiy hne a nung kha Izipt ruo luo zuo ta a ruo khyi yite
40002015	capa lieca Herod a thiy nate ama aw. Hingpa hing Abyipa ta profet pakaa taata, “I saacapaa ca Izipt ruo taa pya riypata i u,” a tapa bie tlingna riypatana a cuo.
40002016	Herod ta mingsing tie na naa dung yi tapa a pachang tiyta a hi a haa suesaa. Cacuonakawta mingsing tie'a taata a pachangpa cuo hne tuepuo pata Bethlehem hne a cahriy lie a awpa khy zaw taata haatiy kung hning raw bangkhuo kha thie riypata naw a pi yi.
40002017	Cahaa cata profet Jeremiah ta a za ripa bie ca a vya tling. A ripa ca:
40002018	“Ramah khy chunglie ueryi aa thyi. Caana hne khi-una ueryi ta a cuo. Rachel ta a saa zaw kha a caa yi. Panguo khu cuo the vyi, Tahematapakieca ama thiy diy nakaw,” tapata a cuo.
40002019	Herod a thiy khu taata Izipt ruo lieca Abyipa avuoming pakha Josef muo lie kha a luo te,
40002020	“Thu la haatiy hne a nung kha la yi la Israel ruo luo si tie ung, tahematapakieca haatiy thie a tingpa tie kha ama thiy tli,” a ta.
40002021	Cacuonakawta Josef ca thu te, haatiy hne a nung kha la yite Israel ruo luo ama si.
40002022	Cuorasala Arkhelaus na a paa Herod kha a thle te Judea ruo lie siepahruo a cuo tapa kha Josef ta a thyi tiyta capa luo ca si nguo vyi. A muo lie bie ama changpa haata Galilee pe luo kha a si.
40002023	Profet tie ta ama za ri ciepa, “Ama ca Nazarethpa tapata a cuo aa,” tapa bie a tling thena riypata Nazareth khy lie kha khy a sa.
40003001	Ca cuo ning ca tiynawtuv Johan ca Judea ruochung lie kha a vya luo te,
40003002	“Nama suena kha a ngiepachiy ung, tahematapakieca Vuoruo Pena na a ngie tli,” tapata phung a ri.
40003003	Profet Isaiah ta, “Ueryi suokha ca ruochung lie kha u te: ‘Abyipa luopuv kha sapa tie ung, a luopuv kha padang tie ung’” tapata a za ri tiyta Johan hingna a za ta khing hnuochuopa ta a cuo.
40003004	Ama ca kala-uv hming ta taapa caw kha a tue te a se lie kha savang tesaw aa saw, a sa ca khawbyapa hne khyitiy ta a cuo.
40003005	Jerusalem taa hne Judea pe bangkhuo taa cuose, Jordan cavaa kie khyta bangkhuo taata cawsaa zaw kha ama'a luo ca pya yite,
40003006	ama suena kha a phu yite Jordan cavaa lie kha tiy a naw yi.
40003007	Cuorasala Johan ta Farasi ming hne Sadusi ming zaw tiy a naw riypata amaa vawpa kha a hmung tiyta, “Pariy ciypathla zaw, a vya tlung riypa Khazing hihaana chung taata a ruo riypata ahungma a raaringna caa pi yi? a ta yi.
40003008	Sue a ngiepachiyna hne aa phuvpa hringzya kha hnyi tie ung.
40003009	Niema hne niema kha, ‘Malie a sa a vyatuv Abraham na ma hnyi tapata rue kha ung;’ ica chang yi: Khazing ca hing alung chung taahingta Abraham samingsahlaa zaw kha a sa khu yi.
40003010	Ahryi ca thingkungpa thabaw lie pahlaa pacie pata cuote thyiphaa a pathyi lipa thingkungpa bangkhuo ca hu pata myi chung luo thawpa ama cuo aa.
40003011	Kama ca nama sue a ngiepachiy-napa paluosana ta tiy ta tiy ica naw yi, cuorasala kama laata a le viepapaa ca i hnang taata a vaw'a te kama hing ca a phyipakaw a cyipale riypa tahmuo a tla va ang. Ama ta Thlaapa Pathe hne myi ta tiynawnapa aca pi'a yi. Ama ca kama laata a le vie karaa.
40003012	A kuv lie sazinapa pahraa kha a cyi te sa kha a zi diy aa. A chuo ca be luo kha raw'a te asiypa ca a thiy buo lipa myi luo kha a hmaw aa,” a ta.
40003013	Capa cuo ning ca Zingsuv ca Galilee taakhata Jordan cavaa luo kha Johan kuv ta tiy a naw riypata aa vaw.
40003014	Cuorasala Johan ta, “Kama hingna nama kuv ta tiy a naw riypa a cuo ang, nama tlaku ma kama'a luo a vaw ciy?” a ta.
40003015	Cuorasala Zingsuv ta, “Ata hing ca hinghaahingta cuo thluo se, tahematapakieca a dangna bangkhuo a tlingna riypata hinghaahingta ma tue riypa hing a phapa tana a cuo,” a ta. Cacuonakawta Johan ca a naa a tla.
40003016	Zingsuv ca tiynawna hmung te tiy chung taata a kya thu pahne ta vuoruo kha sungkha ta a pahaw te Khazing Thlaapa kha thuvruv haata zaa zu te a cunglie a zaa cang pakha a hmung.
40003017	Vuoruo taata ueryi suokha ta, “Hingpapaa hing i duepa i Saacapaa tana a cuo, a cunglie hing i palung a tling,” a ta.
40004001	Cakhutaa Zingsuv ca Setaa ta pasupaliy riypata Thlaapa ta ruochung luo kha a sikhyi.
40004002	Zingsuv ca ning sawliy hne zuo sawliy chung sa uv te a nang a diy hringhruo.
40004003	Pasupaliytuv ca a vaw te, “Khazing Saacapaa hmisi ta na cuo kieca hingpa alung zaw hing viechuo ta pali tie,” a ta.
40004004	Cuorasala Zingsuv ta, “Caapathepa na a ri, ‘Cawsaapa hing sa ta dyi hring'a vyi, cuorasala Khazing ta a ripa bie tana a hring aa,’” a ta.
40004005	Cakhutaata Setaa ta Zingsuv kha khypuv pathepa biena-ing a daw lie kha chi te,
40004006	“Khazing Saacapaa ta na cuo kieca hingpa taahingta a thawpathla tie, tahematapakieca Caapathepa ta, ‘Khazing ta nama cuo hing ta a avuoming naw pi'a yite, iema ta ama kuv ta ca cawchue'a yite, alung lie na phyi a phaw'a vaciy, a ta kha,’” a ta.
40004007	Zingsuv ta, “Caapathepa ta, ‘Na Byipaapa na Khazing kha va dyapasya kha,’ a ta,’” tapata a palie.
40004008	Cakhutaata Setaa ta Zingsuv kha a suosapa tluocung luo kiekhyi te chuelyi pena bangkhuo hne a rungnaana bangkhuo kha a pahmung sa.
40004009	Setaa ta, “A bung la inaa bie cakieca hingpa bangkhuo hing ica pi aa,” a ta.
40004010	Zingsuv ta, “Setaa, cakuo buo! Caapathepa ta, ‘Na Byipaapa Khazing kha abie la, ama re dyi kha va hrie tie,’ a ta pakha,” a ta.
40004011	Cakhutaata setaa ta pya se te, avuoming ta sungkha ta a zuv yite ama za mangsang.
40004012	Zingsuv ca Johan na ama patuv tapa kha a thyi tiyta Galilee luo kha a si.
40004013	Ama ca Nazareth kha thuse te Zebulun hne Naftali pe, riyliy kielie a awpa Kapernaum khy lie kha a aw.
40004014	Hinghaahingta a tue napa ca profet Isaiah ta,
40004015	“Zebulun hne Naftali ruo, Riyliy luopuv kie, Jordan cavaa huesuo, Jentail ming ruo Galilee—
40004016	Zingna chunglie a awpa cawsaa zaw ta, khena lepuv kha ama hmung aa. Thiyna ruo ningdiy rawlie a awpa tie cunglie, khena ca a kya luo tli,” a za tapa kha a tlingna riypatana a cuo.
40004017	Capa cuo taacata Zingsuv ta, “Nama suena kha a ngiepachiy tie ung, tahematapakieca vuoruo pena na a ngie tli!” tapata phungri hruo a pathu.
40004018	Zingsuv ca Galilee riyliy kielie a cakuole pata, Simon (Piter ama tapuopa) hne a nuta Andru riyliy lie asue ama vaa nguoluopa kha a hmung yi, tahematapakieca iema ca ngaavaapa tana ama cuo.
40004019	Zingsuv ta, “Kama hing na ziy tie ung, cawsaa a patuvpa tana ica tue'a yi,” a ta.
40004020	Amaa sue kha thuse paluo yite ama kha ama ziy.
40004021	Capa hmang taacata a va cakuo vie pata a hrangpa uvcanu pahning, Zebedi saacapaapa Jeim hne a nuta Johan kha ama paa Zebedi hneta sawkawpalaw chunglie amaa sue ama thyi nguoluo pa khata hmung yite a u yi. Zingsuv ta ku yite,
40004022	ama sawkawpalaw hne ama paa kha thuse paluo yite ama kha ama ziy.
40004023	Zingsuv ca Galilee ruochung bangkhuo kha tlaw te, apungna-ing lie kha a pacuv yi, vuoruo pena thuophaabie kha chang yite pasanapa phangphang a angpa tie kha a patluo sa yi.
40004024	Cacuonakawta a thuohlaa ca Siria ruochung ting khata pathuo te, a pasapa bangkhuo kha ama'a luo ama vya chiykhyi, pasana phangphang ta a pasapa tie, khuevuo ta a tuepa tie, siy te a thiychiethepa tie, hne a pakyapa tie bangkhuo kha a patluo sa diy yi.
40004025	Galilee, Dekhapolis, Jerusalem, Judea, hne Jordan cavaa huesuo luo ruo taata cawsaa hluvpuv khata ama ca ama ziy.
40005001	Zingsuv ta cawsaazaapuv kha a hmung tiy yi ta tluocung luo kha kie te aa tu khu taata ziytuv tie kha ama'a luo amaa vaw.
40005002	Bie ri kha pathu te a pacuv yi:
40005003	Thlaapa luota a siy a pasapa tie ca thluechiypa tana ama cuo, tahema-tapakieca vuoruo pena ca iema huopa tana a cuo.
40005004	Ngiechi pacuorung pata a caapa tie ca thluechiypa tana ama cuo, tahematapakieca Khazing ta ama hnaa a panguo'a yi.
40005005	A nang a nepa tie ca thluechiypa tana ama cuo, tahematapakieca alyi ru na ama cu aa.
40005006	A dangna kha nangdiy tiyhriepa haata a khingpa ca thluechiypa tana ama cuo, tahematapakieca ama khingna kha patling sapa ama cuo aa.
40005007	Nangduena a hnyipa tie ca thluechiypa tana ama cuo, tahema-tapakieca Khazing ta iema kha nang a due ra'a yi.
40005008	A palung a pathepa tie ca thluechiypa tana ama cuo, tahematapakieca Khazing na ama hmung aa.
40005009	Arena a tuepa tie ca thluechiypa tana ama cuo, tahematapakieca Khazing ta i saata a ta'a yi.
40005010	A dangnapa kawlieta hrisaa-thieruena a angpa ca thluechiypa tana ama cuo, tahematapakieca vuoruo pena ca iema huotana a cuo.
40005011	Kama kawlieta cawsaa ta ca pachie yite, ca hrisaathierue yite, a pha lipa a phangphang kha aa hmuo lipa ta aca thawsue kie yi ca thluechiypa tana nama cuo.
40005012	Nama palung tluo sala nama thaa pha se, tahematapakieca vuoruo lieta nama lawmuo a lesa aa. Hinghaahingtana niema hluo taapa profet tie zaw kha za ese yite ama za hrisaa.
40005013	Niema ca chuelyi paciy tana nama cuo. Cuorasala paciy ca a iena kha a vie kieca tuokhaatama pa-ie sa pakhaa khu pata a cuo aa? Thlahnena a hnyi li tli nakawta thaw pata tlawpuo riypa dyina a cuo tli.
40005014	Niema ca chuelyi khena tana nama cuo. Tluocung lie tlapa khypuv ca khaapatahmuo pakhuo khu vyi.
40005015	Ahunghmuo myi-ing ama vuo tiyta beke khaakhung buo vayi. Cuorasala myivuona cunglie kha khang yite ingchung bangkhuo kha a khe diy.
40005016	Cahaa cata nama khena ca cawsaa hmielie kha khe se; tahematapakieca hmangpha nama tuepa kha hmung'a yite vuoruo lie nama Paa ming kha ama pathuosa aa.
40005017	Moses phungbie hne profet tie pacuvnapa kha para riypatana aa zuv tapata na rue kha ung. Para riypata a zuv va ang, patling sa riypa tuv tana i zuv.
40005018	Biehmisi tana ica chang yi: Alyi hne vuoruo a ra hluo li phungbie lie a cawcepa caasuo suokha a cuo zaw, phungbie chung taata ra'a vayi, a bangkhuo ta a tling diy hluo li ra'a vayi.
40005019	Cacuonakawta ahungtahmuo cuose phungbie chunglie a cawcepa suokha kha ziy li pata para te malie zaw kha cahaa cata a pacuv kie yi ca ama ca vuoruo pena chunglie a cawcepa ta a cuo aa. Cuorasala ahunghmuo cuose phungbie kha ziy te malie zaw kha cahaa cata a pacuv kie yi ca vuoruo pena chunglie a lepa ta a cuo aa.
40005020	Ica chang yi: phungbie saya tie hne Farasi ming laa hingta namaa dang vie li kieca vuoruo pena chung luo a ngie khu'a va ungciy.
40005021	Hluo ningta ca, “Lie va naw kha; lie a nawpa ca bieripana na a ang aa,” ama za ta pakha nama thyi.
40005022	Cuorasala kama ta ca: a uv a nu, a sieta cunglie a hi a haapa ca bieripana kha nama ang aa; a uvta a nuta, a sieta kha, siysaa ri li pata a esepa ca bieripana zung luo chiykhyi pata cuo'a ung cate, a uv a nu, a sieta kha, ‘a ngaapa,’ a tapa ca hell myi chung luo tla riypata aa tlapa nama cuo aa,” a ta.
40005023	Cacuonakawta nama lasaw kha bienatluophie lie nama pi tiyta, na uv na nu, na sieta pakhakha ta na cunglie a palung a tling lipa kha naa thyi kieca
40005024	na lasaw kha bienatluophie hmielie chi siy la a catli pata cakuo la na uvnu, na sieta hne a rena kha va tue tie. Cakhutaacata vya kaa la na lasaw kha Khazing ca pi tie.
40005025	Tazaa caa cyipa hneta bieripana zung luo nama vaale ning khata ama kha a rena tue tie. A cuo li kieca tazaa caa cyi pata bieribyi kuv cung luo, bieribyi ta paliy zung luo ca chiykhyi'a te thaw pathla pata na cuo aa.
40005026	Biehmisi tana ica chang yi: lu riypa bangkhuo na lu diy hluo li thawchung taata pya'a vaciy.
40005027	Nungvaathingsuena tue kha ung ama ta tawpa ca nama pachang.
40005028	Cuorasala kama ta ca: canung pakha kha suehnekhingna pathiypalung hne a mangpa ca a palung chunglie ta nungvaathingsuena kha capa nung hne cata a tue tli.
40005029	Cacuonakaw na cacuo ming ta aca pasue sa kieca, cakhyi la thaw tie; na pangpa palang ta hell luo tlapa laa taca na pangpa chebuo suokhakha naa sungpa ca a pha vie.
40005030	Na cacuo kuv ta aca pasue sa kieca, te la thaw tie. Na pangpa palang ta hell luo tlapa laa taca kuvphyi suokhakha a sungpa ca a pha vie.
40005031	Ahunghmuo cuose a napuv ama kieca manapa caa pacyi se, tapata ripa a cuo hyi.
40005032	Cuorasala kama taca hinghaahingta ica chang yi: Capaa ta a napuv kha capaa hrangpa hne suena kawlie ta li pata a hrangpa kawlieta a ma kieca a ama kha nungvaathingsuena a patue sapa ta a cuo, capa nung a hlawpapaa zaw kha nungvaathingsuena a tuetuv ta a cuo ra.
40005033	“A hmuo li pata chie a sa'a va ungciy, cuorasala Abyipa'a lie nama tue ciepa biekuona kha patling sa tie ung,’ tapata hluo ningta ama za ripa kha nama thyi.
40005034	Cuorasala ica chang yi: Chie a sa kha ung; vuoruo ming caba pata chie a sa kha ung, tahematapakieca Khazing a tuna tana a cuo.
40005035	Alyi ming caba pata chie a sa kha ung, tahematapakieca Khazing phyi pathlana tana a cuo. Jerusalem ming caba pata zaw chie a sa kha ung, tahematapakieca siepahruolepa awna khypuv tana a cuo.
40005036	Nama luv nama puo caba pata zaw chie a sa kha ung, tahematapakieca nama suobuv buvkha hmuota nama paruo sa khu li pahaata pavaw sa khu va ungciy.
40005037	‘A cuo,’ ‘Cuovyi,’ tapa dyi kha ri tie ung, hingpa laa hingta a hlyipa bangkhuo ca a pha lipapaa'a taata a vawpa tana a cuo.
40005038	“Ming cuota ming, haa cuota haa, tapata ama ripa kha nama thyi.
40005039	Cuorasala ica chang yi: phalina a tuepa kha thlu ri kha ung. Cuorasala cawsaa pakhakha ta na cacuo luo be aca tung kieca, kuo kha luo kha va chawpa vie tie.
40005040	Na buohryi a khing nakawta tazaa aca cyi kieca, na buohryicungle zaw kha pi chiy vie tie.
40005041	Cakhutaata pakhakha ta hruohra li pata kilometer suokha aca cakuo sa kieca, kilometer suohning te khata va cakuo tie.
40005042	Chechiy caa hiepa kha va pi la; du caa cyipa kha va thlu kha.
40005043	“Nama viesaa kha due ungla nama carie kha hue tie ung, ama za ta tawpa kha nama thyi.
40005044	Cuorasala kama taca hinghaahingta ica chang yi: Nama cariepa tie kha due ungla caa hrisaathieruepa tie cuo khata thlaa chuo tie ung;
40005045	cahaacatana vuoruo lie a awpa nama Paa saata ta nama cuo aa. Tahematapakieca ama ca cawsaa chiepa hne cawsaa phapa cunglieta ning kha pachiy sa kaluo te, aa dangpa hne aa dang lipa cunglieta kha khy a pasaa sa kaluo.
40005046	Caa duepa dyi nama due kieca khaapa lawmuo ma nama hmung aa? Ngukhyituv tie tahmuo cahaa cata ama tue ra cuo vama?
40005047	Na uvnu hne na sieta zaw dyi kha bie naa chang kie yi ca, malie laata namaa nanang vie napa a aw ma? Khazing a bie lipa tie hmuo cahaa cata ama tue ra cuo vama?
40005048	Vuoruo lie a awpa nama Paa a tling pahaata niema zaw a tlingpa cuo ra tie ung.
40006001	Biena luota hmangpha nama tuepa kha malie ta na hmung naaseyi tapata zaapuv hmielieta va tue kha ung. Cahaa cata nama tue kieca vuoruo lieta a awpa nama Paa'a taata lawmuo khaahmuo hmung'a va ungciy.
40006002	Cacuonakaw hmangpha nama tue tiyta phahruocuo tie ta cawsaa malie pathuosa naaseyi tapata apungna-ing hne azaa luopuv lie hmyakaa tung yite ama tuepa haata tue kha ung. Biehmisi tana ica chang yi, iema ca ama lawmuo kha ama hmung diy tli.
40006003	Cuorasala niema ca hmangpha nama tue tiyta nama cacuo luo kuv ta a tuepa kha nama cavyi luo kuv tahmuo a pachang li riypata va tue tie ung.
40006004	Cahaa cata a paruv ta nama tuepa a hmungtuvpa nama Paa khata nama lawmuo kha aca pi'a yi.
40006005	Thlaa nama chuo tiyta phahruo a cuo pakhipa tie kha lu kha ung. Iema ca cawsaa ta malie hmung naaseyi tapata luopuv a tawna lie hne apungna-ing lie a daa pata thlaa chuo kha ama tlechuo sa. Biehmisi tana ica chang yi: iema ca ama lawmuo kha ama hmung diy tli.
40006006	Cuorasala thlaa nama chuo kieca nama khuo luo a ngie ungla, ingchiy kha khaa ungla, ming ta hmung khu a aw lipa nama Paa'a luo kha chuo tie ung. A paruv ta nama tuepa a hmungtuv nama Paa ta nama lawmuo kha aca pi'a yi.
40006007	Thlaa nama chuo tiyta Jentail ming ta bie a hluvsa ma ri kieca malie a thyi thlu aa tapata siyluo a hnyi lipa bie a syisa ama ripa haakhata thlaa chuo kha ung.
40006008	Iema ca va lu lie ungciy, tahematapakieca nama Paa ta nama hie hluo ta khaapama namaa hu tapa kha a pachang diy tli.
40006009	Cacuonakaw hinghaahingta thlaa chuo tie ung: Vuoruo lie a awpa ma Paa, Na mingpathepa ca pa-uvsathyi pata aw mangsue.
40006010	Na pena tlung paatie se; Vuoruo lie haata alyicung lie na khingnapa tling paatie se.
40006011	Ningting ta maa hupa sa ca ata ning zaw malie pi tie.
40006012	Malie ta ima cunglie ama sue ningta maa ngiethepa haayita, Ma suenapa kha malie a ngiethe ra tie.
40006013	Pasupaliyna luo malie pachiy sa li pata, A pha lipa chung taata malie khuo tie.
40006014	Malie ta nama cung lie ama tuepa suena kha namaa ngiethe kieca, vuoruo lie a awpa nama Paa ta niema zaw acaa ngiethe ra'a yi.
40006015	Cuorasala malie kha namaa ngiethe li kieca niema suena zaw kha nama Paa ta caa ngiethe ra'a vayi.
40006016	Sa namaa uv tiyta phahruocuo tie haata nama hmiephya a pachie sa kha ung. Sa amaa uvpa kha cawsaa ta malie pachang naaseyi tapata ama hmiephya kha amaa pachie sa. Biehmisi tana ica chang yi: iema ca ama lawmuo kha ama hmung diy tli.
40006017	Sa namaa uv tiyta nama hmie kha a siy ungla nama luv zaw kha sathu a thuv tie ung,
40006018	tahematapakieca sa namaa uvpa kha malie ta ca pachang lipa yi ta hmung khu lipa nama Paa kyalya ta aca pachang'a yi. Cahaa cata a paruv ta nama tuepa a hmungtuv nama Paa ta nama lawmuo kha aca pi'a yi.
40006019	Thinghlaa ta ning te a pabung khunapa hne a se ta ce te a ra khunapa, a ruvhangpa ta a paruv khunapa alyi lieta nama suethiy kha pacung kha ung.
40006020	Thinghlaa ta ning te a pabung khu linapa hne a se ta ce te a ra khu linapa vuoruo lieta nama suethiy kha pacung tie ung.
40006021	Tahematapakieca nama sue a awna lie khana nama pathiypalung zaw a aw ra aa.
40006022	Ming ca pangpa cuota myi-ing tana a cuo. Cacuonakawta na ming a pha kieca nama pangpa ca a khe diy aa.
40006023	Cuorasala na ming a pha li kieca na pangpa ca zingna chunglie tana a aw aa. Cacuonakaw na chunglie a awpa khena ca zingna ta a cuo sue kieca capa zingna ca a zing suesaapa a cuo aa.
40006024	Ahungtahmuo byi pahning re hriepa pakhaw the'a vyi; pakha kha due'a te a hrangpa pakha kha a hue aa, pakha'a lie kha zangtluo aa tla pata aw'a te a hrangpa pakha kha siysaa ri li pata a aw aa. Khazing re hne hnyirungna re ca hrie pakhaw the'a va ungciy.
40006025	Cacuonakawta ica chang yi, “Ning riy dang riypa kawlie cuose, nama pangpa hne abuv-ase riypa kawlie cuose, ningting hringna kawlieta nama palung rie thyi kha se. Hringna ca sa laata biepuv vie te pangpa ca cawsie laata a biepuv vie cuo vama?
40006026	Pavaa zaw hing mang tie ung: saciy vaa vayi, sa zaw la yite be luo raw vayi. Cuorasala vuoruo lie a awpa nama Paa ta ama riy a pabi thluo yi. Niema ca pavaa laata nama sungnaa vie karaa cuo vama?
40006027	Nama palung rie a thyi nakawta nama hringnapa siymaluo pakha chuo a pasyi sa vie khupa pakha chuo nama aw ma?
40006028	Cacuonakaw khaapanakawma cawsie kawlie nama palung rie a thyi? Ruo lie paapaapa khiy pacuo tie ung, tuokhaatama ama lethaw, re hrie vayi, cawsie cuota palaa hrie vayi.
40006029	Ica chang yi, Siepahruo Solomon khahmuo, khatluv kha ta a hnyirung raalaa pa khata a hnyirungna hne a cawsie kha hingpa paapaapa paakha puvthenapa tluv hing ta vyi.
40006030	Ata ning hring te mawluo myi chung luo hmaw riypa, ruo lie aphuv kung zaw hmuo a pangituv Khazing ta niema changchiy ca ca pangi li pata aca aw'a yi ma? Nama zangna hing a caw hringhruo de!
40006031	Cacuonakawta, ‘Khaapama ma ning aa? khaapama ma dang aa? Khaapama maa tue aa?’ tapata nama palung rie thyi kha se.
