word	count
laiin	218
ke	218
luah	217
tel	217
aia	217
tûnah	216
tla	216
Fapa	216
tia	215
dîl	215
tiboral	213
Thlarau	212
tinrêng	212
hmeichhia	211
nangin	211
ûm	211
tuar	209
hnu	209
ral	209
hmangaih	209
nangmahni	209
zâwng	208
vei	208
ila	207
ai	206
Judai	206
hawi	205
bawlhhlawh	203
hmêl	202
chungchâng	202
zâwm	202
laia	202
vem	201
vântirhkoh	201
boral	200
pathian	200
hotute	200
nangmah	199
chhûngah	199
rimtui	199
khawngaihna	197
dangte	197
chuta	196
chhiahhlawhte	196
hna	195
Jordan	195
nun	194
luh	193
Moab	193
hril	193
mal	192
zuk	192
beng	192
felna	191
êng	190
chhûngkaw	190
hlan	187
keng	187
rem	187
him	187
zawngah	186
ri	186
bulah	185
zai	184
din	184
bawkin	184
thusawi	183
Mosian	183
zirtîrte	183
aiin	182
tlai	181
hmeichhe	181
thuthlung	181
tlu	181
rinna	181
asin	179
chuti	178
pi	178
tirh	178
kâng	176
ṭawng	176
nghâl	176
Chutiang	175
Ni	174
kâ	173
vâng	173
maiin	173
hauh	173
âwih	173
Nangni	172
chhe	171
lote	171
hriatna	170
fo	169
kumkhuain	169
hrang	169
chhangphut	169
Ṭha	169
thlang	168
hmunah	168
tisa	167
vêngtu	166
phûm	166
phawt	166
finna	166
dâr	165
thawh	165
puithiamte	165
thinur	164
fing	163
khawvêl	163
rei	163
dai	163
kawngah	162
ṭap	162
Zion	162
thâwm	161
miin	161
hmuhah	161
naupang	160
mak	159
khawlohna	159
Kanaan	158
alâwm	158
kawngkhâr	158
chêng	158
tlang	158
fanute	157
Ram	157
tihlum	157
tiam	157
apiangte	156
lek	156
thar	156
remna	156
chhinchhiahna	155
tinin	154
taksa	154
sakawr	154
Paula	154
leia	153
awmtîr	153
hnamte	153
rin	153
chawimawi	153
engkim	152
hung	152
Josua	152
Dân	152
chiam	151
do	150
Amah	150
ban	150
Chanchin	150
sawmthum	149
deuh	149
zâwt	149
Suria	149
thinurna	149
tawlailîr	149
Anni	149
ṭang	148
chuvângin	148
hmuha	148
hmêlmate	148
atâna	148
ngên	148
tlângah	147
tihhlum	147
tâwk	147
mân	147
zet	146
tûrte	146
lang	145
kuta	145
bâwngpa	145
na	145
Assuria	144
nau	144
berâmpa	144
sualna	144
rorêlna	144
ramri	143
engtin	143
chham	143
fai	143
ngeiin	141
mipa	141
kalsan	141
hnuaiah	141
nêna	141
thihna	141
hual	140
hlauh	140
chhandam	140
hetiang	139
theh	139
rih	138
zain	138
pum	138
ṭawngṭai	138
Jeremia	138
tuin	137
panga	137
ṭih	137
lem	137
pai	136
hrem	136
keini	136
dur	135
suaksual	135
thlahtute	135
khawih	135
sen	135
inbiakna	135
tenawm	135
leiah	134
chhak	134
pasal	134
hmâr	134
thute	134
pathum	133
tangkarua	133
zât	133
hnaih	133
tiang	133
fiah	132
chakna	132
Mahse	132
zawnga	131
thah	131
no	131
bâwih	131
Samuela	131
tuifinriat	130
tangka	130
telh	130
ngilneihna	130
Joaba	130
â	129
Lei	128
tlâk	128
sawmli	127
pasarih	127
pali	127
lah	126
zâr	126
mitthi	126
berâmno	126
thlenga	126
thiltihtheihna	126
râl	126
vuah	125
bîk	125
daih	125
Isaaka	125
Ephraim	125
Johana	125
hlen	124
sabengtung	124
vak	124
lâwmthu	124
serh	123
tâwp	123
pan	123
chhim	123
thlâk	123
Hnam	123
silhfên	123
thim	122
apiangin	122
keimah	122
zawm	122
sualte	122
inthawina	122
thûa	122
mawi	122
Petera	122
aiah	121
tlêm	121
entîr	121
puipa	121
ṭhen	120
nga	120
thuai	120
Samari	120
chhûn	119
âwm	119
sawmnga	119
huai	119
Engati	118
khum	118
ngeiah	118
piang	117
mu	117
liante	117
chungin	117
Tûnah	117
Jonathana	117
phal	116
nula	116
chhandamna	116
lâksak	115
sekel	115
lohva	115
rethei	115
thilmak	115
indo	115
lalber	115
sak	115
hnawt	114
miten	114
ngaih	114
milem	114
hmingah	113
En	113
zâwn	113
upate	113
Beth	113
zâwlneite	113
Hezekia	113
lawng	112
chhun	112
buatsaih	112
hriatin	112
tisual	112
hri	112
lên	112
amaherawhchu	111
mahin	111
chantîr	111
inthawi	111
zau	110
darh	110
chhuahtîr	110
chhuan	110
chhiatna	110
chhûm	109
siamsak	109
ânchhe	109
Thu	109
hman	109
Jentail	109
kaltîr	109
ruang	109
zêla	109
khâwnvâr	109
khuar	108
thlalêrah	108
upa	108
hnuaia	107
unaupa	107
tlan	107
vêlte	107
phuba	106
hnai	106
khuh	106
bul	106
thal	106
tangkaraw	106
Nangin	106
pik	106
vâna	105
khandaihin	105
ṭhena	105
ngaihsak	105
bân	105
thianghlimte	105
thiltihte	105
rorêl	104
ṭhenkhat	104
thîr	104
hnuai	104
hel	104
chin	104
tawtawrâwt	104
tawp	104
hmangaihna	104
khawiah	103
hnua	103
lehlam	103
thlalêr	103
nghet	103
Esauva	103
pindan	103
meuhvin	103
huan	102
thin	102
pathiante	102
hlum	102
tinah	102
nghat	102
Benjamin	102
châwm	101
leih	101
Edom	101
thutak	101
hmêlma	101
puanzâr	101
puang	101
thiamna	101
Amona	100
meia	100
vêla	100
chhuahna	99
tinghet	99
zir	99
kalna	99
mahse	99
Absaloma	99
hmuhin	98
ṭâm	98
thupêkte	98
Gilead	98
ṭhat	97
sawisêl	97
hmai	97
chelh	97
lak	97
kût	97
lehkha	97
Davidan	97
Jeroboama	97
muhîl	96
ruai	96
inte	96
rawngbâwl	96
inremna	96
hum	96
Elija	96
hlawh	95
thilhlante	95
vêk	95
hemi	95
theihnghilh	95
thau	95
dâwt	95
zân	94
luang	94
pêng	94
li	94
dotute	94
vâr	93
fakin	93
zuah	93
phur	93
bula	93
chhâlin	93
fîmkhur	93
rinawm	93
awma	93
chhûngkua	93
talh	93
nite	93
suaksualte	93
thang	93
Chuti	92
tumin	92
titu	92
thlan	92
thli	91
apiangah	91
chawi	91
vângin	91
hnawh	91
tlânga	91
achin	91
beisei	91
Nangmah	91
Tih	91
hawisan	91
hlîr	90
thiang	90
chite	90
bêl	90
thawn	90
mipuiho	90
bungbêl	90
kiangah	89
bang	89
ṭhatna	88
khûr	88
vawng	88
luhna	88
lalin	88
insiam	87
tina	87
lâwmna	87
lungpui	87
sakeibaknei	87
rim	86
Amor	86
kiang	86
dawidim	86
khuate	86
Lo	86
siamtu	86
kam	86
bawhchhiatna	86
niha	86
Ahaba	86
vêng	85
cherub	85
be	85
hnuin	85
Levia	85
hneh	85
Kal	85
hmangin	85
engah	85
vawiinah	84
sawm	84
phah	84
alh	84
lehzual	84
rorêltute	84
leilung	83
tichhe	83
tihboral	83
hnute	83
ngawi	83
Chawlhni	83
dahna	83
pâwn	82
ruam	82
ṭhian	82
nâna	82
thawina	82
Baala	82
Jehosaphata	82
rûl	81
hrehawm	81
bâwihnu	81
phar	81
Anmahni	81
ngam	81
tihsual	81
hmul	81
hmuna	81
châk	81
Benjamina	81
Manasea	81
chen	81
chawimawiin	81
kawr	81
chanpual	81
Thianghlim	81
sava	80
lampangah	80
lawh	80
rualte	80
kalpui	80
ṭanpui	80
sâwma	79
serhtan	79
bâng	79
ma	79
bum	79
hrui	79
hrâm	79
lamin	79
thên	79
Galili	79
chatuana	79
vaivut	78
Tho	78
kutin	78
hralh	78
rorêltu	78
seng	78
chanvo	77
ruk	77
hmain	77
keiin	77
englo	77
meuh	77
sîn	77
ngaidam	77
kâa	77
thâwl	77
puithiamin	77
thûk	76
Chutah	76
tlangvâl	76
kumkhaw	76
lovah	76
khawp	76
phun	76
ṭah	76
chein	76
awmin	76
Puithiam	76
ramhuai	76
Tihtak	76
nupuite	75
Kaldai	75
inlâr	75
reh	75
lalpa	75
thlân	75
hnathawh	75
lohvin	75
kil	75
thutiam	75
Bethel	74
berah	74
Min	74
tute	74
pawt	74
hmanga	74
Selah	74
neihtîr	73
lêt	73
hetah	73
Jakob	73
lungngai	73
tûk	73
pawha	73
koh	73
khâwmho	73
tawhte	73
sala	73
Daniela	73
inkhâwmna	73
dung	72
kumkhua	72
tidam	72
Chuvâng	72
ṭawngṭaina	72
pate	72
thilpêk	72
vêlah	72
khawpuite	72
Kalhlên	72
nghâk	71
ânchhia	71
ṭiau	71
nghahchhan	71
vêlin	71
hmingin	71
Lebanon	71
tawn	70
farnu	70
sawn	70
phaw	70
saw	70
lan	70
mangang	70
zaa	70
nangnin	70
ṭhenawm	70
luan	70
huaisen	70
famkim	70
Nebukadnezzara	70
khatah	69
khi	69
ruh	69
phuar	69
silhfênte	69
dawt	69
ten	69
râwn	69
Miin	69
puipate	69
keimahni	68
lêng	68
rilruin	68
engati	68
râllâk	68
Eleazara	68
talent	68
tah	68
Josuan	68
zawhin	68
Mahni	68
tibo	68
tehkhin	68
tuite	67
khian	67
chawp	67
Hebron	67
neitu	67
keima	67
dip	67
sângkhat	67
ngul	67
zawn	67
chhiat	67
vêngtute	67
ṭhîntu	67
tuipui	67
kawngte	67
chûngte	66
sawmsarih	66
lehkhabu	66
lum	66
anniho	66
mumang	66
tan	66
amahah	66
kianga	66
Engah	66
pawi	66
cheu	66
rûm	66
lampang	66
sînghnih	66
thilte	66
hial	65
nihna	65
chîng	65
Tûn	65
inkhâwm	65
thinrim	65
thianghlimah	65
nghîng	65
thianghlima	65
sal	65
zâm	64
harh	64
lâwmman	64
kim	64
riat	64
lalah	64
Midian	64
thûte	64
tithianghlim	64
ker	64
ṭhînte	64
thawi	64
chhunte	64
thlamuanna	64
tihna	64
Jeriko	64
sipaite	64
Tui	63
zahnih	63
zânah	63
vun	63
siin	63
thlêm	63
Abimeleka	63
vâk	63
khawpin	63
thlêr	63
hlei	63
nuai	63
rawngbâwltu	63
Manase	63
Vân	62
nupuiah	62
bâwng	62
tihchhiat	62
Tuifinriat	62
thlung	62
hmuak	62
dânte	62
hretu	62
tête	62
thlalêra	62
liam	62
lâwk	62
chêngte	62
sidar	62
ruah	61
thaw	61
eiin	61
dawng	61
Damaska	61
kawnga	61
bawkkhup	61
sil	61
lutuk	61
thlîr	61
tiha	61
ngah	61
laiah	61
uin	61
puante	61
suahsualna	61
inlârna	61
buah	61
Zedekia	61
Joba	61
tirhkoh	61
kohhranho	61
theipui	60
sawmruk	60
Abrama	60
felte	60
thilhlanah	60
sin	60
zah	60
chhar	60
vua	60
châng	60
Basan	60
Balaama	60
Tura	60
maichâmah	59
fang	59
hlui	59
zahngaihna	59
berâmte	59
kûn	59
ṭhiante	59
bun	59
chhuaha	59
chiah	59
pual	59
Amen	59
indona	59
buai	59
Abnera	59
hminga	58
phel	58
dêr	58
kengin	58
ngaina	58
chau	58
hlauhawm	58
khung	58
Ephraima	58
kumkhuaa	58
sîngkhat	58
vânah	58
tipung	57
berte	57
Chûngte	57
tâwpna	57
tikah	57
khawvêla	57
tâng	57
chhuahin	57
râwt	57
tuam	57
ṭheuhvah	57
ṭhutphah	57
dawhkân	57
bawhchhiat	57
rit	57
dawh	57
hlobet	57
Khawpui	57
titute	57
tichhia	57
Mordekaia	57
Pharisaite	57
thlaha	56
nangma	56
hremna	56
chhuaktu	56
heta	56
ki	56
vawiin	56
zawhah	56
thuruatte	56
kêlpa	56
ru	56
sem	56
mualpho	56
rêlsak	56
hnuhnûng	56
chhah	56
hâm	56
beiseina	56
Nova	55
râpthlâk	55
thlamuang	55
Reubena	55
paruk	55
phiar	55
enkawltu	55
thinlungah	55
mêk	55
rengin	55
chapo	55
Ama	55
sîr	55
pahnihte	55
ngaihdam	55
chanpuala	55
nghei	55
mitin	55
khawpuiah	55
Hawh	54
hausa	54
hrin	54
kete	54
pakhatah	54
sûn	54
anin	54
zung	54
kawngkaah	54
hotuah	54
hmanhmawh	54
ruhte	54
phâr	54
beih	54
thinlunga	54
fei	54
thuin	54
ziakna	54
Jehua	54
kraws	54
thû	53
tinrêngte	53
zak	53
Hetiang	53
thlahtu	53
hmusit	53
Labana	53
phelh	53
tehlul	53
duk	53
ngeia	53
chhiah	53
humhim	53
niin	53
sânghnih	53
hmui	53
Asa	53
Thianghlima	53
baptisma	53
dûn	52
Elisa	52
Sekem	52
ruamah	52
hrinsak	52
kala	52
thlentîr	52
riak	52
bel	52
nghâwngkawl	52
thinrimna	52
chân	52
phei	52
hlimna	52
peih	52
Bethlehem	52
nî	52
hlek	52
mihringte	52
khandaiha	52
kawngkhârte	52
Josia	52
tikhat	51
phâk	51
hluah	51
lantîr	51
tûkah	51
Heti	51
langin	51
Keimah	51
tawlailîrte	51
rengna	51
chênna	51
Rama	51
sei	51
Kût	51
Seol	51
sângte	51
zâwkin	51
Jesaia	51
Unaute	51
Lehkha	51
Estheri	51
Mari	51
ṭheuhvin	50
vêkin	50
thlamuan	50
khâr	50
mawh	50
kher	50
thung	50
puin	50
hlu	50
chauhvin	50
Gada	50
achinah	50
Keini	50
mur	50
dêng	50
remruat	50
retheite	50
chher	50
thuneihna	50
chawk	50
thup	50
Rehoboama	50
lalṭhutphah	50
ngawt	49
kûng	49
neia	49
neiin	49
sên	49
tihsak	49
maia	49
aiawhin	49
kâp	49
Thla	49
hmâwr	49
chanve	49
chatuan	49
dangin	49
lungngaihna	49
Zadoka	49
fakna	49
Hamana	49
hnihna	48
hnim	48
tizia	48
Hmeichhe	48
lawm	48
Sodom	48
tidarh	48
salah	48
Chungnungbera	48
Hit	48
lul	48
hriatah	48
hmei	48
rêngin	48
chungahte	48
chipuite	48
pain	48
Engtin	48
kêl	48
rawk	48
huat	48
tihtak	48
Simeia	48
chhuahsan	48
lohte	48
ngun	48
awptu	48
rap	48
Gibea	48
Jehoiada	48
lehkhaziaktu	48
hawng	47
inahte	47
malsâwmna	47
tein	47
vântirhkohte	47
hnung	47
hruaiin	47
dîlna	47
tilang	47
pian	47
zu	47
fingte	47
tihte	47
rawngbâwlna	47
ha	47
thununna	47
Jezreel	47
Lalber	47
mup	46
khatna	46
kârah	46
rante	46
sangha	46
siamte	46
ṭo	46
chawpin	46
tûna	46
zâwngin	46
hmeichhiate	46
hua	46
Rakili	46
hunin	46
pakhatin	46
inbel	46
chhêm	46
manganna	46
tibawlhhlawh	46
ngaihthlâk	46
hêngte	46
Tlâng	46
Hmun	46
tlûk	46
vânga	46
Amon	46
mantîr	46
zirtîrna	46
sân	45
chinah	45
tlângte	45
olive	45
Jebus	45
petu	45
Ismaela	45
Engkimtitheia	45
rilrua	45
thut	45
hnutchhiah	45
saiip	45
inthawinate	45
ua	45
chhangpêr	45
chhân	45
danglam	45
khata	45
pualah	45
Joasa	45
Simona	45
mawina	45
milim	45
biru	44
ṭingṭang	44
Amalek	44
Dan	44
tal	44
chah	44
arsi	44
thlahten	44
tûrah	44
tlâwm	44
bovin	44
ṭhate	44
meiah	44
hriata	44
hnial	44
khawperte	44
thungrûl	44
thlâwk	43
zia	43
châwl	43
ngaihna	43
kalin	43
Chhim	43
kutte	43
chutianga	43
hmiang	43
hau	43
hrilhfiah	43
chungnung	43
sam	43
vûr	43
keh	43
tichim	43
tleirâwl	43
ngawih	43
Gibeon	43
kulhbîng	43
lallukhum	43
lalṭhutthlêng	43
Benaia	43
Azaria	43
lehkhaziaktute	43
Zirtîrtu	43
vuan	42
savun	42
khawchhak	42
chûngho	42
Khawngaih	42
dâk	42
sâwn	42
kân	42
kawltîr	42
vaw	42
sipaiho	42
lâwn	42
chhûngin	42
bet	42
kawtlai	42
inthuam	42
rochan	42
Leilung	42
chunglêng	41
rahte	41
zaruk	41
khap	41
Hebrai	41
ṭhut	41
khatin	41
sâwt	41
rial	41
dep	41
hriattîrna	41
hliam	41
kuak	41
laite	41
rum	41
Balaka	41
fuih	41
chhandamtu	41
Thihna	41
tîrtu	41
Solomonan	41
Zekaria	41
Setana	41
Grik	41
nihin	40
zathum	40
sûr	40
Seba	40
Hamath	40
tuichhunchhuah	40
Hlau	40
zilh	40
chhechham	40
mutpui	40
khawpa	40
nghe	40
tilâwm	40
vuai	40
chhoh	40
su	40
mitte	40
nêm	40
thuruat	40
awmzia	40
vawn	40
dek	40
chên	40
puala	40
berhbu	40
saruakna	40
sât	40
thuma	40
Gilgal	40
tirhkohte	40
chhuahsak	39
vuak	39
ruatsak	39
rui	39
Hetah	39
inkârah	39
boralna	39
rawih	39
Vawiinah	39
rûk	39
Baal	39
Meraria	39
ramte	39
damlo	39
lungni	39
phurrit	39
Sinai	39
Mipui	39
Hemi	39
tihthianghlim	39
Aseri	39
Uria	39
thlâwn	39
chhi	39
thurûk	39
rilruah	39
chim	39
Gath	39
Nathana	39
chhuang	39
Ahaza	39
chiau	39
Thing	38
ur	38
hovin	38
sanghâwngsei	38
Kum	38
tuikhur	38
Beer	38
Ben	38
tlangvâlte	38
Kiriath	38
dawn	38
seh	38
kamah	38
khâwmna	38
dintîr	38
vêngte	38
mitdel	38
titliak	38
chawimawina	38
riahhmun	38
renga	38
bu	38
lehlamah	38
hriaka	38
chumia	38
tehna	38
âng	38
sângli	38
ṭhahnemngai	38
Hnamte	38
bial	38
Mika	38
nâ	38
Semaia	38
Zâwlnei	38
Isaia	38
Peteran	38
thlai	37
dawngin	37
chhinchhiah	37
lawngah	37
hnawih	37
ṭhuro	37
Lota	37
Ai	37
mahna	37
tar	37
têin	37
tuia	37
eia	37
hetianga	37
mangan	37
biakna	37
thlânah	37
pâr	37
hrilhfiahna	37
hnama	37
chhechhama	37
zâwka	37
sipaihote	37
epha	37
kawl	37
dumpâwl	37
thingte	37
lampanga	37
thlei	37
pun	37
zâtvete	37
ât	37
bua	37
hriam	37
râlthuam	37
hlimin	37
sim	37
Hanania	37
Ethiopia	37
Persia	37
sakawlh	37
Heroda	37
rai	36
zali	36
awmnaah	36
tlânchhia	36
malsâwm	36
khu	36
khawi	36
ṭhang	36
chhuhsak	36
kawngkaa	36
hawtute	36
Buh	36
Simeona	36
khâwl	36
dangah	36
khawizu	36
Reuben	36
meiin	36
kein	36
sakawrte	36
hnehchhiah	36
bawhchhiatnate	36
tîin	36
ṭhum	36
Hesbon	36
tuifinriatah	36
hêk	36
ropuizia	36
tichak	36
hmuingîl	36
khawpuia	36
kâwlkil	36
Finna	36
Silo	36
Ahazia	36
Amazia	36
Pain	36
ên	35
tuiin	35
ramsa	35
enkawl	35
vervêk	35
zawih	35
siama	35
pil	35
hlîm	35
nasat	35
pariat	35
hâwn	35
sualnate	35
pângngai	35
hnûk	35
hâwng	35
kama	35
thuam	35
belhchhah	35
bungrua	35
phût	35
Kora	35
hlîp	35
Kohatha	35
chhuakin	35
inbual	35
tlawh	35
bawka	35
Hêngte	35
pawisa	35
kawchhûng	35
fin	35
hmeithai	35
vânte	35
kit	35
lungin	35
Gad	35
Sihona	35
thunun	35
khawvêlah	35
satute	35
sawiin	35
savate	34
tihngheh	34
Seir	34
pheikhawk	34
tuina	34
tiharh	34
mang	34
Berâmno	34
kawi	34
chhîpah	34
Leaii	34
thahte	34
ken	34
Kawng	34
chawr	34
râla	34
kephah	34
luite	34
dual	34
uire	34
ramsate	34
khâng	34
hmanrua	34
themthiam	34
Khawvêl	34
rorêlte	34
chutih	34
chîl	34
kulhpui	34
Asapha	34
Jehoiakima	34
Uzia	34
Felna	34
awmho	33
Adama	33
pahnihin	33
pathumte	33
tuh	33
inkâra	33
bâwihte	33
vekin	33
thlun	33
tham	33
mikhual	33
mut	33
intîr	33
pûk	33
chhum	33
fâwp	33
chhîp	33
kawrfual	33
khuarkhurum	33
luiah	33
upaho	33
ṭhiau	33
thlante	33
hlâwm	33
zâtve	33
thuthlunna	33
huna	33
nawn	33
zilhhau	33
tuma	33
dâna	33
khawlohnate	33
kuain	33
tibuai	33
sângnga	33
zawngtute	33
sawichhiatna	33
mualphona	33
thlipui	33
nuam	33
tirhin	33
bumna	33
Diabola	33
Philipa	33
kohhran	33
tûnlai	32
tuak	32
sah	32
chîm	32
khuhna	32
kâra	32
nangmahah	32
Sari	32
Rebeki	32
ṭhinna	32
Mite	32
enga	32
diam	32
dawttu	32
fanau	32
phawi	32
Tuin	32
chakte	32
phunnawi	32
tûm	32
sebâwngpa	32
Kawngka	32
lukhum	32
chawhpawlh	32
Rangkachak	32
kalte	32
Mitthi	32
chhuante	32
tinte	32
tluka	32
Sakeibaknei	32
châm	32
thinlungin	32
Samsona	32
gilead	32
lawi	32
Gedalia	32
tihah	32
Tuipui	32
zârah	32
baptis	32
thilsiam	31
awh	31
Khawiah	31
hrehawmna	31
kua	31
sarihna	31
khuaahte	31
Chhang	31
Khaw	31
seba	31
Dana	31
zâna	31
lehtu	31
khalh	31
Berâm	31
hmuhtîr	31
lêntîr	31
lâr	31
lungte	31
bâwngpatuai	31
lâkna	31
nghah	31
Zebulun	31
hmangte	31
Kaleba	31
inhumhimna	31
lungphûm	31
lalho	31
Abiathara	31
Hilkia	31
Thinlung	31
bengin	31
Nazareth	31
Pilata	31
Nunna	30
chauhva	30
ṭanpuitu	30
zawk	30
zanga	30
zan	30
deh	30
zêp	30
ṭawngṭaisak	30
Naupang	30
kham	30
chuantîr	30
milemte	30
tha	30
Nangnin	30
nawhchizuar	30
hmasak	30
vai	30
vawiina	30
thlu	30
hmâna	30
rualin	30
hlîng	30
tikeh	30
tlar	30
siamin	30
kutchhuak	30
lehkhabua	30
Nuna	30
maichâmte	30
duhsak	30
tlatna	30
natna	30
Chutih	30
ṭanhmun	30
Karmel	30
Leia	30
Saphana	30
zirtîrtu	30
inring	30
Ahasuera	30
âte	30
ṭihtute	30
hur	30
Kaisara	30
thumna	29
bi	29
pahnihna	29
pumkhat	29
hmaia	29
thingin	29
Nangmahni	29
nupuia	29
ṭheh	29
ui	29
malsâwmin	29
thlahthlam	29
ṭhenkhatte	29
kohtîr	29
remchâng	29
kawlh	29
ṭhain	29
zânin	29
inlamlêt	29
lemte	29
khaidiat	29
kâwng	29
tlanna	29
Chawlhnia	29
tinrênga	29
bera	29
ṭhiat	29
law	29
inhmangaih	29
titlu	29
Naphtali	29
châkna	29
chat	29
kâah	29
tual	29
tihdam	29
ramhuaite	29
Tah	29
Gideona	29
sawitu	29
Jehorama	29
len	29
Jesua	29
rawngbâwltute	29
zial	29
nuna	29
Simon	29
Pharisai	29
Paulan	29
sûrtîr	28
chhâwng	28
thuthlun	28
Sa	28
mo	28
Kadesh	28
ngaihthlâksak	28
inhnial	28
hnan	28
sâwr	28
thukru	28
Engtizia	28
chhuaka	28
vut	28
chhinchhiahnate	28
Vawiin	28
Mipuite	28
inlan	28
Lui	28
khing	28
luhlul	28
tlângahte	28
inpeih	28
Sual	28
emawa	28
pâwng	28
khawsa	28
tlûkna	28
pâwla	28
hawia	28
ṭhina	28
âtna	28
