pair_id	form_i	form_ii	gloss	alternation_type	form_i_total	form_ii_total	total	dominant_form_i_environments	dominant_form_ii_environments	analyzer_status	used_in_print_packet	in_candidate_tsv	candidate_statuses	publication_status	recommendation	notes
ngai-ngaih	ngai	ngaih	think	+h	532	535	1585	finite_main_or_matrix:242; imperative_or_directive:153; negative_clause:111	compound_or_lexicalized:378; finite_main_or_matrix:95; unknown_or_needs_review:19	known_to_analyzer	yes	yes	excluded	dossier_only	interpretive_revision_of_slice	
no-noh	no	noh	young	+h	755	2	757	unknown_or_needs_review:555; nominalized_na:129; finite_main_or_matrix:20	unknown_or_needs_review:1; finite_main_or_matrix:1	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
nusia-nusiat	nusia	nusiat	abandon	+t	370	56	426	finite_main_or_matrix:252; negative_clause:87; unknown_or_needs_review:16	unknown_or_needs_review:26; finite_main_or_matrix:15; negative_clause:6	known_to_analyzer	yes	yes	accepted	print_usable_with_caveat	interpretive_revision_of_slice	
om-omh	om	omh	exist	+h	6674	0	6674	unknown_or_needs_review:3019; finite_main_or_matrix:1613; negative_clause:1021		known_to_analyzer	yes	no		needs_analyzer_review	needs_analyzer_review	
pai-paih	pai	paih	go	+h	5736	63	5799	finite_main_or_matrix:4279; imperative_or_directive:332; negative_clause:319	finite_main_or_matrix:22; nominalized_na:19; causative_or_derivational_sak:13	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
pia-piak	pia	piak	give	+k	2832	1315	4147	finite_main_or_matrix:2226; unknown_or_needs_review:183; negative_clause:177	finite_main_or_matrix:686; nominalized_na:262; purpose_nadingin:141	known_to_analyzer	yes	yes	accepted, excluded	print_usable_with_caveat	interpretive_revision_of_slice	
piang-pian	piang	pian	be.born	-ng > -n	389	252	895	finite_main_or_matrix:308; unknown_or_needs_review:33; negative_clause:27	unknown_or_needs_review:89; nominalized_na:54; causative_or_derivational_sak:44	packet_pair_not_in_VERB_STEM_PAIRS	yes	yes	needs_review	dossier_only	interpretive_revision_of_slice	Present in the stem packet, but absent from VERB_STEM_PAIRS.
pua-puah	pua	puah	bet	+h	0	123	123		finite_main_or_matrix:84; purpose_nadingin:13; unknown_or_needs_review:6	known_to_analyzer	yes	no		needs_analyzer_review	needs_analyzer_review	Shared Form I base with pua-puak.
pua-puak	pua	puak	spill	+k	317	357	674	finite_main_or_matrix:263; imperative_or_directive:15; causative_or_derivational_sak:15	finite_main_or_matrix:277; purpose_nadingin:23; imperative_or_directive:15	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	Shared Form I base with pua-puah.
sawlkhia-sawlkhiat	sawlkhia	sawlkhiat	send.forth	+t	40	4	44	finite_main_or_matrix:35; imperative_or_directive:3; negative_clause:2	finite_main_or_matrix:2; negative_clause:1; nominalized_na:1	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
sia-siah	sia	siah	decay	+h	1126	167	1293	unknown_or_needs_review:483; finite_main_or_matrix:422; negative_clause:72	unknown_or_needs_review:110; finite_main_or_matrix:28; nominalized_na:14	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
sum-sumh	sum	sumh	money	+h	641	1	642	unknown_or_needs_review:395; finite_main_or_matrix:180; nominalized_na:24	unknown_or_needs_review:1	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
tan-tanh	tan	tanh	spread	+h	151	84	235	finite_main_or_matrix:83; unknown_or_needs_review:29; causative_or_derivational_sak:13	unknown_or_needs_review:45; finite_main_or_matrix:24; negative_clause:8	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
thei-theih	thei	theih	know	+h	3075	2179	5254	negative_clause:888; unknown_or_needs_review:670; finite_main_or_matrix:667	finite_main_or_matrix:864; purpose_nadingin:646; nominalized_na:256	known_to_analyzer	yes	yes	needs_review	dossier_only	interpretive_revision_of_slice	
thu-thuh	thu	thuh	word	+h	10597	16	10613	unknown_or_needs_review:8128; finite_main_or_matrix:900; negative_clause:634	nominalized_na:8; finite_main_or_matrix:4; unknown_or_needs_review:3	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	
tu-tuh	tu	tuh	sit	+h	1987	61	2048	finite_main_or_matrix:1322; unknown_or_needs_review:497; negative_clause:78	finite_main_or_matrix:40; negative_clause:8; nominalized_na:6	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
tua-tuah	tua	tuah	do	+h	0	170	170		finite_main_or_matrix:95; unknown_or_needs_review:26; nominalized_na:15	known_to_analyzer	yes	no		needs_analyzer_review	needs_analyzer_review	Shared Form I base with tua-tuak.
tua-tuak	tua	tuak	meet	+k	13274	248	13522	unknown_or_needs_review:8319; dependent_temporal_ciangin:4241; negative_clause:295	finite_main_or_matrix:136; unknown_or_needs_review:69; negative_clause:26	known_to_analyzer	yes	no		needs_analyzer_review	candidate_for_expansion	Shared Form I base with tua-tuah.
tuahpha-tuahphat	tuahpha	tuahphat	quickly	+t	3	1	4	finite_main_or_matrix:2; causative_or_derivational_sak:1	dependent_temporal_ciangin:1	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
vial-vialh	vial	vialh	encircle	+h	27	1	28	unknown_or_needs_review:11; finite_main_or_matrix:11; quotative_or_say_complement:4	negative_clause:1	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
za-zak	za	zak	hear	+k	1140	491	1631	unknown_or_needs_review:627; finite_main_or_matrix:279; causative_or_derivational_sak:67	finite_main_or_matrix:274; dependent_temporal_ciangin:130; nominalized_na:27	known_to_analyzer	yes	yes	accepted	print_usable_with_caveat	interpretive_revision_of_slice	
zui-zuih	zui	zuih	follow	+h	1004	283	1287	finite_main_or_matrix:772; negative_clause:134; imperative_or_directive:41	finite_main_or_matrix:140; nominalized_na:71; purpose_nadingin:27	known_to_analyzer	no	no		needs_analyzer_review	candidate_for_expansion	
