pair_id	form_i	form_ii	environment	form_i_count	form_ii_count	total_count	representative_references	notes
bia-biak	bia	biak	causative_or_derivational_sak	1	0	1	Revelation 13:12	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:1
bia-biak	bia	biak	clause_linking_kipan	0	1	1	2 Kings 25:9	Local `a kipan` sequence marks a clause-linking or source/beginning environment.:1
bia-biak	bia	biak	finite_main_or_matrix	194	130	324	Genesis 4:26; Genesis 21:33; Genesis 22:5; Genesis 22:6; Genesis 24:26	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:324
bia-biak	bia	biak	imperative_or_directive	19	2	21	Exodus 10:8; Exodus 10:11; Exodus 10:24; Exodus 12:31; Exodus 24:1	A following imperative-like particle may indicate directive force.:21
bia-biak	bia	biak	negative_clause	26	28	54	Exodus 20:3; Exodus 20:5; Exodus 34:14; Exodus 34:17; Numbers 18:5	Nearby negative material marks a negative or irrealis-heavy clause.:54
bia-biak	bia	biak	nominalized_na	0	1551	1551	Genesis 8:20; Genesis 12:7; Genesis 12:8; Genesis 13:4; Genesis 13:18	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:1551
bia-biak	bia	biak	possessed_or_genitive_attributive	1	0	1	1 Corinthians 6:9	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment.:1
bia-biak	bia	biak	purpose_nadingin	27	163	190	Genesis 22:3; Genesis 22:8; Exodus 4:23; Exodus 7:16; Exodus 8:1	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:190
bia-biak	bia	biak	quotative_or_say_complement	2	4	6	Exodus 10:26; Numbers 18:3; Deuteronomy 13:13; Nehemiah 10:39; John 2:21	Nearby quotative material suggests embedded or reported-speech structure.:6
bia-biak	bia	biak	relative_or_attributive_mi	6	0	6	Psalms 97:7; Zephaniah 1:5; Acts 9:14; Acts 9:21; Acts 17:4	A following `mi` suggests a relative-like or attributive nominal environment.:6
bia-biak	bia	biak	unknown_or_needs_review	11	914	925	Genesis 22:7; Exodus 25:8; Exodus 25:9; Exodus 26:1; Exodus 26:6	No conservative local environment rule fired for this token.:925
ci-cih	ci	cih	causative_or_derivational_sak	45	3	48	Genesis 50:5; Numbers 22:6; Deuteronomy 31:6; Deuteronomy 31:8; Judges 7:24	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:48
ci-cih	ci	cih	clause_linking_kipan	0	1	1	1 Corinthians 3:22	Local `a kipan` sequence marks a clause-linking or source/beginning environment.:1
ci-cih	ci	cih	dependent_temporal_ciangin	1	101	102	Genesis 24:14; Genesis 24:33; Genesis 24:43; Genesis 44:25; Genesis 46:33	Immediate following `ciangin` provides a conservative dependent-temporal cue.:102
ci-cih	ci	cih	dependent_temporal_ni_in	0	2	2	Obadiah 1:12; Obadiah 1:14	Immediate following `ni-in` provides a conservative dependent-temporal cue.:2
ci-cih	ci	cih	finite_main_or_matrix	7540	813	8353	Genesis 1:3; Genesis 1:4; Genesis 1:5; Genesis 1:6; Genesis 1:8	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:8353
ci-cih	ci	cih	imperative_or_directive	110	2	112	Genesis 20:13; Genesis 32:5; Genesis 32:18; Genesis 44:5; Genesis 45:11	A following imperative-like particle may indicate directive force.:112
ci-cih	ci	cih	negative_clause	305	145	450	Genesis 17:15; Genesis 18:15; Genesis 20:5; Genesis 28:8; Genesis 30:30	Nearby negative material marks a negative or irrealis-heavy clause.:450
ci-cih	ci	cih	nominalized_na	55	314	369	Genesis 21:29; Genesis 28:6; Genesis 31:1; Genesis 33:8; Genesis 41:32	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:369
ci-cih	ci	cih	possessed_or_genitive_attributive	4	4	8	Genesis 27:11; Jeremiah 16:5; Jeremiah 17:5; Jeremiah 34:17; Jeremiah 45:5	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment.:8
ci-cih	ci	cih	purpose_nadingin	9	10	19	Numbers 11:12; Numbers 11:18; Joshua 7:13; 2 Kings 5:22; 1 Chronicles 19:6	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:19
ci-cih	ci	cih	quotative_or_say_complement	103	2048	2151	Genesis 2:3; Genesis 2:17; Genesis 2:19; Genesis 3:5; Genesis 3:10	Nearby quotative material suggests embedded or reported-speech structure.:2151
ci-cih	ci	cih	relative_or_attributive_mi	9	0	9	Proverbs 20:14; Matthew 7:21; Matthew 24:5; Mark 13:6; Luke 20:6	A following `mi` suggests a relative-like or attributive nominal environment.:9
ci-cih	ci	cih	unknown_or_needs_review	63	33	96	Genesis 17:7; Genesis 17:8; Genesis 17:9; Genesis 17:10; Genesis 17:19	No conservative local environment rule fired for this token.:96
dipkua-dipkuat	dipkua	dipkuat	finite_main_or_matrix	4	0	4	2 Chronicles 29:8; Psalms 48:5; Psalms 66:5; Jeremiah 4:9	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:4
dipkua-dipkuat	dipkua	dipkuat	nominalized_na	0	1	1	Leviticus 26:16	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:1
dipkua-dipkuat	dipkua	dipkuat	unknown_or_needs_review	7	0	7	Judges 13:6; Psalms 45:4; Psalms 47:2; Psalms 66:3; Jeremiah 5:30	No conservative local environment rule fired for this token.:7
gamla-gamlat	gamla	gamlat	causative_or_derivational_sak	1	0	1	2 Timothy 2:16	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:1
gamla-gamlat	gamla	gamlat	finite_main_or_matrix	9	0	9	Judges 18:28; Nehemiah 4:19; Job 39:7; Isaiah 54:14; Jeremiah 12:2	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:9
gamla-gamlat	gamla	gamlat	negative_clause	14	0	14	Job 21:16; Psalms 22:11; Psalms 22:19; Psalms 71:12; Isaiah 29:13	Nearby negative material marks a negative or irrealis-heavy clause.:14
gamla-gamlat	gamla	gamlat	unknown_or_needs_review	57	1	58	Genesis 19:19; Genesis 21:16; Genesis 35:16; Exodus 2:4; Exodus 24:1	No conservative local environment rule fired for this token.:58
gen-genh	gen	genh	causative_or_derivational_sak	44	0	44	Genesis 18:32; Genesis 30:27; Genesis 44:18; Genesis 50:4; Exodus 4:16	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:44
gen-genh	gen	genh	clause_linking_kipan	3	0	3	Exodus 4:10; Joshua 14:10; Matthew 16:21	Local `a kipan` sequence marks a clause-linking or source/beginning environment.:3
gen-genh	gen	genh	dependent_temporal_ciangin	96	0	96	Genesis 21:25; Genesis 31:22; Genesis 37:5; Genesis 37:10; Genesis 38:13	Immediate following `ciangin` provides a conservative dependent-temporal cue.:96
gen-genh	gen	genh	dependent_temporal_ni_in	2	0	2	Exodus 6:28; Deuteronomy 4:15	Immediate following `ni-in` provides a conservative dependent-temporal cue.:2
gen-genh	gen	genh	finite_main_or_matrix	2036	0	2036	Genesis 3:11; Genesis 9:22; Genesis 14:13; Genesis 16:13; Genesis 18:27	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:2036
gen-genh	gen	genh	imperative_or_directive	266	0	266	Genesis 24:23; Genesis 24:33; Genesis 24:49; Genesis 29:15; Genesis 32:29	A following imperative-like particle may indicate directive force.:266
gen-genh	gen	genh	negative_clause	215	0	215	Genesis 12:18; Genesis 21:26; Genesis 24:7; Genesis 31:20; Genesis 31:27	Nearby negative material marks a negative or irrealis-heavy clause.:215
gen-genh	gen	genh	nominalized_na	187	0	187	Genesis 39:19; Genesis 41:15; Numbers 26:65; Numbers 35:30; Numbers 36:5	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:187
gen-genh	gen	genh	possessed_or_genitive_attributive	5	0	5	Matthew 5:32; Matthew 19:9; Luke 13:24; John 3:3; John 3:5	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment.:5
gen-genh	gen	genh	purpose_nadingin	81	0	81	Genesis 32:5; Genesis 49:1; Exodus 7:16; Numbers 23:12; Deuteronomy 5:3	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:81
gen-genh	gen	genh	quotative_or_say_complement	160	0	160	Genesis 24:30; Genesis 38:24; Genesis 41:15; Genesis 43:6; Genesis 45:27	Nearby quotative material suggests embedded or reported-speech structure.:160
gen-genh	gen	genh	relative_or_attributive_mi	8	0	8	Psalms 15:2; Psalms 101:7; Proverbs 19:5; Proverbs 19:9; Hosea 4:2	A following `mi` suggests a relative-like or attributive nominal environment.:8
gen-genh	gen	genh	unknown_or_needs_review	476	0	476	Genesis 12:4; Genesis 17:23; Genesis 18:21; Genesis 19:21; Genesis 21:1	No conservative local environment rule fired for this token.:476
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	causative_or_derivational_sak	1	1	2	Psalms 36:11; Luke 8:2	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:2
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	finite_main_or_matrix	130	5	135	Genesis 3:24; Genesis 15:11; Genesis 17:14; Genesis 26:27; Genesis 31:18	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:135
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	imperative_or_directive	4	0	4	Lamentations 3:65; Daniel 4:14; Matthew 10:8; Galatians 4:30	A following imperative-like particle may indicate directive force.:4
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	negative_clause	23	1	24	Genesis 4:14; Exodus 23:29; Numbers 33:55; Joshua 13:13; Joshua 15:63	Nearby negative material marks a negative or irrealis-heavy clause.:24
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	purpose_nadingin	2	0	2	Exodus 23:28; 2 Chronicles 20:11	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:2
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	quotative_or_say_complement	2	0	2	Deuteronomy 29:28; John 9:22	Nearby quotative material suggests embedded or reported-speech structure.:2
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	relative_or_attributive_mi	2	0	2	Mark 9:38; Luke 9:49	A following `mi` suggests a relative-like or attributive nominal environment.:2
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	unknown_or_needs_review	0	15	15	Numbers 32:21; 2 Samuel 14:14; 1 Kings 14:24; 1 Kings 21:26; 2 Kings 16:3	No conservative local environment rule fired for this token.:15
hi-hih	hi	hih	causative_or_derivational_sak	8	38	46	Exodus 13:8; Ruth 3:11; 1 Samuel 2:3; 1 Samuel 14:6; 1 Samuel 20:4	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:46
hi-hih	hi	hih	dependent_temporal_ciangin	0	19	19	Genesis 3:17; Genesis 18:13; Genesis 26:9; Genesis 29:15; Genesis 38:26	Immediate following `ciangin` provides a conservative dependent-temporal cue.:19
hi-hih	hi	hih	dependent_temporal_ni_in	0	1	1	Leviticus 16:30	Immediate following `ni-in` provides a conservative dependent-temporal cue.:1
hi-hih	hi	hih	finite_main_or_matrix	34200	316	34516	Genesis 1:1; Genesis 1:2; Genesis 1:3; Genesis 1:4; Genesis 1:5	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:34516
hi-hih	hi	hih	imperative_or_directive	15	48	63	Genesis 18:3; Genesis 31:16; Genesis 36:43; Numbers 4:19; Deuteronomy 29:17	A following imperative-like particle may indicate directive force.:63
hi-hih	hi	hih	negative_clause	5274	366	5640	Genesis 2:5; Genesis 2:17; Genesis 2:18; Genesis 2:20; Genesis 2:25	Nearby negative material marks a negative or irrealis-heavy clause.:5640
hi-hih	hi	hih	nominalized_na	38	572	610	Genesis 7:1; Genesis 12:11; Genesis 12:18; Genesis 15:13; Genesis 17:7	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:610
hi-hih	hi	hih	possessed_or_genitive_attributive	38	2	40	Exodus 16:20; Numbers 32:15; Numbers 33:54; Deuteronomy 19:3; 1 Samuel 2:13	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment.:40
hi-hih	hi	hih	purpose_nadingin	7	49	56	Genesis 20:9; Genesis 21:30; Genesis 39:6; Genesis 43:18; Exodus 29:36	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:56
hi-hih	hi	hih	quotative_or_say_complement	7851	308	8159	Genesis 1:3; Genesis 1:4; Genesis 1:5; Genesis 1:6; Genesis 1:8	Nearby quotative material suggests embedded or reported-speech structure.:8159
hi-hih	hi	hih	relative_or_attributive_mi	60	20	80	Genesis 13:16; Genesis 20:16; Exodus 12:19; Exodus 24:3; Leviticus 9:24	A following `mi` suggests a relative-like or attributive nominal environment.:80
hi-hih	hi	hih	unknown_or_needs_review	362	4660	5022	Genesis 2:2; Genesis 2:4; Genesis 2:23; Genesis 3:3; Genesis 3:10	No conservative local environment rule fired for this token.:5022
honkhia-honkhiat	honkhia	honkhiat	compound_or_lexicalized	363	1	364	Genesis 37:21; Genesis 47:25; Exodus 2:19; Exodus 5:23; Exodus 6:6	This pair is currently treated as lexicalized or category-mixed rather than as simple stem evidence.:364
hu-huh	hu	huh	compound_or_lexicalized	164	464	628	Genesis 1:30; Genesis 2:7; Genesis 2:18; Genesis 2:20; Genesis 4:1	This pair is currently treated as lexicalized or category-mixed rather than as simple stem evidence.:628
husia-husiat	husia	husiat	finite_main_or_matrix	6	0	6	Job 31:12; Psalms 18:8; Psalms 50:3; Ezekiel 14:17; Acts 23:10	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:6
husia-husiat	husia	husiat	imperative_or_directive	1	0	1	Psalms 124:5	A following imperative-like particle may indicate directive force.:1
husia-husiat	husia	husiat	unknown_or_needs_review	2	0	2	Psalms 55:8; Matthew 27:64	No conservative local environment rule fired for this token.:2
keu-keuh	keu	keuh	causative_or_derivational_sak	15	1	16	Genesis 41:23; Judges 6:39; 2 Kings 19:24; Psalms 58:7; Isaiah 37:25	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:16
keu-keuh	keu	keuh	dependent_temporal_ciangin	1	0	1	Isaiah 27:11	Immediate following `ciangin` provides a conservative dependent-temporal cue.:1
keu-keuh	keu	keuh	finite_main_or_matrix	44	5	49	Genesis 8:13; Genesis 8:14; Exodus 12:8; Exodus 12:9; Exodus 14:21	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:49
keu-keuh	keu	keuh	imperative_or_directive	3	0	3	Psalms 143:6; Isaiah 44:27; Ezekiel 37:4	A following imperative-like particle may indicate directive force.:3
keu-keuh	keu	keuh	negative_clause	2	1	3	Judges 16:7; Judges 16:8; Revelation 14:5	Nearby negative material marks a negative or irrealis-heavy clause.:3
keu-keuh	keu	keuh	nominalized_na	11	0	11	Psalms 126:4; Isaiah 25:5; Isaiah 35:1; Isaiah 41:18; Jeremiah 14:1	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:11
keu-keuh	keu	keuh	quotative_or_say_complement	1	0	1	Judges 6:37	Nearby quotative material suggests embedded or reported-speech structure.:1
keu-keuh	keu	keuh	unknown_or_needs_review	89	0	89	Genesis 1:9; Genesis 1:10; Genesis 8:7; Genesis 8:13; Exodus 4:9	No conservative local environment rule fired for this token.:89
khai-khaih	khai	khaih	causative_or_derivational_sak	3	0	3	Esther 9:13; Jeremiah 10:20; Lamentations 5:12	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:3
khai-khaih	khai	khaih	dependent_temporal_ciangin	1	0	1	Psalms 62:9	Immediate following `ciangin` provides a conservative dependent-temporal cue.:1
khai-khaih	khai	khaih	finite_main_or_matrix	85	0	85	Genesis 40:19; Genesis 40:22; Genesis 41:13; Exodus 26:32; Exodus 27:9	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:85
khai-khaih	khai	khaih	imperative_or_directive	5	0	5	Numbers 21:8; Numbers 25:4; Esther 7:10; Isaiah 22:25; Isaiah 62:10	A following imperative-like particle may indicate directive force.:5
khai-khaih	khai	khaih	negative_clause	6	0	6	Deuteronomy 29:23; Jeremiah 4:3; Matthew 6:26; Luke 12:24; John 12:32	Nearby negative material marks a negative or irrealis-heavy clause.:6
khai-khaih	khai	khaih	nominalized_na	35	0	35	Exodus 26:32; Exodus 26:37; Exodus 27:10; Exodus 27:11; Exodus 27:17	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:35
khai-khaih	khai	khaih	purpose_nadingin	4	0	4	Exodus 38:28; Esther 5:14; Esther 7:10; Matthew 20:19	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:4
khai-khaih	khai	khaih	relative_or_attributive_mi	2	0	2	2 Samuel 21:13; Galatians 3:13	A following `mi` suggests a relative-like or attributive nominal environment.:2
khai-khaih	khai	khaih	unknown_or_needs_review	94	2	96	Genesis 26:12; Genesis 41:42; Exodus 23:10; Exodus 26:33; Exodus 26:36	No conservative local environment rule fired for this token.:96
khial-khialh	khial	khialh	causative_or_derivational_sak	28	23	51	Exodus 23:33; 1 Kings 14:16; 1 Kings 15:26; 1 Kings 15:30; 1 Kings 15:34	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:51
khial-khialh	khial	khialh	dependent_temporal_ciangin	0	4	4	Numbers 15:28; Jeremiah 8:4; Matthew 18:21; 1 John 2:1	Immediate following `ciangin` provides a conservative dependent-temporal cue.:4
khial-khialh	khial	khialh	finite_main_or_matrix	153	40	193	Genesis 6:6; Genesis 6:7; Genesis 20:5; Genesis 39:9; Genesis 43:12	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:193
khial-khialh	khial	khialh	negative_clause	37	6	43	Genesis 42:22; Leviticus 4:22; Numbers 16:15; Deuteronomy 20:15; Deuteronomy 26:13	Nearby negative material marks a negative or irrealis-heavy clause.:43
khial-khialh	khial	khialh	nominalized_na	0	420	420	Genesis 18:20; Genesis 20:9; Genesis 31:36; Genesis 41:9; Genesis 50:17	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:420
khial-khialh	khial	khialh	purpose_nadingin	0	6	6	Genesis 20:6; Psalms 39:1; Psalms 119:11; Proverbs 7:5; Ezekiel 3:21	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:6
khial-khialh	khial	khialh	quotative_or_say_complement	5	6	11	Leviticus 5:15; Leviticus 5:17; Numbers 15:27; Deuteronomy 19:16; 1 Samuel 2:25	Nearby quotative material suggests embedded or reported-speech structure.:11
khial-khialh	khial	khialh	relative_or_attributive_mi	4	0	4	Numbers 5:8; Psalms 95:10; Mark 2:15; John 9:16	A following `mi` suggests a relative-like or attributive nominal environment.:4
khial-khialh	khial	khialh	unknown_or_needs_review	41	2	43	Genesis 13:13; Exodus 20:7; Exodus 20:20; Leviticus 6:2; Leviticus 6:4	No conservative local environment rule fired for this token.:43
kho-khoh	kho	khoh	causative_or_derivational_sak	2	1	3	Matthew 21:41; Matthew 22:4; Acts 19:31	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:3
kho-khoh	kho	khoh	finite_main_or_matrix	38	1	39	Genesis 2:5; Genesis 2:15; Exodus 36:6; Numbers 24:21; Judges 19:7	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:39
kho-khoh	kho	khoh	negative_clause	32	0	32	Genesis 9:20; Deuteronomy 20:6; Deuteronomy 21:4; Deuteronomy 22:10; Judges 5:7	Nearby negative material marks a negative or irrealis-heavy clause.:32
kho-khoh	kho	khoh	purpose_nadingin	4	0	4	Genesis 3:23; 2 Kings 25:12; Song of Solomon 8:11; Jeremiah 52:16	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:4
kho-khoh	kho	khoh	unknown_or_needs_review	1	4	5	Proverbs 23:30; Matthew 22:3; Matthew 22:5; Luke 14:17; Luke 14:18	No conservative local environment rule fired for this token.:5
kho-khot	kho	khot	unknown_or_needs_review	0	2	2	Matthew 19:21; Luke 18:22	No conservative local environment rule fired for this token.:2
khua-khuat	khua	khuat	clause_linking_kipan	3	0	3	Jeremiah 32:44; Jeremiah 48:24; Luke 24:47	Local `a kipan` sequence marks a clause-linking or source/beginning environment.:3
khua-khuat	khua	khuat	dependent_temporal_ciangin	7	0	7	2 Samuel 18:24; 2 Samuel 24:20; 1 Kings 20:22; 1 Kings 20:26; 2 Kings 11:14	Immediate following `ciangin` provides a conservative dependent-temporal cue.:7
khua-khuat	khua	khuat	finite_main_or_matrix	653	2	655	Genesis 8:13; Genesis 11:28; Genesis 50:5; Leviticus 25:32; Leviticus 26:31	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:655
khua-khuat	khua	khuat	imperative_or_directive	55	0	55	Deuteronomy 4:11; Joshua 18:21; Joshua 21:42; Judges 6:30; Ruth 1:19	A following imperative-like particle may indicate directive force.:55
khua-khuat	khua	khuat	negative_clause	60	0	60	Genesis 18:28; Genesis 19:2; Genesis 19:12; Leviticus 25:31; Deuteronomy 3:4	Nearby negative material marks a negative or irrealis-heavy clause.:60
khua-khuat	khua	khuat	nominalized_na	34	0	34	1 Samuel 2:9; 1 Kings 7:16; 1 Kings 7:17; 1 Kings 7:18; 1 Kings 7:20	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:34
khua-khuat	khua	khuat	possessed_or_genitive_attributive	27	0	27	Genesis 36:33; Genesis 36:36; Genesis 36:37; Joshua 7:2; 2 Samuel 2:2	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment.:27
khua-khuat	khua	khuat	purpose_nadingin	8	0	8	Genesis 19:20; Numbers 35:11; Numbers 35:14; 1 Kings 7:18; Psalms 105:39	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:8
khua-khuat	khua	khuat	quotative_or_say_complement	42	0	42	Genesis 18:2; Genesis 29:2; Deuteronomy 9:16; Joshua 5:13; Joshua 15:62	Nearby quotative material suggests embedded or reported-speech structure.:42
khua-khuat	khua	khuat	relative_or_attributive_mi	9	0	9	Joshua 8:14; Judges 19:22; Judges 20:37; 1 Samuel 4:13; Isaiah 54:3	A following `mi` suggests a relative-like or attributive nominal environment.:9
khua-khuat	khua	khuat	unknown_or_needs_review	2810	1	2811	Genesis 1:2; Genesis 1:15; Genesis 1:16; Genesis 3:7; Genesis 3:19	No conservative local environment rule fired for this token.:2811
kia-kiak	kia	kiak	causative_or_derivational_sak	16	0	16	Exodus 9:18; Exodus 9:23; Numbers 11:31; Numbers 32:7; Numbers 32:9	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence.:16
kia-kiak	kia	kiak	finite_main_or_matrix	126	13	139	Genesis 14:10; Genesis 22:13; Genesis 32:7; Genesis 33:11; Genesis 39:17	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:139
kia-kiak	kia	kiak	negative_clause	24	0	24	Genesis 43:29; Exodus 9:26; Deuteronomy 1:21; Deuteronomy 31:8; Joshua 1:9	Nearby negative material marks a negative or irrealis-heavy clause.:24
kia-kiak	kia	kiak	purpose_nadingin	2	0	2	Job 37:6; Matthew 18:30	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:2
kia-kiak	kia	kiak	quotative_or_say_complement	5	0	5	2 Kings 19:26; Isaiah 20:5; Matthew 12:11; Luke 14:5; 1 Corinthians 13:7	Nearby quotative material suggests embedded or reported-speech structure.:5
kia-kiak	kia	kiak	relative_or_attributive_mi	3	0	3	Deuteronomy 22:8; Matthew 21:44; Luke 20:18	A following `mi` suggests a relative-like or attributive nominal environment.:3
kia-kiak	kia	kiak	unknown_or_needs_review	3	1	4	Genesis 3:18; Leviticus 19:10; Ruth 2:7; Ezekiel 27:28	No conservative local environment rule fired for this token.:4
kido-kidot	kido	kidot	dependent_temporal_ciangin	0	1	1	Haggai 2:12	Immediate following `ciangin` provides a conservative dependent-temporal cue.:1
kido-kidot	kido	kidot	finite_main_or_matrix	47	1	48	Genesis 14:9; Exodus 17:8; Exodus 17:10; Exodus 32:17; Numbers 10:9	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket.:48
kido-kidot	kido	kidot	imperative_or_directive	4	0	4	Exodus 17:9; Deuteronomy 2:24; Judges 9:38; 1 Peter 4:9	A following imperative-like particle may indicate directive force.:4
kido-kidot	kido	kidot	negative_clause	5	0	5	Deuteronomy 2:9; Deuteronomy 2:19; Isaiah 2:4; Micah 4:3; Matthew 10:34	Nearby negative material marks a negative or irrealis-heavy clause.:5
kido-kidot	kido	kidot	nominalized_na	34	1	35	Leviticus 26:6; 1 Samuel 14:23; 1 Samuel 17:28; 2 Samuel 2:17; 2 Samuel 3:1	Suffixal `-na` in the analyzer segmentation supports a nominalized environment.:35
kido-kidot	kido	kidot	possessed_or_genitive_attributive	1	0	1	Isaiah 19:2	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment.:1
kido-kidot	kido	kidot	purpose_nadingin	8	0	8	Joshua 11:5; 1 Samuel 13:5; 1 Samuel 17:10; 1 Samuel 17:21; 1 Samuel 17:33	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment.:8
