lexeme_id	promotion_group	form_side	reference	verse_id	token_index	surface_form	normalized_form	segmentation	gloss_span	lemma	pos	tedim_clause_or_sentence	local_context	kjv	environment	construction_label	example_role	citation_quality	why_this_example	remaining_caveat	use_in_grammar	notes
pia-piak	caveated_promoted	form_ii	1 Chronicles 21:22	13021022	34	piak	piak	piak	give.to	pia	V	Tua ciangin David in Ornan kiangah, “Mite kiang panin gimna a ven’ theih nadingin Topa a’ ding biakna tau khat ka lam theih nadingin na ancilna mun hong pia in. A man a cingin piak dingin hong pia in,” a ci hi.	man a cingin [piak] dingin hong pia	Then David said to Ornan, Grant me the place of this threshingfloor, that I may build an altar therein unto the LORD : thou shalt grant it me for the full price: that the plague may be stayed from the people.	purpose_nadingin	purpose or irrealis `piak dingin` clause	supporting_form_ii_example	print_usable_with_caveat	Exact Form II row with a clearer non-final purpose frame than the Genesis lead verse.	Still needs editorial trimming before final print quotation.	use_as_supporting_example	Good support row for the constructional side of the pair.
nusia-nusiat	caveated_promoted	form_i	Zechariah 11:17	38011017	8	nusia	nusia	nusia	forsake	nusia	V	“Kimanna a nei lo tuucingpa, a tuuhonte a nusia pa in gimna ngah ta hen! Namsau in a khut bantan hen la, a taklam mit satkham hen. A khut beimang hen la, a taklam mit tawcip hen!” hong ci hi.	a tuuhonte a [nusia] pa in gimna	Woe to the idol shepherd that leaveth the flock! the sword shall be upon his arm, and upon his right eye: his arm shall be clean dried up, and his right eye shall be utterly darkened.	finite_main_or_matrix	main finite abandonment predicate	lead_form_i_example	print_usable_with_caveat	Exact Form I token without the clausal packaging problems that affect the Form II side.	The best Form II evidence is still constructionally dependent, so this cannot stand alone as a balanced paradigm.	use_as_supporting_example	Anchors the pair lexically even though Form II remains the real editorial bottleneck.
nusia-nusiat	caveated_promoted	form_ii	Deuteronomy 2:14	05002014	22	nusiat	nusiat	nusiat	abandon	nusia	N	Amaute tungah Topa a kiciam mah bangin galsim mi ahi tua khangmite khempeuh gam sungah a sih khit dong ahi, Kadeshbarnea i nusiat a kipan Zered lui i kantan dong kikal kum sawmthum le kum giat ahi hi.	ahi Kadeshbarnea i [nusiat] a kipan Zered	And the space in which we came from Kadesh-barnea, until we were come over the brook Zered, was thirty and eight years; until all the generation of the men of war were wasted out from among the host, as the LORD sware unto them.	clause_linking_kipan	source or clause-linking `nusiat a kipan` frame	lead_form_ii_example	descriptive_only	This is the clearest exact Form II citation because the clause-linking syntax is overt in the Tedim sentence.	The token is tagged N and works best as descriptive structural evidence, not as a print-ready quotation.	mention_without_quotation	Retains the pair in the grammar while acknowledging that the best Form II evidence is not a neat finite contrast.
bia-biak	caveated_promoted	form_i	1 Chronicles 16:29	13016029	23	bia	bia	bia	worship	bia	V	Amah in a ngah ding a kilawm minthanna Topa’ tungah pia un. Biakna puak unla, ama mai-ah pai un! Biakna puan silhin Topa bia un.	puan silhin Topa [bia] un	Give unto the LORD the glory due unto his name: Bring an offering, and come before him: Worship the LORD in the beauty of holiness.	imperative_or_directive	directive worship imperative	lead_form_i_example	print_usable_with_caveat	Exact Form I row with strong verbal force and no nominalized suffix.	Worship discourse dominates the pair, so the citation should not be over-generalized as an all-purpose paradigm.	use_as_supporting_example	Avoids nearby `biakna` tokens in the same verse.
bia-biak	caveated_promoted	form_ii	1 Chronicles 21:23	13021023	31	biak	biak	biak	worship	bia	V	Tua ciangin Ornan in David kiangah, “La in; ko to kumpipa in hoih na sak bangin hih in. Meihal biaknate-a zat dingin bawngtalte, a sing dingin ancilna singte, le an tawh biak nadingin a mangbuhte kong pia hi. A vekpi-in kong pia hi,” a ci hi.	le an tawh [biak] nadingin a mangbuhte	And Ornan said unto David, Take it to thee, and let my lord the king do that which is good in his eyes: lo, I give thee the oxen also for burnt offerings, and the threshing instruments for wood, and the wheat for the meat offering; I give it all.	purpose_nadingin	purpose `biak nadingin` clause	lead_form_ii_example	print_usable_with_caveat	Exact Form II row in a clear purposive environment that stays away from `biakna` as the actual token.	Still domain-specific to worship and offering contexts.	use_as_supporting_example	Preferred over nominalized worship nouns because the cited token itself is exact `biak`.
thei-theih	caveated_promoted	form_i	Genesis 2:16	01002016	17	thei	thei	thei	know	thei	ADJ	Topa Pasian in mipa thu pia a, “Na ut utin huan sung singkung gah khempeuh na ne thei ding hi.	khempeuh na ne [thei] ding hi	And the LORD God commanded the man, saying, Of every tree of the garden thou mayest freely eat:	modal_or_ability	modal or ability predicate (`thei ding`)	lead_form_i_example	print_usable_with_caveat	Shows the pair in the modal or ability domain where the Form I side is especially natural.	This pair should not be presented as a plain finite lexical contrast.	use_as_supporting_example	Best used in a modal or constructional subsection, not as a simple stem table row.
thei-theih	caveated_promoted	form_ii	1 Chronicles 19:10	13019010	13	theih	theih	theih	know.II	thei	V	Gal in a nung le a mai panin a panna Joab in a theih ciangin Israel mi a kitengkhia mi pawlkhat teel a, Syria mite a do dingin pangsak hi.	Joab in a [theih] ciangin Israel mi	Now when Joab saw that the battle was set against him before and behind, he chose out of all the choice of Israel, and put them in array against the Syrians.	dependent_temporal_ciangin	dependent temporal `theih ciangin` clause	lead_form_ii_example	print_usable_with_caveat	Exact Form II row with a clearly signaled dependent construction.	Even good Form II examples cluster in modal, dependent, or purposive syntax rather than in a neat finite paradigm.	use_as_supporting_example	A better grammar illustration than a flat finite row.
thei-theih	caveated_promoted	form_ii	1 Chronicles 17:27	13017027	9	theih	theih	theih	know.II	thei	V	Tua ahih ciangin tu-in nangma mai-ah a kizop tawntung theih nadingin na nasempa’ suanlekhakte thupha na piak ding nang hong lungkim ta in; bang hang hiam cih leh Topa aw, nangmah in thupha na piaksate a tawntungin thupha ngah ahi hi,” a ci hi.	a kizop tawntung [theih] nadingin na nasempa	now therefore let it please thee to bless the house of thy servant, that it may be before thee for ever: for thou blessest, O LORD , and it shall be blessed for ever.	purpose_nadingin	purpose `theih nadingin` clause	supporting_form_ii_example	descriptive_only	Adds an explicitly purposive Form II environment to the shortlist.	Useful for structural discussion even if it is not the first verse to quote in print.	mention_without_quotation	Kept so the shortlist records the purposive side of the pair, not just the modal one.
piang-pian	caveated_promoted	form_i	1 Chronicles 22:9	13022009	8	piang	piang	piang	be.born	piang	V	En in, nangma sung panin tapa khat hong piang ding a, amah pen lungnopna a nei mi hi ding hi. Keimah in a kimkota a galte khempeuh panin ama tungah lungnopna ka pia ding hi; bang hang hiam cih leh ama min Solomon hi ding a, ama hun sungin Israel tungah lungnopna le daihna ka pia ding hi.	tapa khat hong [piang] ding a amah	Behold, a son shall be born to thee, who shall be a man of rest; and I will give him rest from all his enemies round about: for his name shall be Solomon, and I will give peace and quietness unto Israel in his days.	finite_main_or_matrix	eventive birth predicate	lead_form_i_example	print_usable_with_caveat	Exact Form I row with straightforward eventive semantics.	The pair remains easier to explain in eventive and dependent syntax than as a simple finite alternation.	use_as_supporting_example	Keeps `piang` distinct from the derived `piangsak` family.
piang-pian	caveated_promoted	form_ii	1 Corinthians 6:4	46006004	8	pian	pian	pian	be.born	pian	V	Tua bang hinapi-in hih bang thu themthem hong pian ciangin pawlpi sungah bangmahin a kisim lo mite’ mai kitun ding na hi uh hiam?	thu themthem hong [pian] ciangin pawlpi sungah	If then ye have judgments of things pertaining to this life, set them to judge who are least esteemed in the church.	dependent_temporal_ciangin	dependent temporal `pian ciangin` clause	lead_form_ii_example	print_usable_with_caveat	Exact Form II row in a useful dependent environment, without `piangsak` contamination.	Best treated as eventive or constructionally dependent evidence, not as a plain finite pair.	use_as_supporting_example	Chosen specifically to keep the shortlist free of causative material.
zui-zuih	caveated_promoted	form_i	Zechariah 8:8	38008008	26	zui	zui	zui	follow	zui	V	Jerusalem khua sungah ka tunpihkik ding hi. Amaute pen keima mi hi-in, kei zong amau’ Pasian ka hi ding a, amau tawh ka thuciamnate limtakin ka zui ding hi.	thuciamnate limtakin ka [zui] ding hi	and I will bring them, and they shall dwell in the midst of Jerusalem: and they shall be my people, and I will be their God, in truth and in righteousness.	finite_main_or_matrix	finite covenant-obedience predicate	lead_form_i_example	print_usable_with_caveat	Exact Form I citation with stable verbal POS and no derived morphology.	The final print set still has to stay away from `zuihsak` and related derivations.	use_as_supporting_example	A clean exact anchor for the Form I side.
zui-zuih	caveated_promoted	form_ii	Zechariah 6:15	38006015	42	zuih	zuih	zui-h	follow-NOM	zui	V	Gamlapi-a a teng mite hong pai-in Topa’ innlam nasep hong huh ding uh hi. Tua biakinn a kilamkik ciangin Vanglian Topa in note kiangah kei a hong sawl ahihna thu na thei ding uh hi. Topa na Pasian uh’ thupiaknate cingtakin na zuih nak-uhleh tu-a ka gen bangin a hong piang ding ahi hi.	thupiaknate cingtakin na [zuih] nak-uhleh tu-a ka	And they that are far off shall come and build in the temple of the LORD , and ye shall know that the LORD of hosts hath sent me unto you. And this shall come to pass, if ye will diligently obey the voice of the LORD your God.	finite_main_or_matrix	conditional obedience frame (`zuih nak-uhleh`)	lead_form_ii_example	print_usable_with_caveat	Exact Form II row whose local clause is more informative than the coarse environment label alone suggests.	Keep it caveated until more exact Form II citations are isolated away from derived neighbors.	use_as_supporting_example	Selected because the Tedim clause itself shows the conditional frame clearly.
khial-khialh	caveated_promoted	form_i	Zephaniah 1:17	36001017	29	khial	khial	khial	err	khial	V	Topa in hih bangin thu gen a, “Mihingte tungah lungkhamna lianpi ka tungsak ding a, amaute in mittaw bangin khua a zawt ding uh hi. Keima tungah amaute hong khial uh ahih manin, a sisan uh tui bangin kithehthang ding a, a luanghawm uh leilakah muatcip ding hi,” a ci hi.	tungah amaute hong [khial] uh ahih manin	And I will bring distress upon men, that they shall walk like blind men, because they have sinned against the LORD : and their blood shall be poured out as dust, and their flesh as the dung.	finite_main_or_matrix	finite transgression predicate	lead_form_i_example	print_usable_with_caveat	Exact Form I row with stable lexical meaning and no derivational suffix.	The shortlist must keep away from the larger `khialsak` family.	use_as_supporting_example	A straightforward exact Form I token.
khial-khialh	caveated_promoted	form_ii	1 John 2:1	62002001	24	khialh	khialh	khialh	sin	khial	V	Ka itte aw, note na khialhkhak loh nading uh ka deihna-in hih lai a hong gelh ka hi hi. Ahi zongin mi khatpeuh a khialh ciangin eite a dingin Pa Pasian kiangah a hong thumsak dingin a thuman Jesuh Khrih i nei hi.	mi khatpeuh a [khialh] ciangin eite a	My little children, these things write I unto you, that ye sin not. And if any man sin, we have an advocate with the Father, Jesus Christ the righteous:	dependent_temporal_ciangin	dependent temporal `khialh ciangin` clause	lead_form_ii_example	print_usable_with_caveat	Exact Form II row in a transparently dependent construction.	Still keep it distinct from `khialhkhak` and the wider derivational family.	use_as_supporting_example	Better grammar evidence than a noisier finite row.
kia-kiak	caveated_promoted	form_i	Song of Solomon 5:2	22005002	31	kia	kia	kia	fall	kia	V	Ka lup hangin ka lungsim ihmu lo a, ka ngaihno in ka kong hong kiuh ka za hi. Itluat ngaihno ka lungtup aw, kei hong tumsak in. Ka lu tungah daingo kia a, meiizun in ka sam kawtsak hi.	lu tungah daingo [kia] a meiizun in	I sleep, but my heart waketh: It is the voice of my beloved that knocketh, saying , Open to me, my sister, my love, My dove, my undefiled: For my head is filled with dew, And my locks with the drops of the night.	finite_main_or_matrix	finite intransitive `kia` predicate	lead_form_i_example	print_usable_with_caveat	Exact Form I citation with stable verbal POS.	The Form II side remains much thinner than the Form I side.	use_as_supporting_example	Form I is not the main problem for this pair.
kia-kiak	caveated_promoted	form_ii	Proverbs 24:31	20024031	8	kiak	kiak	ki-ak	REFL-exalt	ak	V	Limtakin ka et ciangin a lo ciing bupah kiak dim a, a leitang khempeuh lopa in khuhcip a, a umna a phungcian suangte kicim khin hi.	lo ciing bupah [kiak] dim a a	And, lo, it was all grown over with thorns, And nettles had covered the face thereof, And the stone wall thereof was broken down.	finite_main_or_matrix	exact `kiak` row, but lemma points to `ak` and still needs philological checking	lead_form_ii_example	needs_manual_check	Keeps the real exact `kiak` evidence visible without pretending the analysis is fully settled.	Form II lemma stability is still uncertain, so this row should not be treated as print-safe yet.	mention_without_quotation	Included because the pair is promoted with caveat, but the Form II citation remains thin and risky.
sawlkhia-sawlkhiat	caveated_promoted	form_i	Psalms 43:3	19043003	6	sawlkhia	sawlkhia	sawlkhia	send.forth	sawlkhia	V	Na khuavak le na thuman hong sawlkhia inla, na mual siangtho, na omna-ah kei hong paipih sakin, hong khasak in.	na thuman hong [sawlkhia] inla na mual	O send out thy light and thy truth: Let them lead me; Let them bring me unto thy holy hill, and to thy tabernacles.	finite_main_or_matrix	directive or requestive send-out predicate	lead_form_i_example	print_usable_with_caveat	Exact Form I row with stable verbal semantics and no derivational clutter.	The pair is real, but its best Form II citations are still sparse.	use_as_supporting_example	Useful anchor for the lexical pair itself.
sawlkhia-sawlkhiat	caveated_promoted	form_ii	Luke 22:35	42022035	15	sawlkhiat	sawlkhiat	sawlkhiat	send.forth	sawlkhia	V	Tua ciangin Jesuh in amaute kiangah, “Note in sumbawm, ip, le khedap keng loin kong sawlkhiat lai-in kitangsapna na nei uh hiam?” ci-in a dot ciangin, “Bangmah ka kitangsapna uh om lo hi,” ci-in a dawng uh hi.	keng loin kong [sawlkhiat] lai-in kitangsapna na	And he said unto them, When I sent you without purse, and scrip, and shoes, lacked ye any thing? And they said, Nothing.	finite_main_or_matrix	temporal past-sending frame (`sawlkhiat lai-in`)	lead_form_ii_example	print_usable_with_caveat	Exact Form II row with stable verbal POS and a usable temporal frame in the Tedim clause.	Form II examples remain sparse enough that the pair should still be cited cautiously.	use_as_supporting_example	Selected because the local clause gives more structure than the broad matrix label suggests.
ngai-ngaih	difficult_case	form_ii	Zechariah 3:7	38003007	35	ngaih	ngaih	ngaih	love	ngai	V	Vanglian Topa in hih bangin ci hi: “Ka thukhamte zui-in kong sawl thute na sep leh, ka biakinn sung le biakinn huang sungteng na uk ding a, hih ka kianga om vantung mite’ thu ka ngaih bangin nangma thu zong ka hong ngai ding hi.	mite thu ka [ngaih] bangin nangma thu	Thus saith the LORD of hosts; If thou wilt walk in my ways, and if thou wilt keep my charge, then thou shalt also judge my house, and shalt also keep my courts, and I will give thee places to walk among these that stand by.	finite_main_or_matrix	exact verbal `ngaih` row within a contaminated lexical family	rejected_candidate	needs_manual_check	Shows that clean exact `ngaih` evidence really does survive and should not be erased from the discussion.	Family-wide contamination from `ngaihsun/ngaihsut/ngaihsutna` still blocks routine promotion into the main citation set.	mention_without_quotation	Retain as a difficult case, not as a fully promotable quotation pair.
ngai-ngaih	difficult_case	form_ii	1 Chronicles 12:38	13012038	16	ngaihsutna	ngaihsutna	ngaih-sut-na	think-NMLZ	ngai	N	Galkap mi ahi, galsim dingin a kithawi hih mite khempeuh, Israel tungah David kumpi-in koih ding ngaihsutna takpi tawh Hebron-ah hong pai uh hi. Tua mah bangin Israel a omlaite khempeuh zong David kumpi-in a bawl ding uh a ngaihsutna uh kikhat hi.	kumpi-in koih ding [ngaihsutna] takpi tawh Hebron-ah	All these men of war, that could keep rank, came with a perfect heart to Hebron, to make David king over all Israel: and all the rest also of Israel were of one heart to make David king.	compound_or_lexicalized	negative control from `ngaihsutna` lexical-family contamination	negative_control	reject_for_print	Documents the contamination that keeps the pair out of the routine promoted citation set.	This is not an exact `ngaih` token and must never be cited as straightforward Form II evidence.	reject	Kept only so the shortlist records why the family remains difficult.
pua-puak	difficult_case	form_i	Song of Solomon 7:1	22007001	3	pua	pua	pua	carry.on.back	pua	V	Kumpi mel a pua a ngaihbaang nungak aw, na khete le na khedap kilawm mahmah! Na phei le na tanzumte sing suih siamte’ suih bang hiuhiau!	Kumpi mel a [pua] a ngaihbaang nungak	How beautiful are thy feet with shoes, O prince's daughter! The joints of thy thighs are like jewels, The work of the hands of a cunning workman.	finite_main_or_matrix	exact verbal `pua` row in a shared-base family	rejected_candidate	needs_manual_check	Shows that clean verbal evidence survives, so the pair remains grammatically important.	Shared-base overlap with `pua ~ puah` and gloss mismatch still make the pair too risky for ordinary promotion.	mention_without_quotation	Keep in the difficult-cases discussion rather than the promoted citation set.
pai-paih	inventory_only	form_ii	Job 9:34	18009034	5	paih	paih	pai-h	go-COMP	pai	V	kei hong kisatna ciang hong paih khiatsak ding a, kei tungah lauhuaina lianpite hong om nawn lo ding hi.	kisatna ciang hong [paih] khiatsak ding a	Let him take his rod away from me, And let not his fear terrify me:	finite_main_or_matrix	exact verbal `paih` row with unresolved analyzer competition	rejected_candidate	needs_manual_check	Shows that exact `paih` evidence exists, so the pair cannot simply be dismissed as unattested.	Sparse Form II evidence still competes with the same-form questionnaire control `pai ~ pai`.	keep_in_notes_only	Leave in analyzer-only uncertainty until the `pai/paih` contrast is reviewed philologically.
tua-tuak	inventory_only	form_ii	Zechariah 9:1	38009001	15	tuak	tuak	tuak	receive	tua	N	Topa’ thugenna: Hadrak gammite’ gimtuahna ding Topa in thu khenzo a, Damaskas khuapi in zong tuak ding hi. Israel minam khempeuh, Topa -a’ ahih mah bangin leitung minam khempeuh zong Topa -a’ mah ahi hi.	khuapi in zong [tuak] ding hi Israel	The burden of the word of the LORD in the land of Hadrach, and Damascus shall be the rest thereof: when the eyes of man, as of all the tribes of Israel, shall be toward the LORD .	finite_main_or_matrix	nominal `tuak` row showing category mismatch	rejected_candidate	reject_for_print	Shows why the analyzer pair remains a warning about overgeneration rather than a usable lexical verb pair.	The row is not verbally secure, and the Form I base is even less stable.	reject	Keep out of the promoted citation set.
tua-tuah	inventory_only	form_ii	Psalms 124:1	19124001	10	tuah	tuah	tuah	do	tua	V	Israel mite aw, Topa in hong panpih lo hileh i tuah ding thu thei un.	lo hileh i [tuah] ding thu thei	If it had not been the LORD who was on our side, now may Israel say;	finite_main_or_matrix	exact verbal `tuah` row, but only the Form II side is cleanly verbal	rejected_candidate	needs_manual_check	Shows why the pair remains interesting without pretending that the Form I base has been secured.	The matching `tua` side is still category-mixed and often determiner-like.	keep_in_notes_only	A one-sided signal, not a promotable pair.
keu-keuh	blocked	form_i	Exodus 14:16	02014016	4	keu	keu	keu	dry	keu	N	Israel mite in lei keu tungtawnin tuipi a kantan theih nadingin na ciangkhut laamto inla, tuipi tungah na khut zanin tuipi khenkham in.	mite in lei [keu] tungtawnin tuipi a	but lift thou up thy rod, and stretch out thine hand over the sea, and divide it: and the children of Israel shall go on dry ground through the midst of the sea.	unknown_or_needs_review	nominal `lei keu` phrase	rejected_candidate	reject_for_print	Represents the blocked nominal evidence that should stay out of the stem-verb grammar.	This is not a clean verbal citation.	reject	Blocked non-verbal analyzer row.
khai-khaih	blocked	form_ii	Proverbs 9:2	20009002	8	khaih	khaih	khaih	hold	khai	N	Amah in pawi bawl dingin sa go-in leenggahzu khaih a, annekna ding sabuai a bawl hi.	sa go-in leenggahzu [khaih] a annekna ding	She hath killed her beasts; she hath mingled her wine; She hath also furnished her table.	unknown_or_needs_review	nominal `khaih` row in a provisioning context	rejected_candidate	reject_for_print	Illustrates that the best current Bible hit is still non-verbal.	No clean Form I verbal evidence has been isolated.	reject	Do not let this row back into the promoted inventory.
sia-siah	blocked	form_ii	1 Chronicles 18:2	13018002	13	siah	siah	siah	compose	sia	N	Tua ciangin amah in Moab mite zo a, Moab mite David’ nasem suakin siah hong puak uh hi.	David nasem suakin [siah] hong puak uh	And he smote Moab; and the Moabites became David's servants, and brought gifts.	unknown_or_needs_review	nominal tribute or payment row	rejected_candidate	reject_for_print	Shows why the current evidence remains category-mixed rather than verbally secure.	The pair still lacks a clean verbal Form I side.	reject	Blocked until genuinely verbal evidence appears.
tan-tanh	blocked	form_i	Matthew 6:17	40006017	4	tan	tan	tan'	assign.POSS	tan	PRON	Ahi zongin an na tan’ uh ciangin na mai uh phiatin na sam uh hiat un.	zongin an na [tan] uh ciangin na	But thou, when thou fastest, anoint thine head, and wash thy face;	finite_main_or_matrix	pronominal or possessive `tan` row, not a verb	rejected_candidate	reject_for_print	Documents the category mismatch that keeps `tan ~ tanh` out of the promoted verbal discussion.	Current rows are not lexically secure verbal evidence.	reject	Blocked noisy material; not suitable for quotation.
