lexeme_id	form_i	form_ii	gloss	current_lexical_category	current_promotion_status	current_promotion_blocker	clean_verb_form_i_count	clean_verb_form_ii_count	best_form_i_review_example	best_form_ii_review_example	environment_distribution_summary	main_obstacle	manual_review_decision	recommended_new_promotion_status	recommended_grammar_location	decision_rationale	next_manual_check
kia-kiak	kia	kiak	fear	lexical_verb	promote_with_caveat	needs_manual_philological_review	64	8	Song of Solomon 5:2 `kia` [finite_main_or_matrix; V]	Proverbs 24:31 `kiak` [finite_main_or_matrix; V]	finite_main_or_matrix:65; negative_clause:3; purpose_nadingin:2; quotative_or_say_complement:2; relative_or_attributive_mi:2	Form II is comparatively sparse and must be kept distinct from `kiasak`-family noise	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	The surviving Form II evidence is thinner than for the best pairs, but it is still real verbal evidence, so the pair now belongs in the caveated promoted inventory.	Keep the Form II citation exact and avoid nearby derivational morphology.
kido-kidot	kido	kidot	fight	lexical_verb	mention_in_inventory_only	no_clean_form_ii_verb_example	58	0	Numbers 10:9 `kido` [finite_main_or_matrix; V]	John 16:19 `kidot` [finite_main_or_matrix; N]	finite_main_or_matrix:42; purpose_nadingin:8; negative_clause:5; imperative_or_directive:4; dependent_temporal_ciangin:1	no clean form ii verb example	retain_inventory_only	mention_in_inventory_only	difficult_cases	Keep the row in the broader inventory for now because no clean form ii verb example.	Retain in the wider inventory until cleaner evidence appears.
lua-luah	lua	luah	exceed	lexical_verb	mention_in_inventory_only	no_clean_form_i_verb_example	0	194	Song of Solomon 6:5 `lua` [finite_main_or_matrix; N]	Zephaniah 2:7 `luah` [finite_main_or_matrix; V]	finite_main_or_matrix:157; unknown_or_needs_review:58; purpose_nadingin:46; negative_clause:35; imperative_or_directive:6; quotative_or_say_complement:2	no clean form i verb example	retain_inventory_only	mention_in_inventory_only	difficult_cases	Keep the row in the broader inventory for now because no clean form i verb example.	Retain in the wider inventory until cleaner evidence appears.
mu-muh	mu	muh	see	lexical_verb	promote_to_main_grammar	none	946	489	Genesis 1:4 `mu` [finite_main_or_matrix; V]	Genesis 19:1 `muh` [dependent_temporal_ciangin; V]	finite_main_or_matrix:967; negative_clause:231; dependent_temporal_ciangin:168; purpose_nadingin:26; quotative_or_say_complement:25; imperative_or_directive:17	none	promote_now	promote_to_main_grammar	main_promoted_verbal_inventory	Stable paired finite and derived evidence still makes this the clearest Tedim showcase pair.	Keep the existing exact candidate-token examples.
ne-nek	ne	nek	eat	lexical_verb	promote_to_main_grammar	none	549	191	Genesis 2:17 `ne` [negative_clause; V]	Genesis 2:17 `nek` [dependent_temporal_ni_in; V]	finite_main_or_matrix:494; negative_clause:141; purpose_nadingin:63; imperative_or_directive:27; quotative_or_say_complement:10; relative_or_attributive_mi:9	none	promote_now	promote_to_main_grammar	main_promoted_verbal_inventory	Genesis 2:17 still provides the cleanest same-verse Form I/Form II contrast in the packet.	Retain the same-verse contrast as the lead pedagogical example.
nei-neih	nei	neih	have	lexical_verb	promote_to_main_grammar	none	1747	410	Genesis 11:30 `nei` [negative_clause; V]	Zechariah 9:4 `neih` [finite_main_or_matrix; V]	finite_main_or_matrix:1610; negative_clause:445; quotative_or_say_complement:44; purpose_nadingin:33; relative_or_attributive_mi:26; imperative_or_directive:19	none	promote_now	promote_to_main_grammar	main_promoted_verbal_inventory	Both forms remain robust and easy to explain without major lexical contamination.	Prefer an exact finite Form I plus attributable or nominalized Form II pairing.
ngai-ngaih	ngai	ngaih	think / love/need	lexicalized_or_category_mixed	discuss_as_difficult_case	lexicalized_family_contamination	434	52	Zephaniah 3:7 `ngai` [finite_main_or_matrix; V]	Zechariah 3:7 `ngaih` [finite_main_or_matrix; V]	finite_main_or_matrix:193; imperative_or_directive:150; negative_clause:122; purpose_nadingin:16; quotative_or_say_complement:5	clean `ngai/ngaih` rows coexist with heavy lexical-family contamination from `ngaihsun/ngaihsut/ngaihsutna`	retain_as_difficult_case	discuss_as_difficult_case	difficult_cases	The review should now state explicitly that clean exact verbal `ngai`/`ngaih` rows exist on both sides. Even so, the family contamination is still strong enough that this pair belongs in difficult cases rather than in the promoted inventory.	Separate exact `ngai/ngaih` rows from `ngaihs-` family material in any future quotation shortlist.
nusia-nusiat	nusia	nusiat	abandon	lexical_verb	promote_with_caveat	none	172	0	Zechariah 11:17 `nusia` [finite_main_or_matrix; V]	Deuteronomy 2:14 `nusiat` [clause_linking_kipan; N]	finite_main_or_matrix:110; negative_clause:70; unknown_or_needs_review:25; quotative_or_say_complement:5; imperative_or_directive:5; purpose_nadingin:3	Form II is clearest in dependent and clause-linking environments rather than in a neat finite contrast	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	The pair is already packet-worthy, but the grammar should frame it as a caveated promotion whose best evidence comes from non-final syntax rather than from a simple finite paradigm.	Keep pairing the lexical inventory with dependent or clause-linking Form II examples.
pai-paih	pai	paih	go	analyzer_only_uncertain	mention_in_inventory_only	needs_manual_philological_review	2371	2	Zephaniah 1:6 `pai` [finite_main_or_matrix; V]	Job 9:34 `paih` [finite_main_or_matrix; V]	finite_main_or_matrix:1826; imperative_or_directive:190; negative_clause:162; dependent_temporal_ciangin:82; purpose_nadingin:58; quotative_or_say_complement:54	the analyzer pair competes with the same-form questionnaire control `pai ~ pai`, and clean Form II evidence is sparse	needs_more_manual_review	mention_in_inventory_only	analyzer_only_uncertain	Exact `paih` verbal rows do exist, but the shared-base problem is still unresolved enough that the grammar should keep this under analyzer-only uncertainty rather than promote it.	Do a dedicated philological pass on `pai`, `paih`, and the same-form questionnaire control before changing category or promotion status.
pia-piak	pia	piak	give	lexical_verb	promote_with_caveat	none	2183	789	Genesis 3:12 `pia` [finite_main_or_matrix; V]	Genesis 3:12 `piak` [finite_main_or_matrix; V]	finite_main_or_matrix:2409; purpose_nadingin:189; negative_clause:169; imperative_or_directive:127; quotative_or_say_complement:42; dependent_temporal_ciangin:30	report noise and derivational crowding around related `-sak` material	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	Both forms have abundant clean verbal evidence, so the pair belongs in the promoted inventory, but the quoted examples still need filtering away from derivational neighbors.	Prefer exact `pia`/`piak` rows that stay away from nearby causative morphology.
piang-pian	piang	pian	be.born	lexical_verb	discuss_as_difficult_case	needs_manual_philological_review	315	28	Zephaniah 2:15 `piang` [finite_main_or_matrix; V]	Matthew 26:54 `pian` [finite_main_or_matrix; V]	finite_main_or_matrix:296; negative_clause:26; unknown_or_needs_review:16; quotative_or_say_complement:15; purpose_nadingin:8; dependent_temporal_ciangin:6	Form II competes with a large derived `piangsak` family and is easiest to show in eventive or dependent environments	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	Exact `piang` and `pian` rows survive after filtering, so this pair deserves promotion. The prose should treat it as an eventive or intransitive caveated verb rather than as a simple mechanical alternation.	Prefer an exact `pian` row that is eventive and clearly distinct from `piangsak` material.
pua-puah	pua	puah	bet	analyzer_only_uncertain	discuss_as_difficult_case	analyzer_pair_only	0	63		Nehemiah 3:9 `puah` [finite_main_or_matrix; V]	finite_main_or_matrix:53; purpose_nadingin:6; unknown_or_needs_review:4; negative_clause:2; dependent_temporal_ciangin:1; clause_linking_kipan:1	only the Form II side is cleanly verbal, and it shares its Form I base with `pua ~ puak`	needs_more_manual_review	discuss_as_difficult_case	analyzer_only_uncertain	The current evidence is too one-sided to treat `pua ~ puah` as an independent promoted pair.	Require exact verbal Form I evidence before revisiting this analyzer pair.
pua-puak	pua	puak	spill / carry.on.back	lexicalized_or_category_mixed	discuss_as_difficult_case	homophone_risk	148	239	Song of Solomon 7:1 `pua` [finite_main_or_matrix; V]	Zephaniah 3:10 `puak` [finite_main_or_matrix; V]	finite_main_or_matrix:332; purpose_nadingin:23; imperative_or_directive:15; negative_clause:13; relative_or_attributive_mi:3; quotative_or_say_complement:3	shared Form I base, gloss mismatch, and homophone risk across `pua ~ puak` and `pua ~ puah`	retain_as_difficult_case	discuss_as_difficult_case	difficult_cases	Clean verbal rows exist for `pua` and `puak`, so the pair stays central to the discussion. But the overlap with other `pua` families is still too strong for routine promotion.	Separate the 'spill' reading from questionnaire-style 'carry on back' material before any promotion change.
sawlkhia-sawlkhiat	sawlkhia	sawlkhiat	send.forth	lexical_verb	promote_with_caveat	needs_manual_philological_review	36	3	Psalms 43:3 `sawlkhia` [finite_main_or_matrix; V]	Luke 22:35 `sawlkhiat` [finite_main_or_matrix; V]	finite_main_or_matrix:33; negative_clause:3; imperative_or_directive:3	clean Form II examples are few and semantically crowded by expulsion or sending contexts	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	The pair is lexically coherent and both forms are attested, but it should stay caveated until a cleaner Form II example set is isolated.	Prefer a transparent non-negative Form II token with stable verbal POS.
sia-siah	sia	siah	decay	lexical_verb	block_from_verb_inventory_pending_review	no_clean_form_i_verb_example	0	0	Psalms 53:1 `sia` [finite_main_or_matrix; ADJ]	Psalms 57:6 `siah` [finite_main_or_matrix; N]	unknown_or_needs_review:262; finite_main_or_matrix:29; negative_clause:22; quotative_or_say_complement:5; purpose_nadingin:4; imperative_or_directive:1	no clean form i verb example	block_noise	block_from_verb_inventory_pending_review	difficult_cases	Current evidence is too noisy or too weakly verbal for promotion.	Leave blocked unless new exact verbal evidence is found.
tan-tanh	tan	tanh	spread	lexical_verb	block_from_verb_inventory_pending_review	no_clean_form_i_verb_example	0	0	Matthew 6:17 `tan` [finite_main_or_matrix; PRON]	Song of Solomon 8:12 `tanh` [finite_main_or_matrix; N]	unknown_or_needs_review:62; finite_main_or_matrix:33; negative_clause:7; purpose_nadingin:5; quotative_or_say_complement:1	no clean form i verb example	block_noise	block_from_verb_inventory_pending_review	difficult_cases	Current evidence is too noisy or too weakly verbal for promotion.	Leave blocked unless new exact verbal evidence is found.
thei-theih	thei	theih	know	lexical_verb	discuss_as_difficult_case	needs_manual_philological_review	1923	1364	Zechariah 14:7 `thei` [finite_main_or_matrix; ADJ]	Zechariah 6:13 `theih` [finite_main_or_matrix; V]	finite_main_or_matrix:1051; negative_clause:963; unknown_or_needs_review:599; modal_or_ability:566; purpose_nadingin:527; imperative_or_directive:80	Form II is especially strong in modal, ability, purposive, and nominalized environments rather than in a neat finite pedagogical contrast	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	Both forms are cleanly and abundantly attested. The grammar should now promote `thei ~ theih`, but explicitly under a modal or ability subsection rather than as if every Form II token were a plain finite alternant.	Choose a tight modal or purposive Form II verse that does not rely only on nominalization.
tu-tuh	tu	tuh	sit	lexical_verb	mention_in_inventory_only	no_clean_form_i_verb_example	0	29	Zechariah 5:7 `tu` [finite_main_or_matrix; CONJ]	Psalms 126:6 `tuh` [finite_main_or_matrix; V]	unknown_or_needs_review:228; finite_main_or_matrix:143; negative_clause:23; quotative_or_say_complement:9; purpose_nadingin:7; imperative_or_directive:5	no clean form i verb example	retain_inventory_only	mention_in_inventory_only	difficult_cases	Keep the row in the broader inventory for now because no clean form i verb example.	Retain in the wider inventory until cleaner evidence appears.
tua-tuah	tua	tuah	do	analyzer_only_uncertain	discuss_as_difficult_case	category_mismatch	0	46		Psalms 124:1 `tuah` [finite_main_or_matrix; V]	finite_main_or_matrix:35; dependent_temporal_ciangin:6; negative_clause:2; quotative_or_say_complement:1; relative_or_attributive_mi:1; purpose_nadingin:1	only the Form II side is currently cleanly verbal, while the Form I base remains category-mixed	needs_more_manual_review	discuss_as_difficult_case	analyzer_only_uncertain	The pair remains interesting for analyzer review, but it is still too one-sided for promotion.	Require exact verbal Form I evidence distinct from determiner or discourse uses of `tua`.
tua-tuak	tua	tuak	meet	analyzer_only_uncertain	discuss_as_difficult_case	category_mismatch	0	0	Zechariah 11:7 `tua` [finite_main_or_matrix; DET]	Zechariah 9:1 `tuak` [finite_main_or_matrix; N]	unknown_or_needs_review:7830; dependent_temporal_ciangin:4241; negative_clause:280; finite_main_or_matrix:132; quotative_or_say_complement:130; dependent_temporal_ni_in:85	the Form I base is overwhelmingly determiner-like, not verbal, and the shared-base mapping remains unstable	needs_more_manual_review	discuss_as_difficult_case	analyzer_only_uncertain	This row is useful as a warning about analyzer overgeneration, but it should stay out of the promoted verb grammar.	Do not promote unless both sides can be shown with stable verbal POS and lemma control.
tuahpha-tuahphat	tuahpha	tuahphat	quickly	lexical_verb	mention_in_inventory_only	no_clean_form_ii_verb_example	2	0	Song of Solomon 1:4 `tuahpha` [finite_main_or_matrix; V]	Proverbs 11:10 `tuahphat` [dependent_temporal_ciangin; N]	finite_main_or_matrix:2; dependent_temporal_ciangin:1	no clean form ii verb example	retain_inventory_only	mention_in_inventory_only	difficult_cases	Keep the row in the broader inventory for now because no clean form ii verb example.	Retain in the wider inventory until cleaner evidence appears.
vial-vialh	vial	vialh	encircle	lexical_verb	mention_in_inventory_only	no_clean_form_ii_verb_example	10	0	Psalms 41:9 `vial` [finite_main_or_matrix; V]	Psalms 119:61 `vialh` [negative_clause; N]	finite_main_or_matrix:7; quotative_or_say_complement:3; negative_clause:1	no clean form ii verb example	retain_inventory_only	mention_in_inventory_only	difficult_cases	Keep the row in the broader inventory for now because no clean form ii verb example.	Retain in the wider inventory until cleaner evidence appears.
za-zak	za	zak	hear	lexical_verb	promote_with_caveat	none	1	338	2 Samuel 20:16 `“za` [imperative_or_directive; V]	Genesis 24:52 `zak` [dependent_temporal_ciangin; V]	unknown_or_needs_review:374; finite_main_or_matrix:340; dependent_temporal_ciangin:124; imperative_or_directive:65; negative_clause:52; relative_or_attributive_mi:17	Form II has broad lexical and environmental spread that still needs careful verse choice	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	The pair is genuine and Bible-attested on both sides, but the grammar should keep the examples conservative because `zak` ranges more widely than the core showcase verbs.	Keep choosing Form II tokens from transparent dependent or clause-linking contexts.
zui-zuih	zui	zuih	follow	lexical_verb	promote_with_caveat	needs_manual_philological_review	486	169	Zechariah 8:8 `zui` [finite_main_or_matrix; V]	Zechariah 6:15 `zuih` [finite_main_or_matrix; V]	finite_main_or_matrix:453; negative_clause:124; imperative_or_directive:35; purpose_nadingin:33; relative_or_attributive_mi:12; quotative_or_say_complement:10	derived `zuihsak` material and the need for a transparent Form II quotation context	promote_with_caveat_now	promote_with_caveat	caveated_promoted_verbal_inventory	Both forms are cleanly attested and lexically coherent. `zui ~ zuih` should be promoted as a real caveated lexical verb rather than left implicit in the wider inventory.	Prefer a Form II row that is exact and not crowded by causative or benefactive morphology.
