pair_id	form_i	form_ii	gloss	alternation_type	stem_side	attested_form	environment	environment_count_for_side	verse_id	reference	token_index	surface_form	normalized_form	segmentation	gloss_span	lemma	pos	local_context	kjv	print_status	selection_reason	notes
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	quotative_or_say_complement	28	18011014	Job 11:14	2	bawl	bawl	bawl	make	bawl	V	Khialhna na [bawl] khak leh paaikhia	If iniquity be in thine hand, put it far away, And let not wickedness dwell in thy tabernacles.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby quotative material suggests embedded or reported-speech structure. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	relative_or_attributive_mi	9	20006033	Proverbs 6:33	2	bawl	bawl	bawl	make	bawl	V	Mawhna a [bawl] mi in satgawpna	A wound and dishonour shall he get; And his reproach shall not be wiped away.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following `mi` suggests a relative-like or attributive nominal environment. Row status is capped by the pair-level publication status. Needs review before print use.
bawl-bawlh	bawl	bawlh	make	+h	form_i	bawl	unknown_or_needs_review	93	45008020	Romans 8:20	1	bawlsate	bawlsate	bawl-sa-te	make-flesh-PL	bawl	N	Pasian [bawlsate] amau utthu tawh	For the creature was made subject to vanity, not willingly, but by reason of him who hath subjected the same in hope,	needs_analyzer_review	retained as the clearest available review-bucket example for this pair and stem side; analyzer segmentation and POS are explicit enough for write-up use	No conservative local environment rule fired for this token. Review-bucket rows never count as print-ready evidence. Review bucket only; not a clean syntactic construction. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_i	bia	causative_or_derivational_sak	1	66013012	Revelation 13:12	30	biasak	biasak	bia-sak	worship-CAUS	bia	V	aana tawh a [biasak] hi	And he exerciseth all the power of the first beast before him, and causeth the earth and them which dwell therein to worship the first beast, whose deadly wound was healed.	exclude_for_now	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence. Derived or lexicalized environments stay excluded at the row level even when the pair is retained for review.
bia-biak	bia	biak	worship	+k	form_i	bia	finite_main_or_matrix	194	42001074	Luke 1:74	13	bia-in	bia-in	bia-in	worship-ERG	bia	FUNC	om loin amah [bia-in]	That he would grant unto us, that we being delivered out of the hand of our enemies Might serve him without fear,	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_i	bia	imperative_or_directive	19	02012031	Exodus 12:31	25	bia	bia	bia	worship	bia	V	bangun Topa va [bia] un	And he called for Moses and Aaron by night, and said, Rise up, and get you forth from among my people, both ye and the children of Israel; and go, serve the LORD , as ye have said.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following imperative-like particle may indicate directive force. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_i	bia	negative_clause	26	14017003	2 Chronicles 17:3	17	bia	bia	bia	worship	bia	V	Amah in Baal-te [bia] lo hi	And the LORD was with Jehoshaphat, because he walked in the first ways of his father David, and sought not unto Baalim;	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby negative material marks a negative or irrealis-heavy clause. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_i	bia	possessed_or_genitive_attributive	1	46006009	1 Corinthians 6:9	22	biate	biate	bia-te	worship-PL	bia	N	a paktatte milim [biate] mi zi ahih	Know ye not that the unrighteous shall not inherit the kingdom of God? Be not deceived: neither fornicators, nor idolaters, nor adulterers, nor effeminate, nor abusers of themselves with mankind,	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_i	bia	purpose_nadingin	27	30005005	Amos 5:5	1	bia	bia	bia	worship	bia	V	A [bia] dingin Beersheba-ah pai	but seek not Beth-el, nor enter into Gilgal, and pass not to Beer-sheba: for Gilgal shall surely go into captivity, and Beth-el shall come to nought.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_i	bia	quotative_or_say_complement	2	02010026	Exodus 10:26	44	bia	bia	bia	worship	bia	V	pen tawh Topa [bia] ding cih ka	Our cattle also shall go with us; there shall not an hoof be left behind; for thereof must we take to serve the LORD our God; and we know not with what we must serve the LORD , until we come thither.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby quotative material suggests embedded or reported-speech structure. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_i	bia	relative_or_attributive_mi	6	19097007	Psalms 97:7	9	bia	bia	bia	worship	bia	V	kisaktheihpih milim a [bia] mi khempeuhte maizumin	Confounded be all they that serve graven images, That boast themselves of idols: Worship him, all ye gods.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following `mi` suggests a relative-like or attributive nominal environment. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_i	bia	unknown_or_needs_review	11	12010019	2 Kings 10:19	43	biate	biate	bia-te	worship-PL	bia	N	hangin Baal a [biate] a suksiat theih	Now therefore call unto me all the prophets of Baal, all his servants, and all his priests; let none be wanting: for I have a great sacrifice to do to Baal; whosoever shall be wanting, he shall not live. But Jehu did it in subtilty, to the intent that he might destroy the worshippers of Baal.	needs_analyzer_review	retained as the clearest available review-bucket example for this pair and stem side; analyzer segmentation and POS are explicit enough for write-up use	No conservative local environment rule fired for this token. Review-bucket rows never count as print-ready evidence. Review bucket only; not a clean syntactic construction. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_ii	biak	clause_linking_kipan	1	12025009	2 Kings 25:9	3	biakinn	biakinn	biak-inn	worship-house	bia	N	Amah in Topa [biakinn] a kipan kumpipa	and he burnt the house of the LORD , and the king's house, and all the houses of Jerusalem, and every great man's house burnt he with fire.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Local `a kipan` sequence marks a clause-linking or source/beginning environment. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_ii	biak	finite_main_or_matrix	130	02039026	Exodus 39:26	0	Biak	biak	Biak	worship	bia	V	[Biak] nasep nadinga puantualpi	a bell and a pomegranate, a bell and a pomegranate, round about the hem of the robe to minister in ; as the LORD commanded Moses.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_ii	biak	imperative_or_directive	2	11008027	1 Kings 8:27	27	biakinn	biakinn	biak-inn	worship-house	bia	N	keima lamsa hih [biakinn] in bangzahin nang	But will God indeed dwell on the earth? behold, the heaven and heaven of heavens cannot contain thee; how much less this house that I have builded?	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following imperative-like particle may indicate directive force. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_ii	biak	negative_clause	28	04018005	Numbers 18:5	9	biakbuk	biakbuk	biak-buk	worship-tent	bia	N	nawn loh nadingin [biakbuk] nasep leh biakna	And ye shall keep the charge of the sanctuary, and the charge of the altar: that there be no wrath any more upon the children of Israel.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby negative material marks a negative or irrealis-heavy clause. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_ii	biak	nominalized_na	1551	03026002	Leviticus 26:2	7	kibiakna	kibiakna	ki-biak-na	worship	bia	N	tangin keimah hong [kibiakna] mun na zahtak	Ye shall keep my sabbaths, and reverence my sanctuary: I am the LORD .	needs_analyzer_review	preferred because this verse is already cited in the dossier or packet; kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Suffixal `-na` in the analyzer segmentation supports a nominalized environment. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_ii	biak	purpose_nadingin	163	13028010	1 Chronicles 28:10	0	Biakinn	biakinn	biak-inn	worship-house	bia	N	[Biakinn] dingin inn khat	Take heed now; for the LORD hath chosen thee to build an house for the sanctuary: be strong, and do it .	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_ii	biak	quotative_or_say_complement	4	04018003	Numbers 18:3	23	biakbuk	biakbuk	biak-buk	worship-tent	bia	N	na hih ciangun [biakbuk] nazatte leh biakna	And they shall keep thy charge, and the charge of all the tabernacle: only they shall not come nigh the vessels of the sanctuary and the altar, that neither they, nor ye also, die.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby quotative material suggests embedded or reported-speech structure. Row status is capped by the pair-level publication status. Needs review before print use.
bia-biak	bia	biak	worship	+k	form_ii	biak	unknown_or_needs_review	914	02036008	Exodus 36:8	14	biakbuk	biakbuk	biak-buk	worship-tent	bia	N	dal sawm tawh [biakbuk] bawl uh hi	And every wise hearted man among them that wrought the work of the tabernacle made ten curtains of fine twined linen, and blue, and purple, and scarlet: with cherubims of cunning work made he them.	needs_analyzer_review	preferred because this verse is already cited in the dossier or packet; retained as the clearest available review-bucket example for this pair and stem side; analyzer segmentation and POS are explicit enough for write-up use	No conservative local environment rule fired for this token. Review-bucket rows never count as print-ready evidence. Review bucket only; not a clean syntactic construction. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	causative_or_derivational_sak	45	04022006	Numbers 22:6	49	cisak	cisak	ci-sak	say-CAUS	ci	V	ka thei hi,” [cisak] hi	come now therefore, I pray thee, curse me this people; for they are too mighty for me: peradventure I shall prevail, that we may smite them, and that I may drive them out of the land: for I wot that he whom thou blessest is blessed, and he whom thou cursest is cursed.	exclude_for_now	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence. Derived or lexicalized environments stay excluded at the row level even when the pair is retained for review.
ci-cih	ci	cih	say	+h	form_i	ci	dependent_temporal_ciangin	1	40027034	Matthew 27:34	18	ciapkhit	ciapkhit	ci-ap-khit	say-press-COMPL	ci	V	Jesuh in a [ciapkhit] ciangin a dawn	they gave him vinegar to drink mingled with gall: and when he had tasted thereof , he would not drink.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Immediate following `ciangin` provides a conservative dependent-temporal cue. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	finite_main_or_matrix	7540	01001020	Genesis 1:20	18	ci	ci	ci	say	ci	V	leeng ta hen,” [ci] hi	And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.	needs_analyzer_review	preferred because this verse is already cited in the dossier or packet; kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	imperative_or_directive	110	01045011	Genesis 45:11	38	ci	ci	ci	say	ci	V	ci hi va [ci] un	and there will I nourish thee; for yet there are five years of famine; lest thou, and thy household, and all that thou hast, come to poverty.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following imperative-like particle may indicate directive force. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	negative_clause	305	13016022	1 Chronicles 16:22	13	ci	ci	ci	say	ci	V	hih kei un!” [ci] hi	Saying , Touch not mine anointed, And do my prophets no harm.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby negative material marks a negative or irrealis-heavy clause. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	nominalized_na	55	48005022	Galatians 5:22	14	cihtakna	cihtakna	ci-tak-na	say-true-NMLZ	ci	V	lungduaina migitna hoihna [cihtakna]	But the fruit of the Spirit is love, joy, peace, longsuffering, gentleness, goodness, faith,	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Suffixal `-na` in the analyzer segmentation supports a nominalized environment. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	possessed_or_genitive_attributive	4	26006007	Ezekiel 6:7	1	citengah	citengah	ci-teng-ah	say-all-LOC	ci	FUNC	Mun [citengah] mi kithatlum ding	And the slain shall fall in the midst of you, and ye shall know that I am the LORD .	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	purpose_nadingin	9	04011018	Numbers 11:18	3	cianga	cianga	ci-ang-a	say-FUT-NOM	ci	CONJ	Mite tungah Zing [cianga] dingin note ki-ap	And say thou unto the people, Sanctify yourselves against to morrow, and ye shall eat flesh: for ye have wept in the ears of the LORD , saying, Who shall give us flesh to eat? for it was well with us in Egypt: therefore the LORD will give you flesh, and ye shall eat.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	quotative_or_say_complement	103	44028008	Acts 28:8	2	cisa	cisa	ci-sa	say-CAUS	ci	V	Publias pa [cisa] nat leh gilsan	And it came to pass, that the father of Publius lay sick of a fever and of a bloody flux: to whom Paul entered in, and prayed, and laid his hands on him, and healed him.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby quotative material suggests embedded or reported-speech structure. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	relative_or_attributive_mi	9	20020014	Proverbs 20:14	21	ci-in	ci-in	ci-in	say-QUOT	ci	V	siam mahmah ing [ci-in] mi kiangah kisial	It is naught, it is naught, saith the buyer: But when he is gone his way, then he boasteth.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following `mi` suggests a relative-like or attributive nominal environment. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_i	ci	unknown_or_needs_review	63	46015037	1 Corinthians 15:37	0	Mangbuhci	mangbuhci	mangbuh-ci	barley-say	mangbuh	N	[Mangbuhci] ahi a khaici	and that which thou sowest, thou sowest not that body that shall be, but bare grain, it may chance of wheat, or of some other grain :	needs_analyzer_review	retained as the clearest available review-bucket example for this pair and stem side; analyzer segmentation and POS are explicit enough for write-up use	No conservative local environment rule fired for this token. Review-bucket rows never count as print-ready evidence. Review bucket only; not a clean syntactic construction. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	causative_or_derivational_sak	3	01050005	Genesis 50:5	59	cihsak	cihsak	cih-sak	say.II-BENF	ci	V	ci hi va [cihsak] un,” a ci	My father made me swear, saying, Lo, I die: in my grave which I have digged for me in the land of Canaan, there shalt thou bury me. Now therefore let me go up, I pray thee, and bury my father, and I will come again.	exclude_for_now	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Causative or derivational `sak` blocks promotion as simple stem-alternation evidence. Derived or lexicalized environments stay excluded at the row level even when the pair is retained for review.
ci-cih	ci	cih	say	+h	form_ii	cih	clause_linking_kipan	1	46003022	1 Corinthians 3:22	14	cihte	cihte	cih-te	say.II-PL	ci	N	le mailam hun [cihte] a kipan na	whether Paul, or Apollos, or Cephas, or the world, or life, or death, or things present, or things to come; all are your's;	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Local `a kipan` sequence marks a clause-linking or source/beginning environment. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	dependent_temporal_ciangin	101	01024043	Genesis 24:43	25	cih	cih	cih	say.NOM	ci	V	pia in,” ka [cih] ciangin	behold, I stand by the well of water; and it shall come to pass, that when the virgin cometh forth to draw water , and I say to her, Give me, I pray thee, a little water of thy pitcher to drink;	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Immediate following `ciangin` provides a conservative dependent-temporal cue. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	dependent_temporal_ni_in	2	31001012	Obadiah 1:12	27	cihmawh	cihmawh	cih-mawh	say.NOM-sin	ci	V	kei un A [cihmawh] ni-in nuihsan kei	But thou shouldest not have looked on the day of thy brother in the day that he became a stranger; neither shouldest thou have rejoiced over the children of Judah in the day of their destruction; neither shouldest thou have spoken proudly in the day of distress.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Immediate following `ni-in` provides a conservative dependent-temporal cue. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	finite_main_or_matrix	813	24007013	Jeremiah 7:13	28	cihin-ah	cihin-ah	cih-in-ah	say.II-ERG-LOC	ci	FUNC	Topa in kong [cihin-ah]	And now, because ye have done all these works, saith the LORD , and I spake unto you, rising up early and speaking, but ye heard not; and I called you, but ye answered not;	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	No stronger local cue was found, so the token is kept in a conservative finite or matrix bucket. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	imperative_or_directive	2	21012002	Ecclesiastes 12:2	3	cih	cih	cih	say.NOM	ci	V	Lungkham hun i [cih] in Nang a	while the sun, or the light, or the moon, or the stars, be not darkened, nor the clouds return after the rain:	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following imperative-like particle may indicate directive force. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	negative_clause	145	19102002	Psalms 102:2	1	cihmawh	cihmawh	cih-mawh	say.NOM-sin	ci	V	Ka [cihmawh] hunin kei kiang	Hide not thy face from me in the day when I am in trouble; Incline thine ear unto me: In the day when I call answer me speedily.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby negative material marks a negative or irrealis-heavy clause. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	nominalized_na	314	06015025	Joshua 15:25	4	cihna)	cihna)	cih-na	say.NOM-NMLZ	ci	V	Keriothhezron (Hazor a [cihna)]	and Hazor, Hadattah, and Kerioth, and Hezron, which is Hazor,	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Suffixal `-na` in the analyzer segmentation supports a nominalized environment. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	possessed_or_genitive_attributive	4	24016005	Jeremiah 16:5	8	cihin-ah	cihin-ah	cih-in-ah	say.II-ERG-LOC	ci	FUNC	Topa in kong [cihin-ah] mi kahna inn	For thus saith the LORD , Enter not into the house of mourning, neither go to lament nor bemoan them: for I have taken away my peace from this people, saith the LORD , even lovingkindness and mercies.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	A following `mi` plus a preceding possessor-like token suggests an attributive or possessed nominal environment. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	purpose_nadingin	10	42015019	Luke 15:19	2	cih	cih	cih	say.NOM	ci	V	Na tapa [cih] dingin zong kilawm	and am no more worthy to be called thy son: make me as one of thy hired servants.	needs_analyzer_review	kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Local `ding` or `nadingin` material suggests a purpose or irrealis-heavy environment. Row status is capped by the pair-level publication status. Needs review before print use.
ci-cih	ci	cih	say	+h	form_ii	cih	quotative_or_say_complement	2048	01002017	Genesis 2:17	19	cih	cih	cih	say.NOM	ci	V	Bang hang hiam [cih] leh tua na	but of the tree of the knowledge of good and evil, thou shalt not eat of it: for in the day that thou eatest thereof thou shalt surely die.	needs_analyzer_review	preferred because this verse is already cited in the dossier or packet; kept as the clearest analyzed example for this pair, stem side, and environment; analyzer segmentation and POS are explicit enough for write-up use	Nearby quotative material suggests embedded or reported-speech structure. Row status is capped by the pair-level publication status. Needs review before print use.
