lexeme_id	form_i	form_ii	gloss	grammar_status	discussion_order	form_i_attestation_summary	form_ii_attestation_summary	main_contexts_for_form_i	main_contexts_for_form_ii	best_citation_rows	contexts_to_discuss	main_generalization_for_this_pair	caveats	blocked_or_noisy_material	recommended_prose_treatment	include_in_core_showcase_table	include_in_promoted_pair_inventory	include_in_pair_by_pair_discussion	notes
khial-khialh	khial	khialh	err	promoted_caveated_pair	110	171 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:153; unknown_or_needs_review:41; negative_clause:37. Best examples: Zephaniah 1:17 `khial` [finite_main_or_matrix; needs_analyzer_review]; Romans 14:20 `khial` [finite_main_or_matrix; needs_analyzer_review]; Romans 11:22 `khial` [finite_main_or_matrix; needs_analyzer_review].	54 clean verbal exact Bible rows survive after filtering. Main contexts: nominalized_na:420; finite_main_or_matrix:40; causative_or_derivational_sak:23. Best examples: Romans 5:14 `khialh` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:12 `khialh` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:12 `khialh` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:153; unknown_or_needs_review:41; negative_clause:37	nominalized_na:420; finite_main_or_matrix:40; causative_or_derivational_sak:23	Zephaniah 1:17 form_i `khial` [print_usable_with_caveat; use_as_supporting_example]; 1 John 2:1 form_ii `khialh` [print_usable_with_caveat; use_as_supporting_example]	finite_main_or_matrix; dependent_temporal_ciangin; unknown_or_needs_review; negative_clause; nominalized_na; causative_or_derivational_sak	The pair has enough clean verbal evidence to stay promoted, especially when Form II is shown in a transparent dependent clause.	Nominalized and derivational families still crowd the Form II side, so exact `khialh` rows have to be selected conservatively.	Keep `khialsak`, `khialhsak`, and related derivations out of the promoted discussion.	List it in the promoted-pair inventory table and give it a short note that centers on dependent-clause evidence rather than on raw token counts.	no	yes	yes	1 John 2:1 remains the cleanest exact Form II citation for the pair.
kia-kiak	kia	kiak	fear	promoted_caveated_pair	120	64 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:126; negative_clause:24; causative_or_derivational_sak:16. Best examples: Song of Solomon 5:2 `kia` [finite_main_or_matrix; needs_analyzer_review]; Revelation 8:5 `kia` [finite_main_or_matrix; needs_analyzer_review]; Revelation 6:13 `kia` [finite_main_or_matrix; needs_analyzer_review].	8 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:13; unknown_or_needs_review:1. Best examples: Proverbs 24:31 `kiak` [finite_main_or_matrix; needs_analyzer_review]; Job 31:40 `kiak` [finite_main_or_matrix; needs_analyzer_review]; Job 24:24 `kiak` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:126; negative_clause:24; causative_or_derivational_sak:16	finite_main_or_matrix:13; unknown_or_needs_review:1	Song of Solomon 5:2 form_i `kia` [print_usable_with_caveat; use_as_supporting_example]; Proverbs 24:31 form_ii `kiak` [needs_manual_check; mention_without_quotation]	finite_main_or_matrix; negative_clause; causative_or_derivational_sak; unknown_or_needs_review	The pair is worth keeping because exact `kiak` evidence does survive, even though it is much thinner than the Form I side.	Lemma stability on the Form II side is still weak enough that `kiak` should not yet be treated as a print-safe quotation.	Keep `kiasak`-family rows out of the promoted inventory and away from any headline example list.	List it in the promoted-pair inventory table, but describe it as a thin pair whose Form II evidence still needs checking.	no	yes	yes	The current plan keeps the pair visible without pretending that the Form II side is already citation-grade.
sawlkhia-sawlkhiat	sawlkhia	sawlkhiat	send.forth	promoted_caveated_pair	130	36 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:35; imperative_or_directive:3; negative_clause:2. Best examples: Psalms 43:3 `sawlkhia` [finite_main_or_matrix; needs_analyzer_review]; Matthew 10:16 `sawlkhia` [finite_main_or_matrix; needs_analyzer_review]; Mark 6:7 `sawlkhia` [finite_main_or_matrix; needs_analyzer_review].	3 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:2; negative_clause:1; nominalized_na:1. Best examples: Luke 22:35 `sawlkhiat` [finite_main_or_matrix; needs_analyzer_review]; Exodus 12:33 `sawlkhiat` [finite_main_or_matrix; needs_analyzer_review]; 1 Samuel 20:13 `sawlkhiat` [negative_clause; needs_analyzer_review].	finite_main_or_matrix:35; imperative_or_directive:3; negative_clause:2	finite_main_or_matrix:2; negative_clause:1; nominalized_na:1	Psalms 43:3 form_i `sawlkhia` [print_usable_with_caveat; use_as_supporting_example]; Luke 22:35 form_ii `sawlkhiat` [print_usable_with_caveat; use_as_supporting_example]	finite_main_or_matrix; imperative_or_directive; negative_clause; nominalized_na	The pair is lexically coherent and both forms are attested, so it belongs in the promoted inventory.	Clean Form II rows are still few and semantically crowded by sending or expulsion contexts, so the prose should stay cautious.	Keep semantically crowded expulsion or dispatch rows out of the promoted inventory unless the exact lexical reading is stable.	List it in the promoted-pair inventory table and give it a short note that stresses lexical reality but sparse Form II evidence.	no	yes	yes	The pair should remain visible in the grammar plan even though it still needs a cleaner Form II citation set.
ngai-ngaih	ngai	ngaih	think / love/need	difficult_but_real_pair	140	434 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:242; imperative_or_directive:153; negative_clause:111. Best examples: Zephaniah 3:7 `ngai` [finite_main_or_matrix; dossier_only]; Zechariah 3:7 `ngai` [finite_main_or_matrix; dossier_only]; Song of Solomon 8:13 `ngai` [finite_main_or_matrix; dossier_only].	52 clean verbal exact Bible rows survive after filtering. Main contexts: compound_or_lexicalized:378; finite_main_or_matrix:95; unknown_or_needs_review:19. Best examples: Zechariah 3:7 `ngaih` [finite_main_or_matrix; dossier_only]; Song of Solomon 4:9 `ngaih` [finite_main_or_matrix; dossier_only]; Song of Solomon 4:8 `ngaih` [finite_main_or_matrix; dossier_only].	finite_main_or_matrix:242; imperative_or_directive:153; negative_clause:111	compound_or_lexicalized:378; finite_main_or_matrix:95; unknown_or_needs_review:19	1 Chronicles 12:38 form_ii `ngaihsutna` [reject_for_print; reject]; Zechariah 3:7 form_ii `ngaih` [needs_manual_check; mention_without_quotation]	finite_main_or_matrix; compound_or_lexicalized; imperative_or_directive; negative_clause; unknown_or_needs_review	Clean exact `ngai` and `ngaih` rows do exist, so this pair should remain central to the difficult-case discussion.	The `ngaihsun/ngaihsut/ngaihsutna` family still contaminates the dataset too heavily for routine promotion into the promoted inventory.	Treat `ngaihsun`, `ngaihsut`, and `ngaihsutna` as lexical-family contamination unless a row can be justified independently.	Keep it out of the promoted-pair inventory but give it an explicit difficult-case paragraph that separates clean `ngai/ngaih` evidence from family noise.	no	no	yes	This pair matters because it shows why exact verbal evidence can survive without dissolving lexical-family contamination.
pua-puak	pua	puak	spill / carry.on.back	difficult_but_real_pair	150	148 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:263; imperative_or_directive:15; causative_or_derivational_sak:15. Best examples: Song of Solomon 7:1 `pua` [finite_main_or_matrix; needs_analyzer_review]; Revelation 3:1 `pua` [finite_main_or_matrix; needs_analyzer_review]; Revelation 17:7 `pua` [finite_main_or_matrix; needs_analyzer_review].	239 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:277; purpose_nadingin:23; imperative_or_directive:15. Best examples: Zephaniah 3:10 `puak` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 1:10 `puak` [finite_main_or_matrix; needs_analyzer_review]; Romans 15:29 `puak` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:263; imperative_or_directive:15; causative_or_derivational_sak:15	finite_main_or_matrix:277; purpose_nadingin:23; imperative_or_directive:15	Song of Solomon 7:1 form_i `pua` [needs_manual_check; mention_without_quotation]	finite_main_or_matrix; imperative_or_directive; causative_or_derivational_sak; purpose_nadingin	Both sides have clean verbal rows, so the pair stays important even though its lexical identity is still unstable.	Shared-base overlap with `pua ~ puah` and gloss mismatch still make routine promotion too risky.	Keep `puasak`, `puaksak`, and the `pua ~ puah` homophone cluster out of any promoted inventory table.	Keep it out of the promoted-pair inventory but give it an explicit difficult-case paragraph about shared-base and homophone risk.	no	no	yes	This is the pair to use when explaining why exact Bible evidence does not always resolve lexical identity.
pai-paih	pai	paih	go	difficult_but_real_pair	160	2371 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:4279; imperative_or_directive:332; negative_clause:319. Best examples: Zephaniah 1:6 `pai` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 9:9 `pai` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 9:9 `pai` [finite_main_or_matrix; needs_analyzer_review].	2 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:22; nominalized_na:19; causative_or_derivational_sak:13. Best examples: Job 9:34 `paih` [finite_main_or_matrix; needs_analyzer_review]; Isaiah 2:19 `paih` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:4279; imperative_or_directive:332; negative_clause:319	finite_main_or_matrix:22; nominalized_na:19; causative_or_derivational_sak:13	Job 9:34 form_ii `paih` [needs_manual_check; keep_in_notes_only]	finite_main_or_matrix; imperative_or_directive; negative_clause; nominalized_na; causative_or_derivational_sak	Exact `paih` verbal rows do survive, so the pair belongs in the difficult-case discussion rather than being silently discarded.	The Form II evidence is still sparse and competes directly with the same-form questionnaire control `pai ~ pai`.	Keep `paisak` and related derived rows out of the difficult-case discussion unless derivation itself is under review.	Keep it out of the promoted-pair inventory but give it a short difficult-case paragraph about shared-base competition and sparse Form II evidence.	no	no	yes	This row is useful for explaining why questionnaire controls still matter after Bible auditing.
tua-tuah	tua	tuah	do	difficult_but_real_pair	170	No current Bible attestation in the audit.	46 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:95; unknown_or_needs_review:26; nominalized_na:15. Best examples: Psalms 124:1 `tuah` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 1:27 `tuah` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 1:26 `tuah` [finite_main_or_matrix; needs_analyzer_review].		finite_main_or_matrix:95; unknown_or_needs_review:26; nominalized_na:15	Psalms 124:1 form_ii `tuah` [needs_manual_check; keep_in_notes_only]	finite_main_or_matrix; unknown_or_needs_review; nominalized_na	The pair remains worth discussing because the Form II side is verbally real even though the Form I side is still unstable.	Only the `tuah` side is currently cleanly verbal, while the matching `tua` side stays category-mixed and often non-verbal.	Keep `tuahsakmang` and related derivational material out of the difficult-case discussion.	Keep it out of the promoted-pair inventory but give it a short difficult-case note about one-sided verbal evidence.	no	no	yes	This pair helps show why the grammar plan still needs a difficult-case tier between promoted and rejected rows.
tua-tuak	tua	tuak	meet	difficult_but_real_pair	180	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:8319; dependent_temporal_ciangin:4241; negative_clause:295. Current best rows: Zechariah 11:7 `Tua` [finite_main_or_matrix; needs_analyzer_review]; Romans 5:18 `Tua` [finite_main_or_matrix; needs_analyzer_review]; Romans 4:17 `Tua` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in finite_main_or_matrix:136; unknown_or_needs_review:69; negative_clause:26. Current best rows: Zechariah 9:1 `tuak` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 28:14 `tuak` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 22:8 `tuak` [finite_main_or_matrix; needs_analyzer_review].	unknown_or_needs_review:8319; dependent_temporal_ciangin:4241; negative_clause:295	finite_main_or_matrix:136; unknown_or_needs_review:69; negative_clause:26	Zechariah 9:1 form_ii `tuak` [reject_for_print; reject]	finite_main_or_matrix; unknown_or_needs_review; dependent_temporal_ciangin; negative_clause	This row remains grammatically important because it shows how analyzer overgeneration can mimic a stem pair.	The Form I base is overwhelmingly determiner-like, and the Form II side is not stable enough to support promotion.	Keep `tuaksak` and other unstable shared-base material out of the grammar-facing evidence tables.	Keep it out of the promoted-pair inventory but give it a short difficult-case note that explains why it currently behaves more like a warning than an example.	no	no	yes	This is the difficult case that most clearly borders on rejection rather than promotion.
bawl-bawlh	bawl	bawlh	make	one_sided_bible_attestation	190	1540 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:2036; nominalized_na:187; negative_clause:184. Best examples: Zechariah 9:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:2 `bawl` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:2036; nominalized_na:187; negative_clause:184		Zechariah 9:3 `bawl` [finite_main_or_matrix; V]	finite_main_or_matrix; nominalized_na; negative_clause	The lexical verb remains relevant to the inventory, but there is still no clean overt Form II evidence to justify promotion into the alternating-verb table.	Bible evidence is effectively one-sided because the questionnaire control `bawl ~ bawl` already covers the overt written form	Blocked noisy material includes bawlsak, kibawlsak, bawlsakna, bawlsiasak.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
dipkua-dipkuat	dipkua	dipkuat	haste	one_sided_bible_attestation	200	2 clean verbal exact Bible rows survive after filtering. Main contexts: unknown_or_needs_review:7; finite_main_or_matrix:4. Best examples: Psalms 48:5 `dipkua` [finite_main_or_matrix; needs_analyzer_review]; Jeremiah 4:9 `dipkua` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in nominalized_na:1. Current best rows: Leviticus 26:16 `dipkuatna` [nominalized_na; needs_analyzer_review].	unknown_or_needs_review:7; finite_main_or_matrix:4	nominalized_na:1	Psalms 48:5 `dipkua` [finite_main_or_matrix; V] Leviticus 26:16 `dipkuatna` [nominalized_na; V]	unknown_or_needs_review; finite_main_or_matrix; nominalized_na	The lexical item is probably real, but the current Bible evidence is too constructionally narrow for promotion.	Form II currently survives only in nominalized or otherwise complex material	No specific noisy family is central to the current grammar note.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
gen-genh	gen	genh	speak	one_sided_bible_attestation	210	2392 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:2036; unknown_or_needs_review:476; imperative_or_directive:266. Best examples: Zephaniah 3:8 `gen` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:6 `gen` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:18 `gen` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:2036; unknown_or_needs_review:476; imperative_or_directive:266		Zephaniah 3:8 `gen` [finite_main_or_matrix; V]	finite_main_or_matrix; unknown_or_needs_review; imperative_or_directive	The Bible strongly attests Form I, but promotion should wait until a defensible exact `genh` verbal token is isolated.	no clean verbal Form II evidence has survived the current audit	Blocked noisy material includes gensak, kigensak, gentheisak, gensakin.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	drive.out	one_sided_bible_attestation	220	101 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:130; negative_clause:23; imperative_or_directive:4. Best examples: Zephaniah 3:11 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 68:2 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 44:2 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:15; finite_main_or_matrix:5; negative_clause:1. Current best rows: Mark 11:15 `hawlkhiat` [finite_main_or_matrix; needs_analyzer_review]; Luke 19:45 `hawlkhiat` [finite_main_or_matrix; needs_analyzer_review]; John 12:42 `hawlkhiat` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:130; negative_clause:23; imperative_or_directive:4	unknown_or_needs_review:15; finite_main_or_matrix:5; negative_clause:1	Zephaniah 3:11 `hawlkhia` [finite_main_or_matrix; V] Mark 11:15 `hawlkhiat` [finite_main_or_matrix; N]	finite_main_or_matrix; negative_clause; imperative_or_directive; unknown_or_needs_review	The lexeme deserves inventory coverage, but the present Form II evidence is not yet clean enough for promotion.	current Form II candidates drift toward non-verbal or lemma-unstable readings	Blocked noisy material includes hawlkhiasak, hawlkhiatsakte.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
husia-husiat	husia	husiat	tempest	one_sided_bible_attestation	230	6 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:6; unknown_or_needs_review:2; imperative_or_directive:1. Best examples: Revelation 16:18 `husia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 50:3 `husia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 18:8 `husia` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:6; unknown_or_needs_review:2; imperative_or_directive:1		Revelation 16:18 `husia` [finite_main_or_matrix; V]	finite_main_or_matrix; unknown_or_needs_review; imperative_or_directive	Keep the row in the broader inventory for now because no clean form ii verb example.	no clean form ii verb example	No specific noisy family is central to the current grammar note.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
kho-khoh	kho	khoh	labor	one_sided_bible_attestation	240	45 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:38; negative_clause:32; purpose_nadingin:4. Best examples: Zechariah 13:3 `kho` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 6:7 `kho` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 4:3 `kho` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:4; finite_main_or_matrix:1; causative_or_derivational_sak:1. Current best rows: Jeremiah 36:25 `khoh` [finite_main_or_matrix; needs_analyzer_review]; Matthew 22:5 `khohsa` [unknown_or_needs_review; needs_analyzer_review]; Matthew 22:3 `khohsa` [unknown_or_needs_review; needs_analyzer_review].	finite_main_or_matrix:38; negative_clause:32; purpose_nadingin:4	unknown_or_needs_review:4; finite_main_or_matrix:1; causative_or_derivational_sak:1	Zechariah 13:3 `kho` [finite_main_or_matrix; V] Jeremiah 36:25 `khoh` [finite_main_or_matrix; N]	finite_main_or_matrix; negative_clause; purpose_nadingin; unknown_or_needs_review; causative_or_derivational_sak	The Form I side looks verbal enough to keep in the inventory, but the pair is still too one-sided for promotion.	Form II remains effectively unattested as a clean verbal row, and the base overlaps with `kho-khot`	Blocked noisy material includes khosak, khohsaksa.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
kido-kidot	kido	kidot	fight	one_sided_bible_attestation	250	58 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:47; nominalized_na:34; purpose_nadingin:8. Best examples: Numbers 10:9 `kido` [finite_main_or_matrix; needs_analyzer_review]; Nahum 3:3 `kido` [finite_main_or_matrix; needs_analyzer_review]; Matthew 24:7 `kido` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in dependent_temporal_ciangin:1; nominalized_na:1; finite_main_or_matrix:1. Current best rows: John 16:19 `kidot` [finite_main_or_matrix; needs_analyzer_review]; Haggai 2:12 `kidot` [dependent_temporal_ciangin; needs_analyzer_review]; John 1:28 `kidotna` [nominalized_na; needs_analyzer_review].	finite_main_or_matrix:47; nominalized_na:34; purpose_nadingin:8	dependent_temporal_ciangin:1; nominalized_na:1; finite_main_or_matrix:1	Numbers 10:9 `kido` [finite_main_or_matrix; V] John 16:19 `kidot` [finite_main_or_matrix; N]	finite_main_or_matrix; nominalized_na; purpose_nadingin; dependent_temporal_ciangin	Keep the row in the broader inventory for now because no clean form ii verb example.	no clean form ii verb example	No specific noisy family is central to the current grammar note.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
lua-luah	lua	luah	exceed	one_sided_bible_attestation	260	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:103; finite_main_or_matrix:73; negative_clause:36. Current best rows: Song of Solomon 6:5 `lua` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 25:16 `lua` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 23:23 `lua` [finite_main_or_matrix; needs_analyzer_review].	194 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:149; purpose_nadingin:46; unknown_or_needs_review:17. Best examples: Zephaniah 2:7 `luah` [finite_main_or_matrix; needs_analyzer_review]; Romans 4:13 `luah` [finite_main_or_matrix; needs_analyzer_review]; Psalms 79:1 `luah` [finite_main_or_matrix; needs_analyzer_review].	unknown_or_needs_review:103; finite_main_or_matrix:73; negative_clause:36	finite_main_or_matrix:149; purpose_nadingin:46; unknown_or_needs_review:17	Song of Solomon 6:5 `lua` [finite_main_or_matrix; N] Zephaniah 2:7 `luah` [finite_main_or_matrix; V]	unknown_or_needs_review; finite_main_or_matrix; negative_clause; purpose_nadingin	Keep the row in the broader inventory for now because no clean form i verb example.	no clean form i verb example	Blocked noisy material includes luahsak, luahkhawmsak.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
tu-tuh	tu	tuh	sit	one_sided_bible_attestation	270	No clean verbal exact rows survive yet. Current Bible hits cluster in finite_main_or_matrix:1322; unknown_or_needs_review:497; negative_clause:78. Current best rows: Zechariah 5:7 `tu` [finite_main_or_matrix; needs_analyzer_review]; Revelation 8:10 `tu` [finite_main_or_matrix; needs_analyzer_review]; Revelation 4:4 `tu` [finite_main_or_matrix; needs_analyzer_review].	29 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:40; negative_clause:8; nominalized_na:6. Best examples: Psalms 126:6 `tuh` [finite_main_or_matrix; needs_analyzer_review]; Micah 6:15 `tuh` [finite_main_or_matrix; needs_analyzer_review]; Matthew 8:33 `tuh` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:1322; unknown_or_needs_review:497; negative_clause:78	finite_main_or_matrix:40; negative_clause:8; nominalized_na:6	Zechariah 5:7 `tu` [finite_main_or_matrix; CONJ] Psalms 126:6 `tuh` [finite_main_or_matrix; V]	finite_main_or_matrix; unknown_or_needs_review; negative_clause; nominalized_na	Keep the row in the broader inventory for now because no clean form i verb example.	no clean form i verb example	Blocked noisy material includes tusak, tusakin, tusakzaw.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
tuahpha-tuahphat	tuahpha	tuahphat	quickly	one_sided_bible_attestation	280	2 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:2; causative_or_derivational_sak:1. Best examples: Song of Solomon 1:4 `tuahpha` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 13:21 `tuahpha` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in dependent_temporal_ciangin:1. Current best rows: Proverbs 11:10 `tuahphat` [dependent_temporal_ciangin; needs_analyzer_review].	finite_main_or_matrix:2; causative_or_derivational_sak:1	dependent_temporal_ciangin:1	Song of Solomon 1:4 `tuahpha` [finite_main_or_matrix; V] Proverbs 11:10 `tuahphat` [dependent_temporal_ciangin; N]	finite_main_or_matrix; causative_or_derivational_sak; dependent_temporal_ciangin	Keep the row in the broader inventory for now because no clean form ii verb example.	no clean form ii verb example	Blocked noisy material includes tuahphasak.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
vial-vialh	vial	vialh	encircle	one_sided_bible_attestation	290	10 clean verbal exact Bible rows survive after filtering. Main contexts: unknown_or_needs_review:11; finite_main_or_matrix:11; quotative_or_say_complement:4. Best examples: Psalms 41:9 `vial` [finite_main_or_matrix; needs_analyzer_review]; Job 30:10 `vial` [finite_main_or_matrix; needs_analyzer_review]; Daniel 4:23 `vial` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in negative_clause:1. Current best rows: Psalms 119:61 `vialh` [negative_clause; needs_analyzer_review].	unknown_or_needs_review:11; finite_main_or_matrix:11; quotative_or_say_complement:4	negative_clause:1	Psalms 41:9 `vial` [finite_main_or_matrix; V] Psalms 119:61 `vialh` [negative_clause; N]	unknown_or_needs_review; finite_main_or_matrix; quotative_or_say_complement; negative_clause	Keep the row in the broader inventory for now because no clean form ii verb example.	no clean form ii verb example	No specific noisy family is central to the current grammar note.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
dawn-dawn	dawn	dawn	drink	same_form_questionnaire_control	300	325 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:179; purpose_nadingin:79; negative_clause:37. Best examples: Song of Solomon 5:1 `dawn` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 4:8 `dawn` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:7 `dawn` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:179; purpose_nadingin:79; negative_clause:37		Song of Solomon 5:1 `dawn` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 4:8 `dawn` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:7 `dawn` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; purpose_nadingin; negative_clause	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
hong-hong	hong	hong	come	same_form_questionnaire_control	310	15398 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:12372; negative_clause:2162; quotative_or_say_complement:738. Best examples: Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `hong` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:12372; negative_clause:2162; quotative_or_say_complement:738		Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `hong` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; negative_clause; quotative_or_say_complement	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
